symbol,exchange,datetime,open,high,low,close,volume,open_interest
icxusdt,HUOBI,2020-08-24 00:00:00,0.5551,0.73,0.5551,0.6409,3471324.5781913777,0.0
icxusdt,HUOBI,2020-08-25 00:00:00,0.6377,0.65,0.5599,0.5759,1104941.2454581375,0.0
icxusdt,HUOBI,2020-08-26 00:00:00,0.5759,0.6415,0.5472,0.6319,890539.53106341,0.0
icxusdt,HUOBI,2020-08-27 00:00:00,0.6331,0.67,0.5763,0.5845,602404.2878534105,0.0
icxusdt,HUOBI,2020-08-28 00:00:00,0.5835,0.63,0.5557,0.5985,490466.20484244934,0.0
icxusdt,HUOBI,2020-08-29 00:00:00,0.5983,0.688,0.59,0.6336,483166.28082246,0.0
icxusdt,HUOBI,2020-08-30 00:00:00,0.6352,0.6545,0.615,0.6165,315399.83126367,0.0
icxusdt,HUOBI,2020-08-31 00:00:00,0.6155,0.6273,0.5956,0.6067,196802.2096741,0.0
icxusdt,HUOBI,2020-09-01 00:00:00,0.6072,0.6278,0.5782,0.581,289618.7505272,0.0
icxusdt,HUOBI,2020-09-02 00:00:00,0.5833,0.5957,0.5263,0.531,244826.66299776518,0.0
icxusdt,HUOBI,2020-09-03 00:00:00,0.5306,0.5788,0.456,0.4694,209420.43065163068,0.0
icxusdt,HUOBI,2020-09-04 00:00:00,0.469,0.4999,0.4151,0.4362,224891.43502189,0.0
icxusdt,HUOBI,2020-09-05 00:00:00,0.4352,0.4861,0.4019,0.4278,173645.25494176,0.0
icxusdt,HUOBI,2020-09-06 00:00:00,0.4278,0.4413,0.3846,0.4255,223412.05490193,0.0
icxusdt,HUOBI,2020-09-07 00:00:00,0.4265,0.4525,0.3889,0.4183,142916.13329079,0.0
icxusdt,HUOBI,2020-09-08 00:00:00,0.4181,0.4312,0.3936,0.4036,131976.4008067,0.0
icxusdt,HUOBI,2020-09-09 00:00:00,0.4036,0.4254,0.3922,0.4227,139214.27603496,0.0
icxusdt,HUOBI,2020-09-10 00:00:00,0.4237,0.4562,0.413,0.4543,145896.76405345,0.0
icxusdt,HUOBI,2020-09-11 00:00:00,0.4529,0.4661,0.4355,0.4496,159285.42140152,0.0
icxusdt,HUOBI,2020-09-12 00:00:00,0.4494,0.4899,0.4419,0.4899,179107.74686071,0.0
icxusdt,HUOBI,2020-09-13 00:00:00,0.4892,0.5237,0.4775,0.4791,203136.03351458,0.0
icxusdt,HUOBI,2020-09-14 00:00:00,0.4788,0.5294,0.4622,0.517,166394.11413746,0.0
icxusdt,HUOBI,2020-09-15 00:00:00,0.5172,0.552,0.5085,0.5122,361434.0293997096,0.0
icxusdt,HUOBI,2020-09-16 00:00:00,0.5118,0.5366,0.4691,0.484,282152.55062485,0.0
icxusdt,HUOBI,2020-09-17 00:00:00,0.4844,0.51,0.4567,0.4702,209533.46243744,0.0
icxusdt,HUOBI,2020-09-18 00:00:00,0.4705,0.5026,0.4594,0.4792,185216.78421793,0.0
icxusdt,HUOBI,2020-09-19 00:00:00,0.4784,0.4935,0.4602,0.4676,185859.53631103,0.0
icxusdt,HUOBI,2020-09-20 00:00:00,0.4681,0.5,0.4603,0.4671,242998.5728374,0.0
icxusdt,HUOBI,2020-09-21 00:00:00,0.4681,0.4682,0.394,0.4021,228054.64471243,0.0
icxusdt,HUOBI,2020-09-22 00:00:00,0.4023,0.4364,0.3967,0.4204,134290.73631693,0.0
icxusdt,HUOBI,2020-09-23 00:00:00,0.4209,0.4273,0.3965,0.4074,106503.45320954,0.0
icxusdt,HUOBI,2020-09-24 00:00:00,0.4075,0.4124,0.3682,0.386,153834.64575399,0.0
icxusdt,HUOBI,2020-09-25 00:00:00,0.3862,0.4122,0.3859,0.4073,132603.31942247,0.0
icxusdt,HUOBI,2020-09-26 00:00:00,0.4073,0.4212,0.4034,0.4168,230132.6397417733,0.0
icxusdt,HUOBI,2020-09-27 00:00:00,0.4169,0.4296,0.4,0.4175,178543.63485273,0.0
icxusdt,HUOBI,2020-09-28 00:00:00,0.4185,0.422,0.4004,0.4143,263633.92286049,0.0
icxusdt,HUOBI,2020-09-29 00:00:00,0.4147,0.4186,0.3929,0.4096,274303.07666189,0.0
icxusdt,HUOBI,2020-09-30 00:00:00,0.4096,0.4388,0.4029,0.418,354059.26460495,0.0
icxusdt,HUOBI,2020-10-01 00:00:00,0.4182,0.4499,0.4104,0.4302,252979.50486348,0.0
icxusdt,HUOBI,2020-10-02 00:00:00,0.4292,0.4352,0.3782,0.3989,376816.15899032,0.0
icxusdt,HUOBI,2020-10-03 00:00:00,0.399,0.4097,0.3808,0.3944,234856.58412119653,0.0
icxusdt,HUOBI,2020-10-04 00:00:00,0.394,0.4027,0.381,0.3856,170093.49670866,0.0
icxusdt,HUOBI,2020-10-05 00:00:00,0.3854,0.4001,0.384,0.3924,174606.56536567,0.0
icxusdt,HUOBI,2020-10-06 00:00:00,0.3924,0.3965,0.3656,0.3837,247458.53913127,0.0
icxusdt,HUOBI,2020-10-07 00:00:00,0.3832,0.3838,0.3471,0.3643,292562.07061778,0.0
icxusdt,HUOBI,2020-10-08 00:00:00,0.3643,0.3855,0.3539,0.3789,199420.45951341,0.0
icxusdt,HUOBI,2020-10-09 00:00:00,0.3789,0.3975,0.3693,0.3961,259517.79604503,0.0
icxusdt,HUOBI,2020-10-10 00:00:00,0.3967,0.4101,0.3873,0.3968,261034.88632478,0.0
icxusdt,HUOBI,2020-10-11 00:00:00,0.3967,0.4081,0.3869,0.4058,189420.872158,0.0
icxusdt,HUOBI,2020-10-12 00:00:00,0.4055,0.4189,0.3911,0.4159,194832.43632755,0.0
icxusdt,HUOBI,2020-10-13 00:00:00,0.4151,0.4297,0.4046,0.4133,256728.00785277,0.0
icxusdt,HUOBI,2020-10-14 00:00:00,0.4133,0.4151,0.3911,0.3921,173151.17507529,0.0
icxusdt,HUOBI,2020-10-15 00:00:00,0.392,0.3946,0.3681,0.3788,194434.5136592,0.0
icxusdt,HUOBI,2020-10-16 00:00:00,0.3784,0.386,0.355,0.3647,256531.79678621,0.0
icxusdt,HUOBI,2020-10-17 00:00:00,0.3647,0.3862,0.3598,0.3817,236457.09174213,0.0
icxusdt,HUOBI,2020-10-18 00:00:00,0.3818,0.3889,0.3769,0.3843,186305.00447765,0.0
icxusdt,HUOBI,2020-10-19 00:00:00,0.385,0.3875,0.3682,0.3792,240282.67175542,0.0
icxusdt,HUOBI,2020-10-20 00:00:00,0.3789,0.3793,0.3591,0.3618,234700.16087955164,0.0
icxusdt,HUOBI,2020-10-21 00:00:00,0.3615,0.3765,0.3521,0.3756,214312.74746437,0.0
icxusdt,HUOBI,2020-10-22 00:00:00,0.3758,0.3891,0.3687,0.3858,241944.76792634,0.0
icxusdt,HUOBI,2020-10-23 00:00:00,0.3864,0.3933,0.3761,0.3786,205275.62166196,0.0
icxusdt,HUOBI,2020-10-24 00:00:00,0.378,0.3806,0.3646,0.3764,200527.90795066,0.0
icxusdt,HUOBI,2020-10-25 00:00:00,0.3766,0.3785,0.3636,0.3649,204790.75426699,0.0
icxusdt,HUOBI,2020-10-26 00:00:00,0.3652,0.3792,0.3531,0.3596,177963.6213002,0.0
icxusdt,HUOBI,2020-10-27 00:00:00,0.3589,0.3684,0.3509,0.3641,178514.43185167,0.0
icxusdt,HUOBI,2020-10-28 00:00:00,0.3647,0.3648,0.3355,0.3431,198949.50268988,0.0
icxusdt,HUOBI,2020-10-29 00:00:00,0.3429,0.3471,0.324,0.338,171990.63649933,0.0
icxusdt,HUOBI,2020-10-30 00:00:00,0.3384,0.3433,0.3066,0.3158,230059.98227952182,0.0
icxusdt,HUOBI,2020-10-31 00:00:00,0.3155,0.3337,0.3127,0.32,155253.59642241,0.0
icxusdt,HUOBI,2020-11-01 00:00:00,0.321,0.33,0.3155,0.3276,141582.27229001,0.0
icxusdt,HUOBI,2020-11-02 00:00:00,0.3276,0.3428,0.3187,0.3239,168977.17723429744,0.0
icxusdt,HUOBI,2020-11-03 00:00:00,0.3241,0.3257,0.3071,0.3158,146603.30763683,0.0
icxusdt,HUOBI,2020-11-04 00:00:00,0.3157,0.3227,0.2942,0.2966,163327.86585801633,0.0
icxusdt,HUOBI,2020-11-05 00:00:00,0.2969,0.3177,0.2944,0.3138,144016.52925826,0.0
icxusdt,HUOBI,2020-11-06 00:00:00,0.3145,0.3596,0.3097,0.349,178677.37086344,0.0
icxusdt,HUOBI,2020-11-07 00:00:00,0.3491,0.3825,0.3397,0.3561,211364.3766723091,0.0
icxusdt,HUOBI,2020-11-08 00:00:00,0.3555,0.361,0.3265,0.3561,185769.98886748,0.0
icxusdt,HUOBI,2020-11-09 00:00:00,0.3569,0.3622,0.3335,0.3347,169497.66030699,0.0
icxusdt,HUOBI,2020-11-10 00:00:00,0.3355,0.3651,0.3301,0.3517,171838.3861425,0.0
icxusdt,HUOBI,2020-11-11 00:00:00,0.3515,0.3793,0.3502,0.3743,217878.46086724,0.0
icxusdt,HUOBI,2020-11-12 00:00:00,0.3744,0.3959,0.355,0.3745,253521.12098584,0.0
icxusdt,HUOBI,2020-11-13 00:00:00,0.3751,0.3789,0.3575,0.3697,172816.46832286,0.0
icxusdt,HUOBI,2020-11-14 00:00:00,0.3696,0.3772,0.3498,0.3588,213707.60316341,0.0
icxusdt,HUOBI,2020-11-15 00:00:00,0.3588,0.3627,0.3495,0.3585,191952.76128427,0.0
icxusdt,HUOBI,2020-11-16 00:00:00,0.3585,0.3608,0.3315,0.3503,214014.81076773,0.0
icxusdt,HUOBI,2020-11-17 00:00:00,0.3504,0.362,0.3471,0.3564,200780.81791108,0.0
icxusdt,HUOBI,2020-11-18 00:00:00,0.3564,0.3658,0.3354,0.3419,257710.45432141,0.0
icxusdt,HUOBI,2020-11-19 00:00:00,0.3419,0.3489,0.3346,0.3484,176271.78971626,0.0
icxusdt,HUOBI,2020-11-20 00:00:00,0.3481,0.3668,0.3395,0.3582,284751.2402718746,0.0
icxusdt,HUOBI,2020-11-21 00:00:00,0.3582,0.4048,0.3562,0.4044,319849.04339156,0.0
icxusdt,HUOBI,2020-11-22 00:00:00,0.4032,0.411,0.366,0.3853,472721.37315246,0.0
icxusdt,HUOBI,2020-11-23 00:00:00,0.3851,0.4274,0.3766,0.4143,352076.4225461386,0.0
icxusdt,HUOBI,2020-11-24 00:00:00,0.4143,0.4994,0.4013,0.4662,847687.83807308,0.0
icxusdt,HUOBI,2020-11-25 00:00:00,0.4669,0.5433,0.448,0.5097,643760.2467155097,0.0
icxusdt,HUOBI,2020-11-26 00:00:00,0.5117,0.5154,0.3754,0.405,664670.5881766857,0.0
icxusdt,HUOBI,2020-11-27 00:00:00,0.4049,0.4221,0.3723,0.3803,423772.45852927,0.0
icxusdt,HUOBI,2020-11-28 00:00:00,0.3801,0.4192,0.3791,0.4192,215396.87953158005,0.0
icxusdt,HUOBI,2020-11-29 00:00:00,0.4194,0.4261,0.3974,0.4156,173134.27478694,0.0
icxusdt,HUOBI,2020-11-30 00:00:00,0.4164,0.446,0.4002,0.426,252779.63602928,0.0
icxusdt,HUOBI,2020-12-01 00:00:00,0.4259,0.4652,0.4021,0.4324,413821.19351295,0.0
icxusdt,HUOBI,2020-12-02 00:00:00,0.4325,0.4485,0.4093,0.4358,284444.4187579,0.0
icxusdt,HUOBI,2020-12-03 00:00:00,0.4358,0.4484,0.4272,0.444,288018.30363085,0.0
icxusdt,HUOBI,2020-12-04 00:00:00,0.4445,0.4459,0.4026,0.4134,320870.1869964567,0.0
icxusdt,HUOBI,2020-12-05 00:00:00,0.4121,0.4224,0.3907,0.4214,250512.52020461144,0.0
icxusdt,HUOBI,2020-12-06 00:00:00,0.4213,0.4261,0.4036,0.4098,113634.25883960573,0.0
icxusdt,HUOBI,2020-12-07 00:00:00,0.4096,0.424,0.404,0.4223,135459.03687172,0.0
icxusdt,HUOBI,2020-12-08 00:00:00,0.422,0.4293,0.3927,0.4001,104170.84658162,0.0
icxusdt,HUOBI,2020-12-09 00:00:00,0.4006,0.4032,0.3694,0.3879,119575.54573083,0.0
icxusdt,HUOBI,2020-12-10 00:00:00,0.3878,0.3932,0.3733,0.3789,93236.88045933,0.0
icxusdt,HUOBI,2020-12-11 00:00:00,0.3802,0.385,0.3568,0.3661,95070.90970112,0.0
icxusdt,HUOBI,2020-12-12 00:00:00,0.3662,0.3794,0.36,0.3754,69537.1428888,0.0
icxusdt,HUOBI,2020-12-13 00:00:00,0.3754,0.3919,0.3751,0.3855,87485.15343012,0.0
icxusdt,HUOBI,2020-12-14 00:00:00,0.3857,0.3936,0.3729,0.381,83386.86854759,0.0
icxusdt,HUOBI,2020-12-15 00:00:00,0.3809,0.425,0.3791,0.4048,302103.97503246,0.0
icxusdt,HUOBI,2020-12-16 00:00:00,0.4062,0.4136,0.3871,0.413,171919.03515188,0.0
icxusdt,HUOBI,2020-12-17 00:00:00,0.4128,0.4297,0.4057,0.4221,225462.82076817454,0.0
icxusdt,HUOBI,2020-12-18 00:00:00,0.4224,0.4283,0.37,0.4146,279068.6045122447,0.0
icxusdt,HUOBI,2020-12-19 00:00:00,0.4145,0.4476,0.4115,0.4318,217001.29280258,0.0
icxusdt,HUOBI,2020-12-20 00:00:00,0.4324,0.4533,0.4226,0.4423,165045.97596601,0.0
icxusdt,HUOBI,2020-12-21 00:00:00,0.4425,0.4529,0.392,0.4137,229656.85469837,0.0
icxusdt,HUOBI,2020-12-22 00:00:00,0.4134,0.4151,0.3776,0.4001,178398.59252464,0.0
icxusdt,HUOBI,2020-12-23 00:00:00,0.4006,0.4047,0.3611,0.3703,143927.33532958,0.0
icxusdt,HUOBI,2020-12-24 00:00:00,0.37,0.376,0.3237,0.3677,164725.25894115298,0.0
icxusdt,HUOBI,2020-12-25 00:00:00,0.3677,0.4369,0.3625,0.4173,144972.18406362,0.0
icxusdt,HUOBI,2020-12-26 00:00:00,0.417,0.4363,0.3989,0.4135,183271.8200024,0.0
icxusdt,HUOBI,2020-12-27 00:00:00,0.4143,0.4399,0.3969,0.4321,234983.88308013,0.0
icxusdt,HUOBI,2020-12-28 00:00:00,0.4326,0.4418,0.3954,0.4276,152951.92746133,0.0
