instrument_origin,instrument_prifix,postfix,instrument_full,instrument_code,postfix1,instrument_simple
"'btcusdt.HBI',",btcusdt,.HUOBI,btcusdt.HUOBI,1,.HBI,1.HBI
"  'ethusdt.HBI',",ethusdt,.HUOBI,ethusdt.HUOBI,2,.HBI,2.HBI
"  'ltcusdt.HBI',",ltcusdt,.HUOBI,ltcusdt.HUOBI,3,.HBI,3.HBI
"  'etcusdt.HBI',",etcusdt,.HUOBI,etcusdt.HUOBI,4,.HBI,4.HBI
"  'bchusdt.HBI',",bchusdt,.HUOBI,bchusdt.HUOBI,5,.HBI,5.HBI
"  'dashusdt.HBI',",dashusdt,.HUOBI,dashusdt.HUOBI,6,.HBI,6.HBI
"  'xrpusdt.HBI',",xrpusdt,.HUOBI,xrpusdt.HUOBI,7,.HBI,7.HBI
"  'itceth.HBI',",itceth,.HUOBI,itceth.HUOBI,8,.HBI,8.HBI
"  'omgusdt.HBI',",omgusdt,.HUOBI,omgusdt.HUOBI,9,.HBI,9.HBI
"  'eosusdt.HBI',",eosusdt,.HUOBI,eosusdt.HUOBI,10,.HBI,10.HBI
"  'zecusdt.HBI',",zecusdt,.HUOBI,zecusdt.HUOBI,11,.HBI,11.HBI
"  'qtumusdt.HBI',",qtumusdt,.HUOBI,qtumusdt.HUOBI,12,.HBI,12.HBI
"  'hcusdt.HBI',",hcusdt,.HUOBI,hcusdt.HUOBI,13,.HBI,13.HBI
"  'sntusdt.HBI',",sntusdt,.HUOBI,sntusdt.HUOBI,14,.HBI,14.HBI
"  'storjusdt.HBI',",storjusdt,.HUOBI,storjusdt.HUOBI,15,.HBI,15.HBI
"  'cvcusdt.HBI',",cvcusdt,.HUOBI,cvcusdt.HUOBI,16,.HBI,16.HBI
"  'iostusdt.HBI',",iostusdt,.HUOBI,iostusdt.HUOBI,17,.HBI,17.HBI
"  'smtusdt.HBI',",smtusdt,.HUOBI,smtusdt.HUOBI,18,.HBI,18.HBI
"  'xemusdt.HBI',",xemusdt,.HUOBI,xemusdt.HUOBI,19,.HBI,19.HBI
"  'thetausdt.HBI',",thetausdt,.HUOBI,thetausdt.HUOBI,20,.HBI,20.HBI
"  'htusdt.HBI',",htusdt,.HUOBI,htusdt.HUOBI,21,.HBI,21.HBI
"  'letusdt.HBI',",letusdt,.HUOBI,letusdt.HUOBI,22,.HBI,22.HBI
"  'dtausdt.HBI',",dtausdt,.HUOBI,dtausdt.HUOBI,23,.HBI,23.HBI
"  'zilusdt.HBI',",zilusdt,.HUOBI,zilusdt.HUOBI,24,.HBI,24.HBI
"  'nasusdt.HBI',",nasusdt,.HUOBI,nasusdt.HUOBI,25,.HBI,25.HBI
"  'itcusdt.HBI',",itcusdt,.HUOBI,itcusdt.HUOBI,26,.HBI,26.HBI
"  'elausdt.HBI',",elausdt,.HUOBI,elausdt.HUOBI,27,.HBI,27.HBI
"  'mdsusdt.HBI',",mdsusdt,.HUOBI,mdsusdt.HUOBI,28,.HBI,28.HBI
