symbol,exchange,datetime,open,high,low,close,volume,open_interest
insurusdt,HUOBI,2021-04-01 00:00:00,4.5,22.5,4.5,9.33,73951677.02073616,0.0
insurusdt,HUOBI,2021-04-02 00:00:00,9.3238,11.9,8.4099,9.7713,24903557.55670664,0.0
insurusdt,HUOBI,2021-04-03 00:00:00,9.7714,9.8496,8.155,8.3554,10641518.858280687,0.0
insurusdt,HUOBI,2021-04-04 00:00:00,8.357,9.0996,7.53,8.5498,4783337.600764154,0.0
insurusdt,HUOBI,2021-04-05 00:00:00,8.5497,10.39,8.0,9.7997,10473022.755182477,0.0
insurusdt,HUOBI,2021-04-06 00:00:00,9.7338,9.7788,8.0,8.25,9608676.765412785,0.0
insurusdt,HUOBI,2021-04-07 00:00:00,8.2502,8.7662,7.0,7.4299,6683607.6833094675,0.0
insurusdt,HUOBI,2021-04-08 00:00:00,7.4299,8.3,7.05,7.8103,3981369.4360190406,0.0
insurusdt,HUOBI,2021-04-09 00:00:00,7.8104,8.2345,7.6,7.9468,2360451.4311187332,0.0
insurusdt,HUOBI,2021-04-10 00:00:00,7.9407,8.5,7.867,8.0184,3653939.635580316,0.0
insurusdt,HUOBI,2021-04-11 00:00:00,8.051,8.3,7.55,7.6606,2579408.451826038,0.0
insurusdt,HUOBI,2021-04-12 00:00:00,7.6605,8.0,7.3333,7.4112,2723571.5444869427,0.0
insurusdt,HUOBI,2021-04-13 00:00:00,7.4115,7.5999,7.0926,7.34,2415134.703713036,0.0
insurusdt,HUOBI,2021-04-14 00:00:00,7.3405,7.61,6.7094,6.8581,3462546.5577689167,0.0
insurusdt,HUOBI,2021-04-15 00:00:00,6.8727,7.7,6.5627,7.244,3051633.026520229,0.0
insurusdt,HUOBI,2021-04-16 00:00:00,7.2462,7.68,6.5727,6.601,2412019.9231283767,0.0
insurusdt,HUOBI,2021-04-17 00:00:00,6.6009,6.9,6.4684,6.5811,2250171.4686616356,0.0
insurusdt,HUOBI,2021-04-18 00:00:00,6.58,6.78,5.4006,5.642,2907193.528763443,0.0
insurusdt,HUOBI,2021-04-19 00:00:00,5.6419,6.05,5.3876,5.4112,2077878.5374081682,0.0
insurusdt,HUOBI,2021-04-20 00:00:00,5.4102,5.6849,4.8401,5.138,2916906.698718555,0.0
insurusdt,HUOBI,2021-04-21 00:00:00,5.1388,5.9101,4.97,5.745,5586993.491754692,0.0
insurusdt,HUOBI,2021-04-22 00:00:00,5.745,7.2797,5.65,6.9999,7781447.543772284,0.0
insurusdt,HUOBI,2021-04-23 00:00:00,6.9814,7.59,4.82,5.4702,4718620.83634656,0.0
insurusdt,HUOBI,2021-04-24 00:00:00,5.4762,5.799,4.83,5.2222,1460755.4780686037,0.0
insurusdt,HUOBI,2021-04-25 00:00:00,5.4743,5.5802,4.99,5.5802,676678.1369656294,0.0
insurusdt,HUOBI,2021-04-26 00:00:00,5.6,6.6998,5.1003,6.2657,1959295.4670222115,0.0
insurusdt,HUOBI,2021-04-27 00:00:00,6.29,6.6858,5.984,6.3447,1692801.8435248674,0.0
