symbol,exchange,datetime,open,high,low,close,volume,open_interest
iostusdt,HUOBI,2018-01-23 00:00:00,0.0273,0.048,0.0273,0.0418,5611119.618251134,0.0
iostusdt,HUOBI,2018-01-24 00:00:00,0.0417,0.108,0.0337,0.0885,60868973.48974303,0.0
iostusdt,HUOBI,2018-01-25 00:00:00,0.0886,0.139,0.0811,0.0873,58279332.634170644,0.0
iostusdt,HUOBI,2018-01-26 00:00:00,0.0869,0.1135,0.078,0.0985,29070767.303526305,0.0
iostusdt,HUOBI,2018-01-27 00:00:00,0.0985,0.1019,0.083,0.093,10786561.106670298,0.0
iostusdt,HUOBI,2018-01-28 00:00:00,0.093,0.0933,0.083,0.0843,9231468.583426798,0.0
iostusdt,HUOBI,2018-01-29 00:00:00,0.0843,0.0859,0.0636,0.0682,19352606.94676728,0.0
iostusdt,HUOBI,2018-01-30 00:00:00,0.0683,0.0779,0.0592,0.0602,11864248.843910892,0.0
iostusdt,HUOBI,2018-01-31 00:00:00,0.0604,0.0625,0.0504,0.0552,12084955.876089351,0.0
iostusdt,HUOBI,2018-02-01 00:00:00,0.0551,0.071,0.0519,0.0538,25364153.28969945,0.0
iostusdt,HUOBI,2018-02-02 00:00:00,0.0539,0.058,0.0392,0.0495,20947602.364579327,0.0
iostusdt,HUOBI,2018-02-03 00:00:00,0.0493,0.0517,0.0407,0.0469,15198658.238881689,0.0
iostusdt,HUOBI,2018-02-04 00:00:00,0.0469,0.05,0.0397,0.0415,11267970.94353087,0.0
iostusdt,HUOBI,2018-02-05 00:00:00,0.0413,0.0425,0.0325,0.035,10717451.83631977,0.0
iostusdt,HUOBI,2018-02-06 00:00:00,0.035,0.0363,0.024,0.0299,19760358.06682288,0.0
iostusdt,HUOBI,2018-02-07 00:00:00,0.0299,0.0406,0.0283,0.0379,23100575.03441001,0.0
iostusdt,HUOBI,2018-02-08 00:00:00,0.0379,0.0384,0.0324,0.0358,12565899.89047721,0.0
iostusdt,HUOBI,2018-02-09 00:00:00,0.0358,0.0425,0.0356,0.0409,13130068.885728018,0.0
iostusdt,HUOBI,2018-02-10 00:00:00,0.041,0.0464,0.0377,0.0385,16205115.285951896,0.0
iostusdt,HUOBI,2018-02-11 00:00:00,0.0385,0.0398,0.0333,0.0382,10716827.167597365,0.0
iostusdt,HUOBI,2018-02-12 00:00:00,0.0383,0.0395,0.0348,0.0377,7859106.513252459,0.0
iostusdt,HUOBI,2018-02-13 00:00:00,0.0377,0.0382,0.0351,0.0354,5313033.498737536,0.0
iostusdt,HUOBI,2018-02-14 00:00:00,0.0355,0.0422,0.0354,0.0408,12740547.657396965,0.0
iostusdt,HUOBI,2018-02-15 00:00:00,0.0407,0.0419,0.0385,0.0406,8558030.51693845,0.0
iostusdt,HUOBI,2018-02-16 00:00:00,0.0406,0.0439,0.0397,0.0429,8234684.774003231,0.0
iostusdt,HUOBI,2018-02-17 00:00:00,0.0429,0.0487,0.0417,0.0483,12472318.72376696,0.0
iostusdt,HUOBI,2018-02-18 00:00:00,0.0486,0.0549,0.0438,0.0484,27507404.239629872,0.0
iostusdt,HUOBI,2018-02-19 00:00:00,0.0483,0.0498,0.0452,0.0486,10289585.034339307,0.0
iostusdt,HUOBI,2018-02-20 00:00:00,0.0486,0.0496,0.044,0.0462,9581018.578406539,0.0
iostusdt,HUOBI,2018-02-21 00:00:00,0.0464,0.0468,0.0383,0.0394,10639202.60737589,0.0
iostusdt,HUOBI,2018-02-22 00:00:00,0.0393,0.042,0.0346,0.0366,12668473.226157516,0.0
iostusdt,HUOBI,2018-02-23 00:00:00,0.0366,0.0389,0.0341,0.0378,9635664.96091481,0.0
iostusdt,HUOBI,2018-02-24 00:00:00,0.0377,0.0392,0.0345,0.0354,7428469.9986243965,0.0
iostusdt,HUOBI,2018-02-25 00:00:00,0.0355,0.0361,0.0325,0.0333,6087993.075979286,0.0
iostusdt,HUOBI,2018-02-26 00:00:00,0.0333,0.036,0.0323,0.0357,6679826.1946027335,0.0
iostusdt,HUOBI,2018-02-27 00:00:00,0.0358,0.0389,0.034,0.0375,9685349.778723974,0.0
iostusdt,HUOBI,2018-02-28 00:00:00,0.0375,0.0382,0.0339,0.0348,6650516.207847858,0.0
iostusdt,HUOBI,2018-03-01 00:00:00,0.0347,0.0353,0.0262,0.0344,7284992.481562959,0.0
iostusdt,HUOBI,2018-03-02 00:00:00,0.0346,0.0368,0.0337,0.0342,6491198.947617567,0.0
iostusdt,HUOBI,2018-03-03 00:00:00,0.0342,0.0359,0.0338,0.0345,3823387.531815997,0.0
iostusdt,HUOBI,2018-03-04 00:00:00,0.0345,0.0356,0.0325,0.0346,3599260.237814043,0.0
iostusdt,HUOBI,2018-03-05 00:00:00,0.0347,0.037,0.0339,0.0366,5617889.250708586,0.0
