symbol,exchange,datetime,open,high,low,close,volume,open_interest
iotausdt,HUOBI,2018-05-08 00:00:00,2.1241,18.8008,2.1241,3.0,37767819.84741518,0.0
iotausdt,HUOBI,2018-05-09 00:00:00,3.0,3.0,2.2228,2.3219,15757906.955095427,0.0
iotausdt,HUOBI,2018-05-10 00:00:00,2.324,2.34,2.1945,2.283,5722014.358363727,0.0
iotausdt,HUOBI,2018-05-11 00:00:00,2.2815,2.2888,1.7,1.8813,4726016.924042359,0.0
iotausdt,HUOBI,2018-05-12 00:00:00,1.8813,2.0,1.61,1.8294,3654573.5743952766,0.0
iotausdt,HUOBI,2018-05-13 00:00:00,1.8295,1.98,1.7915,1.9741,3104037.6380533883,0.0
iotausdt,HUOBI,2018-05-14 00:00:00,1.9762,2.0498,1.8068,1.9619,3662755.020676349,0.0
iotausdt,HUOBI,2018-05-15 00:00:00,1.9602,2.0899,1.8979,1.9664,1555779.0327365496,0.0
iotausdt,HUOBI,2018-05-16 00:00:00,1.9677,2.023,1.7942,1.8424,1228194.805682523,0.0
iotausdt,HUOBI,2018-05-17 00:00:00,1.8416,1.9667,1.8136,1.8583,1016598.1415760644,0.0
iotausdt,HUOBI,2018-05-18 00:00:00,1.8594,1.8645,1.6528,1.7202,1327794.9432824228,0.0
iotausdt,HUOBI,2018-05-19 00:00:00,1.7214,1.8277,1.6801,1.8033,949019.3233776526,0.0
iotausdt,HUOBI,2018-05-20 00:00:00,1.8026,1.8103,1.7301,1.7956,652491.8507522624,0.0
iotausdt,HUOBI,2018-05-21 00:00:00,1.7967,1.85,1.7239,1.7387,835719.3405265542,0.0
iotausdt,HUOBI,2018-05-22 00:00:00,1.7381,1.7483,1.6728,1.7267,539550.8477611532,0.0
iotausdt,HUOBI,2018-05-23 00:00:00,1.7245,1.7435,1.4062,1.4303,1052902.8922005328,0.0
iotausdt,HUOBI,2018-05-24 00:00:00,1.4302,1.74,1.3832,1.5409,2279622.595902661,0.0
iotausdt,HUOBI,2018-05-25 00:00:00,1.5419,1.5849,1.4749,1.5187,817291.2067724391,0.0
iotausdt,HUOBI,2018-05-26 00:00:00,1.5184,1.5386,1.4433,1.5264,897176.6531260519,0.0
iotausdt,HUOBI,2018-05-27 00:00:00,1.5264,1.54,1.415,1.4575,1347366.2269671757,0.0
iotausdt,HUOBI,2018-05-28 00:00:00,1.4574,1.4717,1.3801,1.4007,1341523.8050994894,0.0
iotausdt,HUOBI,2018-05-29 00:00:00,1.4007,1.5524,1.3255,1.5143,2504890.787441217,0.0
iotausdt,HUOBI,2018-05-30 00:00:00,1.5143,1.6622,1.4967,1.5174,2664419.683291181,0.0
iotausdt,HUOBI,2018-05-31 00:00:00,1.5209,1.91,1.51,1.8046,4027858.022324282,0.0
iotausdt,HUOBI,2018-06-01 00:00:00,1.8021,1.902,1.7262,1.8407,3086870.110745206,0.0
iotausdt,HUOBI,2018-06-02 00:00:00,1.8444,1.9633,1.834,1.8848,2977597.8282464063,0.0
iotausdt,HUOBI,2018-06-03 00:00:00,1.8882,2.015,1.8593,1.9609,2573977.538230716,0.0
iotausdt,HUOBI,2018-06-04 00:00:00,1.9609,1.9702,1.6887,1.7316,4108403.6712625194,0.0
iotausdt,HUOBI,2018-06-05 00:00:00,1.7346,1.7455,1.6574,1.7165,1638847.4805632208,0.0
iotausdt,HUOBI,2018-06-06 00:00:00,1.7188,1.78,1.7,1.7189,1200407.6660943413,0.0
iotausdt,HUOBI,2018-06-07 00:00:00,1.7175,1.75,1.6341,1.7133,960593.2899808933,0.0
iotausdt,HUOBI,2018-06-08 00:00:00,1.7134,1.7201,1.6559,1.7044,987260.0086668894,0.0
iotausdt,HUOBI,2018-06-09 00:00:00,1.7054,1.7429,1.6567,1.6897,846084.701656071,0.0
iotausdt,HUOBI,2018-06-10 00:00:00,1.6915,1.6917,1.47,1.5029,1441346.577426643,0.0
iotausdt,HUOBI,2018-06-11 00:00:00,1.5014,1.5051,1.31,1.3244,1352223.2273828536,0.0
iotausdt,HUOBI,2018-06-12 00:00:00,1.3241,1.47,1.321,1.371,960062.8653453375,0.0
iotausdt,HUOBI,2018-06-13 00:00:00,1.3705,1.3712,1.1877,1.2002,1001386.659185959,0.0
iotausdt,HUOBI,2018-06-14 00:00:00,1.2002,1.32,1.1401,1.2129,1105764.950941155,0.0
iotausdt,HUOBI,2018-06-15 00:00:00,1.2105,1.31,1.1989,1.2522,662719.959918626,0.0
iotausdt,HUOBI,2018-06-16 00:00:00,1.2513,1.258,1.1615,1.1832,506052.9267403824,0.0
iotausdt,HUOBI,2018-06-17 00:00:00,1.1809,1.2223,1.1611,1.1862,418619.22836250236,0.0
