symbol,exchange,datetime,open,high,low,close,volume,open_interest
irisusdt,HUOBI,2019-04-22 00:00:00,0.106,0.1944,0.106,0.1771,7853648.977892614,0.0
irisusdt,HUOBI,2019-04-23 00:00:00,0.1766,0.1771,0.1362,0.1384,6443262.754124115,0.0
irisusdt,HUOBI,2019-04-24 00:00:00,0.1392,0.145,0.1078,0.1148,2130333.282314644,0.0
irisusdt,HUOBI,2019-04-25 00:00:00,0.114,0.1249,0.1082,0.1135,1080569.9221709291,0.0
irisusdt,HUOBI,2019-04-26 00:00:00,0.1135,0.1193,0.1003,0.1048,827680.9837708247,0.0
irisusdt,HUOBI,2019-04-27 00:00:00,0.105,0.11,0.0941,0.1052,568007.4688896206,0.0
irisusdt,HUOBI,2019-04-28 00:00:00,0.105,0.118,0.1012,0.1123,1545514.249575722,0.0
irisusdt,HUOBI,2019-04-29 00:00:00,0.1121,0.1174,0.0987,0.0992,803789.5871997454,0.0
irisusdt,HUOBI,2019-04-30 00:00:00,0.0991,0.103,0.0925,0.0961,561776.4184722884,0.0
irisusdt,HUOBI,2019-05-01 00:00:00,0.0974,0.1007,0.0846,0.0877,2755260.1577529763,0.0
irisusdt,HUOBI,2019-05-02 00:00:00,0.0877,0.0879,0.0759,0.082,2416732.9166665184,0.0
irisusdt,HUOBI,2019-05-03 00:00:00,0.0819,0.0868,0.0794,0.0825,1756403.6504555673,0.0
irisusdt,HUOBI,2019-05-04 00:00:00,0.0827,0.087,0.0708,0.0735,1908248.673857679,0.0
irisusdt,HUOBI,2019-05-05 00:00:00,0.0735,0.0848,0.0674,0.0767,3328429.4703601967,0.0
irisusdt,HUOBI,2019-05-06 00:00:00,0.0768,0.077,0.0663,0.0678,1224459.8530978425,0.0
irisusdt,HUOBI,2019-05-07 00:00:00,0.0679,0.0687,0.0583,0.0605,2333632.132161794,0.0
irisusdt,HUOBI,2019-05-08 00:00:00,0.0605,0.0605,0.0482,0.0516,2963770.998402814,0.0
irisusdt,HUOBI,2019-05-09 00:00:00,0.0514,0.0617,0.049,0.0536,2944237.1389659448,0.0
irisusdt,HUOBI,2019-05-10 00:00:00,0.0537,0.0567,0.0506,0.0533,1358433.7795512748,0.0
irisusdt,HUOBI,2019-05-11 00:00:00,0.0532,0.0567,0.0516,0.0559,939962.0127290888,0.0
irisusdt,HUOBI,2019-05-12 00:00:00,0.056,0.0562,0.0491,0.0501,1322647.454484647,0.0
irisusdt,HUOBI,2019-05-13 00:00:00,0.0501,0.0539,0.049,0.0514,840692.9292436027,0.0
irisusdt,HUOBI,2019-05-14 00:00:00,0.051,0.0539,0.0494,0.0511,1172292.2533054056,0.0
irisusdt,HUOBI,2019-05-15 00:00:00,0.0511,0.0594,0.05,0.0587,2017676.5452013938,0.0
irisusdt,HUOBI,2019-05-16 00:00:00,0.0587,0.083,0.0587,0.0802,5307814.03687347,0.0
irisusdt,HUOBI,2019-05-17 00:00:00,0.0802,0.0892,0.0618,0.0684,4581869.741242732,0.0
irisusdt,HUOBI,2019-05-18 00:00:00,0.0678,0.0739,0.0641,0.0711,1847473.5365542294,0.0
irisusdt,HUOBI,2019-05-19 00:00:00,0.071,0.0805,0.071,0.0785,2674986.853084471,0.0
irisusdt,HUOBI,2019-05-20 00:00:00,0.0786,0.0792,0.0691,0.0721,1631442.8994507946,0.0
irisusdt,HUOBI,2019-05-21 00:00:00,0.0722,0.083,0.0696,0.078,2792502.9819842502,0.0
irisusdt,HUOBI,2019-05-22 00:00:00,0.0782,0.096,0.0772,0.0819,5370148.751091046,0.0
irisusdt,HUOBI,2019-05-23 00:00:00,0.082,0.0821,0.0686,0.0733,2039758.4632333256,0.0
irisusdt,HUOBI,2019-05-24 00:00:00,0.0732,0.0785,0.0702,0.0735,1932294.185043019,0.0
