symbol,exchange,datetime,open,high,low,close,volume,open_interest
jstusdt,HUOBI,2020-08-11 00:00:00,0.057896,0.099887,0.057896,0.071287,49430122.71793025,0.0
jstusdt,HUOBI,2020-08-12 00:00:00,0.0715,0.082782,0.063832,0.080001,458419470.9217844,0.0
jstusdt,HUOBI,2020-08-13 00:00:00,0.079996,0.082607,0.06897,0.072003,245990385.1168782,0.0
jstusdt,HUOBI,2020-08-14 00:00:00,0.072003,0.082087,0.067545,0.071275,409613022.6120572,0.0
jstusdt,HUOBI,2020-08-15 00:00:00,0.071275,0.0732,0.068,0.069551,417844947.14054745,0.0
jstusdt,HUOBI,2020-08-16 00:00:00,0.069551,0.0725,0.068845,0.071401,154553076.92620337,0.0
jstusdt,HUOBI,2020-08-17 00:00:00,0.071445,0.079,0.071119,0.073639,283818306.290362,0.0
jstusdt,HUOBI,2020-08-18 00:00:00,0.07364,0.076099,0.065,0.068918,305593225.5879493,0.0
jstusdt,HUOBI,2020-08-19 00:00:00,0.068918,0.0701,0.058589,0.062368,245398024.09240812,0.0
jstusdt,HUOBI,2020-08-20 00:00:00,0.062366,0.064299,0.058489,0.060934,233131618.10416597,0.0
jstusdt,HUOBI,2020-08-21 00:00:00,0.060934,0.0645,0.051534,0.053824,283434528.86362416,0.0
jstusdt,HUOBI,2020-08-22 00:00:00,0.053824,0.053862,0.042,0.04822,191148068.89964998,0.0
jstusdt,HUOBI,2020-08-23 00:00:00,0.048211,0.052663,0.047,0.051967,277598187.7006097,0.0
jstusdt,HUOBI,2020-08-24 00:00:00,0.051967,0.060712,0.0502,0.0583,172782889.67901406,0.0
jstusdt,HUOBI,2020-08-25 00:00:00,0.0583,0.064117,0.054441,0.057392,295616441.70773226,0.0
jstusdt,HUOBI,2020-08-26 00:00:00,0.05742,0.0606,0.052,0.058045,406232408.86528146,0.0
jstusdt,HUOBI,2020-08-27 00:00:00,0.058045,0.059997,0.055,0.055949,367934709.2360923,0.0
jstusdt,HUOBI,2020-08-28 00:00:00,0.055949,0.057988,0.051,0.057414,336934775.96971214,0.0
jstusdt,HUOBI,2020-08-29 00:00:00,0.057415,0.058528,0.055102,0.0558,279588888.65174097,0.0
jstusdt,HUOBI,2020-08-30 00:00:00,0.0558,0.062888,0.0535,0.060374,377010229.71561474,0.0
jstusdt,HUOBI,2020-08-31 00:00:00,0.060363,0.064949,0.057851,0.061168,371219695.13840216,0.0
jstusdt,HUOBI,2020-09-01 00:00:00,0.061178,0.061196,0.056,0.056351,417568526.8747869,0.0
jstusdt,HUOBI,2020-09-02 00:00:00,0.056366,0.062307,0.054555,0.058771,469597897.7642232,0.0
jstusdt,HUOBI,2020-09-03 00:00:00,0.058767,0.0726,0.057693,0.063837,409320967.0796493,0.0
jstusdt,HUOBI,2020-09-04 00:00:00,0.063843,0.071222,0.043,0.04774,352056319.1913983,0.0
jstusdt,HUOBI,2020-09-05 00:00:00,0.047787,0.05067,0.038035,0.0421,182550576.23898506,0.0
jstusdt,HUOBI,2020-09-06 00:00:00,0.042085,0.042388,0.031161,0.037829,328322502.8584523,0.0
jstusdt,HUOBI,2020-09-07 00:00:00,0.037829,0.040872,0.0343,0.038657,336795287.04553944,0.0
jstusdt,HUOBI,2020-09-08 00:00:00,0.0386,0.041877,0.036702,0.039082,134081033.91854313,0.0
jstusdt,HUOBI,2020-09-09 00:00:00,0.039087,0.0419,0.0378,0.04133,251060580.60081488,0.0
jstusdt,HUOBI,2020-09-10 00:00:00,0.041374,0.043777,0.040199,0.042769,275009064.1756346,0.0
jstusdt,HUOBI,2020-09-11 00:00:00,0.04277,0.0435,0.0399,0.04171,313960940.375084,0.0
jstusdt,HUOBI,2020-09-12 00:00:00,0.0417,0.0425,0.040001,0.04083,248411139.09888896,0.0
jstusdt,HUOBI,2020-09-13 00:00:00,0.040828,0.0422,0.04,0.040079,239336642.427305,0.0
jstusdt,HUOBI,2020-09-14 00:00:00,0.040066,0.04031,0.03763,0.039485,274031116.0371185,0.0
jstusdt,HUOBI,2020-09-15 00:00:00,0.039474,0.0397,0.037334,0.037974,509477407.88029706,0.0
jstusdt,HUOBI,2020-09-16 00:00:00,0.037974,0.04388,0.033,0.041807,393811103.8193161,0.0
jstusdt,HUOBI,2020-09-17 00:00:00,0.041914,0.044655,0.040104,0.041339,127673678.61712404,0.0
jstusdt,HUOBI,2020-09-18 00:00:00,0.04136,0.0455,0.040801,0.042591,99279669.92483434,0.0
jstusdt,HUOBI,2020-09-19 00:00:00,0.04259,0.04545,0.04193,0.044683,86573638.60352688,0.0
jstusdt,HUOBI,2020-09-20 00:00:00,0.044679,0.044816,0.040906,0.04097,28376032.723847374,0.0
jstusdt,HUOBI,2020-09-21 00:00:00,0.040977,0.042,0.036829,0.037414,78460477.54238205,0.0
jstusdt,HUOBI,2020-09-22 00:00:00,0.037386,0.038847,0.036578,0.037341,83921099.96214056,0.0
jstusdt,HUOBI,2020-09-23 00:00:00,0.037342,0.038198,0.035882,0.03766,74583907.5222936,0.0
jstusdt,HUOBI,2020-09-24 00:00:00,0.037662,0.038325,0.035902,0.037729,87312965.38751416,0.0
jstusdt,HUOBI,2020-09-25 00:00:00,0.037719,0.039142,0.037719,0.039002,90189823.58203761,0.0
jstusdt,HUOBI,2020-09-26 00:00:00,0.039002,0.04179,0.038645,0.039634,60312924.670888804,0.0
jstusdt,HUOBI,2020-09-27 00:00:00,0.039633,0.039853,0.0371,0.038585,88964865.42430131,0.0
jstusdt,HUOBI,2020-09-28 00:00:00,0.038605,0.0398,0.038,0.039625,128879980.71822561,0.0
jstusdt,HUOBI,2020-09-29 00:00:00,0.039633,0.039791,0.037314,0.037439,14901623.13199152,0.0
jstusdt,HUOBI,2020-09-30 00:00:00,0.037454,0.03797,0.03605,0.036172,38106814.26590039,0.0
jstusdt,HUOBI,2020-10-01 00:00:00,0.036168,0.036271,0.035036,0.035423,35335242.05097607,0.0
jstusdt,HUOBI,2020-10-02 00:00:00,0.035423,0.035424,0.032144,0.033127,12889716.087639311,0.0
jstusdt,HUOBI,2020-10-03 00:00:00,0.033127,0.034549,0.032917,0.034298,21488537.35658102,0.0
jstusdt,HUOBI,2020-10-04 00:00:00,0.034298,0.034946,0.0321,0.032121,22521482.93833501,0.0
jstusdt,HUOBI,2020-10-05 00:00:00,0.032121,0.0335,0.031921,0.032704,29779002.237142656,0.0
jstusdt,HUOBI,2020-10-06 00:00:00,0.032707,0.033047,0.030137,0.031235,39688978.20531026,0.0
jstusdt,HUOBI,2020-10-07 00:00:00,0.031239,0.031464,0.026357,0.027272,33726541.15308508,0.0
jstusdt,HUOBI,2020-10-08 00:00:00,0.027271,0.029026,0.027112,0.02859,38536498.88156491,0.0
jstusdt,HUOBI,2020-10-09 00:00:00,0.028593,0.029789,0.028132,0.029632,38541402.94125173,0.0
jstusdt,HUOBI,2020-10-10 00:00:00,0.029636,0.030551,0.02913,0.030012,52217543.001094535,0.0
jstusdt,HUOBI,2020-10-11 00:00:00,0.03001,0.030194,0.028739,0.029248,34352485.69997536,0.0
jstusdt,HUOBI,2020-10-12 00:00:00,0.029241,0.029809,0.028479,0.029464,52978044.420225866,0.0
jstusdt,HUOBI,2020-10-13 00:00:00,0.029469,0.030359,0.0286,0.02884,41765774.41665869,0.0
jstusdt,HUOBI,2020-10-14 00:00:00,0.028827,0.029079,0.028049,0.028105,35781727.98531508,0.0
jstusdt,HUOBI,2020-10-15 00:00:00,0.028103,0.028317,0.027104,0.027471,37206337.80505054,0.0
jstusdt,HUOBI,2020-10-16 00:00:00,0.027472,0.027633,0.0258,0.026034,52857120.16348876,0.0
jstusdt,HUOBI,2020-10-17 00:00:00,0.026033,0.026369,0.02589,0.026039,30666943.041316733,0.0
jstusdt,HUOBI,2020-10-18 00:00:00,0.026039,0.026398,0.025707,0.026116,26562218.866489083,0.0
jstusdt,HUOBI,2020-10-19 00:00:00,0.026116,0.02692,0.025855,0.026628,40057407.061851,0.0
jstusdt,HUOBI,2020-10-20 00:00:00,0.026631,0.028,0.02506,0.027564,41764457.88492461,0.0
jstusdt,HUOBI,2020-10-21 00:00:00,0.02756,0.028,0.025014,0.026173,44820295.72492437,0.0
jstusdt,HUOBI,2020-10-22 00:00:00,0.026166,0.026343,0.0255,0.02607,53415021.71431027,0.0
jstusdt,HUOBI,2020-10-23 00:00:00,0.026071,0.026271,0.025666,0.025755,43434612.370641984,0.0
jstusdt,HUOBI,2020-10-24 00:00:00,0.025755,0.025935,0.025351,0.02546,40507401.33527927,0.0
jstusdt,HUOBI,2020-10-25 00:00:00,0.025458,0.026685,0.025386,0.02649,19442156.13312208,0.0
jstusdt,HUOBI,2020-10-26 00:00:00,0.026503,0.027078,0.026188,0.026218,14783277.569707856,0.0
jstusdt,HUOBI,2020-10-27 00:00:00,0.026217,0.02673,0.025834,0.026513,29399083.386151224,0.0
jstusdt,HUOBI,2020-10-28 00:00:00,0.026514,0.026547,0.025015,0.02566,26504386.25992781,0.0
jstusdt,HUOBI,2020-10-29 00:00:00,0.025647,0.025922,0.023601,0.024247,24100342.389047123,0.0
jstusdt,HUOBI,2020-10-30 00:00:00,0.024245,0.025,0.021617,0.022272,28317848.318058304,0.0
jstusdt,HUOBI,2020-10-31 00:00:00,0.022271,0.024531,0.021752,0.022767,29487762.47617499,0.0
jstusdt,HUOBI,2020-11-01 00:00:00,0.022768,0.02279,0.0218,0.022022,19974782.951300398,0.0
jstusdt,HUOBI,2020-11-02 00:00:00,0.022021,0.023131,0.019023,0.020134,14364133.053235851,0.0
jstusdt,HUOBI,2020-11-03 00:00:00,0.020137,0.02055,0.018229,0.018791,20708808.83639337,0.0
jstusdt,HUOBI,2020-11-04 00:00:00,0.018841,0.0196,0.0179,0.017912,20665308.433572307,0.0
