symbol,exchange,datetime,open,high,low,close,volume,open_interest
kavausdt,HUOBI,2020-11-18 00:00:00,1.3995,2.29,1.3995,1.6677,11063529.27654626,0.0
kavausdt,HUOBI,2020-11-19 00:00:00,1.6666,1.7311,1.602,1.679,12763174.641548265,0.0
kavausdt,HUOBI,2020-11-20 00:00:00,1.6792,1.95,1.6645,1.8079,13606623.653979506,0.0
kavausdt,HUOBI,2020-11-21 00:00:00,1.8078,1.9858,1.7743,1.9752,12821927.97871375,0.0
kavausdt,HUOBI,2020-11-22 00:00:00,1.9692,2.0644,1.7,1.8452,3852139.4233887536,0.0
kavausdt,HUOBI,2020-11-23 00:00:00,1.838,1.97,1.8,1.8806,13020956.604364865,0.0
kavausdt,HUOBI,2020-11-24 00:00:00,1.8841,2.373,1.8541,1.9624,14339076.676864518,0.0
kavausdt,HUOBI,2020-11-25 00:00:00,1.9611,2.11,1.8944,2.0412,12318844.50913645,0.0
kavausdt,HUOBI,2020-11-26 00:00:00,2.0393,2.0688,1.4789,1.5981,13219726.063663187,0.0
kavausdt,HUOBI,2020-11-27 00:00:00,1.5983,1.6445,1.4701,1.5094,9027462.53154444,0.0
kavausdt,HUOBI,2020-11-28 00:00:00,1.5064,1.6345,1.5017,1.6335,5564452.99990245,0.0
kavausdt,HUOBI,2020-11-29 00:00:00,1.6339,1.6975,1.58,1.676,5791844.46390493,0.0
kavausdt,HUOBI,2020-11-30 00:00:00,1.6779,1.6975,1.5999,1.6448,6474049.552219252,0.0
kavausdt,HUOBI,2020-12-01 00:00:00,1.6449,1.8091,1.48,1.67,6496283.33758525,0.0
kavausdt,HUOBI,2020-12-02 00:00:00,1.6703,1.73,1.6092,1.7026,5677956.425377166,0.0
kavausdt,HUOBI,2020-12-03 00:00:00,1.7015,1.8365,1.69,1.7838,5995997.65136155,0.0
kavausdt,HUOBI,2020-12-04 00:00:00,1.7842,1.82,1.6317,1.6872,5751991.32296923,0.0
kavausdt,HUOBI,2020-12-05 00:00:00,1.6855,1.7123,1.56,1.7104,5569709.2272071,0.0
kavausdt,HUOBI,2020-12-06 00:00:00,1.7101,1.7287,1.6112,1.6525,5500616.44631884,0.0
kavausdt,HUOBI,2020-12-07 00:00:00,1.6527,1.6712,1.618,1.6648,5393136.40542696,0.0
kavausdt,HUOBI,2020-12-08 00:00:00,1.6649,1.6934,1.5759,1.597,5854930.80174488,0.0
kavausdt,HUOBI,2020-12-09 00:00:00,1.5947,1.6173,1.4516,1.5398,5637584.08961281,0.0
kavausdt,HUOBI,2020-12-10 00:00:00,1.5396,1.557,1.468,1.4979,5701613.78282814,0.0
