symbol,exchange,datetime,open,high,low,close,volume,open_interest
kncusdt,HUOBI,2020-07-15 00:00:00,1.2515,1.77,1.2515,1.59,933329.6965545327,0.0
kncusdt,HUOBI,2020-07-16 00:00:00,1.5864,1.6212,1.4986,1.5886,414765.99963722,0.0
kncusdt,HUOBI,2020-07-17 00:00:00,1.5874,1.6303,1.5425,1.6155,297322.95378305,0.0
kncusdt,HUOBI,2020-07-18 00:00:00,1.6185,1.9238,1.5865,1.8078,1765987.6230345655,0.0
kncusdt,HUOBI,2020-07-19 00:00:00,1.8081,1.8544,1.6905,1.6964,1107088.6284040953,0.0
kncusdt,HUOBI,2020-07-20 00:00:00,1.6953,1.7843,1.6799,1.7188,677506.3737965306,0.0
kncusdt,HUOBI,2020-07-21 00:00:00,1.717,1.7258,1.6,1.6273,399603.16571202,0.0
kncusdt,HUOBI,2020-07-22 00:00:00,1.6276,1.7054,1.6094,1.6623,302496.39961138,0.0
kncusdt,HUOBI,2020-07-23 00:00:00,1.6613,1.69,1.6076,1.6223,306000.62257733,0.0
kncusdt,HUOBI,2020-07-24 00:00:00,1.6227,1.628,1.5723,1.6016,260176.75047129,0.0
kncusdt,HUOBI,2020-07-25 00:00:00,1.6027,1.6505,1.5368,1.5738,361365.35710207,0.0
kncusdt,HUOBI,2020-07-26 00:00:00,1.5733,1.5914,1.4749,1.477,459378.09785193,0.0
kncusdt,HUOBI,2020-07-27 00:00:00,1.4764,1.5363,1.2552,1.3349,440169.66245736,0.0
kncusdt,HUOBI,2020-07-28 00:00:00,1.3332,1.5139,1.2891,1.4911,861566.1274897257,0.0
kncusdt,HUOBI,2020-07-29 00:00:00,1.4931,1.5054,1.4214,1.445,353845.33651804,0.0
kncusdt,HUOBI,2020-07-30 00:00:00,1.445,1.5054,1.3878,1.4735,629699.8728965938,0.0
kncusdt,HUOBI,2020-07-31 00:00:00,1.473,1.5032,1.4292,1.4376,372202.25941121,0.0
kncusdt,HUOBI,2020-08-01 00:00:00,1.4391,1.5362,1.4327,1.4893,758726.36552471,0.0
kncusdt,HUOBI,2020-08-02 00:00:00,1.491,1.5051,1.2413,1.4162,820140.5145266007,0.0
kncusdt,HUOBI,2020-08-03 00:00:00,1.4166,1.4396,1.3811,1.4268,438451.47760801,0.0
kncusdt,HUOBI,2020-08-04 00:00:00,1.4281,1.4566,1.3742,1.4229,396692.91785842,0.0
kncusdt,HUOBI,2020-08-05 00:00:00,1.4215,1.6048,1.4144,1.5192,1384091.4494715182,0.0
kncusdt,HUOBI,2020-08-06 00:00:00,1.5192,1.6013,1.49,1.5618,1304345.2207217677,0.0
kncusdt,HUOBI,2020-08-07 00:00:00,1.5607,1.6519,1.5597,1.585,1146987.15304154,0.0
kncusdt,HUOBI,2020-08-08 00:00:00,1.5848,1.6246,1.4449,1.6006,1021486.05633167,0.0
kncusdt,HUOBI,2020-08-09 00:00:00,1.5994,1.7543,1.5524,1.7161,2942857.2933059884,0.0
kncusdt,HUOBI,2020-08-10 00:00:00,1.7181,1.8234,1.5882,1.7302,2943317.8103052904,0.0
kncusdt,HUOBI,2020-08-11 00:00:00,1.7314,1.7775,1.507,1.5603,1487352.97734696,0.0
kncusdt,HUOBI,2020-08-12 00:00:00,1.5633,1.7338,1.5013,1.691,2038620.463473097,0.0
kncusdt,HUOBI,2020-08-13 00:00:00,1.7044,1.9948,1.6051,1.9043,4439002.223753863,0.0
kncusdt,HUOBI,2020-08-14 00:00:00,1.9062,2.0511,1.63,1.9603,8426813.267498905,0.0
kncusdt,HUOBI,2020-08-15 00:00:00,1.9597,1.99,1.8138,1.8861,2976915.8624329665,0.0
kncusdt,HUOBI,2020-08-16 00:00:00,1.8861,1.8977,1.79,1.8525,1839252.25929991,0.0
kncusdt,HUOBI,2020-08-17 00:00:00,1.8514,1.9448,1.7516,1.7772,2505819.4276065836,0.0
kncusdt,HUOBI,2020-08-18 00:00:00,1.774,1.8414,1.6139,1.6727,2189526.013478273,0.0
kncusdt,HUOBI,2020-08-19 00:00:00,1.6686,1.7498,1.485,1.623,1580381.498240911,0.0
kncusdt,HUOBI,2020-08-20 00:00:00,1.6239,1.669,1.5325,1.6511,1356347.7503446562,0.0
kncusdt,HUOBI,2020-08-21 00:00:00,1.6506,1.9198,1.624,1.7315,5631831.691436969,0.0
kncusdt,HUOBI,2020-08-22 00:00:00,1.7327,1.752,1.5601,1.6874,1846259.0150747404,0.0
kncusdt,HUOBI,2020-08-23 00:00:00,1.688,1.7499,1.6406,1.6956,1500763.636868034,0.0
kncusdt,HUOBI,2020-08-24 00:00:00,1.6956,1.7749,1.6663,1.6999,1519468.6944249584,0.0
kncusdt,HUOBI,2020-08-25 00:00:00,1.698,1.7175,1.57,1.6131,1102208.0142278757,0.0
kncusdt,HUOBI,2020-08-26 00:00:00,1.613,1.6419,1.5315,1.6121,929255.109612351,0.0
kncusdt,HUOBI,2020-08-27 00:00:00,1.6118,1.6484,1.5322,1.5434,821173.99422778,0.0
kncusdt,HUOBI,2020-08-28 00:00:00,1.5427,1.6277,1.4936,1.6194,774763.54754138,0.0
kncusdt,HUOBI,2020-08-29 00:00:00,1.6184,1.63,1.5589,1.606,654031.74574439,0.0
