symbol,exchange,datetime,open,high,low,close,volume,open_interest
latusdt,HUOBI,2021-05-12 00:00:00,0.12,2.5,0.12,0.7076,249883717.92065865,0.0
latusdt,HUOBI,2021-05-13 00:00:00,0.7074,0.79,0.535,0.5919,47703617.12109302,0.0
latusdt,HUOBI,2021-05-14 00:00:00,0.5897,0.63,0.5231,0.5948,15966824.868767148,0.0
latusdt,HUOBI,2021-05-15 00:00:00,0.5949,0.5977,0.53,0.5427,7228756.376535517,0.0
latusdt,HUOBI,2021-05-16 00:00:00,0.5427,0.8,0.53,0.7352,21309188.53358548,0.0
latusdt,HUOBI,2021-05-17 00:00:00,0.7304,0.7434,0.535,0.5887,11321223.219475165,0.0
latusdt,HUOBI,2021-05-18 00:00:00,0.5896,0.71,0.5598,0.5934,11984282.00945332,0.0
latusdt,HUOBI,2021-05-19 00:00:00,0.5946,0.6283,0.4083,0.5,8321152.441500517,0.0
latusdt,HUOBI,2021-05-20 00:00:00,0.5009,0.55,0.3866,0.4801,8868473.638865586,0.0
latusdt,HUOBI,2021-05-21 00:00:00,0.4801,0.517,0.4,0.4023,4754961.881804112,0.0
latusdt,HUOBI,2021-05-22 00:00:00,0.4028,0.43,0.3001,0.3461,5459139.5582769085,0.0
latusdt,HUOBI,2021-05-23 00:00:00,0.3478,0.3601,0.231,0.2495,3001034.8129768884,0.0
latusdt,HUOBI,2021-05-24 00:00:00,0.2498,0.35,0.2,0.2913,3475703.8612321685,0.0
latusdt,HUOBI,2021-05-25 00:00:00,0.2913,0.3333,0.271,0.3047,1890569.8550605583,0.0
latusdt,HUOBI,2021-05-26 00:00:00,0.3049,0.3633,0.2871,0.3446,2324877.4851844315,0.0
latusdt,HUOBI,2021-05-27 00:00:00,0.3401,0.453,0.3368,0.3843,7178353.193821581,0.0
latusdt,HUOBI,2021-05-28 00:00:00,0.3876,0.4529,0.35,0.407,8243362.756702094,0.0
latusdt,HUOBI,2021-05-29 00:00:00,0.4066,0.44,0.3586,0.3693,3366392.961452057,0.0
latusdt,HUOBI,2021-05-30 00:00:00,0.3686,0.41,0.3618,0.3886,2126243.167129169,0.0
latusdt,HUOBI,2021-05-31 00:00:00,0.3899,0.4,0.3633,0.3853,1464077.34145388,0.0
latusdt,HUOBI,2021-06-01 00:00:00,0.3852,0.428,0.3704,0.3843,2703845.7948279446,0.0
latusdt,HUOBI,2021-06-02 00:00:00,0.3843,0.39,0.365,0.3894,1547831.0497403527,0.0
latusdt,HUOBI,2021-06-03 00:00:00,0.3895,0.39,0.37,0.3753,1583067.6411399909,0.0
latusdt,HUOBI,2021-06-04 00:00:00,0.3755,0.382,0.3299,0.3486,1510125.3357384263,0.0
latusdt,HUOBI,2021-06-05 00:00:00,0.3486,0.3583,0.3138,0.3298,1686267.1366938702,0.0
latusdt,HUOBI,2021-06-06 00:00:00,0.3297,0.3515,0.3173,0.3268,892891.90253732,0.0
latusdt,HUOBI,2021-06-07 00:00:00,0.3268,0.3272,0.312,0.3184,705365.3089352738,0.0
latusdt,HUOBI,2021-06-08 00:00:00,0.3193,0.3197,0.2511,0.261,1574128.84673958,0.0
latusdt,HUOBI,2021-06-09 00:00:00,0.2621,0.2966,0.2603,0.2925,822326.1683969486,0.0
latusdt,HUOBI,2021-06-10 00:00:00,0.2943,0.3133,0.277,0.279,937797.116766143,0.0
latusdt,HUOBI,2021-06-11 00:00:00,0.2792,0.3095,0.2722,0.2869,896921.8589086863,0.0
latusdt,HUOBI,2021-06-12 00:00:00,0.287,0.2878,0.253,0.2659,659133.5494446027,0.0
latusdt,HUOBI,2021-06-13 00:00:00,0.266,0.2998,0.2651,0.2721,755637.104702404,0.0
latusdt,HUOBI,2021-06-14 00:00:00,0.2726,0.3,0.2718,0.2979,708287.0206986221,0.0
latusdt,HUOBI,2021-06-15 00:00:00,0.2991,0.3,0.2699,0.2755,891511.1701241139,0.0
latusdt,HUOBI,2021-06-16 00:00:00,0.2752,0.286,0.2711,0.2728,497015.68514689,0.0
latusdt,HUOBI,2021-06-17 00:00:00,0.2731,0.3831,0.2722,0.333,5690392.289047082,0.0
latusdt,HUOBI,2021-06-18 00:00:00,0.333,0.376,0.3,0.3558,3985181.891080658,0.0
latusdt,HUOBI,2021-06-19 00:00:00,0.3543,0.5023,0.308,0.4433,9594255.812233796,0.0
latusdt,HUOBI,2021-06-20 00:00:00,0.4433,0.5572,0.3169,0.3706,15296463.641818183,0.0
latusdt,HUOBI,2021-06-21 00:00:00,0.3737,0.3753,0.2588,0.284,3722507.796977283,0.0
latusdt,HUOBI,2021-06-22 00:00:00,0.2863,0.2896,0.204,0.2404,3652626.338836765,0.0
latusdt,HUOBI,2021-06-23 00:00:00,0.2396,0.3102,0.2254,0.2559,3203825.3697372135,0.0
latusdt,HUOBI,2021-06-24 00:00:00,0.2566,0.2736,0.2503,0.2677,1716977.3827095174,0.0
latusdt,HUOBI,2021-06-25 00:00:00,0.2677,0.2792,0.23,0.2418,1345765.756222625,0.0
latusdt,HUOBI,2021-06-26 00:00:00,0.2416,0.2476,0.2226,0.2288,783078.5027344923,0.0
latusdt,HUOBI,2021-06-27 00:00:00,0.2289,0.27,0.2268,0.242,1823370.1718311114,0.0
latusdt,HUOBI,2021-06-28 00:00:00,0.241,0.2968,0.236,0.2815,1616967.0791050345,0.0
latusdt,HUOBI,2021-06-29 00:00:00,0.2827,0.2986,0.2638,0.289,1450546.9786208484,0.0
latusdt,HUOBI,2021-06-30 00:00:00,0.287,0.2913,0.2472,0.2485,1092200.4184301943,0.0
latusdt,HUOBI,2021-07-01 00:00:00,0.2482,0.2726,0.243,0.2456,1140514.8416793786,0.0
latusdt,HUOBI,2021-07-02 00:00:00,0.2458,0.2667,0.2347,0.2513,1439569.3768176835,0.0
latusdt,HUOBI,2021-07-03 00:00:00,0.2513,0.252,0.234,0.2416,1275641.7467117207,0.0
latusdt,HUOBI,2021-07-04 00:00:00,0.2428,0.2608,0.2355,0.2455,1559612.9546720574,0.0
latusdt,HUOBI,2021-07-05 00:00:00,0.2452,0.2468,0.22,0.2271,1193450.90113796,0.0
latusdt,HUOBI,2021-07-06 00:00:00,0.2272,0.247,0.221,0.2298,1525324.8433527744,0.0
latusdt,HUOBI,2021-07-07 00:00:00,0.2299,0.2333,0.2238,0.228,585401.4540760943,0.0
latusdt,HUOBI,2021-07-08 00:00:00,0.2281,0.2303,0.209,0.2126,736628.1305749639,0.0
latusdt,HUOBI,2021-07-09 00:00:00,0.2148,0.2172,0.2,0.2013,806063.677495104,0.0
