symbol,exchange,datetime,open,high,low,close,volume,open_interest
lbausdt,HUOBI,2019-04-10 00:00:00,0.04,0.071,0.04,0.058943,3449207.9827759075,0.0
lbausdt,HUOBI,2019-04-11 00:00:00,0.059295,0.065,0.04501,0.047911,2964556.6235795827,0.0
lbausdt,HUOBI,2019-04-12 00:00:00,0.047932,0.04955,0.044,0.046528,815179.0904608982,0.0
lbausdt,HUOBI,2019-04-13 00:00:00,0.046528,0.0615,0.045888,0.058373,1840281.7183548969,0.0
lbausdt,HUOBI,2019-04-14 00:00:00,0.0583,0.06,0.051128,0.056028,488836.9776356833,0.0
lbausdt,HUOBI,2019-04-15 00:00:00,0.0562,0.0599,0.053907,0.05509,462790.1281577414,0.0
lbausdt,HUOBI,2019-04-16 00:00:00,0.055125,0.055267,0.048999,0.05225,462409.53468462214,0.0
lbausdt,HUOBI,2019-04-17 00:00:00,0.052396,0.055555,0.050632,0.052221,228563.28275639535,0.0
lbausdt,HUOBI,2019-04-18 00:00:00,0.052222,0.053,0.04969,0.051861,425403.30182291433,0.0
lbausdt,HUOBI,2019-04-19 00:00:00,0.051831,0.064888,0.05031,0.057653,2043678.2967735904,0.0
lbausdt,HUOBI,2019-04-20 00:00:00,0.057837,0.0627,0.057,0.059056,574741.560285117,0.0
lbausdt,HUOBI,2019-04-21 00:00:00,0.059049,0.06,0.05413,0.056718,344956.6979902264,0.0
lbausdt,HUOBI,2019-04-22 00:00:00,0.056927,0.06298,0.056031,0.059182,363244.9155773564,0.0
lbausdt,HUOBI,2019-04-23 00:00:00,0.059053,0.063164,0.057128,0.061334,328485.96011733374,0.0
lbausdt,HUOBI,2019-04-24 00:00:00,0.061317,0.070879,0.06,0.06513,1565499.6970451127,0.0
lbausdt,HUOBI,2019-04-25 00:00:00,0.065032,0.065367,0.05891,0.062566,394847.81418168655,0.0
lbausdt,HUOBI,2019-04-26 00:00:00,0.062553,0.066776,0.057,0.061551,408424.4987239545,0.0
lbausdt,HUOBI,2019-04-27 00:00:00,0.061352,0.06208,0.0585,0.060115,262490.7969849111,0.0
lbausdt,HUOBI,2019-04-28 00:00:00,0.060135,0.062402,0.0566,0.057155,291016.3059213561,0.0
lbausdt,HUOBI,2019-04-29 00:00:00,0.057156,0.06,0.051001,0.055238,738589.7224500615,0.0
lbausdt,HUOBI,2019-04-30 00:00:00,0.055333,0.058443,0.055138,0.058097,264328.1380460527,0.0
lbausdt,HUOBI,2019-05-01 00:00:00,0.058091,0.059801,0.055667,0.05744,427129.17884698766,0.0
lbausdt,HUOBI,2019-05-02 00:00:00,0.057551,0.059,0.053,0.054613,327381.6490380757,0.0
lbausdt,HUOBI,2019-05-03 00:00:00,0.05461,0.059849,0.048,0.057413,422334.099780419,0.0
lbausdt,HUOBI,2019-05-04 00:00:00,0.057416,0.066622,0.057301,0.061916,559564.8745969093,0.0
lbausdt,HUOBI,2019-05-05 00:00:00,0.061973,0.064,0.05612,0.059361,334764.20167949924,0.0
lbausdt,HUOBI,2019-05-06 00:00:00,0.059329,0.0636,0.057435,0.060847,261172.90917768926,0.0
lbausdt,HUOBI,2019-05-07 00:00:00,0.06093,0.0638,0.058802,0.059177,403170.1755197588,0.0
lbausdt,HUOBI,2019-05-08 00:00:00,0.059362,0.060151,0.0495,0.052038,567523.2472425986,0.0
lbausdt,HUOBI,2019-05-09 00:00:00,0.052305,0.05283,0.0432,0.045322,448856.2092839912,0.0
lbausdt,HUOBI,2019-05-10 00:00:00,0.045293,0.0588,0.042,0.052188,739797.4392926558,0.0
lbausdt,HUOBI,2019-05-11 00:00:00,0.05234,0.056499,0.0499,0.051635,289815.4446525041,0.0
lbausdt,HUOBI,2019-05-12 00:00:00,0.051574,0.052908,0.046,0.046465,575929.7282720975,0.0
lbausdt,HUOBI,2019-05-13 00:00:00,0.046476,0.05,0.044,0.045609,447564.67037756945,0.0
lbausdt,HUOBI,2019-05-14 00:00:00,0.045408,0.04601,0.04,0.04186,1081821.6871279741,0.0
lbausdt,HUOBI,2019-05-15 00:00:00,0.041786,0.0466,0.041608,0.045496,593574.7805771319,0.0
lbausdt,HUOBI,2019-05-16 00:00:00,0.045505,0.051285,0.042236,0.046844,729624.2208705508,0.0
lbausdt,HUOBI,2019-05-17 00:00:00,0.046902,0.046912,0.0382,0.040212,336641.6396514489,0.0
lbausdt,HUOBI,2019-05-18 00:00:00,0.039712,0.043999,0.039712,0.041273,269451.0063549151,0.0
lbausdt,HUOBI,2019-05-19 00:00:00,0.041274,0.044001,0.040801,0.043906,222319.43773015685,0.0
lbausdt,HUOBI,2019-05-20 00:00:00,0.043906,0.043908,0.0405,0.041895,167526.75441185664,0.0
lbausdt,HUOBI,2019-05-21 00:00:00,0.041893,0.04558,0.0398,0.042256,726800.5403813306,0.0
lbausdt,HUOBI,2019-05-22 00:00:00,0.042213,0.048591,0.04,0.041234,897952.3165489378,0.0
lbausdt,HUOBI,2019-05-23 00:00:00,0.041104,0.042,0.0353,0.037336,497516.30296096264,0.0
lbausdt,HUOBI,2019-05-24 00:00:00,0.037312,0.041,0.037201,0.039364,562320.8235691009,0.0
lbausdt,HUOBI,2019-05-25 00:00:00,0.03933,0.041001,0.038955,0.039348,287541.5409140124,0.0
lbausdt,HUOBI,2019-05-26 00:00:00,0.039253,0.041,0.03903,0.039769,238200.7452942059,0.0
lbausdt,HUOBI,2019-05-27 00:00:00,0.039913,0.0438,0.039723,0.042081,538066.7504932072,0.0
lbausdt,HUOBI,2019-05-28 00:00:00,0.042136,0.042999,0.04,0.041422,337190.3273814974,0.0
lbausdt,HUOBI,2019-05-29 00:00:00,0.041324,0.0498,0.040567,0.046102,2225724.1140789557,0.0
lbausdt,HUOBI,2019-05-30 00:00:00,0.046103,0.049434,0.0435,0.044608,1358107.6079649134,0.0
lbausdt,HUOBI,2019-05-31 00:00:00,0.044752,0.044753,0.036538,0.040846,705050.0033256966,0.0
lbausdt,HUOBI,2019-06-01 00:00:00,0.040816,0.04335,0.038768,0.040166,319658.4323512181,0.0
lbausdt,HUOBI,2019-06-02 00:00:00,0.040044,0.041199,0.039078,0.0399,230487.26798303396,0.0
lbausdt,HUOBI,2019-06-03 00:00:00,0.0399,0.042,0.037911,0.039221,390763.40505293035,0.0
lbausdt,HUOBI,2019-06-04 00:00:00,0.03922,0.040999,0.035501,0.038552,316847.3401827923,0.0
lbausdt,HUOBI,2019-06-05 00:00:00,0.038566,0.040001,0.036023,0.036809,261699.52381442228,0.0
lbausdt,HUOBI,2019-06-06 00:00:00,0.036809,0.039295,0.036651,0.0386,213172.3737687233,0.0
lbausdt,HUOBI,2019-06-07 00:00:00,0.038625,0.0395,0.037283,0.039148,162286.0674743374,0.0
lbausdt,HUOBI,2019-06-08 00:00:00,0.039226,0.0394,0.035502,0.037317,278262.6955663845,0.0
lbausdt,HUOBI,2019-06-09 00:00:00,0.037307,0.0393,0.036334,0.038719,361640.91141610185,0.0
lbausdt,HUOBI,2019-06-10 00:00:00,0.03885,0.043,0.03724,0.042017,841655.9853512689,0.0
lbausdt,HUOBI,2019-06-11 00:00:00,0.041961,0.053523,0.04196,0.0528,3208168.5019067037,0.0
lbausdt,HUOBI,2019-06-12 00:00:00,0.052922,0.056499,0.0475,0.053752,2844426.017854534,0.0
lbausdt,HUOBI,2019-06-13 00:00:00,0.053795,0.057969,0.052,0.056058,1940067.901978471,0.0
lbausdt,HUOBI,2019-06-14 00:00:00,0.056005,0.05901,0.0535,0.055797,1034272.2092576924,0.0
lbausdt,HUOBI,2019-06-15 00:00:00,0.055659,0.055936,0.052,0.053556,656113.4587048606,0.0
lbausdt,HUOBI,2019-06-16 00:00:00,0.053656,0.053826,0.052,0.052565,504619.9196209906,0.0
lbausdt,HUOBI,2019-06-17 00:00:00,0.052544,0.055714,0.049,0.05315,994801.230462965,0.0
lbausdt,HUOBI,2019-06-18 00:00:00,0.053147,0.054891,0.050917,0.05366,450977.4861265474,0.0
lbausdt,HUOBI,2019-06-19 00:00:00,0.053624,0.0596,0.052556,0.053868,987467.2326585865,0.0
lbausdt,HUOBI,2019-06-20 00:00:00,0.053818,0.058,0.052613,0.054403,758453.2980280521,0.0
lbausdt,HUOBI,2019-06-21 00:00:00,0.054191,0.056,0.050888,0.053,654161.8249714586,0.0
lbausdt,HUOBI,2019-06-22 00:00:00,0.053218,0.053609,0.0502,0.051617,442885.06106702454,0.0
lbausdt,HUOBI,2019-06-23 00:00:00,0.051694,0.056,0.049,0.056,779583.9657025251,0.0
lbausdt,HUOBI,2019-06-24 00:00:00,0.056,0.056553,0.052065,0.05418,847359.0086631144,0.0
lbausdt,HUOBI,2019-06-25 00:00:00,0.054203,0.061095,0.054041,0.056583,1745446.8548604923,0.0
lbausdt,HUOBI,2019-06-26 00:00:00,0.05706,0.058691,0.054148,0.055001,1028560.4158989904,0.0
lbausdt,HUOBI,2019-06-27 00:00:00,0.055,0.057,0.051059,0.055203,946675.5662733947,0.0
lbausdt,HUOBI,2019-06-28 00:00:00,0.055204,0.057,0.049,0.054886,1160648.0093492095,0.0
lbausdt,HUOBI,2019-06-29 00:00:00,0.054868,0.057803,0.053543,0.054,918308.9430249084,0.0
lbausdt,HUOBI,2019-06-30 00:00:00,0.054,0.055701,0.0427,0.042748,4290181.95843147,0.0
lbausdt,HUOBI,2019-07-01 00:00:00,0.042748,0.043359,0.039,0.039916,1184097.5307437775,0.0
lbausdt,HUOBI,2019-07-02 00:00:00,0.039956,0.0464,0.039617,0.04586,1422842.8311030436,0.0
lbausdt,HUOBI,2019-07-03 00:00:00,0.04586,0.048996,0.043118,0.047539,1068167.609025019,0.0
lbausdt,HUOBI,2019-07-04 00:00:00,0.04754,0.058,0.045697,0.046197,4228238.956009457,0.0
lbausdt,HUOBI,2019-07-05 00:00:00,0.046197,0.047822,0.043,0.043514,1022719.9746568964,0.0
lbausdt,HUOBI,2019-07-06 00:00:00,0.043511,0.04373,0.041502,0.042292,676691.2856467741,0.0
lbausdt,HUOBI,2019-07-07 00:00:00,0.042089,0.04559,0.04168,0.042351,1041433.7261212703,0.0
lbausdt,HUOBI,2019-07-08 00:00:00,0.042236,0.042861,0.04027,0.040846,618417.9745172091,0.0
lbausdt,HUOBI,2019-07-09 00:00:00,0.040669,0.041059,0.037534,0.038999,1080752.7676048172,0.0
lbausdt,HUOBI,2019-07-10 00:00:00,0.038993,0.0452,0.035702,0.037773,3465650.6554733473,0.0
lbausdt,HUOBI,2019-07-11 00:00:00,0.037678,0.038998,0.031966,0.034133,627077.4268995075,0.0
lbausdt,HUOBI,2019-07-12 00:00:00,0.033816,0.034985,0.030159,0.032452,571669.8531222354,0.0
lbausdt,HUOBI,2019-07-13 00:00:00,0.032519,0.034236,0.0315,0.033045,412644.8940516661,0.0
lbausdt,HUOBI,2019-07-14 00:00:00,0.032909,0.0336,0.027804,0.027927,324567.1998566644,0.0
lbausdt,HUOBI,2019-07-15 00:00:00,0.027931,0.029175,0.024649,0.026538,430023.8093400721,0.0
