symbol,exchange,datetime,open,high,low,close,volume,open_interest
letusdt,HUOBI,2018-02-02 00:00:00,0.068,0.1263,0.068,0.1117,838388.8490592985,0.0
letusdt,HUOBI,2018-02-03 00:00:00,0.1117,0.115,0.089,0.1044,2782482.3290904947,0.0
letusdt,HUOBI,2018-02-04 00:00:00,0.1044,0.1061,0.0856,0.0857,7886819.575221274,0.0
letusdt,HUOBI,2018-02-05 00:00:00,0.0857,0.0892,0.0599,0.0624,5825607.767477706,0.0
letusdt,HUOBI,2018-02-06 00:00:00,0.0624,0.065,0.045,0.0583,4017407.510154654,0.0
letusdt,HUOBI,2018-02-07 00:00:00,0.0582,0.095,0.0528,0.0749,6722257.7624018835,0.0
letusdt,HUOBI,2018-02-08 00:00:00,0.0748,0.093,0.07,0.0719,8171602.9697560165,0.0
letusdt,HUOBI,2018-02-09 00:00:00,0.072,0.0764,0.0612,0.0727,5084204.957556547,0.0
letusdt,HUOBI,2018-02-10 00:00:00,0.0728,0.085,0.0671,0.0715,4391870.764143904,0.0
letusdt,HUOBI,2018-02-11 00:00:00,0.0716,0.0721,0.063,0.0693,2409944.38197758,0.0
letusdt,HUOBI,2018-02-12 00:00:00,0.0693,0.0775,0.0687,0.0729,2912385.016424914,0.0
letusdt,HUOBI,2018-02-13 00:00:00,0.0729,0.0731,0.0681,0.0701,2039738.58740692,0.0
letusdt,HUOBI,2018-02-14 00:00:00,0.0701,0.0776,0.0668,0.0744,3193062.195329949,0.0
letusdt,HUOBI,2018-02-15 00:00:00,0.0743,0.0788,0.07,0.0771,3514714.6200569035,0.0
letusdt,HUOBI,2018-02-16 00:00:00,0.0773,0.0784,0.0732,0.0782,2470253.4978099545,0.0
letusdt,HUOBI,2018-02-17 00:00:00,0.0782,0.0861,0.0754,0.0846,2809317.2627235167,0.0
letusdt,HUOBI,2018-02-18 00:00:00,0.0846,0.0994,0.0827,0.0908,5817961.341953291,0.0
letusdt,HUOBI,2018-02-19 00:00:00,0.0908,0.0916,0.0828,0.0869,3178210.9038142334,0.0
letusdt,HUOBI,2018-02-20 00:00:00,0.0871,0.095,0.0825,0.0861,3543701.819032298,0.0
letusdt,HUOBI,2018-02-21 00:00:00,0.0863,0.0864,0.072,0.0741,2708408.7043245155,0.0
letusdt,HUOBI,2018-02-22 00:00:00,0.0742,0.0797,0.0675,0.0714,2569408.941674703,0.0
letusdt,HUOBI,2018-02-23 00:00:00,0.0715,0.0734,0.0671,0.0733,2432832.73865914,0.0
letusdt,HUOBI,2018-02-24 00:00:00,0.0733,0.0739,0.0673,0.0687,2342317.84183441,0.0
