symbol,exchange,datetime,open,high,low,close,volume,open_interest
lhbusdt,HUOBI,2021-05-06 00:00:00,0.3763,0.8,0.3763,0.6314,29370534.806266703,0.0
lhbusdt,HUOBI,2021-05-07 00:00:00,0.6308,0.635,0.5,0.522,9625237.31124713,0.0
lhbusdt,HUOBI,2021-05-08 00:00:00,0.5208,0.5233,0.4457,0.4619,5472314.474537052,0.0
lhbusdt,HUOBI,2021-05-09 00:00:00,0.4619,0.5154,0.422,0.4561,5493900.111754441,0.0
lhbusdt,HUOBI,2021-05-10 00:00:00,0.4557,0.49,0.4099,0.4399,3586499.2453156104,0.0
lhbusdt,HUOBI,2021-05-11 00:00:00,0.4368,0.6188,0.4368,0.4802,14416888.303861985,0.0
lhbusdt,HUOBI,2021-05-12 00:00:00,0.4812,0.4822,0.42,0.446,3333430.741451629,0.0
lhbusdt,HUOBI,2021-05-13 00:00:00,0.446,0.46,0.32,0.346,3018974.0767002027,0.0
lhbusdt,HUOBI,2021-05-14 00:00:00,0.3505,0.3509,0.2851,0.3435,2934276.0684640897,0.0
lhbusdt,HUOBI,2021-05-15 00:00:00,0.3435,0.3443,0.2913,0.3003,1466075.9852261336,0.0
lhbusdt,HUOBI,2021-05-16 00:00:00,0.3006,0.38,0.2932,0.3094,5447612.306733851,0.0
lhbusdt,HUOBI,2021-05-17 00:00:00,0.307,0.3105,0.25,0.2621,1388115.8768841915,0.0
lhbusdt,HUOBI,2021-05-18 00:00:00,0.2648,0.2735,0.2201,0.2372,1343520.0809763856,0.0
lhbusdt,HUOBI,2021-05-19 00:00:00,0.2373,0.287,0.1201,0.1722,3017295.192398195,0.0
lhbusdt,HUOBI,2021-05-20 00:00:00,0.1722,0.1849,0.1363,0.18,1187770.234898174,0.0
lhbusdt,HUOBI,2021-05-21 00:00:00,0.1826,0.1826,0.128,0.1332,904297.9173808207,0.0
lhbusdt,HUOBI,2021-05-22 00:00:00,0.1302,0.145,0.1121,0.1214,702738.0585679949,0.0
lhbusdt,HUOBI,2021-05-23 00:00:00,0.1206,0.137,0.0912,0.0962,673190.01497117,0.0
lhbusdt,HUOBI,2021-05-24 00:00:00,0.0966,0.1133,0.0803,0.1078,614216.5579905306,0.0
lhbusdt,HUOBI,2021-05-25 00:00:00,0.1074,0.1858,0.107,0.1512,5852045.38016294,0.0
lhbusdt,HUOBI,2021-05-26 00:00:00,0.1516,0.1522,0.1314,0.1455,1390339.7950734212,0.0
lhbusdt,HUOBI,2021-05-27 00:00:00,0.1456,0.1456,0.1232,0.1379,891103.5942905083,0.0
lhbusdt,HUOBI,2021-05-28 00:00:00,0.1381,0.1387,0.1119,0.1222,502729.45023120835,0.0
lhbusdt,HUOBI,2021-05-29 00:00:00,0.1225,0.1298,0.1119,0.1192,510538.23443405,0.0
lhbusdt,HUOBI,2021-05-30 00:00:00,0.1196,0.1476,0.1196,0.126,1495714.527208477,0.0
lhbusdt,HUOBI,2021-05-31 00:00:00,0.1255,0.1427,0.1239,0.1299,1084174.1136236321,0.0
lhbusdt,HUOBI,2021-06-01 00:00:00,0.1298,0.1317,0.1202,0.1262,473381.3969930856,0.0
lhbusdt,HUOBI,2021-06-02 00:00:00,0.1264,0.137,0.1204,0.1317,619220.1054705367,0.0
lhbusdt,HUOBI,2021-06-03 00:00:00,0.1318,0.1319,0.1234,0.1301,363500.7334786164,0.0
lhbusdt,HUOBI,2021-06-04 00:00:00,0.1301,0.1307,0.1175,0.1215,309020.8912630071,0.0
lhbusdt,HUOBI,2021-06-05 00:00:00,0.1215,0.1215,0.1143,0.1166,281242.30756411,0.0
lhbusdt,HUOBI,2021-06-06 00:00:00,0.1163,0.117,0.1074,0.111,262397.69863483,0.0
lhbusdt,HUOBI,2021-06-07 00:00:00,0.1111,0.1111,0.0993,0.1073,347175.56008274,0.0
lhbusdt,HUOBI,2021-06-08 00:00:00,0.1069,0.1389,0.0986,0.1064,3119976.5537947845,0.0
lhbusdt,HUOBI,2021-06-09 00:00:00,0.1072,0.1119,0.1002,0.1101,666592.45028985,0.0
lhbusdt,HUOBI,2021-06-10 00:00:00,0.1103,0.1145,0.1066,0.1096,381727.5851710626,0.0
lhbusdt,HUOBI,2021-06-11 00:00:00,0.109,0.1092,0.1019,0.103,273434.48744006,0.0
lhbusdt,HUOBI,2021-06-12 00:00:00,0.1031,0.1058,0.09,0.0928,319138.81511269,0.0
lhbusdt,HUOBI,2021-06-13 00:00:00,0.0931,0.094,0.0815,0.0888,250838.06498467,0.0
lhbusdt,HUOBI,2021-06-14 00:00:00,0.089,0.1008,0.0856,0.0972,508900.46718435804,0.0
lhbusdt,HUOBI,2021-06-15 00:00:00,0.0972,0.1455,0.0942,0.1089,5932481.242099268,0.0
lhbusdt,HUOBI,2021-06-16 00:00:00,0.1092,0.1249,0.0974,0.1056,1671667.881503501,0.0
lhbusdt,HUOBI,2021-06-17 00:00:00,0.1057,0.1112,0.1001,0.1096,924398.6802340916,0.0
lhbusdt,HUOBI,2021-06-18 00:00:00,0.1097,0.184,0.109,0.1716,12461480.7960853,0.0
lhbusdt,HUOBI,2021-06-19 00:00:00,0.1713,0.195,0.1351,0.1547,7093690.5905813435,0.0
lhbusdt,HUOBI,2021-06-20 00:00:00,0.1546,0.155,0.1201,0.133,3268523.1583949635,0.0
lhbusdt,HUOBI,2021-06-21 00:00:00,0.134,0.168,0.0923,0.1083,6091180.080066641,0.0
lhbusdt,HUOBI,2021-06-22 00:00:00,0.1091,0.1091,0.0798,0.0877,1777286.8623225898,0.0
lhbusdt,HUOBI,2021-06-23 00:00:00,0.0874,0.102,0.0851,0.0948,1672483.0285947332,0.0
lhbusdt,HUOBI,2021-06-24 00:00:00,0.0949,0.0986,0.0851,0.0986,975666.8969591778,0.0
lhbusdt,HUOBI,2021-06-25 00:00:00,0.0981,0.1033,0.0861,0.0893,1182895.1755833128,0.0
lhbusdt,HUOBI,2021-06-26 00:00:00,0.089,0.097,0.08,0.0827,909764.4748740868,0.0
lhbusdt,HUOBI,2021-06-27 00:00:00,0.0829,0.0855,0.08,0.0846,557836.3543732042,0.0
lhbusdt,HUOBI,2021-06-28 00:00:00,0.0846,0.094,0.0832,0.0894,1288391.5165048577,0.0
lhbusdt,HUOBI,2021-06-29 00:00:00,0.0894,0.1048,0.0857,0.0968,1148966.3901863294,0.0
lhbusdt,HUOBI,2021-06-30 00:00:00,0.0965,0.1149,0.0908,0.093,1560364.6466928462,0.0
lhbusdt,HUOBI,2021-07-01 00:00:00,0.0931,0.1038,0.0859,0.091,842795.1991731772,0.0
lhbusdt,HUOBI,2021-07-02 00:00:00,0.091,0.0983,0.085,0.0884,718933.1501360592,0.0
lhbusdt,HUOBI,2021-07-03 00:00:00,0.0885,0.0932,0.0856,0.0906,318816.95860247,0.0
lhbusdt,HUOBI,2021-07-04 00:00:00,0.0905,0.0953,0.0863,0.0927,451798.99777427455,0.0
lhbusdt,HUOBI,2021-07-05 00:00:00,0.0928,0.0936,0.086,0.0876,342446.57432222,0.0
lhbusdt,HUOBI,2021-07-06 00:00:00,0.0873,0.093,0.085,0.0881,449730.9884161027,0.0
lhbusdt,HUOBI,2021-07-07 00:00:00,0.0884,0.0884,0.0851,0.0875,285628.6896918585,0.0
lhbusdt,HUOBI,2021-07-08 00:00:00,0.0878,0.0896,0.082,0.0881,344863.6579322951,0.0
lhbusdt,HUOBI,2021-07-09 00:00:00,0.0884,0.0892,0.0831,0.0848,200070.10636883735,0.0
