symbol,exchange,datetime,open,high,low,close,volume,open_interest
linausdt,HUOBI,2020-12-29 00:00:00,0.009815,0.023836,0.009815,0.011025,5972506.910608144,0.0
linausdt,HUOBI,2020-12-30 00:00:00,0.011051,0.012031,0.009985,0.010424,990306.5403870601,0.0
linausdt,HUOBI,2020-12-31 00:00:00,0.010424,0.011717,0.009009,0.010279,1022526.8993106213,0.0
linausdt,HUOBI,2021-01-01 00:00:00,0.010276,0.01111,0.01,0.010485,315587.9479463774,0.0
linausdt,HUOBI,2021-01-02 00:00:00,0.010486,0.0111,0.01,0.0111,320613.0225679349,0.0
linausdt,HUOBI,2021-01-03 00:00:00,0.0111,0.0114,0.010012,0.010703,429631.0078118855,0.0
linausdt,HUOBI,2021-01-04 00:00:00,0.010716,0.011859,0.010301,0.011666,590628.9838692126,0.0
linausdt,HUOBI,2021-01-05 00:00:00,0.011665,0.0168,0.0101,0.01621,1724203.58806186,0.0
linausdt,HUOBI,2021-01-06 00:00:00,0.01621,0.018301,0.015,0.015566,1660038.023751805,0.0
linausdt,HUOBI,2021-01-07 00:00:00,0.015598,0.015867,0.0139,0.015082,540834.9101787632,0.0
linausdt,HUOBI,2021-01-08 00:00:00,0.015081,0.017399,0.014,0.015446,701258.8213790173,0.0
linausdt,HUOBI,2021-01-09 00:00:00,0.015458,0.0165,0.0125,0.013509,1123079.0697028711,0.0
linausdt,HUOBI,2021-01-10 00:00:00,0.013507,0.0142,0.012886,0.013,572321.7676648991,0.0
linausdt,HUOBI,2021-01-11 00:00:00,0.013,0.015219,0.012499,0.013862,914879.9710548284,0.0
linausdt,HUOBI,2021-01-12 00:00:00,0.013862,0.015376,0.013212,0.013534,539640.0311637264,0.0
linausdt,HUOBI,2021-01-13 00:00:00,0.013536,0.015554,0.013536,0.015554,369994.7569478536,0.0
linausdt,HUOBI,2021-01-14 00:00:00,0.015536,0.018,0.015311,0.015319,644154.0052131463,0.0
linausdt,HUOBI,2021-01-15 00:00:00,0.015336,0.0173,0.01525,0.015292,566582.7957262876,0.0
linausdt,HUOBI,2021-01-16 00:00:00,0.015297,0.018,0.015246,0.016665,422626.9563943442,0.0
linausdt,HUOBI,2021-01-17 00:00:00,0.016665,0.02869,0.0161,0.026077,1699498.5610277671,0.0
linausdt,HUOBI,2021-01-18 00:00:00,0.026164,0.028893,0.022215,0.024396,1412086.9547513963,0.0
linausdt,HUOBI,2021-01-19 00:00:00,0.024408,0.02942,0.022,0.022717,966897.7799965215,0.0
linausdt,HUOBI,2021-01-20 00:00:00,0.022786,0.022843,0.020022,0.02016,441256.8113907866,0.0
linausdt,HUOBI,2021-01-21 00:00:00,0.020173,0.022275,0.02,0.020477,412499.3373945815,0.0
linausdt,HUOBI,2021-01-22 00:00:00,0.020508,0.023774,0.01911,0.022234,604579.3660474384,0.0
linausdt,HUOBI,2021-01-23 00:00:00,0.022203,0.023689,0.02125,0.022476,453773.8946887277,0.0
linausdt,HUOBI,2021-01-24 00:00:00,0.022446,0.023553,0.02178,0.02335,252003.44136373984,0.0
linausdt,HUOBI,2021-01-25 00:00:00,0.02343,0.041291,0.0232,0.034,4373651.387181801,0.0
linausdt,HUOBI,2021-01-26 00:00:00,0.034005,0.04678,0.033,0.033293,3745376.1518119047,0.0
linausdt,HUOBI,2021-01-27 00:00:00,0.033293,0.039999,0.03326,0.035292,1675089.3861470767,0.0
linausdt,HUOBI,2021-01-28 00:00:00,0.035269,0.039352,0.034,0.036395,1130989.400700073,0.0
linausdt,HUOBI,2021-01-29 00:00:00,0.03643,0.038494,0.032,0.0336,943479.6534441866,0.0
linausdt,HUOBI,2021-01-30 00:00:00,0.033676,0.037998,0.0322,0.035021,1158089.8015663049,0.0
linausdt,HUOBI,2021-01-31 00:00:00,0.035029,0.045,0.033936,0.039938,1462873.9546278426,0.0
linausdt,HUOBI,2021-02-01 00:00:00,0.039968,0.041674,0.036003,0.041082,847279.2470545823,0.0
linausdt,HUOBI,2021-02-02 00:00:00,0.041542,0.057999,0.04,0.05322,2461437.164992411,0.0
linausdt,HUOBI,2021-02-03 00:00:00,0.053264,0.067811,0.050774,0.066744,2739694.4020790593,0.0
linausdt,HUOBI,2021-02-04 00:00:00,0.066744,0.086585,0.065002,0.071861,5840038.524437342,0.0
linausdt,HUOBI,2021-02-05 00:00:00,0.071953,0.086,0.070042,0.074637,3790565.777673511,0.0
linausdt,HUOBI,2021-02-06 00:00:00,0.074841,0.0798,0.063099,0.0693,2895927.3427717276,0.0
linausdt,HUOBI,2021-02-07 00:00:00,0.069336,0.07295,0.064688,0.067002,1811761.795890131,0.0
linausdt,HUOBI,2021-02-08 00:00:00,0.067002,0.098115,0.065,0.078173,7223670.513966451,0.0
linausdt,HUOBI,2021-02-09 00:00:00,0.078201,0.08898,0.078201,0.08504,3369656.9941023663,0.0
linausdt,HUOBI,2021-02-10 00:00:00,0.085221,0.095,0.080106,0.081324,3241198.3274075994,0.0
linausdt,HUOBI,2021-02-11 00:00:00,0.081324,0.087,0.074001,0.086499,1928209.0113810701,0.0
linausdt,HUOBI,2021-02-12 00:00:00,0.0865,0.11469,0.082601,0.100951,5923372.301629148,0.0
linausdt,HUOBI,2021-02-13 00:00:00,0.100951,0.106452,0.093201,0.097188,2355297.7354963776,0.0
linausdt,HUOBI,2021-02-14 00:00:00,0.09716,0.102988,0.086001,0.088403,2004279.3663563435,0.0
linausdt,HUOBI,2021-02-15 00:00:00,0.088403,0.0954,0.072041,0.086329,2369588.467444525,0.0
linausdt,HUOBI,2021-02-16 00:00:00,0.086329,0.089174,0.078537,0.081213,1687387.154321499,0.0
linausdt,HUOBI,2021-02-17 00:00:00,0.080969,0.0855,0.076307,0.078763,1569755.2299484792,0.0
linausdt,HUOBI,2021-02-18 00:00:00,0.078764,0.083473,0.072954,0.074662,1652348.4500815512,0.0
linausdt,HUOBI,2021-02-19 00:00:00,0.07466,0.07799,0.06606,0.074305,1878512.1781595177,0.0
linausdt,HUOBI,2021-02-20 00:00:00,0.073668,0.087409,0.0705,0.082411,2430925.273022548,0.0
linausdt,HUOBI,2021-02-21 00:00:00,0.082245,0.082246,0.069356,0.074004,2238812.391080839,0.0
linausdt,HUOBI,2021-02-22 00:00:00,0.074004,0.079,0.058,0.06437,2071400.4429676568,0.0
linausdt,HUOBI,2021-02-23 00:00:00,0.064345,0.07932,0.054005,0.059613,2281976.9045028193,0.0
linausdt,HUOBI,2021-02-24 00:00:00,0.059709,0.0695,0.057039,0.067799,1685080.5523592161,0.0
linausdt,HUOBI,2021-02-25 00:00:00,0.067645,0.071813,0.062296,0.069173,1794368.6194594144,0.0
linausdt,HUOBI,2021-02-26 00:00:00,0.06904,0.073501,0.059477,0.064361,1429322.1958144486,0.0
linausdt,HUOBI,2021-02-27 00:00:00,0.064212,0.069854,0.062009,0.063177,745092.0806885232,0.0
linausdt,HUOBI,2021-02-28 00:00:00,0.063204,0.063717,0.051,0.052936,803431.2873233302,0.0
linausdt,HUOBI,2021-03-01 00:00:00,0.052964,0.061305,0.051003,0.061231,772745.0985225067,0.0
linausdt,HUOBI,2021-03-02 00:00:00,0.061251,0.113998,0.057353,0.080994,9890670.45636638,0.0
linausdt,HUOBI,2021-03-03 00:00:00,0.080993,0.095,0.0715,0.082794,4292481.325878563,0.0
linausdt,HUOBI,2021-03-04 00:00:00,0.082795,0.093636,0.079001,0.079457,3268363.049952914,0.0
linausdt,HUOBI,2021-03-05 00:00:00,0.079243,0.080674,0.073121,0.075653,1183544.1488222727,0.0
linausdt,HUOBI,2021-03-06 00:00:00,0.075658,0.081902,0.073,0.073004,1015669.7710003544,0.0
linausdt,HUOBI,2021-03-07 00:00:00,0.073052,0.076213,0.073001,0.075584,560382.4002086242,0.0
linausdt,HUOBI,2021-03-08 00:00:00,0.075648,0.078884,0.071569,0.075512,1038989.8232770764,0.0
linausdt,HUOBI,2021-03-09 00:00:00,0.075512,0.0886,0.073798,0.082651,2737030.921688121,0.0
linausdt,HUOBI,2021-03-10 00:00:00,0.082581,0.102798,0.078366,0.102169,4630338.6489857435,0.0
linausdt,HUOBI,2021-03-11 00:00:00,0.102165,0.105,0.088723,0.097617,3644367.489145073,0.0
linausdt,HUOBI,2021-03-12 00:00:00,0.09773,0.104406,0.089658,0.092732,3235233.782877647,0.0
linausdt,HUOBI,2021-03-13 00:00:00,0.092751,0.093648,0.084562,0.089935,1849184.1338690068,0.0
