symbol,exchange,datetime,open,high,low,close,volume,open_interest
linkusdt,HUOBI,2018-12-18 00:00:00,0.1925,0.2599,0.1925,0.247,222118.2359970889,0.0
linkusdt,HUOBI,2018-12-19 00:00:00,0.247,0.2907,0.2388,0.257,179818.8523581553,0.0
linkusdt,HUOBI,2018-12-20 00:00:00,0.257,0.37,0.256,0.3122,1341912.3651970786,0.0
linkusdt,HUOBI,2018-12-21 00:00:00,0.3122,0.336,0.3,0.3146,374347.154786,0.0
linkusdt,HUOBI,2018-12-22 00:00:00,0.3146,0.3239,0.2807,0.2994,135938.611136,0.0
linkusdt,HUOBI,2018-12-23 00:00:00,0.2994,0.3149,0.2938,0.3022,68137.197239,0.0
linkusdt,HUOBI,2018-12-24 00:00:00,0.3025,0.3269,0.2923,0.3032,82241.97626974153,0.0
linkusdt,HUOBI,2018-12-25 00:00:00,0.3076,0.3176,0.2833,0.2894,98524.1202158,0.0
linkusdt,HUOBI,2018-12-26 00:00:00,0.2894,0.3223,0.2629,0.2944,149436.115062,0.0
linkusdt,HUOBI,2018-12-27 00:00:00,0.2947,0.3037,0.2842,0.2868,14608.951484,0.0
linkusdt,HUOBI,2018-12-28 00:00:00,0.2869,0.2949,0.2592,0.2781,41223.152201195895,0.0
linkusdt,HUOBI,2018-12-29 00:00:00,0.28,0.3203,0.278,0.2979,32078.83805052697,0.0
linkusdt,HUOBI,2018-12-30 00:00:00,0.2979,0.319,0.2838,0.2964,39147.296768,0.0
linkusdt,HUOBI,2018-12-31 00:00:00,0.2959,0.2998,0.2852,0.2913,39037.471432,0.0
linkusdt,HUOBI,2019-01-01 00:00:00,0.2914,0.2996,0.2773,0.2959,9528.053718,0.0
linkusdt,HUOBI,2019-01-02 00:00:00,0.2965,0.3189,0.2877,0.3021,12982.269359197468,0.0
linkusdt,HUOBI,2019-01-03 00:00:00,0.3024,0.386,0.3008,0.3511,276692.92546886805,0.0
linkusdt,HUOBI,2019-01-04 00:00:00,0.3523,0.4419,0.3333,0.4058,722308.0826861619,0.0
linkusdt,HUOBI,2019-01-05 00:00:00,0.4058,0.4447,0.3819,0.3894,653587.7187670708,0.0
linkusdt,HUOBI,2019-01-06 00:00:00,0.388,0.4,0.36,0.3758,300275.61431230936,0.0
linkusdt,HUOBI,2019-01-07 00:00:00,0.3738,0.399,0.3701,0.3773,299025.99636307,0.0
linkusdt,HUOBI,2019-01-08 00:00:00,0.3772,0.39,0.36,0.3846,143764.91583165663,0.0
linkusdt,HUOBI,2019-01-09 00:00:00,0.3852,0.4297,0.365,0.4016,370790.30260546925,0.0
linkusdt,HUOBI,2019-01-10 00:00:00,0.4021,0.4204,0.3421,0.355,298192.1675353718,0.0
linkusdt,HUOBI,2019-01-11 00:00:00,0.3557,0.3945,0.3327,0.3945,267559.07390680077,0.0
linkusdt,HUOBI,2019-01-12 00:00:00,0.3944,0.469,0.3915,0.418,819024.7645781694,0.0
linkusdt,HUOBI,2019-01-13 00:00:00,0.4178,0.4286,0.3938,0.4021,218286.391362,0.0
linkusdt,HUOBI,2019-01-14 00:00:00,0.4022,0.4488,0.3678,0.4323,533859.8385320478,0.0
linkusdt,HUOBI,2019-01-15 00:00:00,0.4338,0.548,0.393,0.54,1050006.6397744822,0.0
linkusdt,HUOBI,2019-01-16 00:00:00,0.535,0.63,0.4706,0.477,1877025.5208661386,0.0
linkusdt,HUOBI,2019-01-17 00:00:00,0.477,0.5219,0.4601,0.4867,693782.58017518,0.0
linkusdt,HUOBI,2019-01-18 00:00:00,0.487,0.4892,0.46,0.4696,299380.356250792,0.0
linkusdt,HUOBI,2019-01-19 00:00:00,0.4694,0.4985,0.4657,0.4819,311139.27506517,0.0
linkusdt,HUOBI,2019-01-20 00:00:00,0.4818,0.49,0.451,0.4842,191063.69869446,0.0
linkusdt,HUOBI,2019-01-21 00:00:00,0.4849,0.4897,0.4625,0.4787,172036.95908213,0.0
linkusdt,HUOBI,2019-01-22 00:00:00,0.4797,0.5701,0.4786,0.5638,866946.8887257605,0.0
linkusdt,HUOBI,2019-01-23 00:00:00,0.5667,0.5667,0.5046,0.5133,572866.3178411953,0.0
linkusdt,HUOBI,2019-01-24 00:00:00,0.5128,0.535,0.4754,0.4898,490664.855985994,0.0
linkusdt,HUOBI,2019-01-25 00:00:00,0.4914,0.5154,0.4779,0.4893,350242.1555808028,0.0
linkusdt,HUOBI,2019-01-26 00:00:00,0.4888,0.4915,0.4723,0.475,203418.7416765,0.0
linkusdt,HUOBI,2019-01-27 00:00:00,0.475,0.4765,0.422,0.4265,619238.3075070281,0.0
linkusdt,HUOBI,2019-01-28 00:00:00,0.4264,0.4412,0.3524,0.3654,663742.2719700378,0.0
linkusdt,HUOBI,2019-01-29 00:00:00,0.3653,0.4379,0.3629,0.4332,836909.6412881921,0.0
linkusdt,HUOBI,2019-01-30 00:00:00,0.433,0.4629,0.4137,0.4232,704381.1543914832,0.0
linkusdt,HUOBI,2019-01-31 00:00:00,0.4232,0.438,0.395,0.4118,308919.5687119283,0.0
linkusdt,HUOBI,2019-02-01 00:00:00,0.4119,0.4249,0.3789,0.399,226518.21351834,0.0
linkusdt,HUOBI,2019-02-02 00:00:00,0.3991,0.428,0.3954,0.4047,157812.76164518905,0.0
linkusdt,HUOBI,2019-02-03 00:00:00,0.4051,0.4195,0.391,0.3972,126997.57331768906,0.0
linkusdt,HUOBI,2019-02-04 00:00:00,0.3972,0.41,0.3889,0.4041,95478.80689926977,0.0
linkusdt,HUOBI,2019-02-05 00:00:00,0.405,0.4077,0.3913,0.4021,134813.63130381514,0.0
linkusdt,HUOBI,2019-02-06 00:00:00,0.4018,0.4276,0.3932,0.4002,260993.05329705976,0.0
linkusdt,HUOBI,2019-02-07 00:00:00,0.4002,0.4054,0.39,0.4021,91108.3041882516,0.0
linkusdt,HUOBI,2019-02-08 00:00:00,0.4016,0.4229,0.3925,0.4229,217277.016526268,0.0
linkusdt,HUOBI,2019-02-09 00:00:00,0.423,0.488,0.4111,0.48,250020.80656292,0.0
linkusdt,HUOBI,2019-02-10 00:00:00,0.4837,0.4878,0.4584,0.4621,167680.35630787,0.0
linkusdt,HUOBI,2019-02-11 00:00:00,0.4618,0.4683,0.425,0.4299,299248.49397324,0.0
linkusdt,HUOBI,2019-02-12 00:00:00,0.43,0.4392,0.42,0.4229,178676.842262,0.0
linkusdt,HUOBI,2019-02-13 00:00:00,0.4229,0.436,0.4167,0.4175,199247.16913306,0.0
linkusdt,HUOBI,2019-02-14 00:00:00,0.4175,0.4433,0.4167,0.4297,206040.6882637772,0.0
linkusdt,HUOBI,2019-02-15 00:00:00,0.4299,0.4338,0.4213,0.4274,80410.29979607,0.0
linkusdt,HUOBI,2019-02-16 00:00:00,0.4273,0.4429,0.4269,0.4427,108386.084707,0.0
linkusdt,HUOBI,2019-02-17 00:00:00,0.4417,0.45,0.4305,0.4385,90364.087742316,0.0
linkusdt,HUOBI,2019-02-18 00:00:00,0.4381,0.4783,0.4355,0.477,285743.91484754,0.0
linkusdt,HUOBI,2019-02-19 00:00:00,0.4769,0.4798,0.4606,0.4653,198563.06674285,0.0
linkusdt,HUOBI,2019-02-20 00:00:00,0.4651,0.4732,0.445,0.4655,170425.76231027,0.0
linkusdt,HUOBI,2019-02-21 00:00:00,0.4656,0.4753,0.4403,0.4457,170447.78342242364,0.0
linkusdt,HUOBI,2019-02-22 00:00:00,0.4459,0.4562,0.44,0.4495,103800.55169977738,0.0
linkusdt,HUOBI,2019-02-23 00:00:00,0.4495,0.4588,0.436,0.4465,161088.63850988,0.0
linkusdt,HUOBI,2019-02-24 00:00:00,0.446,0.4651,0.3763,0.4044,337627.9412596508,0.0
linkusdt,HUOBI,2019-02-25 00:00:00,0.4038,0.4551,0.395,0.4551,228249.3399818,0.0
