symbol,exchange,datetime,open,high,low,close,volume,open_interest
lolusdt,HUOBI,2019-08-15 00:00:00,0.007003,0.007044,0.005312,0.005969,11788704.66325427,0.0
lolusdt,HUOBI,2019-08-16 00:00:00,0.005984,0.0068,0.00468,0.0053,10724852.8086463,0.0
lolusdt,HUOBI,2019-08-17 00:00:00,0.005299,0.005401,0.0043,0.004603,2139218.493733705,0.0
lolusdt,HUOBI,2019-08-18 00:00:00,0.004609,0.005502,0.00445,0.004555,4912443.37045283,0.0
lolusdt,HUOBI,2019-08-19 00:00:00,0.004577,0.004577,0.003878,0.003906,1810085.5727730468,0.0
lolusdt,HUOBI,2019-08-20 00:00:00,0.00392,0.0043,0.00365,0.004109,2042299.078430563,0.0
lolusdt,HUOBI,2019-08-21 00:00:00,0.004116,0.00433,0.003333,0.003476,2023449.3874160969,0.0
lolusdt,HUOBI,2019-08-22 00:00:00,0.00347,0.003655,0.00298,0.00328,1379519.6275958424,0.0
lolusdt,HUOBI,2019-08-23 00:00:00,0.003281,0.0035,0.003003,0.003378,671611.9207808075,0.0
lolusdt,HUOBI,2019-08-24 00:00:00,0.003375,0.00345,0.003069,0.003099,293361.7218357342,0.0
lolusdt,HUOBI,2019-08-25 00:00:00,0.003102,0.003112,0.002781,0.002788,559505.4219769922,0.0
lolusdt,HUOBI,2019-08-26 00:00:00,0.002801,0.003085,0.002751,0.002855,690563.6154324468,0.0
lolusdt,HUOBI,2019-08-27 00:00:00,0.00285,0.003029,0.002769,0.002919,563698.8856900275,0.0
lolusdt,HUOBI,2019-08-28 00:00:00,0.002915,0.0035,0.00258,0.003342,1849228.754865081,0.0
lolusdt,HUOBI,2019-08-29 00:00:00,0.003344,0.003631,0.002758,0.003209,2374760.8013775866,0.0
lolusdt,HUOBI,2019-08-30 00:00:00,0.003209,0.0038,0.002959,0.003636,1858032.3198577783,0.0
lolusdt,HUOBI,2019-08-31 00:00:00,0.003625,0.00416,0.003388,0.004,1208049.734594207,0.0
lolusdt,HUOBI,2019-09-01 00:00:00,0.003998,0.004368,0.00371,0.004305,2776539.1408486404,0.0
lolusdt,HUOBI,2019-09-02 00:00:00,0.004288,0.004852,0.003752,0.0041,11029575.01086911,0.0
lolusdt,HUOBI,2019-09-03 00:00:00,0.0041,0.004315,0.003288,0.003946,4150083.245408171,0.0
lolusdt,HUOBI,2019-09-04 00:00:00,0.003955,0.00425,0.003658,0.003814,2045361.6936183737,0.0
lolusdt,HUOBI,2019-09-05 00:00:00,0.003814,0.00407,0.00363,0.003758,1160808.5042833427,0.0
lolusdt,HUOBI,2019-09-06 00:00:00,0.003759,0.003888,0.00332,0.003495,357981.0509393441,0.0
lolusdt,HUOBI,2019-09-07 00:00:00,0.003513,0.0036,0.003357,0.003435,176519.60775018937,0.0
lolusdt,HUOBI,2019-09-08 00:00:00,0.003444,0.00375,0.003428,0.0036,650550.9631743421,0.0
lolusdt,HUOBI,2019-09-09 00:00:00,0.0036,0.003788,0.003584,0.003648,288869.29558428767,0.0
lolusdt,HUOBI,2019-09-10 00:00:00,0.003647,0.0055,0.003329,0.005072,6005896.875146102,0.0
lolusdt,HUOBI,2019-09-11 00:00:00,0.005072,0.005892,0.00412,0.004385,2225762.1122095664,0.0
lolusdt,HUOBI,2019-09-12 00:00:00,0.004389,0.005124,0.0043,0.004564,520199.8381086552,0.0
lolusdt,HUOBI,2019-09-13 00:00:00,0.004565,0.004639,0.0042,0.004348,252009.41471803025,0.0
lolusdt,HUOBI,2019-09-14 00:00:00,0.004349,0.004628,0.003974,0.004097,492623.49128591345,0.0
lolusdt,HUOBI,2019-09-15 00:00:00,0.004097,0.004098,0.0037,0.003811,210033.71576966363,0.0
lolusdt,HUOBI,2019-09-16 00:00:00,0.003811,0.003854,0.00345,0.00361,351843.0922669774,0.0
lolusdt,HUOBI,2019-09-17 00:00:00,0.003608,0.003609,0.003231,0.003473,299001.6810303786,0.0
lolusdt,HUOBI,2019-09-18 00:00:00,0.003469,0.003999,0.003469,0.003697,764301.8910923279,0.0
lolusdt,HUOBI,2019-09-19 00:00:00,0.003697,0.004027,0.003353,0.003483,472143.82205839286,0.0
lolusdt,HUOBI,2019-09-20 00:00:00,0.003484,0.003524,0.00335,0.003449,130184.68784783367,0.0
lolusdt,HUOBI,2019-09-21 00:00:00,0.003449,0.0037,0.00328,0.003431,170331.34642122855,0.0
lolusdt,HUOBI,2019-09-22 00:00:00,0.003428,0.003437,0.00328,0.003367,48736.700635092,0.0
lolusdt,HUOBI,2019-09-23 00:00:00,0.003362,0.003377,0.003003,0.003175,131610.31888704983,0.0
lolusdt,HUOBI,2019-09-24 00:00:00,0.003198,0.003231,0.002781,0.002788,141473.6891893657,0.0
lolusdt,HUOBI,2019-09-25 00:00:00,0.002788,0.002955,0.002036,0.002378,178264.5975191836,0.0
lolusdt,HUOBI,2019-09-26 00:00:00,0.002378,0.002748,0.002329,0.002458,112318.52831742623,0.0
lolusdt,HUOBI,2019-09-27 00:00:00,0.00246,0.002669,0.00239,0.002432,98614.21822038102,0.0
lolusdt,HUOBI,2019-09-28 00:00:00,0.002434,0.002621,0.002391,0.002487,141254.0864614639,0.0
lolusdt,HUOBI,2019-09-29 00:00:00,0.002488,0.002627,0.002428,0.002431,62908.88065540718,0.0
lolusdt,HUOBI,2019-09-30 00:00:00,0.002429,0.002466,0.002176,0.002309,96200.04651504036,0.0
lolusdt,HUOBI,2019-10-01 00:00:00,0.002321,0.002337,0.002201,0.002273,48068.5883999627,0.0
lolusdt,HUOBI,2019-10-02 00:00:00,0.002307,0.00231,0.002116,0.002243,40466.6495982248,0.0
lolusdt,HUOBI,2019-10-03 00:00:00,0.002243,0.002243,0.00203,0.002094,101752.60654332484,0.0
lolusdt,HUOBI,2019-10-04 00:00:00,0.002093,0.002397,0.002058,0.00227,135526.1423129806,0.0
lolusdt,HUOBI,2019-10-05 00:00:00,0.002286,0.002463,0.002198,0.00246,113801.79824529076,0.0
lolusdt,HUOBI,2019-10-06 00:00:00,0.002455,0.002478,0.002167,0.002284,70546.36361881878,0.0
lolusdt,HUOBI,2019-10-07 00:00:00,0.002283,0.002284,0.00212,0.00221,27559.5178919058,0.0
lolusdt,HUOBI,2019-10-08 00:00:00,0.002211,0.00225,0.0021,0.002151,50611.1908829451,0.0
lolusdt,HUOBI,2019-10-09 00:00:00,0.00215,0.002337,0.00211,0.002134,108740.3347493256,0.0
lolusdt,HUOBI,2019-10-10 00:00:00,0.00214,0.002328,0.002,0.00206,93860.57798916657,0.0
lolusdt,HUOBI,2019-10-11 00:00:00,0.002058,0.0021,0.0019,0.001924,62545.71052923889,0.0
lolusdt,HUOBI,2019-10-12 00:00:00,0.001929,0.002087,0.0019,0.001949,43622.6375923894,0.0
lolusdt,HUOBI,2019-10-13 00:00:00,0.001945,0.001996,0.0019,0.001961,34327.0016045494,0.0
lolusdt,HUOBI,2019-10-14 00:00:00,0.001964,0.001971,0.00188,0.001932,40893.7378906696,0.0
lolusdt,HUOBI,2019-10-15 00:00:00,0.001933,0.001997,0.00185,0.001978,49355.498341459024,0.0
lolusdt,HUOBI,2019-10-16 00:00:00,0.00198,0.00227,0.001775,0.001819,396449.7119266542,0.0
