symbol,exchange,datetime,open,high,low,close,volume,open_interest
lrcusdt,HUOBI,2020-09-15 00:00:00,0.2156,0.3055,0.2156,0.285,2912482.571537828,0.0
lrcusdt,HUOBI,2020-09-16 00:00:00,0.285,0.2877,0.227,0.237,691103.7891932175,0.0
lrcusdt,HUOBI,2020-09-17 00:00:00,0.2365,0.2584,0.2203,0.2304,501161.12562144,0.0
lrcusdt,HUOBI,2020-09-18 00:00:00,0.2305,0.2878,0.2251,0.2671,1608748.5271799827,0.0
lrcusdt,HUOBI,2020-09-19 00:00:00,0.2672,0.2725,0.2554,0.2595,372749.62861705,0.0
lrcusdt,HUOBI,2020-09-20 00:00:00,0.2595,0.2624,0.2419,0.2463,294279.51342066,0.0
lrcusdt,HUOBI,2020-09-21 00:00:00,0.2461,0.283,0.2296,0.2351,676447.11366105,0.0
lrcusdt,HUOBI,2020-09-22 00:00:00,0.2348,0.2595,0.2337,0.242,612758.8388652566,0.0
lrcusdt,HUOBI,2020-09-23 00:00:00,0.2422,0.2433,0.2281,0.2303,342983.65467517,0.0
lrcusdt,HUOBI,2020-09-24 00:00:00,0.2303,0.2379,0.2072,0.2223,351700.83384646237,0.0
lrcusdt,HUOBI,2020-09-25 00:00:00,0.222,0.2366,0.2148,0.2258,289743.44430943,0.0
lrcusdt,HUOBI,2020-09-26 00:00:00,0.226,0.2312,0.2177,0.2247,231476.52459748,0.0
lrcusdt,HUOBI,2020-09-27 00:00:00,0.2249,0.2294,0.2139,0.2184,293264.27204113,0.0
lrcusdt,HUOBI,2020-09-28 00:00:00,0.2188,0.2333,0.2135,0.2304,341604.71610809,0.0
lrcusdt,HUOBI,2020-09-29 00:00:00,0.2304,0.2342,0.2185,0.2193,376892.66245514,0.0
lrcusdt,HUOBI,2020-09-30 00:00:00,0.2194,0.2232,0.2109,0.2132,208480.8967154,0.0
lrcusdt,HUOBI,2020-10-01 00:00:00,0.2135,0.2249,0.2111,0.2128,208888.19456505,0.0
lrcusdt,HUOBI,2020-10-02 00:00:00,0.2128,0.22,0.1901,0.1995,323643.7293920194,0.0
lrcusdt,HUOBI,2020-10-03 00:00:00,0.1995,0.208,0.1926,0.2053,183989.1499462,0.0
lrcusdt,HUOBI,2020-10-04 00:00:00,0.2053,0.2084,0.1983,0.2024,158741.6734297,0.0
lrcusdt,HUOBI,2020-10-05 00:00:00,0.2023,0.2052,0.191,0.1927,232557.97964067,0.0
lrcusdt,HUOBI,2020-10-06 00:00:00,0.1927,0.195,0.1731,0.1823,262642.94458313,0.0
lrcusdt,HUOBI,2020-10-07 00:00:00,0.1823,0.1837,0.155,0.1628,270569.99651752,0.0
lrcusdt,HUOBI,2020-10-08 00:00:00,0.1629,0.1897,0.1591,0.1839,544485.9991219987,0.0
lrcusdt,HUOBI,2020-10-09 00:00:00,0.1838,0.1968,0.1785,0.1921,266753.5150603,0.0
lrcusdt,HUOBI,2020-10-10 00:00:00,0.1921,0.2061,0.1881,0.2013,369133.77082252,0.0
lrcusdt,HUOBI,2020-10-11 00:00:00,0.2013,0.2123,0.1927,0.1962,324849.91315271,0.0
lrcusdt,HUOBI,2020-10-12 00:00:00,0.1964,0.2002,0.1888,0.1983,236975.77362289987,0.0
lrcusdt,HUOBI,2020-10-13 00:00:00,0.1981,0.2032,0.1905,0.1914,246080.51050421,0.0
lrcusdt,HUOBI,2020-10-14 00:00:00,0.1914,0.1928,0.1792,0.1821,215011.01123449,0.0
lrcusdt,HUOBI,2020-10-15 00:00:00,0.182,0.1859,0.1764,0.1834,168704.08725979,0.0
lrcusdt,HUOBI,2020-10-16 00:00:00,0.1833,0.1852,0.1672,0.1716,246972.26768636,0.0
lrcusdt,HUOBI,2020-10-17 00:00:00,0.1716,0.1795,0.167,0.1733,188402.94678795,0.0
lrcusdt,HUOBI,2020-10-18 00:00:00,0.1732,0.1785,0.1688,0.1763,211259.63940495,0.0
lrcusdt,HUOBI,2020-10-19 00:00:00,0.1765,0.1793,0.1678,0.1717,365284.7906702,0.0
lrcusdt,HUOBI,2020-10-20 00:00:00,0.1717,0.1815,0.1571,0.1579,1133950.3590607,0.0
lrcusdt,HUOBI,2020-10-21 00:00:00,0.158,0.1713,0.1538,0.1703,9038812.60472347,0.0
lrcusdt,HUOBI,2020-10-22 00:00:00,0.1704,0.1818,0.1633,0.1722,1367482.87888476,0.0
lrcusdt,HUOBI,2020-10-23 00:00:00,0.1724,0.1749,0.1653,0.1662,1874466.80500009,0.0
lrcusdt,HUOBI,2020-10-24 00:00:00,0.1658,0.1696,0.1623,0.165,2550278.71133904,0.0
lrcusdt,HUOBI,2020-10-25 00:00:00,0.1651,0.1718,0.1644,0.1665,2556481.6632041,0.0
lrcusdt,HUOBI,2020-10-26 00:00:00,0.1665,0.1694,0.1544,0.1566,3162737.93474775,0.0
lrcusdt,HUOBI,2020-10-27 00:00:00,0.1561,0.1613,0.151,0.1592,3723737.48757394,0.0
lrcusdt,HUOBI,2020-10-28 00:00:00,0.1593,0.1616,0.1433,0.1452,976182.27563996,0.0
lrcusdt,HUOBI,2020-10-29 00:00:00,0.1452,0.1462,0.1304,0.1367,755991.6721197934,0.0
lrcusdt,HUOBI,2020-10-30 00:00:00,0.137,0.1376,0.1196,0.1223,728632.08790753,0.0
lrcusdt,HUOBI,2020-10-31 00:00:00,0.1222,0.1405,0.1202,0.1383,608880.74689866,0.0
lrcusdt,HUOBI,2020-11-01 00:00:00,0.1388,0.1532,0.136,0.1461,487404.160827112,0.0
lrcusdt,HUOBI,2020-11-02 00:00:00,0.1455,0.1542,0.1376,0.1401,650343.7672601,0.0
lrcusdt,HUOBI,2020-11-03 00:00:00,0.1399,0.1422,0.1291,0.1318,143667.57304747,0.0
lrcusdt,HUOBI,2020-11-04 00:00:00,0.1322,0.1337,0.1182,0.1221,126558.68434276,0.0
lrcusdt,HUOBI,2020-11-05 00:00:00,0.1212,0.1291,0.1148,0.1259,126580.56217379408,0.0
lrcusdt,HUOBI,2020-11-06 00:00:00,0.1257,0.1404,0.1201,0.1342,247797.68071335915,0.0
lrcusdt,HUOBI,2020-11-07 00:00:00,0.1341,0.16,0.1341,0.1474,488888.93620902,0.0
lrcusdt,HUOBI,2020-11-08 00:00:00,0.1474,0.1573,0.135,0.1549,398081.35337931,0.0
lrcusdt,HUOBI,2020-11-09 00:00:00,0.1551,0.17,0.1504,0.1512,419415.4171919551,0.0
lrcusdt,HUOBI,2020-11-10 00:00:00,0.1513,0.1663,0.1483,0.1608,301200.3693449,0.0
lrcusdt,HUOBI,2020-11-11 00:00:00,0.1608,0.2481,0.1605,0.2029,2898980.5501704146,0.0
lrcusdt,HUOBI,2020-11-12 00:00:00,0.2031,0.2076,0.1756,0.1849,967903.38582675,0.0
lrcusdt,HUOBI,2020-11-13 00:00:00,0.1853,0.1982,0.1727,0.1896,616305.8357257671,0.0
lrcusdt,HUOBI,2020-11-14 00:00:00,0.1892,0.1937,0.1728,0.1776,345859.61317265,0.0
lrcusdt,HUOBI,2020-11-15 00:00:00,0.1774,0.1878,0.1738,0.1862,375808.1191185,0.0
lrcusdt,HUOBI,2020-11-16 00:00:00,0.1864,0.1918,0.1707,0.1844,433471.4342839,0.0
lrcusdt,HUOBI,2020-11-17 00:00:00,0.1844,0.1902,0.1799,0.1825,322965.44529861,0.0
lrcusdt,HUOBI,2020-11-18 00:00:00,0.1825,0.1892,0.1695,0.1723,577306.4422194,0.0
lrcusdt,HUOBI,2020-11-19 00:00:00,0.1722,0.1842,0.1703,0.1831,430051.5086926994,0.0
lrcusdt,HUOBI,2020-11-20 00:00:00,0.1837,0.2,0.1733,0.193,844637.1354202748,0.0
lrcusdt,HUOBI,2020-11-21 00:00:00,0.1938,0.2072,0.1802,0.203,602769.42472707,0.0
lrcusdt,HUOBI,2020-11-22 00:00:00,0.2031,0.2039,0.1788,0.1907,793062.5307843684,0.0
lrcusdt,HUOBI,2020-11-23 00:00:00,0.1902,0.2026,0.1852,0.1909,804935.31425016,0.0
lrcusdt,HUOBI,2020-11-24 00:00:00,0.1907,0.22,0.1838,0.2064,1189792.7606572283,0.0
lrcusdt,HUOBI,2020-11-25 00:00:00,0.2063,0.2382,0.2044,0.2268,1528696.7475150782,0.0
lrcusdt,HUOBI,2020-11-26 00:00:00,0.2276,0.2289,0.1685,0.1824,885838.30809762,0.0
lrcusdt,HUOBI,2020-11-27 00:00:00,0.1827,0.195,0.17,0.1745,524144.20768458094,0.0
lrcusdt,HUOBI,2020-11-28 00:00:00,0.1742,0.1982,0.1731,0.1971,399214.9227834116,0.0
lrcusdt,HUOBI,2020-11-29 00:00:00,0.1972,0.2013,0.1869,0.1953,335896.02095452,0.0
lrcusdt,HUOBI,2020-11-30 00:00:00,0.1953,0.2005,0.1889,0.1935,414926.12254479,0.0
lrcusdt,HUOBI,2020-12-01 00:00:00,0.1938,0.2081,0.1819,0.1934,887780.01354203,0.0
lrcusdt,HUOBI,2020-12-02 00:00:00,0.1932,0.2,0.1852,0.1966,706486.50302549,0.0
lrcusdt,HUOBI,2020-12-03 00:00:00,0.1966,0.2038,0.1928,0.2006,391329.97308966034,0.0
lrcusdt,HUOBI,2020-12-04 00:00:00,0.2007,0.2023,0.1877,0.1909,677919.15024747,0.0
lrcusdt,HUOBI,2020-12-05 00:00:00,0.1907,0.1933,0.1796,0.1911,384442.8143103,0.0
lrcusdt,HUOBI,2020-12-06 00:00:00,0.1911,0.1954,0.1825,0.1867,256662.03530078,0.0
lrcusdt,HUOBI,2020-12-07 00:00:00,0.1867,0.1907,0.1837,0.1869,141537.68138794,0.0
lrcusdt,HUOBI,2020-12-08 00:00:00,0.1869,0.188,0.172,0.177,225204.14125053,0.0
lrcusdt,HUOBI,2020-12-09 00:00:00,0.1768,0.1992,0.1694,0.1955,633864.0406002757,0.0
lrcusdt,HUOBI,2020-12-10 00:00:00,0.1957,0.196,0.1738,0.1796,294745.77703507,0.0
lrcusdt,HUOBI,2020-12-11 00:00:00,0.1795,0.1798,0.1654,0.173,185623.23887924,0.0
lrcusdt,HUOBI,2020-12-12 00:00:00,0.1733,0.1762,0.1669,0.1711,99209.83049161,0.0
lrcusdt,HUOBI,2020-12-13 00:00:00,0.1719,0.1838,0.1711,0.176,175588.42045911,0.0
lrcusdt,HUOBI,2020-12-14 00:00:00,0.1761,0.18,0.1729,0.1768,87769.68237091,0.0
lrcusdt,HUOBI,2020-12-15 00:00:00,0.1769,0.1796,0.1739,0.1761,87821.52184796,0.0
lrcusdt,HUOBI,2020-12-16 00:00:00,0.1763,0.1774,0.1679,0.1761,391030.2869161888,0.0
lrcusdt,HUOBI,2020-12-17 00:00:00,0.1763,0.1788,0.1701,0.1781,617444.28468814,0.0
lrcusdt,HUOBI,2020-12-18 00:00:00,0.1783,0.1823,0.1682,0.1691,297808.49443494,0.0
lrcusdt,HUOBI,2020-12-19 00:00:00,0.1691,0.1789,0.1683,0.1745,257429.18489195732,0.0
lrcusdt,HUOBI,2020-12-20 00:00:00,0.1743,0.1751,0.1688,0.1723,228830.7628883765,0.0
lrcusdt,HUOBI,2020-12-21 00:00:00,0.1725,0.1752,0.1582,0.1629,785967.00747807,0.0
lrcusdt,HUOBI,2020-12-22 00:00:00,0.1623,0.1683,0.1545,0.1662,426847.36160754,0.0
lrcusdt,HUOBI,2020-12-23 00:00:00,0.1654,0.1671,0.1448,0.1488,211575.33063855,0.0
lrcusdt,HUOBI,2020-12-24 00:00:00,0.1488,0.1514,0.129,0.1475,257754.22402904517,0.0
lrcusdt,HUOBI,2020-12-25 00:00:00,0.1474,0.1586,0.1425,0.1489,143516.38492955,0.0
lrcusdt,HUOBI,2020-12-26 00:00:00,0.1492,0.1543,0.1451,0.1495,135188.27542811,0.0
lrcusdt,HUOBI,2020-12-27 00:00:00,0.1496,0.1596,0.1442,0.1569,211592.7338922186,0.0
lrcusdt,HUOBI,2020-12-28 00:00:00,0.157,0.1716,0.1523,0.1676,417336.18596484396,0.0
lrcusdt,HUOBI,2020-12-29 00:00:00,0.1691,0.186,0.1657,0.1765,809680.942363585,0.0
lrcusdt,HUOBI,2020-12-30 00:00:00,0.1764,0.2003,0.1731,0.1867,759806.2134950126,0.0
lrcusdt,HUOBI,2020-12-31 00:00:00,0.1868,0.1877,0.1669,0.1715,358992.32492588,0.0
