symbol,exchange,datetime,open,high,low,close,volume,open_interest
ltcusdt,HUOBI,2017-10-27 00:00:00,56.1,60.0,54.0,54.0,90446.035906,0.0
ltcusdt,HUOBI,2017-10-28 00:00:00,54.44,57.99,54.0,54.37,24460.760608,0.0
ltcusdt,HUOBI,2017-10-29 00:00:00,54.36,57.2,53.5,56.27,56344.808877,0.0
ltcusdt,HUOBI,2017-10-30 00:00:00,56.31,58.9,56.0,56.29,77966.695194,0.0
ltcusdt,HUOBI,2017-10-31 00:00:00,56.29,57.0,55.0,55.54,130603.262462,0.0
ltcusdt,HUOBI,2017-11-01 00:00:00,55.56,55.92,53.2,54.86,305845.97584914824,0.0
ltcusdt,HUOBI,2017-11-02 00:00:00,54.86,55.17,46.02,52.54,655997.4069853846,0.0
ltcusdt,HUOBI,2017-11-03 00:00:00,52.54,56.0,52.01,55.22,1387299.640954228,0.0
ltcusdt,HUOBI,2017-11-04 00:00:00,55.3,56.79,54.15,55.57,883052.5299173874,0.0
ltcusdt,HUOBI,2017-11-05 00:00:00,55.62,56.4,54.16,55.11,814432.1176622015,0.0
ltcusdt,HUOBI,2017-11-06 00:00:00,55.0,56.99,54.0,55.48,1485433.941610236,0.0
ltcusdt,HUOBI,2017-11-07 00:00:00,55.46,60.87,54.49,57.0,3949655.071771424,0.0
ltcusdt,HUOBI,2017-11-08 00:00:00,57.08,63.03,57.0,61.54,5235647.501877871,0.0
ltcusdt,HUOBI,2017-11-09 00:00:00,61.54,64.2,59.0,62.75,5680758.387293951,0.0
ltcusdt,HUOBI,2017-11-10 00:00:00,62.75,66.06,58.56,60.73,5680318.314978534,0.0
ltcusdt,HUOBI,2017-11-11 00:00:00,60.78,62.35,56.2,57.95,5227424.817123097,0.0
ltcusdt,HUOBI,2017-11-12 00:00:00,58.06,62.5,50.0,58.15,6636864.56914292,0.0
ltcusdt,HUOBI,2017-11-13 00:00:00,57.5,62.47,56.63,61.1,3507877.680245609,0.0
ltcusdt,HUOBI,2017-11-14 00:00:00,61.14,61.5,58.91,60.77,2980785.4845371684,0.0
ltcusdt,HUOBI,2017-11-15 00:00:00,60.78,64.85,60.72,63.21,3564672.0004727966,0.0
ltcusdt,HUOBI,2017-11-16 00:00:00,63.21,64.8,62.3,63.48,2527394.6115041855,0.0
ltcusdt,HUOBI,2017-11-17 00:00:00,63.45,72.71,62.63,67.33,8525043.917587498,0.0
ltcusdt,HUOBI,2017-11-18 00:00:00,67.31,69.25,64.7,66.85,3808461.6778683728,0.0
ltcusdt,HUOBI,2017-11-19 00:00:00,66.87,72.15,66.7,70.88,3930241.0001971517,0.0
ltcusdt,HUOBI,2017-11-20 00:00:00,70.84,75.0,69.58,71.73,4199935.122263652,0.0
ltcusdt,HUOBI,2017-11-21 00:00:00,71.75,72.93,68.0,71.78,3684229.025886154,0.0
ltcusdt,HUOBI,2017-11-22 00:00:00,71.77,71.89,69.3,70.92,2600955.3722519134,0.0
ltcusdt,HUOBI,2017-11-23 00:00:00,70.79,77.18,70.41,76.09,9051874.58384272,0.0
ltcusdt,HUOBI,2017-11-24 00:00:00,76.15,77.7,71.69,75.38,10604852.975001069,0.0
ltcusdt,HUOBI,2017-11-25 00:00:00,75.47,83.57,74.8,82.99,12541919.325741967,0.0
ltcusdt,HUOBI,2017-11-26 00:00:00,82.93,88.45,82.5,84.98,12404855.058189945,0.0
ltcusdt,HUOBI,2017-11-27 00:00:00,84.99,91.97,83.5,90.28,14582639.92024802,0.0
ltcusdt,HUOBI,2017-11-28 00:00:00,90.28,93.87,87.02,91.64,11989064.18697282,0.0
ltcusdt,HUOBI,2017-11-29 00:00:00,91.65,101.88,91.13,99.34,20028536.241112635,0.0
ltcusdt,HUOBI,2017-11-30 00:00:00,99.4,100.4,74.5,76.85,16181102.096599732,0.0
ltcusdt,HUOBI,2017-12-01 00:00:00,76.83,91.62,76.09,91.17,9740013.74537374,0.0
ltcusdt,HUOBI,2017-12-02 00:00:00,91.17,102.74,89.77,96.21,13206572.480106791,0.0
ltcusdt,HUOBI,2017-12-03 00:00:00,96.41,103.58,96.0,103.03,7086223.840855361,0.0
ltcusdt,HUOBI,2017-12-04 00:00:00,103.05,105.71,94.54,97.8,11639043.035481147,0.0
ltcusdt,HUOBI,2017-12-05 00:00:00,97.57,103.0,96.8,100.9,14348296.826049842,0.0
ltcusdt,HUOBI,2017-12-06 00:00:00,100.9,102.82,96.58,97.43,20181001.576259956,0.0
ltcusdt,HUOBI,2017-12-07 00:00:00,97.36,101.0,89.01,90.05,12498990.353612026,0.0
ltcusdt,HUOBI,2017-12-08 00:00:00,90.05,115.14,86.57,112.2,18590934.72712068,0.0
ltcusdt,HUOBI,2017-12-09 00:00:00,112.2,154.44,112.18,146.0,61441249.85470664,0.0
ltcusdt,HUOBI,2017-12-10 00:00:00,146.18,150.0,122.14,138.32,34382619.51382331,0.0
ltcusdt,HUOBI,2017-12-11 00:00:00,138.6,183.27,137.54,174.47,46811540.14913126,0.0
ltcusdt,HUOBI,2017-12-12 00:00:00,174.4,299.9,174.0,291.99,160921041.3874078,0.0
ltcusdt,HUOBI,2017-12-13 00:00:00,292.09,336.0,248.0,299.99,113421537.47324581,0.0
ltcusdt,HUOBI,2017-12-14 00:00:00,299.8,305.0,251.0,277.5,62866397.752142966,0.0
