symbol,exchange,datetime,open,high,low,close,volume,open_interest
lunausdt,HUOBI,2020-07-29 00:00:00,0.1206,0.405,0.1206,0.3617,5301759.161002956,0.0
lunausdt,HUOBI,2020-07-30 00:00:00,0.3615,0.374,0.3204,0.3346,4201867.505113682,0.0
lunausdt,HUOBI,2020-07-31 00:00:00,0.3344,0.3424,0.3,0.3027,1912413.5842422708,0.0
lunausdt,HUOBI,2020-08-01 00:00:00,0.3027,0.3199,0.2962,0.304,2070508.9111194937,0.0
lunausdt,HUOBI,2020-08-02 00:00:00,0.3043,0.3339,0.2778,0.3061,3879428.2024202165,0.0
lunausdt,HUOBI,2020-08-03 00:00:00,0.3064,0.355,0.3036,0.3292,2513059.351608755,0.0
lunausdt,HUOBI,2020-08-04 00:00:00,0.3293,0.3426,0.3104,0.3232,1549072.08242439,0.0
lunausdt,HUOBI,2020-08-05 00:00:00,0.3233,0.3526,0.3168,0.3353,2202907.1009511547,0.0
lunausdt,HUOBI,2020-08-06 00:00:00,0.3353,0.3685,0.3265,0.3491,2429128.5207311963,0.0
lunausdt,HUOBI,2020-08-07 00:00:00,0.3491,0.3541,0.34,0.3415,2552578.06950147,0.0
lunausdt,HUOBI,2020-08-08 00:00:00,0.3417,0.3849,0.33,0.38,1706205.0231464945,0.0
lunausdt,HUOBI,2020-08-09 00:00:00,0.38,0.41,0.3543,0.395,4687061.2189197745,0.0
lunausdt,HUOBI,2020-08-10 00:00:00,0.395,0.577,0.3927,0.5555,8604777.795356603,0.0
lunausdt,HUOBI,2020-08-11 00:00:00,0.5555,0.6368,0.49,0.5134,13072584.33921847,0.0
lunausdt,HUOBI,2020-08-12 00:00:00,0.5138,0.582,0.4928,0.539,9789128.001045624,0.0
lunausdt,HUOBI,2020-08-13 00:00:00,0.539,0.5713,0.521,0.5407,12343495.806180775,0.0
lunausdt,HUOBI,2020-08-14 00:00:00,0.5404,0.549,0.5011,0.5195,10339548.777938949,0.0
lunausdt,HUOBI,2020-08-15 00:00:00,0.5196,0.5351,0.5072,0.5139,1599170.4643103562,0.0
lunausdt,HUOBI,2020-08-16 00:00:00,0.514,0.5935,0.51,0.5607,7551869.041545289,0.0
lunausdt,HUOBI,2020-08-17 00:00:00,0.561,0.62,0.535,0.561,3360332.440015029,0.0
lunausdt,HUOBI,2020-08-18 00:00:00,0.561,0.582,0.52,0.5319,2468258.1083020903,0.0
lunausdt,HUOBI,2020-08-19 00:00:00,0.5324,0.653,0.485,0.5077,19748461.364544116,0.0
lunausdt,HUOBI,2020-08-20 00:00:00,0.5078,0.5378,0.495,0.5148,2154875.8879319136,0.0
lunausdt,HUOBI,2020-08-21 00:00:00,0.5155,0.5175,0.428,0.4529,3100005.4628330762,0.0
lunausdt,HUOBI,2020-08-22 00:00:00,0.4513,0.4963,0.413,0.4933,1627727.3209397444,0.0
lunausdt,HUOBI,2020-08-23 00:00:00,0.493,0.4931,0.4499,0.4668,4009201.3838440212,0.0
lunausdt,HUOBI,2020-08-24 00:00:00,0.4668,0.5068,0.4667,0.496,1695299.5481484516,0.0
lunausdt,HUOBI,2020-08-25 00:00:00,0.496,0.532,0.4761,0.4804,4313471.558019862,0.0
lunausdt,HUOBI,2020-08-26 00:00:00,0.4803,0.4942,0.45,0.491,2743850.9233281105,0.0
lunausdt,HUOBI,2020-08-27 00:00:00,0.491,0.5166,0.4721,0.4765,4204931.487167497,0.0
lunausdt,HUOBI,2020-08-28 00:00:00,0.4765,0.5535,0.4739,0.552,4144250.975015442,0.0
lunausdt,HUOBI,2020-08-29 00:00:00,0.5521,0.5698,0.5157,0.5338,5193105.250085528,0.0
lunausdt,HUOBI,2020-08-30 00:00:00,0.5338,0.5655,0.5244,0.5302,3721703.123880544,0.0
lunausdt,HUOBI,2020-08-31 00:00:00,0.5302,0.5365,0.51,0.5196,2760161.737165728,0.0
lunausdt,HUOBI,2020-09-01 00:00:00,0.5196,0.5196,0.47,0.4829,2994394.1445274632,0.0
lunausdt,HUOBI,2020-09-02 00:00:00,0.4832,0.489,0.4151,0.4367,2088485.2227402825,0.0
lunausdt,HUOBI,2020-09-03 00:00:00,0.4367,0.4496,0.396,0.4091,2056831.174802757,0.0
lunausdt,HUOBI,2020-09-04 00:00:00,0.4093,0.4115,0.36,0.3616,1762006.5777237809,0.0
lunausdt,HUOBI,2020-09-05 00:00:00,0.3624,0.3791,0.3319,0.3347,1125936.261577703,0.0
lunausdt,HUOBI,2020-09-06 00:00:00,0.3345,0.3353,0.3,0.3243,1115777.49399035,0.0
lunausdt,HUOBI,2020-09-07 00:00:00,0.3238,0.3376,0.3089,0.3179,1031880.1894355868,0.0
