symbol,exchange,datetime,open,high,low,close,volume,open_interest
manausdt,HUOBI,2019-08-09 00:00:00,0.0366,0.0474,0.0366,0.0403,175566.8445667407,0.0
manausdt,HUOBI,2019-08-10 00:00:00,0.0404,0.0446,0.0378,0.0383,113382.15335302,0.0
manausdt,HUOBI,2019-08-11 00:00:00,0.0383,0.0408,0.0378,0.0397,42643.47109,0.0
manausdt,HUOBI,2019-08-12 00:00:00,0.04,0.0411,0.0391,0.04,8812.71534203,0.0
manausdt,HUOBI,2019-08-13 00:00:00,0.0399,0.045,0.0388,0.0395,43002.748782,0.0
manausdt,HUOBI,2019-08-14 00:00:00,0.0393,0.0414,0.0379,0.0389,14239.507254,0.0
manausdt,HUOBI,2019-08-15 00:00:00,0.0393,0.0396,0.0335,0.0366,9777.300232,0.0
manausdt,HUOBI,2019-08-16 00:00:00,0.0363,0.0376,0.034,0.0357,4535.702594,0.0
manausdt,HUOBI,2019-08-17 00:00:00,0.0358,0.0363,0.0338,0.0353,18036.511691,0.0
manausdt,HUOBI,2019-08-18 00:00:00,0.0354,0.0374,0.0347,0.0368,7138.081407,0.0
manausdt,HUOBI,2019-08-19 00:00:00,0.037,0.0374,0.0358,0.0367,6196.679107,0.0
manausdt,HUOBI,2019-08-20 00:00:00,0.037,0.038,0.0353,0.0358,16751.871096,0.0
manausdt,HUOBI,2019-08-21 00:00:00,0.0358,0.0365,0.0329,0.0335,9751.258954,0.0
manausdt,HUOBI,2019-08-22 00:00:00,0.0336,0.0358,0.0328,0.0341,7578.609653,0.0
manausdt,HUOBI,2019-08-23 00:00:00,0.0342,0.0358,0.0339,0.0346,8516.006875,0.0
manausdt,HUOBI,2019-08-24 00:00:00,0.0346,0.0377,0.0343,0.0365,21414.11652609,0.0
manausdt,HUOBI,2019-08-25 00:00:00,0.0364,0.0386,0.0357,0.0362,45120.05153396,0.0
manausdt,HUOBI,2019-08-26 00:00:00,0.0363,0.0381,0.0347,0.0354,13819.854716,0.0
manausdt,HUOBI,2019-08-27 00:00:00,0.0354,0.0364,0.0343,0.0352,12704.357614,0.0
manausdt,HUOBI,2019-08-28 00:00:00,0.0351,0.036,0.034,0.0344,6826.81542881,0.0
manausdt,HUOBI,2019-08-29 00:00:00,0.0343,0.0352,0.0301,0.0309,9986.1481652,0.0
manausdt,HUOBI,2019-08-30 00:00:00,0.0308,0.0325,0.0305,0.0321,15713.51188829,0.0
manausdt,HUOBI,2019-08-31 00:00:00,0.0321,0.0328,0.0313,0.0317,2976.57199884,0.0
manausdt,HUOBI,2019-09-01 00:00:00,0.0316,0.0328,0.0306,0.031,3324.47116702,0.0
manausdt,HUOBI,2019-09-02 00:00:00,0.031,0.0325,0.0307,0.0311,7187.796744,0.0
manausdt,HUOBI,2019-09-03 00:00:00,0.031,0.0331,0.0308,0.032,8999.332405,0.0
manausdt,HUOBI,2019-09-04 00:00:00,0.0319,0.0411,0.0311,0.0351,154415.32997109691,0.0
manausdt,HUOBI,2019-09-05 00:00:00,0.0351,0.0383,0.0327,0.0334,48690.3026753,0.0
manausdt,HUOBI,2019-09-06 00:00:00,0.0334,0.034,0.0313,0.0317,18429.713805,0.0
manausdt,HUOBI,2019-09-07 00:00:00,0.0318,0.032,0.0304,0.0317,14184.31127,0.0
manausdt,HUOBI,2019-09-08 00:00:00,0.0317,0.0327,0.0313,0.032,17061.17038112,0.0
manausdt,HUOBI,2019-09-09 00:00:00,0.032,0.034,0.0311,0.0321,63966.9396906,0.0
manausdt,HUOBI,2019-09-10 00:00:00,0.032,0.0345,0.0316,0.0324,23962.68155812,0.0
manausdt,HUOBI,2019-09-11 00:00:00,0.0324,0.033,0.031,0.0314,9048.974612,0.0
manausdt,HUOBI,2019-09-12 00:00:00,0.0314,0.0322,0.0307,0.0311,2888.572145,0.0
manausdt,HUOBI,2019-09-13 00:00:00,0.0311,0.0317,0.0303,0.031,7806.983572,0.0
manausdt,HUOBI,2019-09-14 00:00:00,0.0309,0.0311,0.0303,0.0307,10161.494953,0.0
manausdt,HUOBI,2019-09-15 00:00:00,0.0307,0.0327,0.0305,0.0324,19699.779771,0.0
manausdt,HUOBI,2019-09-16 00:00:00,0.0324,0.0328,0.031,0.0313,7910.949087,0.0
manausdt,HUOBI,2019-09-17 00:00:00,0.0312,0.0336,0.031,0.0331,9530.697511,0.0
manausdt,HUOBI,2019-09-18 00:00:00,0.0332,0.0342,0.0321,0.0341,22505.725849,0.0
manausdt,HUOBI,2019-09-19 00:00:00,0.0341,0.0343,0.0321,0.0323,16562.461714,0.0
manausdt,HUOBI,2019-09-20 00:00:00,0.0323,0.037,0.0322,0.0334,13951.591457,0.0
manausdt,HUOBI,2019-09-21 00:00:00,0.0334,0.0348,0.033,0.0335,25480.158018,0.0
manausdt,HUOBI,2019-09-22 00:00:00,0.0336,0.0341,0.0321,0.0333,17266.008189,0.0
manausdt,HUOBI,2019-09-23 00:00:00,0.0333,0.0334,0.031,0.0316,17505.64709225,0.0
manausdt,HUOBI,2019-09-24 00:00:00,0.0316,0.0335,0.0295,0.0301,24216.54183272,0.0
manausdt,HUOBI,2019-09-25 00:00:00,0.0303,0.0308,0.0219,0.0262,20870.154904,0.0
manausdt,HUOBI,2019-09-26 00:00:00,0.0263,0.0313,0.0255,0.0258,12085.734971,0.0
manausdt,HUOBI,2019-09-27 00:00:00,0.0257,0.0278,0.0251,0.0269,13075.84533846,0.0
manausdt,HUOBI,2019-09-28 00:00:00,0.0269,0.028,0.0264,0.0266,12484.99113585,0.0
manausdt,HUOBI,2019-09-29 00:00:00,0.0267,0.0276,0.0256,0.0263,6232.719765,0.0
manausdt,HUOBI,2019-09-30 00:00:00,0.0263,0.028,0.0258,0.0275,12367.435893,0.0
manausdt,HUOBI,2019-10-01 00:00:00,0.0276,0.0306,0.0261,0.0273,1029277.206021,0.0
manausdt,HUOBI,2019-10-02 00:00:00,0.0271,0.0277,0.0265,0.0271,9362.455563,0.0
manausdt,HUOBI,2019-10-03 00:00:00,0.0271,0.0296,0.027,0.0275,15134.757415,0.0
manausdt,HUOBI,2019-10-04 00:00:00,0.0275,0.0297,0.0273,0.0294,7177.29648807,0.0
manausdt,HUOBI,2019-10-05 00:00:00,0.0296,0.031,0.029,0.0299,21912.916453,0.0
manausdt,HUOBI,2019-10-06 00:00:00,0.0297,0.0314,0.0281,0.0286,5989.104688,0.0
manausdt,HUOBI,2019-10-07 00:00:00,0.0286,0.0298,0.0273,0.0293,7786.264047,0.0
manausdt,HUOBI,2019-10-08 00:00:00,0.0292,0.034,0.0289,0.032,43801.17478651,0.0
manausdt,HUOBI,2019-10-09 00:00:00,0.032,0.0329,0.0296,0.0302,20146.911752,0.0
manausdt,HUOBI,2019-10-10 00:00:00,0.0301,0.0317,0.0292,0.0303,12736.917093,0.0
manausdt,HUOBI,2019-10-11 00:00:00,0.0305,0.0308,0.0283,0.0292,11833.626122,0.0
manausdt,HUOBI,2019-10-12 00:00:00,0.0293,0.0338,0.0287,0.0323,50677.57326229,0.0
manausdt,HUOBI,2019-10-13 00:00:00,0.0324,0.0328,0.0311,0.0322,10633.071219,0.0
manausdt,HUOBI,2019-10-14 00:00:00,0.0321,0.0333,0.0314,0.0331,10388.983227,0.0
manausdt,HUOBI,2019-10-15 00:00:00,0.0331,0.0338,0.0315,0.032,14923.49102941,0.0
manausdt,HUOBI,2019-10-16 00:00:00,0.0319,0.0343,0.0306,0.0317,39553.083071,0.0
manausdt,HUOBI,2019-10-17 00:00:00,0.0316,0.034,0.0307,0.0321,15345.28800221,0.0
