symbol,exchange,datetime,open,high,low,close,volume,open_interest
massusdt,HUOBI,2021-01-21 00:00:00,0.2,0.7,0.2,0.5218,10324637.332376871,0.0
massusdt,HUOBI,2021-01-22 00:00:00,0.5219,1.22,0.49,1.188,45663147.09123601,0.0
massusdt,HUOBI,2021-01-23 00:00:00,1.188,1.9251,1.1512,1.8366,64261778.014206335,0.0
massusdt,HUOBI,2021-01-24 00:00:00,1.8217,1.91,1.2819,1.5,29286761.086856242,0.0
massusdt,HUOBI,2021-01-25 00:00:00,1.5,1.5858,1.1027,1.1679,14882793.33939949,0.0
massusdt,HUOBI,2021-01-26 00:00:00,1.1659,1.2669,0.8269,1.2338,15697558.837921279,0.0
massusdt,HUOBI,2021-01-27 00:00:00,1.2337,1.328,0.8988,1.009,9978117.878304072,0.0
massusdt,HUOBI,2021-01-28 00:00:00,1.0089,1.0187,0.8479,0.934,6496643.664333704,0.0
massusdt,HUOBI,2021-01-29 00:00:00,0.934,0.97,0.82,0.8432,4178011.522765188,0.0
massusdt,HUOBI,2021-01-30 00:00:00,0.8423,0.8866,0.716,0.8489,4403497.806388765,0.0
massusdt,HUOBI,2021-01-31 00:00:00,0.85,1.0,0.85,0.8752,11479636.213446636,0.0
massusdt,HUOBI,2021-02-01 00:00:00,0.8752,0.9999,0.788,0.8245,6189183.619803699,0.0
massusdt,HUOBI,2021-02-02 00:00:00,0.8211,0.8407,0.7656,0.8061,2725062.4575652936,0.0
massusdt,HUOBI,2021-02-03 00:00:00,0.8066,0.89,0.765,0.8112,3203159.676831295,0.0
massusdt,HUOBI,2021-02-04 00:00:00,0.8112,0.8116,0.765,0.7836,2082147.8488815653,0.0
massusdt,HUOBI,2021-02-05 00:00:00,0.7838,0.84,0.712,0.8061,4941912.780334783,0.0
massusdt,HUOBI,2021-02-06 00:00:00,0.8066,1.1387,0.8066,1.0688,23654752.35510776,0.0
massusdt,HUOBI,2021-02-07 00:00:00,1.0689,1.18,0.9001,1.0218,8873527.91522061,0.0
massusdt,HUOBI,2021-02-08 00:00:00,1.0217,1.1078,0.908,1.06,6173824.650410613,0.0
massusdt,HUOBI,2021-02-09 00:00:00,1.0588,1.2,0.985,1.1436,7863092.566251846,0.0
massusdt,HUOBI,2021-02-10 00:00:00,1.1429,1.22,1.0755,1.0885,5687276.4039649945,0.0
massusdt,HUOBI,2021-02-11 00:00:00,1.0884,1.1997,1.04,1.1658,3754986.623780659,0.0
massusdt,HUOBI,2021-02-12 00:00:00,1.1657,1.46,1.16,1.4162,9990809.956631012,0.0
massusdt,HUOBI,2021-02-13 00:00:00,1.4163,1.53,1.33,1.4809,7279846.855971697,0.0
massusdt,HUOBI,2021-02-14 00:00:00,1.4815,1.4857,1.2213,1.2836,5210383.123728676,0.0
massusdt,HUOBI,2021-02-15 00:00:00,1.2837,1.3734,1.0041,1.2149,4750363.816156555,0.0
massusdt,HUOBI,2021-02-16 00:00:00,1.2154,1.245,1.0523,1.1417,2741871.4800420636,0.0
massusdt,HUOBI,2021-02-17 00:00:00,1.1437,1.39,1.1417,1.3498,7974347.561726202,0.0
massusdt,HUOBI,2021-02-18 00:00:00,1.3498,1.5,1.259,1.5,5776757.249146639,0.0
massusdt,HUOBI,2021-02-19 00:00:00,1.5,1.5,1.353,1.4264,3929400.845796919,0.0
massusdt,HUOBI,2021-02-20 00:00:00,1.4192,1.5555,1.29,1.4594,7061042.307242744,0.0
massusdt,HUOBI,2021-02-21 00:00:00,1.4597,1.6988,1.389,1.6732,9793305.927396666,0.0
massusdt,HUOBI,2021-02-22 00:00:00,1.6748,1.6988,1.1692,1.31,7530744.834698869,0.0
massusdt,HUOBI,2021-02-23 00:00:00,1.3186,1.4,0.8718,1.1055,6959154.207367978,0.0
massusdt,HUOBI,2021-02-24 00:00:00,1.1017,1.3435,1.1017,1.1766,7309436.670079086,0.0
massusdt,HUOBI,2021-02-25 00:00:00,1.1765,1.21,1.051,1.1628,3744417.8840931877,0.0
massusdt,HUOBI,2021-02-26 00:00:00,1.1628,1.1685,0.9,1.0187,2997106.1646015397,0.0
massusdt,HUOBI,2021-02-27 00:00:00,1.0198,1.1732,0.92,1.0468,3918451.8492292548,0.0
massusdt,HUOBI,2021-02-28 00:00:00,1.0462,1.0869,0.8555,0.8631,2163482.193374406,0.0
massusdt,HUOBI,2021-03-01 00:00:00,0.8594,0.9772,0.798,0.9707,2379596.2638697997,0.0
massusdt,HUOBI,2021-03-02 00:00:00,0.9707,0.9707,0.9,0.9373,1797895.2638918983,0.0
massusdt,HUOBI,2021-03-03 00:00:00,0.9373,1.05,0.86,0.9595,2886153.475630187,0.0
massusdt,HUOBI,2021-03-04 00:00:00,0.9618,1.0789,0.9596,1.0641,3334017.3780128807,0.0
massusdt,HUOBI,2021-03-05 00:00:00,1.0638,1.0675,0.91,0.9766,1689402.1801758953,0.0
massusdt,HUOBI,2021-03-06 00:00:00,0.9765,1.1,0.89,0.9492,4106400.6046494357,0.0
massusdt,HUOBI,2021-03-07 00:00:00,0.942,0.9848,0.9264,0.9763,1272568.0275273903,0.0
massusdt,HUOBI,2021-03-08 00:00:00,0.9762,0.9794,0.9015,0.9445,1282239.1842656708,0.0
massusdt,HUOBI,2021-03-09 00:00:00,0.9444,0.9988,0.9225,0.9929,1572256.68063057,0.0
massusdt,HUOBI,2021-03-10 00:00:00,0.993,1.0864,0.92,1.02,3968809.590161208,0.0
massusdt,HUOBI,2021-03-11 00:00:00,1.02,1.021,0.9135,0.9459,1560194.7579579407,0.0
massusdt,HUOBI,2021-03-12 00:00:00,0.949,0.9633,0.9,0.9342,1589714.4653441124,0.0
massusdt,HUOBI,2021-03-13 00:00:00,0.932,1.0446,0.9039,1.0104,2225075.831832293,0.0
massusdt,HUOBI,2021-03-14 00:00:00,1.0142,1.17,0.93,1.1174,5840290.316532048,0.0
massusdt,HUOBI,2021-03-15 00:00:00,1.1124,1.198,1.04,1.0755,4162265.487162832,0.0
massusdt,HUOBI,2021-03-16 00:00:00,1.0755,1.0881,1.0002,1.0529,1681395.1019751062,0.0
massusdt,HUOBI,2021-03-17 00:00:00,1.0537,1.1063,1.02,1.072,1966726.366315375,0.0
massusdt,HUOBI,2021-03-18 00:00:00,1.0715,1.189,1.0129,1.1801,3289100.3475620695,0.0
massusdt,HUOBI,2021-03-19 00:00:00,1.1819,1.1848,1.1,1.1359,1799037.3850346464,0.0
massusdt,HUOBI,2021-03-20 00:00:00,1.1373,1.23,1.1226,1.2043,2451386.690436209,0.0
massusdt,HUOBI,2021-03-21 00:00:00,1.2046,1.2124,1.0411,1.0982,1984911.8033700467,0.0
massusdt,HUOBI,2021-03-22 00:00:00,1.0996,1.1196,1.034,1.057,1624764.3375113497,0.0
massusdt,HUOBI,2021-03-23 00:00:00,1.0569,1.0585,0.8502,0.9457,2027680.6245756045,0.0
massusdt,HUOBI,2021-03-24 00:00:00,0.9403,0.97,0.8701,0.9454,1365375.4408720622,0.0
massusdt,HUOBI,2021-03-25 00:00:00,0.9454,1.1035,0.89,1.0133,6692250.274565602,0.0
massusdt,HUOBI,2021-03-26 00:00:00,1.0115,1.09,0.9051,1.0086,2913526.3841533647,0.0
massusdt,HUOBI,2021-03-27 00:00:00,1.0086,1.1913,0.978,1.135,5389302.958614043,0.0
massusdt,HUOBI,2021-03-28 00:00:00,1.1339,1.3666,1.1339,1.2583,8464185.476965124,0.0
massusdt,HUOBI,2021-03-29 00:00:00,1.2489,1.335,1.1604,1.2113,4352417.115740267,0.0
massusdt,HUOBI,2021-03-30 00:00:00,1.2121,1.2322,1.1513,1.2067,2719318.6166386907,0.0
massusdt,HUOBI,2021-03-31 00:00:00,1.2081,1.2688,1.0277,1.15,4245595.781038806,0.0
massusdt,HUOBI,2021-04-01 00:00:00,1.15,1.1539,1.0564,1.1202,2474744.784479845,0.0
massusdt,HUOBI,2021-04-02 00:00:00,1.1204,1.22,1.0621,1.1513,3116258.06581528,0.0
massusdt,HUOBI,2021-04-03 00:00:00,1.147,1.152,1.09,1.1091,1760697.9787067105,0.0
massusdt,HUOBI,2021-04-04 00:00:00,1.1114,1.1114,1.0072,1.0714,2207265.5224803747,0.0
massusdt,HUOBI,2021-04-05 00:00:00,1.07,1.1184,1.003,1.0926,1820690.9885877892,0.0
