symbol,exchange,datetime,open,high,low,close,volume,open_interest
mdxusdt,HUOBI,2021-01-26 00:00:00,0.5,4.0,0.5,3.5985,55666350.98126151,0.0
mdxusdt,HUOBI,2021-01-27 00:00:00,3.5985,3.6342,2.99,3.6,44023025.36483079,0.0
mdxusdt,HUOBI,2021-01-28 00:00:00,3.5998,3.8888,3.08,3.5953,45151435.3365016,0.0
mdxusdt,HUOBI,2021-01-29 00:00:00,3.5931,3.6,3.02,3.0563,35320581.35671477,0.0
mdxusdt,HUOBI,2021-01-30 00:00:00,3.0553,3.5,2.36,3.3039,42590582.57678291,0.0
mdxusdt,HUOBI,2021-01-31 00:00:00,3.2921,3.7772,2.94,3.3857,54954238.016339205,0.0
mdxusdt,HUOBI,2021-02-01 00:00:00,3.3857,3.55,3.1586,3.3432,42639780.17657506,0.0
mdxusdt,HUOBI,2021-02-02 00:00:00,3.3437,3.5319,3.23,3.3089,39962186.598751634,0.0
mdxusdt,HUOBI,2021-02-03 00:00:00,3.3087,3.4753,2.75,2.9294,52580604.952742815,0.0
mdxusdt,HUOBI,2021-02-04 00:00:00,2.9294,3.0189,2.6688,2.6973,31657852.935828295,0.0
mdxusdt,HUOBI,2021-02-05 00:00:00,2.6973,2.889,2.5198,2.766,34653759.407992736,0.0
mdxusdt,HUOBI,2021-02-06 00:00:00,2.7662,2.8,2.607,2.6503,28430432.228341024,0.0
mdxusdt,HUOBI,2021-02-07 00:00:00,2.6503,2.75,2.62,2.6427,23824908.943437643,0.0
mdxusdt,HUOBI,2021-02-08 00:00:00,2.6427,2.7777,2.55,2.5774,25707519.596884537,0.0
mdxusdt,HUOBI,2021-02-09 00:00:00,2.5719,3.0034,2.43,2.8227,38756906.17204097,0.0
mdxusdt,HUOBI,2021-02-10 00:00:00,2.8211,3.55,2.7558,3.1407,79179800.93684822,0.0
mdxusdt,HUOBI,2021-02-11 00:00:00,3.1366,3.695,3.11,3.6744,71731090.1432299,0.0
mdxusdt,HUOBI,2021-02-12 00:00:00,3.6744,3.6777,3.3549,3.4208,72704833.87598635,0.0
mdxusdt,HUOBI,2021-02-13 00:00:00,3.4209,3.5502,3.29,3.422,71773534.14750025,0.0
mdxusdt,HUOBI,2021-02-14 00:00:00,3.4218,3.45,3.08,3.1029,62007380.492296524,0.0
mdxusdt,HUOBI,2021-02-15 00:00:00,3.1027,3.31,2.85,3.1357,58729042.37174711,0.0
mdxusdt,HUOBI,2021-02-16 00:00:00,3.138,3.1484,2.9044,2.967,53011121.324753985,0.0
mdxusdt,HUOBI,2021-02-17 00:00:00,2.9669,3.49,2.9,3.4594,63305810.33372418,0.0
mdxusdt,HUOBI,2021-02-18 00:00:00,3.4573,5.4,3.34,5.0624,147205358.32663333,0.0
mdxusdt,HUOBI,2021-02-19 00:00:00,5.0624,6.1,4.183,5.6999,275539153.3181146,0.0
mdxusdt,HUOBI,2021-02-20 00:00:00,5.6916,6.9,5.35,5.55,366843287.9515677,0.0
mdxusdt,HUOBI,2021-02-21 00:00:00,5.55,7.6539,5.32,7.5753,434621488.2107057,0.0
mdxusdt,HUOBI,2021-02-22 00:00:00,7.5743,10.239,7.15,9.3,471302623.68618155,0.0
mdxusdt,HUOBI,2021-02-23 00:00:00,9.3,9.71,6.5558,8.3327,269133539.4549822,0.0
mdxusdt,HUOBI,2021-02-24 00:00:00,8.3327,8.963,7.7211,8.147,160673965.14430526,0.0
mdxusdt,HUOBI,2021-02-25 00:00:00,8.1346,8.31,7.02,7.5009,96638230.93977295,0.0
mdxusdt,HUOBI,2021-02-26 00:00:00,7.5007,7.5145,5.6001,6.4744,102653623.18415664,0.0
mdxusdt,HUOBI,2021-02-27 00:00:00,6.4744,6.5662,5.7,6.0035,67563467.74258527,0.0
mdxusdt,HUOBI,2021-02-28 00:00:00,6.0047,6.0497,4.2003,4.4153,74688460.5211935,0.0
mdxusdt,HUOBI,2021-03-01 00:00:00,4.4153,5.175,4.2001,4.9404,80362240.24703822,0.0
mdxusdt,HUOBI,2021-03-02 00:00:00,4.9404,5.0824,4.44,4.985,79085435.34258857,0.0
mdxusdt,HUOBI,2021-03-03 00:00:00,4.985,6.089,4.63,5.42,106885055.02228017,0.0
mdxusdt,HUOBI,2021-03-04 00:00:00,5.4199,6.1888,5.4102,5.5501,104802183.19139177,0.0
mdxusdt,HUOBI,2021-03-05 00:00:00,5.55,5.5598,4.63,4.9447,51891849.90370689,0.0
mdxusdt,HUOBI,2021-03-06 00:00:00,4.9674,5.08,4.63,4.63,28494434.3407064,0.0
mdxusdt,HUOBI,2021-03-07 00:00:00,4.6341,4.94,4.6038,4.7786,27634670.43482854,0.0
mdxusdt,HUOBI,2021-03-08 00:00:00,4.7821,4.84,4.2286,4.475,50933860.8298916,0.0
mdxusdt,HUOBI,2021-03-09 00:00:00,4.475,4.8,4.38,4.6137,55366921.658873,0.0
mdxusdt,HUOBI,2021-03-10 00:00:00,4.6127,4.7805,4.43,4.455,49139394.51241316,0.0
mdxusdt,HUOBI,2021-03-11 00:00:00,4.455,4.52,3.78,4.0426,67943811.30459608,0.0
mdxusdt,HUOBI,2021-03-12 00:00:00,4.0423,4.1205,3.6401,3.7103,58028090.44623534,0.0
mdxusdt,HUOBI,2021-03-13 00:00:00,3.7103,3.98,3.63,3.9448,60086906.60866574,0.0
mdxusdt,HUOBI,2021-03-14 00:00:00,3.9451,3.96,3.65,3.6692,46794681.643830895,0.0
