symbol,exchange,datetime,open,high,low,close,volume,open_interest
mirusdt,HUOBI,2021-04-19 00:00:00,6.659,11.5555,6.659,9.2103,22579796.49801885,0.0
mirusdt,HUOBI,2021-04-20 00:00:00,9.2994,11.0,8.4,9.0507,16700312.562013503,0.0
mirusdt,HUOBI,2021-04-21 00:00:00,9.0506,10.0,8.6,9.5812,6635629.578447809,0.0
mirusdt,HUOBI,2021-04-22 00:00:00,9.5813,10.0,8.85,9.5979,4103276.799121287,0.0
mirusdt,HUOBI,2021-04-23 00:00:00,9.5979,10.5,8.201,8.8201,5952116.157783635,0.0
mirusdt,HUOBI,2021-04-24 00:00:00,8.8394,8.9479,8.4112,8.5143,1577308.4036965114,0.0
mirusdt,HUOBI,2021-04-25 00:00:00,8.471,8.7757,8.4493,8.7657,1138159.0216860562,0.0
mirusdt,HUOBI,2021-04-26 00:00:00,8.7669,9.5514,8.6238,9.4087,2863709.1997335874,0.0
mirusdt,HUOBI,2021-04-27 00:00:00,9.4051,10.5997,9.1242,10.3227,3880131.4583822736,0.0
mirusdt,HUOBI,2021-04-28 00:00:00,10.3402,10.3978,9.6537,10.1143,2656576.2560636783,0.0
mirusdt,HUOBI,2021-04-29 00:00:00,10.1154,10.1288,9.5427,9.5779,1587793.61005532,0.0
mirusdt,HUOBI,2021-04-30 00:00:00,9.5905,10.5797,9.3223,10.3056,3851863.5807760474,0.0
mirusdt,HUOBI,2021-05-01 00:00:00,10.3136,10.3218,9.9508,9.956,1103581.2006372213,0.0
mirusdt,HUOBI,2021-05-02 00:00:00,9.956,10.1728,9.6473,9.897,1125469.10893817,0.0
mirusdt,HUOBI,2021-05-03 00:00:00,9.9043,10.4479,9.7656,9.9905,1706504.4852006272,0.0
mirusdt,HUOBI,2021-05-04 00:00:00,9.9785,10.4057,9.4547,9.5138,2377621.4841878274,0.0
mirusdt,HUOBI,2021-05-05 00:00:00,9.5134,12.82,9.434,10.8069,12775726.610093156,0.0
mirusdt,HUOBI,2021-05-06 00:00:00,10.8211,11.4017,10.2001,11.1165,7208976.505855539,0.0
mirusdt,HUOBI,2021-05-07 00:00:00,11.1386,11.3,9.94,10.0463,5258025.446571321,0.0
mirusdt,HUOBI,2021-05-08 00:00:00,10.0463,10.0885,9.6113,9.7859,1988881.20617376,0.0
mirusdt,HUOBI,2021-05-09 00:00:00,9.7847,10.6737,9.7847,9.921,5353004.314260231,0.0
mirusdt,HUOBI,2021-05-10 00:00:00,9.921,10.5801,9.7602,9.8761,4231084.603591322,0.0
mirusdt,HUOBI,2021-05-11 00:00:00,9.8859,9.8933,8.9926,9.159,2772263.6300949506,0.0
mirusdt,HUOBI,2021-05-12 00:00:00,9.159,9.1707,8.7575,8.7575,2020115.489285501,0.0
mirusdt,HUOBI,2021-05-13 00:00:00,8.7562,8.7562,7.7473,8.027,2747376.9246489294,0.0
mirusdt,HUOBI,2021-05-14 00:00:00,8.0353,8.5787,7.8829,8.3668,3585982.2497019647,0.0
mirusdt,HUOBI,2021-05-15 00:00:00,8.3692,8.4117,7.7542,7.8842,1822280.7774532612,0.0
mirusdt,HUOBI,2021-05-16 00:00:00,7.8842,7.9432,7.638,7.638,1383741.084163781,0.0
mirusdt,HUOBI,2021-05-17 00:00:00,7.638,7.704,6.9991,7.595,3294123.0869881096,0.0
mirusdt,HUOBI,2021-05-18 00:00:00,7.5868,7.9272,7.4829,7.5189,2263318.25546988,0.0
mirusdt,HUOBI,2021-05-19 00:00:00,7.5193,7.5568,5.2395,6.3953,5081302.23344804,0.0
mirusdt,HUOBI,2021-05-20 00:00:00,6.395,6.7768,5.9274,6.2771,3884574.1689897734,0.0
mirusdt,HUOBI,2021-05-21 00:00:00,6.2739,6.4304,5.9343,5.9535,2679406.8050778466,0.0
mirusdt,HUOBI,2021-05-22 00:00:00,5.9519,6.068,4.8051,4.8927,3354470.589202304,0.0
mirusdt,HUOBI,2021-05-23 00:00:00,4.8962,4.9141,3.5,3.5175,2726330.98866489,0.0
mirusdt,HUOBI,2021-05-24 00:00:00,3.5105,4.1921,3.2654,4.0303,5310103.916467159,0.0
mirusdt,HUOBI,2021-05-25 00:00:00,4.0283,4.3796,3.8495,4.0977,2600586.9721526974,0.0
mirusdt,HUOBI,2021-05-26 00:00:00,4.0925,4.8553,4.0417,4.5545,3177933.522094227,0.0
mirusdt,HUOBI,2021-05-27 00:00:00,4.5535,5.4273,4.5459,5.0556,2556026.836477526,0.0
mirusdt,HUOBI,2021-05-28 00:00:00,5.0574,5.1323,4.4676,4.7681,1304530.9751463227,0.0
mirusdt,HUOBI,2021-05-29 00:00:00,4.7642,6.1056,4.715,4.7729,5003134.903360068,0.0
mirusdt,HUOBI,2021-05-30 00:00:00,4.7697,4.7731,4.5096,4.6875,1217715.56941632,0.0
mirusdt,HUOBI,2021-05-31 00:00:00,4.6855,5.1867,4.5712,5.0958,1971578.1737130322,0.0
mirusdt,HUOBI,2021-06-01 00:00:00,5.1002,5.1096,4.7972,4.812,1251289.5621293802,0.0
mirusdt,HUOBI,2021-06-02 00:00:00,4.809,4.9048,4.7311,4.858,638302.74696213,0.0
mirusdt,HUOBI,2021-06-03 00:00:00,4.8621,4.9686,4.7746,4.8104,1084081.6223896046,0.0
mirusdt,HUOBI,2021-06-04 00:00:00,4.8163,5.2981,4.6265,5.1974,2219915.4830828044,0.0
mirusdt,HUOBI,2021-06-05 00:00:00,5.1966,5.5,4.8471,4.8956,1804610.0645691082,0.0
mirusdt,HUOBI,2021-06-06 00:00:00,4.8955,4.906,4.7545,4.7879,372993.63218681,0.0
mirusdt,HUOBI,2021-06-07 00:00:00,4.7916,4.823,4.6892,4.7507,863227.9281127929,0.0
mirusdt,HUOBI,2021-06-08 00:00:00,4.7518,4.7761,4.1038,4.1561,939653.5047401,0.0
mirusdt,HUOBI,2021-06-09 00:00:00,4.1494,4.3365,4.1411,4.32,609907.76288383,0.0
mirusdt,HUOBI,2021-06-10 00:00:00,4.3233,4.4046,4.0603,4.0997,747743.5048952,0.0
mirusdt,HUOBI,2021-06-11 00:00:00,4.0977,4.1499,3.9023,3.9124,893852.64027621,0.0
mirusdt,HUOBI,2021-06-12 00:00:00,3.9101,3.9329,3.7078,3.7297,257869.48983171,0.0
mirusdt,HUOBI,2021-06-13 00:00:00,3.7285,3.7499,3.6632,3.6632,136826.82710657,0.0
mirusdt,HUOBI,2021-06-14 00:00:00,3.6626,3.9298,3.661,3.9231,489874.47245025245,0.0
mirusdt,HUOBI,2021-06-15 00:00:00,3.9298,4.2335,3.8676,4.0277,1789004.83927547,0.0
mirusdt,HUOBI,2021-06-16 00:00:00,4.028,4.1685,3.8543,3.8709,721446.43394227,0.0
mirusdt,HUOBI,2021-06-17 00:00:00,3.8665,5.0,3.8316,4.7922,6472534.016468379,0.0
mirusdt,HUOBI,2021-06-18 00:00:00,4.7925,7.3327,4.5546,5.5492,34438679.2961381,0.0
mirusdt,HUOBI,2021-06-19 00:00:00,5.5492,5.6276,4.6976,4.7974,5555995.11332508,0.0
mirusdt,HUOBI,2021-06-20 00:00:00,4.7958,4.8028,4.3114,4.3932,2589608.0652955594,0.0
mirusdt,HUOBI,2021-06-21 00:00:00,4.3883,5.3238,4.3341,5.0446,13877145.186522948,0.0
mirusdt,HUOBI,2021-06-22 00:00:00,5.0472,5.1192,4.4227,4.8263,7684592.723101014,0.0
mirusdt,HUOBI,2021-06-23 00:00:00,4.8312,5.1685,4.628,4.8817,3094572.0549054253,0.0
mirusdt,HUOBI,2021-06-24 00:00:00,4.878,4.8848,4.5672,4.7144,2107416.6890215212,0.0
mirusdt,HUOBI,2021-06-25 00:00:00,4.7184,4.7657,4.2642,4.3152,1499689.86673729,0.0
mirusdt,HUOBI,2021-06-26 00:00:00,4.3147,4.3464,3.9683,4.035,1972336.36560883,0.0
mirusdt,HUOBI,2021-06-27 00:00:00,4.0286,4.1879,3.9615,4.0401,1401670.539423382,0.0
mirusdt,HUOBI,2021-06-28 00:00:00,4.0461,4.2403,3.9934,4.1424,1885584.87429147,0.0
mirusdt,HUOBI,2021-06-29 00:00:00,4.1424,4.276,4.0556,4.2107,2112712.8872554665,0.0
mirusdt,HUOBI,2021-06-30 00:00:00,4.2088,4.223,3.9015,3.9044,1315115.7588017,0.0
mirusdt,HUOBI,2021-07-01 00:00:00,3.902,4.022,3.7908,3.8272,1108563.078454188,0.0
mirusdt,HUOBI,2021-07-02 00:00:00,3.8271,3.8631,3.6839,3.7241,722241.36380084,0.0
mirusdt,HUOBI,2021-07-03 00:00:00,3.7246,3.8604,3.697,3.8207,1074351.15422149,0.0
mirusdt,HUOBI,2021-07-04 00:00:00,3.8238,3.9168,3.7647,3.8328,792606.66757051,0.0
mirusdt,HUOBI,2021-07-05 00:00:00,3.833,3.9178,3.6765,3.7261,1060305.35881664,0.0
mirusdt,HUOBI,2021-07-06 00:00:00,3.7215,4.0393,3.6818,3.8754,2295930.0502053685,0.0
mirusdt,HUOBI,2021-07-07 00:00:00,3.8757,4.2677,3.7664,3.9983,3214696.632781837,0.0
mirusdt,HUOBI,2021-07-08 00:00:00,3.9983,4.079,3.7155,3.7846,1269102.40004126,0.0
mirusdt,HUOBI,2021-07-09 00:00:00,3.7792,3.784,3.6,3.7708,713837.0188221016,0.0
mirusdt,HUOBI,2021-07-10 00:00:00,3.7708,3.8347,3.6659,3.7282,413119.43192602,0.0
mirusdt,HUOBI,2021-07-11 00:00:00,3.7341,3.7628,3.6836,3.7495,244664.61008154557,0.0
mirusdt,HUOBI,2021-07-12 00:00:00,3.7439,3.7659,3.6293,3.6445,320836.47503315,0.0
mirusdt,HUOBI,2021-07-13 00:00:00,3.6391,3.6463,3.3428,3.3961,841639.921317856,0.0
mirusdt,HUOBI,2021-07-14 00:00:00,3.391,3.4037,3.1668,3.2952,1269371.6591977663,0.0
mirusdt,HUOBI,2021-07-15 00:00:00,3.2939,3.7055,3.2304,3.523,1820027.004946131,0.0
mirusdt,HUOBI,2021-07-16 00:00:00,3.5231,3.5553,3.205,3.2087,643631.6283819986,0.0
