symbol,exchange,datetime,open,high,low,close,volume,open_interest
mkrusdt,HUOBI,2020-08-14 00:00:00,710.16,849.0,710.16,722.61,7835903.628153907,0.0
mkrusdt,HUOBI,2020-08-15 00:00:00,724.56,733.0,681.53,712.21,1594850.40545469,0.0
mkrusdt,HUOBI,2020-08-16 00:00:00,711.46,713.28,680.0,693.74,436807.22134482,0.0
mkrusdt,HUOBI,2020-08-17 00:00:00,693.81,727.32,682.0,692.0,704335.9585898204,0.0
mkrusdt,HUOBI,2020-08-18 00:00:00,693.55,704.2,649.0,656.27,925407.32869187,0.0
mkrusdt,HUOBI,2020-08-19 00:00:00,656.07,682.0,629.66,643.89,631507.9901175781,0.0
mkrusdt,HUOBI,2020-08-20 00:00:00,643.48,683.0,633.74,681.15,835471.66035487,0.0
mkrusdt,HUOBI,2020-08-21 00:00:00,682.14,699.76,640.52,645.41,997671.9988217,0.0
mkrusdt,HUOBI,2020-08-22 00:00:00,645.58,647.76,596.4,632.75,610252.4977544077,0.0
mkrusdt,HUOBI,2020-08-23 00:00:00,632.51,649.61,622.21,631.03,696247.4438396652,0.0
mkrusdt,HUOBI,2020-08-24 00:00:00,630.81,665.01,628.54,665.0,493486.90378222,0.0
mkrusdt,HUOBI,2020-08-25 00:00:00,665.0,695.0,632.87,639.32,887529.2909814577,0.0
mkrusdt,HUOBI,2020-08-26 00:00:00,638.58,649.99,611.86,636.71,673995.70515986,0.0
mkrusdt,HUOBI,2020-08-27 00:00:00,636.65,655.27,623.48,624.95,550872.6855531809,0.0
mkrusdt,HUOBI,2020-08-28 00:00:00,624.95,630.0,611.14,623.47,952904.9647669109,0.0
mkrusdt,HUOBI,2020-08-29 00:00:00,623.27,644.94,620.17,632.7,534723.79327594,0.0
mkrusdt,HUOBI,2020-08-30 00:00:00,632.81,686.89,630.0,681.77,2179590.5533420495,0.0
mkrusdt,HUOBI,2020-08-31 00:00:00,681.77,684.43,656.73,667.44,973675.32145947,0.0
mkrusdt,HUOBI,2020-09-01 00:00:00,667.44,750.0,663.11,728.05,4083243.3529028837,0.0
mkrusdt,HUOBI,2020-09-02 00:00:00,728.24,728.24,635.01,651.01,2024377.3080753009,0.0
mkrusdt,HUOBI,2020-09-03 00:00:00,650.58,667.32,591.68,602.42,1054832.5372364945,0.0
mkrusdt,HUOBI,2020-09-04 00:00:00,601.76,609.41,553.25,570.27,1270356.36077226,0.0
mkrusdt,HUOBI,2020-09-05 00:00:00,570.09,599.5,519.89,543.09,1390444.26129184,0.0
mkrusdt,HUOBI,2020-09-06 00:00:00,543.09,546.29,479.58,524.55,711332.01411454,0.0
mkrusdt,HUOBI,2020-09-07 00:00:00,524.62,550.77,501.59,521.38,251624.49893953,0.0
mkrusdt,HUOBI,2020-09-08 00:00:00,521.24,530.32,503.01,518.45,154919.53173188,0.0
mkrusdt,HUOBI,2020-09-09 00:00:00,518.18,524.24,501.1,520.87,151115.22134288,0.0
mkrusdt,HUOBI,2020-09-10 00:00:00,521.06,557.37,517.44,549.63,424975.0753486647,0.0
mkrusdt,HUOBI,2020-09-11 00:00:00,551.72,551.75,507.25,535.46,473427.80100291886,0.0
mkrusdt,HUOBI,2020-09-12 00:00:00,535.46,538.61,499.02,513.45,570473.95034226,0.0
mkrusdt,HUOBI,2020-09-13 00:00:00,514.18,522.25,487.71,489.05,980445.4419104678,0.0
