symbol,exchange,datetime,open,high,low,close,volume,open_interest
mtausdt,HUOBI,2020-08-31 00:00:00,6.761,12.23,6.761,11.43,11222208.476791402,0.0
mtausdt,HUOBI,2020-09-01 00:00:00,11.4498,11.5,8.63,9.44,10618490.480814455,0.0
mtausdt,HUOBI,2020-09-02 00:00:00,9.4769,9.5116,6.8888,7.4668,5038485.373492111,0.0
mtausdt,HUOBI,2020-09-03 00:00:00,7.4905,8.5,5.6617,6.0246,2907876.8371828618,0.0
mtausdt,HUOBI,2020-09-04 00:00:00,6.0265,6.5169,4.59,5.1408,1240396.71399062,0.0
mtausdt,HUOBI,2020-09-05 00:00:00,5.1415,5.981,4.0258,4.1402,955407.3278122529,0.0
mtausdt,HUOBI,2020-09-06 00:00:00,4.1402,4.6482,3.5,4.2616,895226.2655768128,0.0
mtausdt,HUOBI,2020-09-07 00:00:00,4.2117,4.86,3.8455,4.0002,689821.04194306,0.0
mtausdt,HUOBI,2020-09-08 00:00:00,4.0398,4.1998,3.6,3.6746,388398.92393685,0.0
mtausdt,HUOBI,2020-09-09 00:00:00,3.6865,4.567,3.288,4.1757,1076348.9298971093,0.0
mtausdt,HUOBI,2020-09-10 00:00:00,4.1758,4.9979,4.0883,4.3395,1351740.9065229401,0.0
mtausdt,HUOBI,2020-09-11 00:00:00,4.3,4.5,3.8112,3.9457,488818.79421975,0.0
mtausdt,HUOBI,2020-09-12 00:00:00,3.958,4.3589,3.87,4.114,615635.5771970113,0.0
mtausdt,HUOBI,2020-09-13 00:00:00,4.1179,4.42,3.8,3.8305,735157.72068712,0.0
mtausdt,HUOBI,2020-09-14 00:00:00,3.8136,3.9833,3.5,3.72,524080.41805917,0.0
mtausdt,HUOBI,2020-09-15 00:00:00,3.7288,3.8685,2.899,2.9659,791041.08015573,0.0
mtausdt,HUOBI,2020-09-16 00:00:00,2.9501,3.5199,2.5,2.9363,774172.4051848578,0.0
mtausdt,HUOBI,2020-09-17 00:00:00,2.9374,3.4,2.7568,2.9999,578078.6932949575,0.0
mtausdt,HUOBI,2020-09-18 00:00:00,2.9884,3.295,2.8001,2.8501,248870.20073783,0.0
mtausdt,HUOBI,2020-09-19 00:00:00,2.9333,3.22,2.67,2.8269,571323.8479861881,0.0
mtausdt,HUOBI,2020-09-20 00:00:00,2.8154,4.2,2.68,4.1,1992749.9720433983,0.0
mtausdt,HUOBI,2020-09-21 00:00:00,4.1299,4.15,2.5738,2.61,1286180.8523049096,0.0
mtausdt,HUOBI,2020-09-22 00:00:00,2.6058,3.1318,2.4206,3.0038,609481.23973032,0.0
mtausdt,HUOBI,2020-09-23 00:00:00,2.9605,3.0104,2.5212,2.59,322972.50057999,0.0
mtausdt,HUOBI,2020-09-24 00:00:00,2.5862,2.7445,2.3338,2.501,243588.58403758903,0.0
mtausdt,HUOBI,2020-09-25 00:00:00,2.5011,2.6255,2.2216,2.6091,488170.9015067772,0.0
mtausdt,HUOBI,2020-09-26 00:00:00,2.6091,3.1,2.4221,2.7841,536722.47237485,0.0
mtausdt,HUOBI,2020-09-27 00:00:00,2.798,2.8349,2.6152,2.6577,302343.87482108,0.0
mtausdt,HUOBI,2020-09-28 00:00:00,2.6577,2.8,2.5555,2.7756,240891.44036505,0.0
mtausdt,HUOBI,2020-09-29 00:00:00,2.7818,2.7909,2.3987,2.4598,471227.2506153743,0.0
mtausdt,HUOBI,2020-09-30 00:00:00,2.4501,2.5,2.34,2.4686,202917.94448644,0.0
mtausdt,HUOBI,2020-10-01 00:00:00,2.471,2.748,2.4565,2.6195,371423.50732786505,0.0
mtausdt,HUOBI,2020-10-02 00:00:00,2.6206,3.2898,2.4801,3.1747,979412.9181292371,0.0
mtausdt,HUOBI,2020-10-03 00:00:00,3.1749,3.59,2.8601,3.203,517016.10252948,0.0
mtausdt,HUOBI,2020-10-04 00:00:00,3.2017,3.2121,3.0728,3.1324,133340.02603489,0.0
mtausdt,HUOBI,2020-10-05 00:00:00,3.1301,3.58,2.8888,2.9784,570870.91701361,0.0
mtausdt,HUOBI,2020-10-06 00:00:00,2.9821,2.9928,2.7,2.723,268578.34069714,0.0
mtausdt,HUOBI,2020-10-07 00:00:00,2.724,2.7247,2.5457,2.565,161987.25288229,0.0
mtausdt,HUOBI,2020-10-08 00:00:00,2.5666,2.9701,2.4715,2.8149,296936.87970208,0.0
mtausdt,HUOBI,2020-10-09 00:00:00,2.8143,2.9416,2.7547,2.9002,160701.93881691,0.0
mtausdt,HUOBI,2020-10-10 00:00:00,2.8996,3.0528,2.8313,2.8849,180138.6640136815,0.0
mtausdt,HUOBI,2020-10-11 00:00:00,2.8854,3.048,2.6708,2.7499,234413.57119584,0.0
