symbol,exchange,datetime,open,high,low,close,volume,open_interest
mxusdt,HUOBI,2019-11-01 00:00:00,0.095,0.2179,0.095,0.1778,2824575.5701377573,0.0
mxusdt,HUOBI,2019-11-02 00:00:00,0.1779,0.184,0.1677,0.1721,1069057.8290489246,0.0
mxusdt,HUOBI,2019-11-03 00:00:00,0.172,0.1877,0.1705,0.1751,938701.4475840416,0.0
mxusdt,HUOBI,2019-11-04 00:00:00,0.1754,0.18,0.168,0.1775,600037.4782826151,0.0
mxusdt,HUOBI,2019-11-05 00:00:00,0.1773,0.183,0.1735,0.1807,662855.1088079836,0.0
mxusdt,HUOBI,2019-11-06 00:00:00,0.1806,0.1856,0.178,0.1793,529650.16410085,0.0
mxusdt,HUOBI,2019-11-07 00:00:00,0.1791,0.1819,0.1741,0.1764,443746.24284072,0.0
mxusdt,HUOBI,2019-11-08 00:00:00,0.1768,0.181,0.1674,0.1696,531960.801547,0.0
mxusdt,HUOBI,2019-11-09 00:00:00,0.1692,0.176,0.1691,0.1732,385085.58665632,0.0
mxusdt,HUOBI,2019-11-10 00:00:00,0.1732,0.1749,0.1714,0.1743,295981.406178,0.0
mxusdt,HUOBI,2019-11-11 00:00:00,0.1741,0.1775,0.1707,0.1727,360409.4906236449,0.0
mxusdt,HUOBI,2019-11-12 00:00:00,0.1722,0.1737,0.1703,0.171,287963.20000213,0.0
mxusdt,HUOBI,2019-11-13 00:00:00,0.1706,0.19,0.1703,0.1806,708415.7431522175,0.0
mxusdt,HUOBI,2019-11-14 00:00:00,0.1802,0.1865,0.1725,0.1762,631930.0056723773,0.0
mxusdt,HUOBI,2019-11-15 00:00:00,0.1759,0.1798,0.1456,0.1511,908057.3746757754,0.0
mxusdt,HUOBI,2019-11-16 00:00:00,0.1508,0.1564,0.1432,0.1484,979389.508377891,0.0
mxusdt,HUOBI,2019-11-17 00:00:00,0.1475,0.1522,0.1435,0.1498,611210.6562307888,0.0
mxusdt,HUOBI,2019-11-18 00:00:00,0.1495,0.1505,0.1212,0.1288,950165.348945835,0.0
mxusdt,HUOBI,2019-11-19 00:00:00,0.1283,0.1323,0.1038,0.1099,1248355.4925588942,0.0
mxusdt,HUOBI,2019-11-20 00:00:00,0.1102,0.1249,0.108,0.1132,1086796.3636854924,0.0
mxusdt,HUOBI,2019-11-21 00:00:00,0.1129,0.1233,0.1036,0.1061,849577.2011136046,0.0
mxusdt,HUOBI,2019-11-22 00:00:00,0.106,0.1128,0.0758,0.0827,867205.124213466,0.0
mxusdt,HUOBI,2019-11-23 00:00:00,0.0841,0.0849,0.063,0.0725,1338840.7249570244,0.0
mxusdt,HUOBI,2019-11-24 00:00:00,0.0725,0.0726,0.0522,0.0541,1119700.2266349553,0.0
mxusdt,HUOBI,2019-11-25 00:00:00,0.0541,0.0686,0.041,0.0665,2150981.267720251,0.0
mxusdt,HUOBI,2019-11-26 00:00:00,0.0668,0.0756,0.0562,0.0669,2479652.2315420536,0.0
mxusdt,HUOBI,2019-11-27 00:00:00,0.0669,0.0703,0.0584,0.0655,612208.422736407,0.0
mxusdt,HUOBI,2019-11-28 00:00:00,0.0655,0.0722,0.0622,0.0701,826966.6648951797,0.0
mxusdt,HUOBI,2019-11-29 00:00:00,0.0701,0.0754,0.0672,0.0729,622157.30559152,0.0
mxusdt,HUOBI,2019-11-30 00:00:00,0.0727,0.0885,0.0706,0.0769,1840651.5917043122,0.0
mxusdt,HUOBI,2019-12-01 00:00:00,0.0768,0.083,0.0723,0.0738,881072.5028626357,0.0
mxusdt,HUOBI,2019-12-02 00:00:00,0.0739,0.0761,0.0656,0.068,685689.7402095518,0.0
mxusdt,HUOBI,2019-12-03 00:00:00,0.0679,0.0714,0.0637,0.0679,580482.4640385753,0.0
mxusdt,HUOBI,2019-12-04 00:00:00,0.068,0.0692,0.0591,0.0632,544580.9786309769,0.0
mxusdt,HUOBI,2019-12-05 00:00:00,0.0632,0.0635,0.0562,0.0588,320278.09970295493,0.0
mxusdt,HUOBI,2019-12-06 00:00:00,0.0586,0.0629,0.058,0.0609,245768.5216762847,0.0
mxusdt,HUOBI,2019-12-07 00:00:00,0.061,0.0675,0.0595,0.0638,478051.0786860672,0.0
mxusdt,HUOBI,2019-12-08 00:00:00,0.0637,0.0644,0.0599,0.0634,303213.7198554683,0.0
mxusdt,HUOBI,2019-12-09 00:00:00,0.0635,0.0635,0.0607,0.0614,153154.00530243,0.0
mxusdt,HUOBI,2019-12-10 00:00:00,0.0614,0.0614,0.0576,0.058,175474.17458625,0.0
mxusdt,HUOBI,2019-12-11 00:00:00,0.058,0.0602,0.057,0.0593,138471.42792134,0.0
mxusdt,HUOBI,2019-12-12 00:00:00,0.0592,0.0598,0.057,0.0584,98212.575652,0.0
