symbol,exchange,datetime,open,high,low,close,volume,open_interest
nanousdt,HUOBI,2018-12-05 00:00:00,0.808,1.093,0.808,1.0,186187.34660959456,0.0
nanousdt,HUOBI,2018-12-06 00:00:00,0.9851,1.0062,0.8001,0.8832,91393.85772702469,0.0
nanousdt,HUOBI,2018-12-07 00:00:00,0.8854,0.8888,0.786,0.8003,46759.14168469,0.0
nanousdt,HUOBI,2018-12-08 00:00:00,0.8019,0.8854,0.7715,0.8318,31128.54292477,0.0
nanousdt,HUOBI,2018-12-09 00:00:00,0.8284,0.94,0.8077,0.8807,39600.53296797578,0.0
nanousdt,HUOBI,2018-12-10 00:00:00,0.8767,0.94,0.8068,0.8192,131377.2926756,0.0
nanousdt,HUOBI,2018-12-11 00:00:00,0.8187,0.8471,0.792,0.7985,14856.08374998,0.0
nanousdt,HUOBI,2018-12-12 00:00:00,0.7985,0.8706,0.7959,0.8403,24614.28586773,0.0
nanousdt,HUOBI,2018-12-13 00:00:00,0.8405,0.8461,0.8038,0.8216,8665.321308,0.0
nanousdt,HUOBI,2018-12-14 00:00:00,0.8216,0.8272,0.773,0.7788,5295.553312930883,0.0
nanousdt,HUOBI,2018-12-15 00:00:00,0.7788,0.8474,0.7338,0.7391,16424.53010076,0.0
nanousdt,HUOBI,2018-12-16 00:00:00,0.7372,0.7836,0.73,0.7664,11905.07156886,0.0
nanousdt,HUOBI,2018-12-17 00:00:00,0.7671,0.822,0.7508,0.8052,5683.3112769,0.0
nanousdt,HUOBI,2018-12-18 00:00:00,0.8031,0.9064,0.8008,0.8531,12628.07298791,0.0
nanousdt,HUOBI,2018-12-19 00:00:00,0.8524,1.029,0.8457,0.9452,76550.31860523,0.0
nanousdt,HUOBI,2018-12-20 00:00:00,0.9441,1.0859,0.9005,1.007,57252.86717731,0.0
nanousdt,HUOBI,2018-12-21 00:00:00,1.0108,1.075,0.9564,1.0087,38306.47720633552,0.0
nanousdt,HUOBI,2018-12-22 00:00:00,1.0084,1.0451,0.947,0.9906,30807.74620703,0.0
nanousdt,HUOBI,2018-12-23 00:00:00,0.9927,1.0996,0.9609,1.0278,29321.24084820589,0.0
nanousdt,HUOBI,2018-12-24 00:00:00,1.0378,1.2,1.02,1.1142,34595.60232324508,0.0
nanousdt,HUOBI,2018-12-25 00:00:00,1.1187,1.16,0.92,0.9338,11858.40822584,0.0
nanousdt,HUOBI,2018-12-26 00:00:00,0.9308,1.0337,0.92,0.9334,37209.81486047,0.0
nanousdt,HUOBI,2018-12-27 00:00:00,0.9397,0.9786,0.92,0.9266,7509.12420628,0.0
nanousdt,HUOBI,2018-12-28 00:00:00,0.9345,1.0564,0.8626,0.9548,18546.9702557,0.0
nanousdt,HUOBI,2018-12-29 00:00:00,0.9398,1.0275,0.9379,0.9613,12816.58217614,0.0
nanousdt,HUOBI,2018-12-30 00:00:00,0.9632,0.998,0.8973,0.9381,11226.31956232,0.0
nanousdt,HUOBI,2018-12-31 00:00:00,0.943,0.9478,0.9013,0.922,2367.14144917,0.0
nanousdt,HUOBI,2019-01-01 00:00:00,0.9242,0.9411,0.8705,0.9005,2596.15610985,0.0
