symbol,exchange,datetime,open,high,low,close,volume,open_interest
nasusdt,HUOBI,2018-02-12 00:00:00,7.09,9.49,7.08,8.39,492299.569642051,0.0
nasusdt,HUOBI,2018-02-13 00:00:00,8.39,8.68,7.91,7.98,643254.3708550029,0.0
nasusdt,HUOBI,2018-02-14 00:00:00,7.98,8.77,7.92,8.63,710182.2333756774,0.0
nasusdt,HUOBI,2018-02-15 00:00:00,8.66,9.18,8.51,9.15,857664.058058982,0.0
nasusdt,HUOBI,2018-02-16 00:00:00,9.15,9.49,8.7,9.18,561475.69212413,0.0
nasusdt,HUOBI,2018-02-17 00:00:00,9.22,9.43,9.01,9.28,683882.4879057,0.0
nasusdt,HUOBI,2018-02-18 00:00:00,9.3,9.8,8.61,8.96,847741.87066982,0.0
nasusdt,HUOBI,2018-02-19 00:00:00,8.94,9.2,8.53,9.11,682055.0946854235,0.0
nasusdt,HUOBI,2018-02-20 00:00:00,9.15,10.3,8.88,9.38,1488657.072770315,0.0
nasusdt,HUOBI,2018-02-21 00:00:00,9.37,9.63,8.32,8.33,971537.6736261102,0.0
nasusdt,HUOBI,2018-02-22 00:00:00,8.33,8.67,7.51,7.83,879013.4282068909,0.0
nasusdt,HUOBI,2018-02-23 00:00:00,7.85,8.42,7.38,8.14,695359.43213697,0.0
nasusdt,HUOBI,2018-02-24 00:00:00,8.14,8.48,7.65,7.84,639356.19252963,0.0
nasusdt,HUOBI,2018-02-25 00:00:00,7.83,8.02,7.4,7.48,488579.2256165604,0.0
nasusdt,HUOBI,2018-02-26 00:00:00,7.49,8.3,7.37,8.17,553283.020803037,0.0
nasusdt,HUOBI,2018-02-27 00:00:00,8.17,8.91,8.08,8.57,947747.0760962946,0.0
nasusdt,HUOBI,2018-02-28 00:00:00,8.57,8.87,8.16,8.32,592366.61897197,0.0
nasusdt,HUOBI,2018-03-01 00:00:00,8.32,8.49,8.11,8.39,582531.01021028,0.0
nasusdt,HUOBI,2018-03-02 00:00:00,8.39,8.5,7.87,7.98,791862.29651044,0.0
nasusdt,HUOBI,2018-03-03 00:00:00,7.97,8.2,7.75,7.88,576007.2399031504,0.0
nasusdt,HUOBI,2018-03-04 00:00:00,7.87,8.11,7.66,7.87,548199.4638742479,0.0
nasusdt,HUOBI,2018-03-05 00:00:00,7.87,8.12,7.84,8.0,672208.1406750495,0.0
nasusdt,HUOBI,2018-03-06 00:00:00,7.99,8.07,6.68,7.15,1004444.4944856819,0.0
nasusdt,HUOBI,2018-03-07 00:00:00,7.15,7.43,6.5,6.87,842845.9869187094,0.0
nasusdt,HUOBI,2018-03-08 00:00:00,6.88,6.9,6.0,6.42,959451.6870569375,0.0
nasusdt,HUOBI,2018-03-09 00:00:00,6.41,6.46,5.2,5.57,1145433.0843203554,0.0
nasusdt,HUOBI,2018-03-10 00:00:00,5.57,6.69,5.34,6.27,1133056.6371800627,0.0
nasusdt,HUOBI,2018-03-11 00:00:00,6.29,6.35,5.5,6.03,861602.5338674264,0.0
nasusdt,HUOBI,2018-03-12 00:00:00,6.03,6.5,6.0,6.04,703937.44675613,0.0
nasusdt,HUOBI,2018-03-13 00:00:00,6.04,6.35,5.9,5.99,2300349.591661221,0.0
nasusdt,HUOBI,2018-03-14 00:00:00,5.97,6.18,5.65,5.69,1331991.6416708909,0.0
nasusdt,HUOBI,2018-03-15 00:00:00,5.69,5.7007,5.0649,5.196,1538585.9323136376,0.0
nasusdt,HUOBI,2018-03-16 00:00:00,5.1972,5.299,4.805,5.273,1520869.85284306,0.0
nasusdt,HUOBI,2018-03-17 00:00:00,5.2725,5.4555,4.88,5.0,1341290.4043375396,0.0
nasusdt,HUOBI,2018-03-18 00:00:00,4.994,5.02,3.85,3.86,1935258.7773582248,0.0
nasusdt,HUOBI,2018-03-19 00:00:00,3.8599,5.0749,3.622,5.0025,1687636.9219031297,0.0
nasusdt,HUOBI,2018-03-20 00:00:00,5.0031,5.19,4.7,5.0634,1538698.143698555,0.0
nasusdt,HUOBI,2018-03-21 00:00:00,5.066,6.3099,5.061,6.2207,2233336.1256144485,0.0
nasusdt,HUOBI,2018-03-22 00:00:00,6.2196,6.485,5.3109,5.8626,2232898.820725265,0.0
nasusdt,HUOBI,2018-03-23 00:00:00,5.86,6.3,5.5002,5.971,1771825.3178546308,0.0
nasusdt,HUOBI,2018-03-24 00:00:00,5.965,6.6114,5.8945,6.61,1917355.2340832301,0.0
nasusdt,HUOBI,2018-03-25 00:00:00,6.5927,7.15,6.15,6.3378,2073534.4461848408,0.0
nasusdt,HUOBI,2018-03-26 00:00:00,6.3321,6.7395,5.6561,5.6766,2056028.516650125,0.0
nasusdt,HUOBI,2018-03-27 00:00:00,5.6746,6.8038,5.3502,6.1582,2498413.4329389418,0.0
nasusdt,HUOBI,2018-03-28 00:00:00,6.1582,6.6,5.88,6.2846,2038446.012657657,0.0
nasusdt,HUOBI,2018-03-29 00:00:00,6.2846,6.549,5.503,5.8677,2389558.69410432,0.0
nasusdt,HUOBI,2018-03-30 00:00:00,5.8677,6.89,5.33,5.3505,3402985.3684422337,0.0
nasusdt,HUOBI,2018-03-31 00:00:00,5.3523,5.7733,5.2,5.285,1793533.1127574677,0.0
nasusdt,HUOBI,2018-04-01 00:00:00,5.285,5.3703,4.5,4.5,1617037.0345609179,0.0
nasusdt,HUOBI,2018-04-02 00:00:00,4.5104,5.0896,4.5,4.9384,1643538.7961234536,0.0
nasusdt,HUOBI,2018-04-03 00:00:00,4.9381,5.0719,4.7691,4.93,1536737.63537544,0.0
nasusdt,HUOBI,2018-04-04 00:00:00,4.9268,4.9606,4.4,4.419,1657229.2783950628,0.0
nasusdt,HUOBI,2018-04-05 00:00:00,4.4134,4.51,4.2,4.289,1507265.6788950027,0.0
nasusdt,HUOBI,2018-04-06 00:00:00,4.289,4.439,4.09,4.1357,1303593.8642431144,0.0
nasusdt,HUOBI,2018-04-07 00:00:00,4.1508,4.44,4.0701,4.363,1477349.8242969622,0.0
nasusdt,HUOBI,2018-04-08 00:00:00,4.3643,4.83,4.3622,4.621,1818164.2213654194,0.0
nasusdt,HUOBI,2018-04-09 00:00:00,4.603,4.785,4.25,4.3647,1671770.5979442962,0.0
nasusdt,HUOBI,2018-04-10 00:00:00,4.3714,4.6,4.28,4.5734,1401701.2331557663,0.0
nasusdt,HUOBI,2018-04-11 00:00:00,4.5736,4.7642,4.451,4.7023,1660239.2935777102,0.0
nasusdt,HUOBI,2018-04-12 00:00:00,4.7022,5.4359,4.5929,5.2615,2554886.0433119116,0.0
nasusdt,HUOBI,2018-04-13 00:00:00,5.2628,5.9289,5.202,5.666,2212514.754327007,0.0
