symbol,exchange,datetime,open,high,low,close,volume,open_interest
nbsusdt,HUOBI,2020-09-19 00:00:00,0.016379,0.03,0.016379,0.02285,15127798.816005094,0.0
nbsusdt,HUOBI,2020-09-20 00:00:00,0.02285,0.024993,0.019135,0.02035,7134127.439414875,0.0
nbsusdt,HUOBI,2020-09-21 00:00:00,0.020283,0.0223,0.011669,0.013477,9194833.774998395,0.0
nbsusdt,HUOBI,2020-09-22 00:00:00,0.013479,0.013498,0.010123,0.01071,3461639.5226238174,0.0
nbsusdt,HUOBI,2020-09-23 00:00:00,0.010712,0.0113,0.008138,0.009181,2488332.602727246,0.0
nbsusdt,HUOBI,2020-09-24 00:00:00,0.009219,0.009229,0.007055,0.008272,1278877.2029632165,0.0
nbsusdt,HUOBI,2020-09-25 00:00:00,0.008296,0.009363,0.007801,0.008899,1668387.8785319438,0.0
nbsusdt,HUOBI,2020-09-26 00:00:00,0.008899,0.00893,0.008243,0.008597,581324.5325462614,0.0
nbsusdt,HUOBI,2020-09-27 00:00:00,0.008589,0.00885,0.00755,0.007914,542135.72679073,0.0
nbsusdt,HUOBI,2020-09-28 00:00:00,0.007914,0.008132,0.007601,0.007919,468218.9389222271,0.0
nbsusdt,HUOBI,2020-09-29 00:00:00,0.007894,0.00791,0.006909,0.007104,508882.90942118084,0.0
nbsusdt,HUOBI,2020-09-30 00:00:00,0.007082,0.007116,0.006288,0.006641,543209.3938016975,0.0
nbsusdt,HUOBI,2020-10-01 00:00:00,0.006657,0.007461,0.006388,0.007329,614579.337395431,0.0
nbsusdt,HUOBI,2020-10-02 00:00:00,0.007311,0.009996,0.006202,0.008027,3586261.085276867,0.0
nbsusdt,HUOBI,2020-10-03 00:00:00,0.008002,0.009806,0.007688,0.008119,1328472.7835735923,0.0
nbsusdt,HUOBI,2020-10-04 00:00:00,0.008122,0.0084,0.007441,0.008162,577386.0903498027,0.0
nbsusdt,HUOBI,2020-10-05 00:00:00,0.008166,0.008215,0.007561,0.007885,412636.72786721354,0.0
nbsusdt,HUOBI,2020-10-06 00:00:00,0.007887,0.008,0.0065,0.006776,511036.09913403116,0.0
nbsusdt,HUOBI,2020-10-07 00:00:00,0.006782,0.00692,0.005985,0.006358,346562.50018465053,0.0
nbsusdt,HUOBI,2020-10-08 00:00:00,0.006379,0.006999,0.006024,0.006969,383273.54729598446,0.0
nbsusdt,HUOBI,2020-10-09 00:00:00,0.006999,0.009333,0.0067,0.007603,1510312.6118830408,0.0
nbsusdt,HUOBI,2020-10-10 00:00:00,0.007581,0.007998,0.007218,0.007357,627771.8491915717,0.0
nbsusdt,HUOBI,2020-10-11 00:00:00,0.007366,0.007399,0.00695,0.007153,343131.3319957161,0.0
nbsusdt,HUOBI,2020-10-12 00:00:00,0.007152,0.0078,0.006992,0.007216,602245.5004934113,0.0
nbsusdt,HUOBI,2020-10-13 00:00:00,0.007217,0.007293,0.006733,0.006869,377253.6965514324,0.0
nbsusdt,HUOBI,2020-10-14 00:00:00,0.006869,0.007,0.006598,0.006679,236953.54499930277,0.0
nbsusdt,HUOBI,2020-10-15 00:00:00,0.006678,0.006775,0.0063,0.006515,269609.8983452857,0.0
