symbol,exchange,datetime,open,high,low,close,volume,open_interest
neousdt,HUOBI,2018-01-04 00:00:00,84.81,127.0,84.81,103.48,9785628.724416934,0.0
neousdt,HUOBI,2018-01-05 00:00:00,103.47,107.92,90.49,97.98,15316528.39589331,0.0
neousdt,HUOBI,2018-01-06 00:00:00,97.62,103.5,90.0,98.0,11833356.491527628,0.0
neousdt,HUOBI,2018-01-07 00:00:00,98.09,108.33,96.44,103.0,6363269.626934295,0.0
neousdt,HUOBI,2018-01-08 00:00:00,102.4,110.99,85.46,95.31,8720443.422869436,0.0
neousdt,HUOBI,2018-01-09 00:00:00,94.99,122.3,94.86,119.68,15815284.601080583,0.0
neousdt,HUOBI,2018-01-10 00:00:00,119.64,130.0,110.21,120.0,14388187.293335486,0.0
neousdt,HUOBI,2018-01-11 00:00:00,120.0,127.0,103.0,115.01,8515605.727114484,0.0
neousdt,HUOBI,2018-01-12 00:00:00,115.5,125.0,104.0,118.8,10649411.96612397,0.0
neousdt,HUOBI,2018-01-13 00:00:00,118.38,139.95,115.34,136.5,7736347.661595977,0.0
neousdt,HUOBI,2018-01-14 00:00:00,136.35,145.0,133.2,144.0,13580746.56241406,0.0
neousdt,HUOBI,2018-01-15 00:00:00,144.0,179.0,140.72,178.6,26619419.074947063,0.0
neousdt,HUOBI,2018-01-16 00:00:00,178.6,193.83,123.09,155.93,36787559.69581955,0.0
neousdt,HUOBI,2018-01-17 00:00:00,154.62,158.0,92.0,96.07,21497936.368508205,0.0
neousdt,HUOBI,2018-01-18 00:00:00,97.0,157.87,96.08,155.46,24297062.5859194,0.0
neousdt,HUOBI,2018-01-19 00:00:00,154.77,155.37,129.34,141.13,16253808.634161538,0.0
neousdt,HUOBI,2018-01-20 00:00:00,141.56,156.7,135.0,153.66,15806272.43350923,0.0
neousdt,HUOBI,2018-01-21 00:00:00,153.02,157.98,133.0,133.87,14243457.471009772,0.0
neousdt,HUOBI,2018-01-22 00:00:00,133.39,138.55,115.39,117.0,13213787.16629612,0.0
neousdt,HUOBI,2018-01-23 00:00:00,117.0,125.0,111.41,122.23,9336640.235943338,0.0
neousdt,HUOBI,2018-01-24 00:00:00,122.41,145.1,114.15,135.57,13129707.242999306,0.0
neousdt,HUOBI,2018-01-25 00:00:00,135.57,147.95,132.0,137.54,11949637.612161385,0.0
neousdt,HUOBI,2018-01-26 00:00:00,137.54,142.68,125.51,137.66,10999709.614492977,0.0
neousdt,HUOBI,2018-01-27 00:00:00,137.65,140.36,132.21,140.12,9426913.934395721,0.0
neousdt,HUOBI,2018-01-28 00:00:00,139.87,151.99,138.5,147.96,10925326.614724971,0.0
neousdt,HUOBI,2018-01-29 00:00:00,147.96,163.49,147.96,159.89,14261839.576301055,0.0
neousdt,HUOBI,2018-01-30 00:00:00,158.69,169.49,144.43,146.84,16396953.35942859,0.0
neousdt,HUOBI,2018-01-31 00:00:00,146.84,152.54,132.01,140.94,13772021.869926639,0.0
neousdt,HUOBI,2018-02-01 00:00:00,140.9,146.86,126.89,130.31,19392229.73786037,0.0
neousdt,HUOBI,2018-02-02 00:00:00,130.41,133.45,95.67,125.99,5360185.853009121,0.0
neousdt,HUOBI,2018-02-03 00:00:00,126.99,131.5,108.66,122.18,2299032.3760965816,0.0
neousdt,HUOBI,2018-02-04 00:00:00,122.33,126.97,107.37,108.46,1421818.2262739392,0.0
neousdt,HUOBI,2018-02-05 00:00:00,108.47,112.93,85.0,88.07,2655606.612640108,0.0
neousdt,HUOBI,2018-02-06 00:00:00,88.45,97.94,65.0,93.52,4669465.675365189,0.0
neousdt,HUOBI,2018-02-07 00:00:00,93.54,120.01,83.0,112.11,5805071.053133923,0.0
neousdt,HUOBI,2018-02-08 00:00:00,112.12,118.0,101.12,107.0,3448329.702300444,0.0
neousdt,HUOBI,2018-02-09 00:00:00,107.0,115.11,104.01,113.04,2021015.2844248856,0.0
neousdt,HUOBI,2018-02-10 00:00:00,113.1,119.93,104.45,105.13,3706311.523591256,0.0
neousdt,HUOBI,2018-02-11 00:00:00,104.99,110.0,95.0,109.22,3073469.093105067,0.0
neousdt,HUOBI,2018-02-12 00:00:00,109.2,115.0,101.0,110.45,3192076.3133672425,0.0
neousdt,HUOBI,2018-02-13 00:00:00,110.55,114.3,106.23,108.46,2176721.0748667615,0.0
neousdt,HUOBI,2018-02-14 00:00:00,108.46,119.0,108.15,119.0,3506093.9171833983,0.0
neousdt,HUOBI,2018-02-15 00:00:00,119.0,124.27,115.2,120.11,3412087.2070412994,0.0
neousdt,HUOBI,2018-02-16 00:00:00,120.16,127.0,117.01,125.78,2539695.6078961375,0.0
neousdt,HUOBI,2018-02-17 00:00:00,125.74,137.99,124.5,133.2,3514595.232960707,0.0
neousdt,HUOBI,2018-02-18 00:00:00,133.2,136.75,121.0,126.91,2690735.228795043,0.0
neousdt,HUOBI,2018-02-19 00:00:00,126.65,137.4,124.13,137.01,2341585.299857187,0.0
neousdt,HUOBI,2018-02-20 00:00:00,137.0,140.98,132.41,136.26,2000818.440317524,0.0
neousdt,HUOBI,2018-02-21 00:00:00,136.17,137.09,117.77,119.21,2924523.2252763677,0.0
neousdt,HUOBI,2018-02-22 00:00:00,119.36,125.8,109.1,113.91,3471663.103182856,0.0
neousdt,HUOBI,2018-02-23 00:00:00,114.06,123.0,108.11,119.69,2516264.1452454,0.0
neousdt,HUOBI,2018-02-24 00:00:00,119.69,123.93,113.01,116.46,2567278.9974018857,0.0
neousdt,HUOBI,2018-02-25 00:00:00,116.44,118.0,110.65,113.98,1697703.0148240093,0.0
neousdt,HUOBI,2018-02-26 00:00:00,114.06,136.64,113.04,133.65,6149806.8707210915,0.0
neousdt,HUOBI,2018-02-27 00:00:00,133.66,145.18,130.34,137.28,12418116.6287283,0.0
neousdt,HUOBI,2018-02-28 00:00:00,137.14,145.0,130.44,134.75,9213055.324318409,0.0
neousdt,HUOBI,2018-03-01 00:00:00,134.62,136.12,125.0,128.18,10392008.261890985,0.0
neousdt,HUOBI,2018-03-02 00:00:00,128.26,130.0,121.55,122.24,4671939.455579614,0.0
neousdt,HUOBI,2018-03-03 00:00:00,122.1,128.05,121.91,124.15,2201763.280027524,0.0
neousdt,HUOBI,2018-03-04 00:00:00,124.0,124.82,115.0,124.47,2539959.9430992147,0.0
neousdt,HUOBI,2018-03-05 00:00:00,124.4,124.85,116.56,118.8,3257637.3146085413,0.0
neousdt,HUOBI,2018-03-06 00:00:00,118.71,118.8,102.35,107.5,4680707.558879345,0.0
neousdt,HUOBI,2018-03-07 00:00:00,107.5,113.38,101.61,105.35,3605326.9488889673,0.0
neousdt,HUOBI,2018-03-08 00:00:00,105.44,105.5,89.0,96.84,4538766.420965543,0.0
neousdt,HUOBI,2018-03-09 00:00:00,96.91,97.02,79.23,88.15,4103664.9303175174,0.0
neousdt,HUOBI,2018-03-10 00:00:00,88.16,93.5,85.0,91.32,2600863.2374028084,0.0
neousdt,HUOBI,2018-03-11 00:00:00,91.32,91.71,81.21,86.3,1923394.8148987186,0.0
neousdt,HUOBI,2018-03-12 00:00:00,86.3,92.49,83.75,84.39,1533099.8537524797,0.0
neousdt,HUOBI,2018-03-13 00:00:00,84.39,88.33,81.64,83.5,1188062.3201232865,0.0
neousdt,HUOBI,2018-03-14 00:00:00,83.35,84.92,76.0,76.81,1695749.8896028223,0.0
neousdt,HUOBI,2018-03-15 00:00:00,76.82,77.03,65.0,67.81,3576889.2657819823,0.0
neousdt,HUOBI,2018-03-16 00:00:00,67.86,71.2,65.54,70.89,2201021.96536451,0.0
neousdt,HUOBI,2018-03-17 00:00:00,70.89,71.92,63.15,63.52,1717129.1760407665,0.0
neousdt,HUOBI,2018-03-18 00:00:00,63.51,64.3,50.01,50.02,2325394.212875959,0.0
neousdt,HUOBI,2018-03-19 00:00:00,50.06,69.95,48.89,68.68,6989250.0801855,0.0
neousdt,HUOBI,2018-03-20 00:00:00,68.72,74.23,65.09,69.96,5628405.078678268,0.0
neousdt,HUOBI,2018-03-21 00:00:00,70.0,79.6,69.8,76.0,5889467.678718575,0.0
neousdt,HUOBI,2018-03-22 00:00:00,75.99,75.99,66.15,68.87,5481916.140091558,0.0
neousdt,HUOBI,2018-03-23 00:00:00,68.88,72.0,63.11,67.68,3736346.3460856937,0.0
neousdt,HUOBI,2018-03-24 00:00:00,67.6,70.16,65.74,68.1,2514790.382130167,0.0
neousdt,HUOBI,2018-03-25 00:00:00,68.1,68.43,63.34,63.94,2467059.8736864035,0.0
neousdt,HUOBI,2018-03-26 00:00:00,63.93,67.41,57.0,58.06,4603127.959537531,0.0
neousdt,HUOBI,2018-03-27 00:00:00,58.05,61.0,52.0,57.0,3639154.2478230195,0.0
neousdt,HUOBI,2018-03-28 00:00:00,57.0,60.0,54.99,56.59,2253355.762353645,0.0
neousdt,HUOBI,2018-03-29 00:00:00,56.59,57.88,51.8,53.15,2516415.6663007373,0.0
neousdt,HUOBI,2018-03-30 00:00:00,53.14,54.9,49.01,50.7,4615173.132474728,0.0
neousdt,HUOBI,2018-03-31 00:00:00,50.71,52.93,48.89,51.06,2244622.4700957304,0.0
neousdt,HUOBI,2018-04-01 00:00:00,51.0,51.68,45.0,45.0,1610246.3278417343,0.0
neousdt,HUOBI,2018-04-02 00:00:00,45.0,50.33,44.83,49.02,1990044.9257819068,0.0
neousdt,HUOBI,2018-04-03 00:00:00,49.05,52.72,47.64,52.27,1956819.5626923386,0.0
neousdt,HUOBI,2018-04-04 00:00:00,52.26,53.94,46.66,46.68,2327224.3197575663,0.0
neousdt,HUOBI,2018-04-05 00:00:00,46.68,48.5,45.58,46.33,1988711.918527105,0.0
neousdt,HUOBI,2018-04-06 00:00:00,46.33,47.48,44.4,44.5,1455975.932051874,0.0
neousdt,HUOBI,2018-04-07 00:00:00,44.5,47.7,44.34,47.44,1686821.3187670102,0.0
neousdt,HUOBI,2018-04-08 00:00:00,47.56,48.21,46.19,48.07,1510060.0439492292,0.0
neousdt,HUOBI,2018-04-09 00:00:00,48.07,57.45,47.0,51.09,11783942.53060212,0.0
neousdt,HUOBI,2018-04-10 00:00:00,51.1,53.22,49.23,51.66,3523622.7447915855,0.0
neousdt,HUOBI,2018-04-11 00:00:00,51.67,55.24,51.0,54.62,4602153.2229569545,0.0
neousdt,HUOBI,2018-04-12 00:00:00,54.62,63.2,54.02,61.18,10404128.242349949,0.0
neousdt,HUOBI,2018-04-13 00:00:00,61.17,68.65,59.81,67.0,6232525.465522067,0.0
neousdt,HUOBI,2018-04-14 00:00:00,66.99,67.32,60.0,62.8,4350733.406371485,0.0
neousdt,HUOBI,2018-04-15 00:00:00,62.83,70.64,62.57,68.23,4082880.7418633844,0.0
neousdt,HUOBI,2018-04-16 00:00:00,68.25,71.32,64.01,65.1,4255383.60653205,0.0
neousdt,HUOBI,2018-04-17 00:00:00,65.12,69.99,64.32,68.11,2780531.4573612604,0.0
neousdt,HUOBI,2018-04-18 00:00:00,68.11,70.28,65.31,69.32,2794504.981017436,0.0
neousdt,HUOBI,2018-04-19 00:00:00,69.31,74.98,69.21,72.69,4045854.801217798,0.0
neousdt,HUOBI,2018-04-20 00:00:00,72.7,76.57,71.9,74.89,4084537.2862435393,0.0
neousdt,HUOBI,2018-04-21 00:00:00,74.9,79.74,70.58,75.66,4922263.03298665,0.0
neousdt,HUOBI,2018-04-22 00:00:00,75.67,77.74,72.11,75.6,2926819.6687464816,0.0
neousdt,HUOBI,2018-04-23 00:00:00,75.6,78.46,73.21,76.26,2938879.098562887,0.0
neousdt,HUOBI,2018-04-24 00:00:00,76.26,83.87,74.8,83.55,5872924.55793569,0.0
neousdt,HUOBI,2018-04-25 00:00:00,83.79,84.76,68.5,72.18,6995396.2705882015,0.0
neousdt,HUOBI,2018-04-26 00:00:00,72.18,75.86,69.49,71.83,3063451.6063965186,0.0
neousdt,HUOBI,2018-04-27 00:00:00,71.83,77.49,71.43,75.68,2759447.0563247246,0.0
neousdt,HUOBI,2018-04-28 00:00:00,75.69,77.5,72.0,77.0,3544602.478941828,0.0
neousdt,HUOBI,2018-04-29 00:00:00,77.0,89.25,75.81,88.13,10440877.474380832,0.0
neousdt,HUOBI,2018-04-30 00:00:00,88.16,94.8,83.67,87.1,10276895.327197185,0.0
neousdt,HUOBI,2018-05-01 00:00:00,87.14,87.45,78.02,80.02,4481415.835376397,0.0
neousdt,HUOBI,2018-05-02 00:00:00,79.99,85.36,79.76,83.77,3179296.981795853,0.0
neousdt,HUOBI,2018-05-03 00:00:00,83.71,87.8,83.0,87.05,3649982.344054245,0.0
neousdt,HUOBI,2018-05-04 00:00:00,87.05,90.2,82.29,82.73,4299546.26017827,0.0
neousdt,HUOBI,2018-05-05 00:00:00,82.77,86.5,82.3,85.69,2787709.2713354635,0.0
neousdt,HUOBI,2018-05-06 00:00:00,85.61,88.6,80.0,80.82,4569299.453110601,0.0
neousdt,HUOBI,2018-05-07 00:00:00,80.88,83.71,76.08,79.0,2660164.217086333,0.0
neousdt,HUOBI,2018-05-08 00:00:00,78.95,81.3,75.5,76.8,1989892.2753902103,0.0
neousdt,HUOBI,2018-05-09 00:00:00,76.68,78.11,72.53,76.06,1662705.9896359995,0.0
neousdt,HUOBI,2018-05-10 00:00:00,76.01,77.19,74.95,75.26,1531047.2112530542,0.0
neousdt,HUOBI,2018-05-11 00:00:00,75.19,75.59,60.69,64.78,3793420.172214728,0.0
neousdt,HUOBI,2018-05-12 00:00:00,64.75,67.51,57.27,62.88,2878905.8775029248,0.0
neousdt,HUOBI,2018-05-13 00:00:00,63.12,67.9,61.86,67.61,1471796.0312650078,0.0
neousdt,HUOBI,2018-05-14 00:00:00,67.49,69.47,62.63,67.67,2357514.8664378375,0.0
neousdt,HUOBI,2018-05-15 00:00:00,67.67,69.1,64.35,64.89,2086442.3035062004,0.0
neousdt,HUOBI,2018-05-16 00:00:00,65.05,65.81,59.3,60.78,2351441.0896398765,0.0
neousdt,HUOBI,2018-05-17 00:00:00,60.77,63.31,59.86,60.65,1379343.6325807895,0.0
neousdt,HUOBI,2018-05-18 00:00:00,60.68,60.78,56.6,58.13,1775453.8581527844,0.0
neousdt,HUOBI,2018-05-19 00:00:00,58.13,60.78,57.23,60.24,1293975.604469598,0.0
neousdt,HUOBI,2018-05-20 00:00:00,60.32,61.36,58.51,61.13,1029683.1797932879,0.0
neousdt,HUOBI,2018-05-21 00:00:00,61.13,66.49,61.06,61.85,3037027.4499120098,0.0
neousdt,HUOBI,2018-05-22 00:00:00,61.79,63.22,58.48,59.38,1396050.749655285,0.0
neousdt,HUOBI,2018-05-23 00:00:00,59.37,60.0,52.55,53.16,1620914.9812368748,0.0
neousdt,HUOBI,2018-05-24 00:00:00,53.38,54.71,49.94,54.02,3134160.110238263,0.0
neousdt,HUOBI,2018-05-25 00:00:00,54.03,56.99,52.56,53.34,2084707.307959469,0.0
neousdt,HUOBI,2018-05-26 00:00:00,53.38,54.22,51.56,53.79,2382400.272062259,0.0
neousdt,HUOBI,2018-05-27 00:00:00,53.83,54.47,51.12,52.27,1774983.4809416158,0.0
neousdt,HUOBI,2018-05-28 00:00:00,52.24,52.95,48.63,49.32,2111442.4258306012,0.0
neousdt,HUOBI,2018-05-29 00:00:00,49.22,53.47,47.14,51.91,3554857.5422797776,0.0
neousdt,HUOBI,2018-05-30 00:00:00,51.91,53.71,50.57,50.73,2752680.49469313,0.0
neousdt,HUOBI,2018-05-31 00:00:00,50.74,53.7,50.28,53.62,1643569.8557953988,0.0
neousdt,HUOBI,2018-06-01 00:00:00,53.58,56.3,52.5,53.62,1944593.3849010174,0.0
neousdt,HUOBI,2018-06-02 00:00:00,53.59,57.43,53.36,56.21,2344909.3069079863,0.0
neousdt,HUOBI,2018-06-03 00:00:00,56.25,58.47,55.73,57.41,1759283.960899118,0.0
neousdt,HUOBI,2018-06-04 00:00:00,57.43,57.56,52.2,53.27,2708570.975857912,0.0
neousdt,HUOBI,2018-06-05 00:00:00,53.29,54.14,51.79,53.43,3919729.044270239,0.0
neousdt,HUOBI,2018-06-06 00:00:00,53.42,54.96,53.36,54.36,2667096.0361883217,0.0
neousdt,HUOBI,2018-06-07 00:00:00,54.35,54.9,52.52,53.66,904514.7863277151,0.0
neousdt,HUOBI,2018-06-08 00:00:00,53.65,54.03,51.68,52.56,781761.1920154159,0.0
neousdt,HUOBI,2018-06-09 00:00:00,52.57,53.33,51.79,52.23,755009.3039791409,0.0
neousdt,HUOBI,2018-06-10 00:00:00,52.29,52.41,48.1,48.71,1459592.058071883,0.0
neousdt,HUOBI,2018-06-11 00:00:00,48.73,48.82,42.91,43.12,2183084.0722551947,0.0
neousdt,HUOBI,2018-06-12 00:00:00,43.09,46.7,42.63,43.85,1376175.443533158,0.0
neousdt,HUOBI,2018-06-13 00:00:00,43.86,43.91,37.14,37.19,1921937.4758457544,0.0
neousdt,HUOBI,2018-06-14 00:00:00,37.25,40.8,35.7,37.73,2497828.4414864173,0.0
neousdt,HUOBI,2018-06-15 00:00:00,37.7,42.0,37.68,39.52,1323301.9345369847,0.0
neousdt,HUOBI,2018-06-16 00:00:00,39.45,39.95,36.3,36.67,1053708.556033909,0.0
neousdt,HUOBI,2018-06-17 00:00:00,36.76,38.45,36.4,38.15,822277.7435879138,0.0
neousdt,HUOBI,2018-06-18 00:00:00,38.2,39.78,36.81,37.66,1217129.6586565855,0.0
neousdt,HUOBI,2018-06-19 00:00:00,37.65,41.33,37.51,39.93,1629977.5578869628,0.0
neousdt,HUOBI,2018-06-20 00:00:00,39.93,40.02,37.69,39.03,1460136.3661300463,0.0
neousdt,HUOBI,2018-06-21 00:00:00,39.05,39.66,37.27,37.79,1089412.878630563,0.0
neousdt,HUOBI,2018-06-22 00:00:00,37.76,37.96,33.01,33.82,1809322.8176291375,0.0
neousdt,HUOBI,2018-06-23 00:00:00,33.95,34.45,32.1,32.9,1630040.4643667047,0.0
neousdt,HUOBI,2018-06-24 00:00:00,32.96,34.88,28.73,28.97,2272401.176009304,0.0
neousdt,HUOBI,2018-06-25 00:00:00,28.98,32.86,28.61,32.18,1850648.6219127423,0.0
neousdt,HUOBI,2018-06-26 00:00:00,32.22,32.71,30.21,30.94,1014947.4266305995,0.0
neousdt,HUOBI,2018-06-27 00:00:00,30.93,31.75,29.38,29.83,1369005.081681432,0.0
neousdt,HUOBI,2018-06-28 00:00:00,29.92,30.64,29.72,30.05,970500.2719886822,0.0
neousdt,HUOBI,2018-06-29 00:00:00,30.06,30.3,26.89,28.22,1468694.706192811,0.0
neousdt,HUOBI,2018-06-30 00:00:00,28.22,32.31,27.76,30.72,1250810.330190379,0.0
neousdt,HUOBI,2018-07-01 00:00:00,30.77,31.14,29.65,31.05,972810.5563333023,0.0
neousdt,HUOBI,2018-07-02 00:00:00,31.02,37.43,30.55,36.38,2912403.783210884,0.0
neousdt,HUOBI,2018-07-03 00:00:00,36.38,38.88,35.39,36.44,3259142.4841184733,0.0
neousdt,HUOBI,2018-07-04 00:00:00,36.44,40.49,34.86,38.55,5484034.58024706,0.0
neousdt,HUOBI,2018-07-05 00:00:00,38.54,43.88,38.17,41.81,6333568.108854484,0.0
neousdt,HUOBI,2018-07-06 00:00:00,41.72,42.31,36.8,37.59,5111090.685157679,0.0
neousdt,HUOBI,2018-07-07 00:00:00,37.66,37.96,36.13,36.66,2137140.548501577,0.0
neousdt,HUOBI,2018-07-08 00:00:00,36.69,41.16,36.23,39.64,4865502.259698511,0.0
neousdt,HUOBI,2018-07-09 00:00:00,39.62,40.2,37.85,38.47,1282542.32131663,0.0
neousdt,HUOBI,2018-07-10 00:00:00,38.49,38.55,32.86,34.18,4806706.829432165,0.0
neousdt,HUOBI,2018-07-11 00:00:00,34.18,35.11,31.88,33.31,3663894.7736365013,0.0
neousdt,HUOBI,2018-07-12 00:00:00,33.3,33.9,30.91,31.48,2240283.33691624,0.0
neousdt,HUOBI,2018-07-13 00:00:00,31.51,33.94,30.43,33.28,3063751.743147966,0.0
neousdt,HUOBI,2018-07-14 00:00:00,33.26,34.18,31.45,32.32,1766558.161935839,0.0
neousdt,HUOBI,2018-07-15 00:00:00,32.33,34.0,31.88,33.59,1420788.605474,0.0
neousdt,HUOBI,2018-07-16 00:00:00,33.62,36.88,32.96,36.52,2800134.3259279155,0.0
neousdt,HUOBI,2018-07-17 00:00:00,36.53,37.8,35.62,37.14,2410995.8438896644,0.0
neousdt,HUOBI,2018-07-18 00:00:00,37.12,40.48,36.45,39.24,3621488.9650204675,0.0
neousdt,HUOBI,2018-07-19 00:00:00,39.24,40.64,36.17,36.41,3240205.933329246,0.0
neousdt,HUOBI,2018-07-20 00:00:00,36.43,36.71,33.16,34.08,3744884.330459014,0.0
neousdt,HUOBI,2018-07-21 00:00:00,34.1,35.41,31.93,34.71,1583420.65828287,0.0
neousdt,HUOBI,2018-07-22 00:00:00,34.67,35.26,33.52,34.42,828273.6028316795,0.0
neousdt,HUOBI,2018-07-23 00:00:00,34.39,34.8,32.61,33.19,1715426.0532004505,0.0
neousdt,HUOBI,2018-07-24 00:00:00,33.2,35.79,31.28,34.22,2150508.5957096512,0.0
neousdt,HUOBI,2018-07-25 00:00:00,34.19,35.59,33.4,33.72,2131212.5363763566,0.0
