symbol,exchange,datetime,open,high,low,close,volume,open_interest
nestusdt,HUOBI,2020-08-07 00:00:00,0.0456,0.077,0.0456,0.0601,10230551.595058255,0.0
nestusdt,HUOBI,2020-08-08 00:00:00,0.0602,0.0678,0.0526,0.0665,5344106.383314056,0.0
nestusdt,HUOBI,2020-08-09 00:00:00,0.0665,0.135,0.0665,0.1302,25395910.33392313,0.0
nestusdt,HUOBI,2020-08-10 00:00:00,0.1302,0.2444,0.1295,0.1856,74745678.10159653,0.0
nestusdt,HUOBI,2020-08-11 00:00:00,0.1856,0.19,0.1218,0.1313,30045331.33872998,0.0
nestusdt,HUOBI,2020-08-12 00:00:00,0.1326,0.188,0.123,0.181,33331438.69284071,0.0
nestusdt,HUOBI,2020-08-13 00:00:00,0.181,0.195,0.1468,0.1679,27468073.57618206,0.0
nestusdt,HUOBI,2020-08-14 00:00:00,0.1679,0.1775,0.145,0.1602,11214312.953453898,0.0
nestusdt,HUOBI,2020-08-15 00:00:00,0.1576,0.1578,0.135,0.1451,10144696.467160437,0.0
nestusdt,HUOBI,2020-08-16 00:00:00,0.1451,0.154,0.1387,0.1462,6193417.062925836,0.0
nestusdt,HUOBI,2020-08-17 00:00:00,0.1462,0.1464,0.135,0.1365,6190758.978473448,0.0
nestusdt,HUOBI,2020-08-18 00:00:00,0.1365,0.141,0.1131,0.1183,7435300.4746073745,0.0
nestusdt,HUOBI,2020-08-19 00:00:00,0.1187,0.1349,0.095,0.1278,12819694.97099588,0.0
nestusdt,HUOBI,2020-08-20 00:00:00,0.1275,0.1279,0.11,0.114,5553095.670413443,0.0
nestusdt,HUOBI,2020-08-21 00:00:00,0.1141,0.1141,0.098,0.1001,4829836.52779414,0.0
nestusdt,HUOBI,2020-08-22 00:00:00,0.1003,0.1127,0.0885,0.1005,5373757.5770232845,0.0
nestusdt,HUOBI,2020-08-23 00:00:00,0.1006,0.1098,0.0951,0.0988,3815162.245473128,0.0
nestusdt,HUOBI,2020-08-24 00:00:00,0.0988,0.1156,0.0902,0.1113,7447302.368584161,0.0
nestusdt,HUOBI,2020-08-25 00:00:00,0.1115,0.1234,0.099,0.1031,9364920.63238538,0.0
nestusdt,HUOBI,2020-08-26 00:00:00,0.1029,0.1128,0.0968,0.1115,6580447.030777366,0.0
nestusdt,HUOBI,2020-08-27 00:00:00,0.1115,0.1177,0.103,0.1052,4722742.188935495,0.0
nestusdt,HUOBI,2020-08-28 00:00:00,0.1051,0.1051,0.1,0.1036,2836595.8125805636,0.0
nestusdt,HUOBI,2020-08-29 00:00:00,0.1035,0.1128,0.0988,0.11,5361259.284599363,0.0
nestusdt,HUOBI,2020-08-30 00:00:00,0.1102,0.146,0.1035,0.1426,22861311.569468744,0.0
nestusdt,HUOBI,2020-08-31 00:00:00,0.1425,0.1428,0.1158,0.124,13847622.497367894,0.0
nestusdt,HUOBI,2020-09-01 00:00:00,0.124,0.1242,0.1043,0.1071,11669340.226278016,0.0
nestusdt,HUOBI,2020-09-02 00:00:00,0.1073,0.1177,0.097,0.1004,8435933.590116344,0.0
nestusdt,HUOBI,2020-09-03 00:00:00,0.1003,0.1035,0.0804,0.086,4654219.178230613,0.0
nestusdt,HUOBI,2020-09-04 00:00:00,0.0859,0.095,0.066,0.0736,5035950.746701586,0.0
nestusdt,HUOBI,2020-09-05 00:00:00,0.0735,0.078,0.0501,0.0632,3571057.682353157,0.0
nestusdt,HUOBI,2020-09-06 00:00:00,0.0632,0.0636,0.0502,0.0585,3066665.769795912,0.0
nestusdt,HUOBI,2020-09-07 00:00:00,0.0586,0.0618,0.0493,0.0574,2780415.986978799,0.0
nestusdt,HUOBI,2020-09-08 00:00:00,0.0575,0.06,0.0526,0.0563,1800646.5202679061,0.0
nestusdt,HUOBI,2020-09-09 00:00:00,0.0562,0.059,0.052,0.0582,1764005.7093006046,0.0
nestusdt,HUOBI,2020-09-10 00:00:00,0.0582,0.0668,0.0556,0.0638,2382577.743524733,0.0
nestusdt,HUOBI,2020-09-11 00:00:00,0.0637,0.0666,0.058,0.0653,3114773.2782308147,0.0
nestusdt,HUOBI,2020-09-12 00:00:00,0.0653,0.0764,0.0618,0.0715,5464118.211884949,0.0
nestusdt,HUOBI,2020-09-13 00:00:00,0.0715,0.0748,0.0623,0.0648,3119086.5943417726,0.0
nestusdt,HUOBI,2020-09-14 00:00:00,0.0648,0.0705,0.0603,0.0655,3617729.3785121646,0.0
nestusdt,HUOBI,2020-09-15 00:00:00,0.0656,0.0691,0.0578,0.0604,2484387.1059242245,0.0
nestusdt,HUOBI,2020-09-16 00:00:00,0.0604,0.0604,0.0544,0.0577,1733018.6821392367,0.0
nestusdt,HUOBI,2020-09-17 00:00:00,0.0577,0.059,0.052,0.0529,1340206.3250810283,0.0
nestusdt,HUOBI,2020-09-18 00:00:00,0.0529,0.058,0.0525,0.0536,1565636.7953372542,0.0
nestusdt,HUOBI,2020-09-19 00:00:00,0.0534,0.0567,0.052,0.0542,1194830.22856758,0.0
nestusdt,HUOBI,2020-09-20 00:00:00,0.0542,0.057,0.052,0.0527,1322512.074844871,0.0
nestusdt,HUOBI,2020-09-21 00:00:00,0.0527,0.0529,0.0411,0.0424,1522068.177936546,0.0
nestusdt,HUOBI,2020-09-22 00:00:00,0.0425,0.0457,0.0396,0.0408,916996.6732371323,0.0
nestusdt,HUOBI,2020-09-23 00:00:00,0.0408,0.041,0.0336,0.0372,1317245.3511620963,0.0
nestusdt,HUOBI,2020-09-24 00:00:00,0.0373,0.0408,0.0337,0.0386,1421498.2378048308,0.0
