symbol,exchange,datetime,open,high,low,close,volume,open_interest
nexousdt,HUOBI,2020-09-03 00:00:00,0.1411,0.173,0.127,0.1367,2148914.994199445,0.0
nexousdt,HUOBI,2020-09-04 00:00:00,0.1367,0.1465,0.117,0.1281,472411.15171597,0.0
nexousdt,HUOBI,2020-09-05 00:00:00,0.1285,0.1361,0.1153,0.1228,325435.33478892,0.0
nexousdt,HUOBI,2020-09-06 00:00:00,0.1229,0.1317,0.1111,0.1225,181314.69997079,0.0
nexousdt,HUOBI,2020-09-07 00:00:00,0.1215,0.1279,0.1136,0.1197,160393.81293994,0.0
nexousdt,HUOBI,2020-09-08 00:00:00,0.1193,0.137,0.1191,0.132,251727.13419309098,0.0
nexousdt,HUOBI,2020-09-09 00:00:00,0.1321,0.1353,0.1226,0.1325,1264370.2239916017,0.0
nexousdt,HUOBI,2020-09-10 00:00:00,0.1325,0.1333,0.1185,0.1313,1178445.461075,0.0
nexousdt,HUOBI,2020-09-11 00:00:00,0.1314,0.1331,0.1255,0.1278,1213534.428999,0.0
nexousdt,HUOBI,2020-09-12 00:00:00,0.1279,0.1315,0.1268,0.128,1140733.26544979,0.0
nexousdt,HUOBI,2020-09-13 00:00:00,0.1279,0.1307,0.1211,0.1244,1158536.1477425727,0.0
nexousdt,HUOBI,2020-09-14 00:00:00,0.1241,0.129,0.1213,0.1287,1132563.1477595726,0.0
nexousdt,HUOBI,2020-09-15 00:00:00,0.1286,0.1325,0.123,0.1255,1157453.5604865,0.0
nexousdt,HUOBI,2020-09-16 00:00:00,0.1258,0.1277,0.117,0.1227,1217759.39710658,0.0
nexousdt,HUOBI,2020-09-17 00:00:00,0.1227,0.1238,0.1171,0.1202,1084957.22218974,0.0
nexousdt,HUOBI,2020-09-18 00:00:00,0.1205,0.1272,0.1172,0.1186,1155947.10098733,0.0
nexousdt,HUOBI,2020-09-19 00:00:00,0.118,0.124,0.1168,0.1192,1142254.353581,0.0
nexousdt,HUOBI,2020-09-20 00:00:00,0.1193,0.1198,0.115,0.1171,1003839.030279,0.0
nexousdt,HUOBI,2020-09-21 00:00:00,0.1171,0.1267,0.115,0.1169,1023465.43451923,0.0
nexousdt,HUOBI,2020-09-22 00:00:00,0.1169,0.1231,0.1163,0.1218,1011587.76407079,0.0
nexousdt,HUOBI,2020-09-23 00:00:00,0.1216,0.1239,0.1205,0.1219,781707.3746895436,0.0
nexousdt,HUOBI,2020-09-24 00:00:00,0.1223,0.1297,0.1175,0.1284,906872.40374117,0.0
nexousdt,HUOBI,2020-09-25 00:00:00,0.1285,0.1313,0.1244,0.1273,1087130.776609,0.0
nexousdt,HUOBI,2020-09-26 00:00:00,0.1274,0.1305,0.1258,0.1297,1093437.97791676,0.0
nexousdt,HUOBI,2020-09-27 00:00:00,0.1297,0.1318,0.1277,0.1302,1085538.19344228,0.0
nexousdt,HUOBI,2020-09-28 00:00:00,0.1302,0.1343,0.1275,0.1336,1105646.255716,0.0
nexousdt,HUOBI,2020-09-29 00:00:00,0.1336,0.1349,0.1312,0.1329,1143732.723447,0.0
nexousdt,HUOBI,2020-09-30 00:00:00,0.1331,0.1418,0.1318,0.1379,1140837.961019,0.0
nexousdt,HUOBI,2020-10-01 00:00:00,0.1383,0.158,0.1365,0.1458,1145420.51221209,0.0
nexousdt,HUOBI,2020-10-02 00:00:00,0.1461,0.1461,0.1377,0.1405,1291214.949495,0.0
nexousdt,HUOBI,2020-10-03 00:00:00,0.1407,0.1465,0.1287,0.1421,1276580.331381,0.0
nexousdt,HUOBI,2020-10-04 00:00:00,0.1423,0.1437,0.1388,0.1398,742995.413478,0.0
nexousdt,HUOBI,2020-10-05 00:00:00,0.1398,0.1406,0.1297,0.1316,638365.0008725,0.0
nexousdt,HUOBI,2020-10-06 00:00:00,0.1316,0.1375,0.1273,0.1337,510316.79147837,0.0
nexousdt,HUOBI,2020-10-07 00:00:00,0.1335,0.1337,0.127,0.1295,547106.438264,0.0
nexousdt,HUOBI,2020-10-08 00:00:00,0.1299,0.1302,0.1205,0.126,462124.27876213606,0.0
nexousdt,HUOBI,2020-10-09 00:00:00,0.1261,0.1309,0.1246,0.129,511056.14109175,0.0
nexousdt,HUOBI,2020-10-10 00:00:00,0.1289,0.1319,0.1233,0.1304,910360.881279,0.0
nexousdt,HUOBI,2020-10-11 00:00:00,0.1305,0.1323,0.125,0.1303,1087882.263127,0.0
nexousdt,HUOBI,2020-10-12 00:00:00,0.1301,0.1307,0.125,0.1281,983265.9087159594,0.0
nexousdt,HUOBI,2020-10-13 00:00:00,0.1287,0.1304,0.1221,0.1293,1175753.2143066,0.0
nexousdt,HUOBI,2020-10-14 00:00:00,0.1293,0.1303,0.1245,0.1264,1107591.47701647,0.0
nexousdt,HUOBI,2020-10-15 00:00:00,0.1262,0.14,0.1256,0.1367,1256905.7687609,0.0
nexousdt,HUOBI,2020-10-16 00:00:00,0.1371,0.15,0.1303,0.1361,1071916.0088784315,0.0
nexousdt,HUOBI,2020-10-17 00:00:00,0.1359,0.1414,0.1313,0.1394,476114.13435913,0.0
nexousdt,HUOBI,2020-10-18 00:00:00,0.1397,0.148,0.135,0.1449,619084.1784344,0.0
nexousdt,HUOBI,2020-10-19 00:00:00,0.1444,0.1508,0.142,0.1492,915360.43190401,0.0
nexousdt,HUOBI,2020-10-20 00:00:00,0.149,0.1579,0.1289,0.1446,726864.95616832,0.0
nexousdt,HUOBI,2020-10-21 00:00:00,0.1437,0.1548,0.1396,0.1517,561912.7145533,0.0
nexousdt,HUOBI,2020-10-22 00:00:00,0.1522,0.1549,0.1368,0.1477,491030.69241557724,0.0
nexousdt,HUOBI,2020-10-23 00:00:00,0.1486,0.1544,0.144,0.1506,528202.6901136537,0.0
nexousdt,HUOBI,2020-10-24 00:00:00,0.1498,0.1512,0.1386,0.144,332134.76934565,0.0
nexousdt,HUOBI,2020-10-25 00:00:00,0.1437,0.1479,0.14,0.1426,313177.02386265,0.0
nexousdt,HUOBI,2020-10-26 00:00:00,0.1428,0.1476,0.139,0.1399,417326.737471,0.0
nexousdt,HUOBI,2020-10-27 00:00:00,0.1401,0.153,0.1377,0.1529,313701.0771450684,0.0
nexousdt,HUOBI,2020-10-28 00:00:00,0.153,0.17,0.15,0.164,654331.56300405,0.0
nexousdt,HUOBI,2020-10-29 00:00:00,0.164,0.17,0.152,0.1612,483627.33360384,0.0
nexousdt,HUOBI,2020-10-30 00:00:00,0.161,0.168,0.1559,0.1647,1285275.94856143,0.0
nexousdt,HUOBI,2020-10-31 00:00:00,0.1646,0.175,0.1608,0.1737,2075594.2271949635,0.0
nexousdt,HUOBI,2020-11-01 00:00:00,0.1745,0.18,0.1511,0.1706,979082.3958157477,0.0
nexousdt,HUOBI,2020-11-02 00:00:00,0.1696,0.1809,0.1695,0.1766,2426593.85604698,0.0
nexousdt,HUOBI,2020-11-03 00:00:00,0.1746,0.1799,0.157,0.1626,791226.09548559,0.0
nexousdt,HUOBI,2020-11-04 00:00:00,0.1618,0.178,0.16,0.1687,789951.4142137263,0.0
nexousdt,HUOBI,2020-11-05 00:00:00,0.1688,0.1781,0.167,0.1744,2084608.96376876,0.0
nexousdt,HUOBI,2020-11-06 00:00:00,0.1741,0.1792,0.1704,0.1772,685208.56855499,0.0
nexousdt,HUOBI,2020-11-07 00:00:00,0.1765,0.179,0.16,0.167,687787.5821743342,0.0
nexousdt,HUOBI,2020-11-08 00:00:00,0.1677,0.1759,0.1603,0.1691,639714.8238003175,0.0
nexousdt,HUOBI,2020-11-09 00:00:00,0.1692,0.1778,0.1605,0.1646,1224099.88632049,0.0
nexousdt,HUOBI,2020-11-10 00:00:00,0.1645,0.1705,0.1611,0.1662,545615.4813940893,0.0
nexousdt,HUOBI,2020-11-11 00:00:00,0.1654,0.1888,0.1639,0.1821,571371.407094474,0.0
nexousdt,HUOBI,2020-11-12 00:00:00,0.1819,0.1949,0.1764,0.1867,544673.27005482,0.0
nexousdt,HUOBI,2020-11-13 00:00:00,0.1852,0.1999,0.1837,0.1952,827927.4812535739,0.0
nexousdt,HUOBI,2020-11-14 00:00:00,0.1951,0.2202,0.1924,0.2018,1663278.7038247713,0.0
nexousdt,HUOBI,2020-11-15 00:00:00,0.2016,0.2149,0.1976,0.2059,1935295.4220594356,0.0
nexousdt,HUOBI,2020-11-16 00:00:00,0.206,0.2066,0.197,0.2013,984689.7148419563,0.0
nexousdt,HUOBI,2020-11-17 00:00:00,0.2018,0.22,0.2009,0.2123,1152364.36780602,0.0
nexousdt,HUOBI,2020-11-18 00:00:00,0.212,0.2701,0.2097,0.2194,2404862.2095979946,0.0
nexousdt,HUOBI,2020-11-19 00:00:00,0.2194,0.2349,0.2161,0.2266,1284216.338508233,0.0
nexousdt,HUOBI,2020-11-20 00:00:00,0.2275,0.2382,0.2084,0.2382,2156318.3663450433,0.0
nexousdt,HUOBI,2020-11-21 00:00:00,0.2382,0.265,0.225,0.2496,1893528.1833719932,0.0
nexousdt,HUOBI,2020-11-22 00:00:00,0.2491,0.2521,0.2242,0.247,1284864.9046587509,0.0
nexousdt,HUOBI,2020-11-23 00:00:00,0.2469,0.261,0.245,0.2485,1396286.8881928802,0.0
nexousdt,HUOBI,2020-11-24 00:00:00,0.2485,0.261,0.21,0.241,1248538.0186418837,0.0
nexousdt,HUOBI,2020-11-25 00:00:00,0.241,0.2671,0.2129,0.2468,1930417.587199719,0.0
nexousdt,HUOBI,2020-11-26 00:00:00,0.247,0.2517,0.2135,0.2292,1771951.8520521733,0.0
nexousdt,HUOBI,2020-11-27 00:00:00,0.2292,0.237,0.2125,0.2257,1793981.8036822262,0.0
nexousdt,HUOBI,2020-11-28 00:00:00,0.2259,0.2598,0.2245,0.2581,1129901.860905157,0.0
nexousdt,HUOBI,2020-11-29 00:00:00,0.2581,0.3228,0.2529,0.3222,3562039.445167738,0.0
nexousdt,HUOBI,2020-11-30 00:00:00,0.3222,0.3244,0.2859,0.2973,2434217.9885255466,0.0
nexousdt,HUOBI,2020-12-01 00:00:00,0.2975,0.3488,0.268,0.3153,2572285.3696992076,0.0
nexousdt,HUOBI,2020-12-02 00:00:00,0.3153,0.3654,0.2918,0.3173,2151550.8337702593,0.0
nexousdt,HUOBI,2020-12-03 00:00:00,0.3174,0.3435,0.301,0.3401,2830692.5870103748,0.0
nexousdt,HUOBI,2020-12-04 00:00:00,0.3407,0.4011,0.3359,0.3788,3232057.365856675,0.0
nexousdt,HUOBI,2020-12-05 00:00:00,0.3782,0.4466,0.37,0.4187,4540170.2567067435,0.0
nexousdt,HUOBI,2020-12-06 00:00:00,0.4187,0.4673,0.4152,0.4226,2848857.0529163256,0.0
nexousdt,HUOBI,2020-12-07 00:00:00,0.4226,0.4461,0.35,0.4365,2700800.3695665635,0.0
nexousdt,HUOBI,2020-12-08 00:00:00,0.4367,0.468,0.415,0.4534,3805464.0657702386,0.0
nexousdt,HUOBI,2020-12-09 00:00:00,0.4529,0.4976,0.4021,0.4799,4119571.0954071395,0.0
nexousdt,HUOBI,2020-12-10 00:00:00,0.4801,0.5264,0.4659,0.521,4123677.5861777,0.0
