symbol,exchange,datetime,open,high,low,close,volume,open_interest
nftusdt,HUOBI,2021-05-20 00:00:00,1.32e-07,5.22e-06,1.32e-07,3.665e-06,236322620.35335064,0.0
nftusdt,HUOBI,2021-05-21 00:00:00,3.6753e-06,8.5765e-06,2.85e-06,3.7911e-06,1165172649.8680658,0.0
nftusdt,HUOBI,2021-05-22 00:00:00,3.7911e-06,4.5e-06,2.511e-06,3.8333e-06,181465516.34101397,0.0
nftusdt,HUOBI,2021-05-23 00:00:00,3.8399e-06,4.2534e-06,3.06e-06,3.1459e-06,223672984.77579963,0.0
nftusdt,HUOBI,2021-05-24 00:00:00,3.1445e-06,3.4761e-06,2.8203e-06,3.2614e-06,507304978.8330233,0.0
nftusdt,HUOBI,2021-05-25 00:00:00,3.2605e-06,3.3336e-06,2.8095e-06,2.936e-06,324143375.55365175,0.0
nftusdt,HUOBI,2021-05-26 00:00:00,2.9359e-06,4e-06,2.8515e-06,3.7386e-06,417951861.16211784,0.0
nftusdt,HUOBI,2021-05-27 00:00:00,3.7301e-06,3.97e-06,3.26e-06,3.9232e-06,206453937.6843443,0.0
nftusdt,HUOBI,2021-05-28 00:00:00,3.9296e-06,4.368e-06,3.667e-06,4.1429e-06,342995432.8956534,0.0
nftusdt,HUOBI,2021-05-29 00:00:00,4.1651e-06,4.35e-06,3.73e-06,3.77e-06,71770397.26468457,0.0
nftusdt,HUOBI,2021-05-30 00:00:00,3.7701e-06,3.8e-06,3.3333e-06,3.6759e-06,126641743.57240209,0.0
nftusdt,HUOBI,2021-05-31 00:00:00,3.676e-06,3.7279e-06,3.35e-06,3.5651e-06,184960379.22131532,0.0
nftusdt,HUOBI,2021-06-01 00:00:00,3.5686e-06,3.6919e-06,3.4465e-06,3.5522e-06,247238192.9420405,0.0
nftusdt,HUOBI,2021-06-02 00:00:00,3.5466e-06,3.5593e-06,3.193e-06,3.3442e-06,201787571.80483466,0.0
nftusdt,HUOBI,2021-06-03 00:00:00,3.3442e-06,3.3497e-06,3.1585e-06,3.2401e-06,148846390.0597901,0.0
nftusdt,HUOBI,2021-06-04 00:00:00,3.2348e-06,3.58e-06,3.011e-06,3.3611e-06,193028463.362202,0.0
nftusdt,HUOBI,2021-06-05 00:00:00,3.3552e-06,3.3618e-06,3.1e-06,3.2716e-06,144841243.80764213,0.0
nftusdt,HUOBI,2021-06-06 00:00:00,3.2716e-06,3.2716e-06,3.0691e-06,3.1182e-06,145559227.46223882,0.0
nftusdt,HUOBI,2021-06-07 00:00:00,3.1181e-06,3.1359e-06,3.0142e-06,3.0761e-06,136257716.66108075,0.0
nftusdt,HUOBI,2021-06-08 00:00:00,3.0739e-06,3.0739e-06,2.1417e-06,2.3798e-06,223406294.1985912,0.0
nftusdt,HUOBI,2021-06-09 00:00:00,2.3778e-06,2.7776e-06,2.28e-06,2.5939e-06,282463188.0690439,0.0
nftusdt,HUOBI,2021-06-10 00:00:00,2.5931e-06,2.6e-06,2.344e-06,2.418e-06,240001916.02000657,0.0
nftusdt,HUOBI,2021-06-11 00:00:00,2.418e-06,2.85e-06,2.3e-06,2.6639e-06,166276107.81619036,0.0
nftusdt,HUOBI,2021-06-12 00:00:00,2.6699e-06,2.6707e-06,2.2212e-06,2.3762e-06,28325753.432788964,0.0
nftusdt,HUOBI,2021-06-13 00:00:00,2.3733e-06,2.4311e-06,2.2021e-06,2.2649e-06,87794886.67870022,0.0
nftusdt,HUOBI,2021-06-14 00:00:00,2.2647e-06,2.425e-06,2.2453e-06,2.4109e-06,82969951.4359061,0.0
nftusdt,HUOBI,2021-06-15 00:00:00,2.4111e-06,2.412e-06,2.3e-06,2.3471e-06,85583568.69792427,0.0
nftusdt,HUOBI,2021-06-16 00:00:00,2.3506e-06,2.6e-06,2.33e-06,2.4426e-06,125779464.94046599,0.0
nftusdt,HUOBI,2021-06-17 00:00:00,2.4419e-06,2.868e-06,2.4388e-06,2.7964e-06,131896008.52972712,0.0
nftusdt,HUOBI,2021-06-18 00:00:00,2.7963e-06,3.88e-06,2.7301e-06,3.39e-06,126506428.76686245,0.0
nftusdt,HUOBI,2021-06-19 00:00:00,3.388e-06,3.7202e-06,2.817e-06,3.4665e-06,86049743.22984247,0.0
nftusdt,HUOBI,2021-06-20 00:00:00,3.4654e-06,4.688e-06,3.1768e-06,3.5707e-06,192575103.8244029,0.0
nftusdt,HUOBI,2021-06-21 00:00:00,3.5659e-06,4.1974e-06,2.5253e-06,2.9909e-06,104818868.61273703,0.0
nftusdt,HUOBI,2021-06-22 00:00:00,2.9906e-06,3.2274e-06,2.2979e-06,2.5138e-06,132931017.1382044,0.0
nftusdt,HUOBI,2021-06-23 00:00:00,2.5145e-06,3.2199e-06,2.4441e-06,3.0231e-06,161158910.93877172,0.0
nftusdt,HUOBI,2021-06-24 00:00:00,3.0234e-06,3.3333e-06,2.7647e-06,2.8708e-06,130629567.74274355,0.0
nftusdt,HUOBI,2021-06-25 00:00:00,2.8714e-06,2.89e-06,2.5263e-06,2.6202e-06,101302367.82517521,0.0
nftusdt,HUOBI,2021-06-26 00:00:00,2.6182e-06,2.7458e-06,2.425e-06,2.5316e-06,93590476.25459605,0.0
