symbol,exchange,datetime,open,high,low,close,volume,open_interest
nhbtcusdt,HUOBI,2020-12-17 00:00:00,0.9,4.5,0.9,2.9001,12436989.155691551,0.0
nhbtcusdt,HUOBI,2020-12-18 00:00:00,2.8801,3.1,1.7058,1.753,6270471.918272223,0.0
nhbtcusdt,HUOBI,2020-12-19 00:00:00,1.7574,2.3,1.753,1.9211,3861435.4629300493,0.0
nhbtcusdt,HUOBI,2020-12-20 00:00:00,1.9209,2.0658,1.405,1.5698,1905027.9135204637,0.0
nhbtcusdt,HUOBI,2020-12-21 00:00:00,1.5582,1.5698,1.153,1.3079,1059345.3000407666,0.0
nhbtcusdt,HUOBI,2020-12-22 00:00:00,1.3021,1.628,1.15,1.23,1706487.3815626383,0.0
nhbtcusdt,HUOBI,2020-12-23 00:00:00,1.23,1.28,0.93,1.0078,545247.99623689,0.0
nhbtcusdt,HUOBI,2020-12-24 00:00:00,1.0106,1.256,0.9,1.0481,815993.8376347787,0.0
nhbtcusdt,HUOBI,2020-12-25 00:00:00,1.0483,1.0587,0.9061,0.981,447088.7792459148,0.0
nhbtcusdt,HUOBI,2020-12-26 00:00:00,0.9818,0.9903,0.83,0.8693,352409.31866111,0.0
nhbtcusdt,HUOBI,2020-12-27 00:00:00,0.8709,0.8909,0.6515,0.7179,561877.3900597614,0.0
nhbtcusdt,HUOBI,2020-12-28 00:00:00,0.7181,0.82,0.6102,0.7686,443224.090846874,0.0
nhbtcusdt,HUOBI,2020-12-29 00:00:00,0.7689,1.09,0.6615,0.6735,1058146.3612389388,0.0
nhbtcusdt,HUOBI,2020-12-30 00:00:00,0.6763,0.8499,0.6739,0.7351,435731.221726157,0.0
nhbtcusdt,HUOBI,2020-12-31 00:00:00,0.7399,0.8201,0.6938,0.7196,305697.17496578716,0.0
nhbtcusdt,HUOBI,2021-01-01 00:00:00,0.7196,0.79,0.6705,0.7631,359238.83415266,0.0
nhbtcusdt,HUOBI,2021-01-02 00:00:00,0.7641,0.7798,0.705,0.7212,189947.02997726286,0.0
nhbtcusdt,HUOBI,2021-01-03 00:00:00,0.7177,0.7259,0.6101,0.6377,266145.16409025,0.0
nhbtcusdt,HUOBI,2021-01-04 00:00:00,0.6365,0.641,0.5612,0.5986,274381.64429362,0.0
nhbtcusdt,HUOBI,2021-01-05 00:00:00,0.5988,0.65,0.5666,0.6254,254579.40377674,0.0
nhbtcusdt,HUOBI,2021-01-06 00:00:00,0.6275,0.6499,0.6031,0.6396,207989.28667454392,0.0
nhbtcusdt,HUOBI,2021-01-07 00:00:00,0.6398,0.7331,0.6081,0.71,352589.6487075,0.0
nhbtcusdt,HUOBI,2021-01-08 00:00:00,0.711,1.34,0.64,0.9411,3126081.360490814,0.0
nhbtcusdt,HUOBI,2021-01-09 00:00:00,0.9411,1.18,0.751,0.8144,1769099.254995699,0.0
nhbtcusdt,HUOBI,2021-01-10 00:00:00,0.8139,0.8497,0.73,0.7749,680364.7364495252,0.0
nhbtcusdt,HUOBI,2021-01-11 00:00:00,0.7749,0.9117,0.6583,0.6644,815033.4167677206,0.0
nhbtcusdt,HUOBI,2021-01-12 00:00:00,0.6643,0.7325,0.6603,0.6961,336063.39042080886,0.0
nhbtcusdt,HUOBI,2021-01-13 00:00:00,0.6959,0.7868,0.68,0.7458,267453.70567657,0.0
nhbtcusdt,HUOBI,2021-01-14 00:00:00,0.7447,1.2999,0.7429,1.0871,4532672.992737098,0.0
nhbtcusdt,HUOBI,2021-01-15 00:00:00,1.0871,1.2202,0.928,0.9576,1787383.4965920888,0.0
nhbtcusdt,HUOBI,2021-01-16 00:00:00,0.951,1.088,0.873,0.9534,1689391.8755107515,0.0
nhbtcusdt,HUOBI,2021-01-17 00:00:00,0.9526,1.1094,0.895,1.0383,1194936.0114605906,0.0
nhbtcusdt,HUOBI,2021-01-18 00:00:00,1.0344,1.3305,1.0342,1.1889,2668579.221241446,0.0
nhbtcusdt,HUOBI,2021-01-19 00:00:00,1.1892,1.1903,1.0108,1.0707,1151377.8234100635,0.0
nhbtcusdt,HUOBI,2021-01-20 00:00:00,1.0707,1.0707,0.94,0.9537,598900.9723354612,0.0
nhbtcusdt,HUOBI,2021-01-21 00:00:00,0.9541,1.0462,0.9101,0.9802,615231.4032510754,0.0
nhbtcusdt,HUOBI,2021-01-22 00:00:00,0.98,0.9997,0.841,0.9,747020.1552668744,0.0
nhbtcusdt,HUOBI,2021-01-23 00:00:00,0.9024,0.9688,0.8122,0.9501,587737.9990917739,0.0
nhbtcusdt,HUOBI,2021-01-24 00:00:00,0.9595,1.0871,0.8911,0.9327,896272.8548675634,0.0
nhbtcusdt,HUOBI,2021-01-25 00:00:00,0.9314,0.9704,0.89,0.9149,407744.8654784252,0.0
nhbtcusdt,HUOBI,2021-01-26 00:00:00,0.9173,0.97,0.85,0.8624,291281.86278853,0.0
nhbtcusdt,HUOBI,2021-01-27 00:00:00,0.8624,0.925,0.73,0.7865,311302.1645756969,0.0
nhbtcusdt,HUOBI,2021-01-28 00:00:00,0.7866,0.85,0.7065,0.8087,291003.61693276,0.0
nhbtcusdt,HUOBI,2021-01-29 00:00:00,0.8028,0.8028,0.7089,0.7428,555077.7267085515,0.0
nhbtcusdt,HUOBI,2021-01-30 00:00:00,0.7434,0.8076,0.7202,0.7971,315052.958250314,0.0
nhbtcusdt,HUOBI,2021-01-31 00:00:00,0.7959,0.947,0.78,0.9104,477344.24227650947,0.0
nhbtcusdt,HUOBI,2021-02-01 00:00:00,0.9105,0.945,0.851,0.8644,283517.27020605,0.0
nhbtcusdt,HUOBI,2021-02-02 00:00:00,0.8669,0.8997,0.8158,0.892,234132.5843411642,0.0
nhbtcusdt,HUOBI,2021-02-03 00:00:00,0.8921,1.0296,0.881,0.9272,577951.4629111772,0.0
nhbtcusdt,HUOBI,2021-02-04 00:00:00,0.9319,1.1585,0.915,1.0875,893627.3634125916,0.0
nhbtcusdt,HUOBI,2021-02-05 00:00:00,1.0866,1.1,0.92,1.0433,1272074.1420321495,0.0
nhbtcusdt,HUOBI,2021-02-06 00:00:00,1.0434,1.0888,0.9663,1.0233,547594.442424071,0.0
nhbtcusdt,HUOBI,2021-02-07 00:00:00,1.0206,1.0471,0.931,0.9683,297483.4316433269,0.0
nhbtcusdt,HUOBI,2021-02-08 00:00:00,0.9639,1.0208,0.9369,0.9871,320167.5738357165,0.0
nhbtcusdt,HUOBI,2021-02-09 00:00:00,0.9872,1.05,0.972,1.007,402981.7308777828,0.0
nhbtcusdt,HUOBI,2021-02-10 00:00:00,1.006,1.1,0.9605,0.9881,662933.88953893,0.0
nhbtcusdt,HUOBI,2021-02-11 00:00:00,0.9909,1.13,0.9811,1.0917,689190.1869759692,0.0
nhbtcusdt,HUOBI,2021-02-12 00:00:00,1.091,1.31,1.0338,1.284,1788388.4907707234,0.0
nhbtcusdt,HUOBI,2021-02-13 00:00:00,1.2864,1.863,1.2404,1.6915,3672727.7795567904,0.0
nhbtcusdt,HUOBI,2021-02-14 00:00:00,1.6911,1.7999,1.55,1.5567,1063748.2572958989,0.0
nhbtcusdt,HUOBI,2021-02-15 00:00:00,1.5563,1.68,1.2565,1.4846,826083.66417526,0.0
nhbtcusdt,HUOBI,2021-02-16 00:00:00,1.4839,1.9666,1.4759,1.86,1790748.7739734717,0.0
nhbtcusdt,HUOBI,2021-02-17 00:00:00,1.86,1.87,1.6709,1.732,794530.4063968994,0.0
nhbtcusdt,HUOBI,2021-02-18 00:00:00,1.7369,1.82,1.6623,1.783,620438.43951653,0.0
nhbtcusdt,HUOBI,2021-02-19 00:00:00,1.7741,1.7756,1.5922,1.6132,1081824.0396724257,0.0
nhbtcusdt,HUOBI,2021-02-20 00:00:00,1.6132,1.715,1.4,1.6132,1089926.3416676933,0.0
nhbtcusdt,HUOBI,2021-02-21 00:00:00,1.615,1.7147,1.55,1.6513,899591.4510555906,0.0
nhbtcusdt,HUOBI,2021-02-22 00:00:00,1.6486,1.6898,1.3,1.5155,831989.3773788905,0.0
nhbtcusdt,HUOBI,2021-02-23 00:00:00,1.5198,1.7188,1.1112,1.2229,1118567.0287826657,0.0
nhbtcusdt,HUOBI,2021-02-24 00:00:00,1.2307,1.37,1.1301,1.2078,580818.0316485967,0.0
nhbtcusdt,HUOBI,2021-02-25 00:00:00,1.2128,1.3899,1.08,1.1887,403548.55627000006,0.0
nhbtcusdt,HUOBI,2021-02-26 00:00:00,1.1893,1.1893,0.8967,1.0397,845160.7154753625,0.0
nhbtcusdt,HUOBI,2021-02-27 00:00:00,1.0386,1.1801,0.9339,0.9923,477846.72700505186,0.0
nhbtcusdt,HUOBI,2021-02-28 00:00:00,0.9937,1.0095,0.7904,0.8005,440860.8864081454,0.0
nhbtcusdt,HUOBI,2021-03-01 00:00:00,0.8015,0.9444,0.755,0.9047,385422.19986619,0.0
nhbtcusdt,HUOBI,2021-03-02 00:00:00,0.9049,1.0601,0.8802,0.9538,381372.3266285077,0.0
nhbtcusdt,HUOBI,2021-03-03 00:00:00,0.9637,1.0556,0.9001,0.9904,354701.68552508,0.0
nhbtcusdt,HUOBI,2021-03-04 00:00:00,0.9909,1.12,0.9693,1.0496,510655.7435279207,0.0
nhbtcusdt,HUOBI,2021-03-05 00:00:00,1.0425,1.0425,0.9101,0.9511,536466.9605874524,0.0
nhbtcusdt,HUOBI,2021-03-06 00:00:00,0.9512,1.15,0.92,1.0371,795533.0195980564,0.0
nhbtcusdt,HUOBI,2021-03-07 00:00:00,1.0371,1.15,1.01,1.1011,465460.2321470044,0.0
nhbtcusdt,HUOBI,2021-03-08 00:00:00,1.1011,1.1549,1.02,1.0741,276777.62492836255,0.0
nhbtcusdt,HUOBI,2021-03-09 00:00:00,1.0758,1.1191,1.03,1.0636,251118.55837258673,0.0
nhbtcusdt,HUOBI,2021-03-10 00:00:00,1.0632,1.08,0.98,1.0081,228995.58926238,0.0
nhbtcusdt,HUOBI,2021-03-11 00:00:00,1.0038,1.008,0.9201,0.9895,261616.5581489,0.0
nhbtcusdt,HUOBI,2021-03-12 00:00:00,0.9849,1.1,0.95,0.9912,717918.1460143714,0.0
nhbtcusdt,HUOBI,2021-03-13 00:00:00,0.9918,1.0435,0.9524,1.0435,428499.28658824,0.0
nhbtcusdt,HUOBI,2021-03-14 00:00:00,1.0434,1.1375,1.0,1.1267,714734.7259060341,0.0
nhbtcusdt,HUOBI,2021-03-15 00:00:00,1.116,1.1269,0.98,1.0276,494405.43064224266,0.0
nhbtcusdt,HUOBI,2021-03-16 00:00:00,1.0275,1.0542,0.97,1.0472,196111.11303646295,0.0
nhbtcusdt,HUOBI,2021-03-17 00:00:00,1.0473,1.05,0.96,0.9887,306979.5482543409,0.0
nhbtcusdt,HUOBI,2021-03-18 00:00:00,0.9886,1.0663,0.9714,1.0501,399537.60109495686,0.0
nhbtcusdt,HUOBI,2021-03-19 00:00:00,1.0459,1.1,0.9999,1.0698,730945.1338255542,0.0
nhbtcusdt,HUOBI,2021-03-20 00:00:00,1.0697,1.253,1.051,1.1737,1594917.8550648417,0.0
nhbtcusdt,HUOBI,2021-03-21 00:00:00,1.1737,1.4112,1.1701,1.3796,1667838.292999449,0.0
nhbtcusdt,HUOBI,2021-03-22 00:00:00,1.3796,1.5,1.23,1.2615,1303463.9992497656,0.0
nhbtcusdt,HUOBI,2021-03-23 00:00:00,1.265,1.2694,1.1,1.1548,730766.7489691922,0.0
nhbtcusdt,HUOBI,2021-03-24 00:00:00,1.1502,1.2471,1.1,1.1665,701977.13567473,0.0
nhbtcusdt,HUOBI,2021-03-25 00:00:00,1.1578,1.1578,0.95,1.0093,579233.3455547049,0.0
nhbtcusdt,HUOBI,2021-03-26 00:00:00,1.0051,1.1574,0.965,1.0396,513783.89717659296,0.0
nhbtcusdt,HUOBI,2021-03-27 00:00:00,1.0399,1.094,1.0008,1.0552,409039.97378887,0.0
nhbtcusdt,HUOBI,2021-03-28 00:00:00,1.0525,1.12,1.01,1.0697,511264.0544261322,0.0
nhbtcusdt,HUOBI,2021-03-29 00:00:00,1.07,1.103,1.039,1.0887,494986.5854155349,0.0
nhbtcusdt,HUOBI,2021-03-30 00:00:00,1.0887,1.146,1.0692,1.122,566430.93887622,0.0
nhbtcusdt,HUOBI,2021-03-31 00:00:00,1.123,1.1478,1.05,1.0726,516619.05602300283,0.0
nhbtcusdt,HUOBI,2021-04-01 00:00:00,1.0724,1.1198,1.0499,1.0853,600459.1863248018,0.0
nhbtcusdt,HUOBI,2021-04-02 00:00:00,1.0853,1.188,1.03,1.1266,1013978.1269879966,0.0
nhbtcusdt,HUOBI,2021-04-03 00:00:00,1.1247,1.1283,1.0806,1.1165,320284.07574789,0.0
nhbtcusdt,HUOBI,2021-04-04 00:00:00,1.1165,1.13,1.02,1.1031,429364.09916071966,0.0
nhbtcusdt,HUOBI,2021-04-05 00:00:00,1.1031,1.1251,1.0208,1.1099,569222.133801147,0.0
nhbtcusdt,HUOBI,2021-04-06 00:00:00,1.11,1.134,1.0501,1.0571,561706.1512024553,0.0
nhbtcusdt,HUOBI,2021-04-07 00:00:00,1.0555,1.0835,0.9554,0.9916,493830.9863220036,0.0
nhbtcusdt,HUOBI,2021-04-08 00:00:00,0.9914,1.0595,0.9611,1.046,317728.9768799702,0.0
nhbtcusdt,HUOBI,2021-04-09 00:00:00,1.0458,1.0786,0.9953,1.0607,699699.8646490539,0.0
nhbtcusdt,HUOBI,2021-04-10 00:00:00,1.0606,1.075,1.0347,1.0485,307433.7730095,0.0
