symbol,exchange,datetime,open,high,low,close,volume,open_interest
nknusdt,HUOBI,2019-06-20 00:00:00,0.03355,0.084,0.03355,0.074282,6271493.9665603405,0.0
nknusdt,HUOBI,2019-06-21 00:00:00,0.074282,0.0792,0.054002,0.059999,3266322.5263264515,0.0
nknusdt,HUOBI,2019-06-22 00:00:00,0.0599,0.0688,0.052444,0.056,1954998.279825147,0.0
nknusdt,HUOBI,2019-06-23 00:00:00,0.056,0.058,0.052601,0.055807,531656.8674701223,0.0
nknusdt,HUOBI,2019-06-24 00:00:00,0.054608,0.062388,0.0535,0.056437,752883.6186447684,0.0
nknusdt,HUOBI,2019-06-25 00:00:00,0.056436,0.056666,0.05321,0.053502,364783.11886822,0.0
nknusdt,HUOBI,2019-06-26 00:00:00,0.0535,0.055555,0.048253,0.051501,291430.48327988567,0.0
nknusdt,HUOBI,2019-06-27 00:00:00,0.050042,0.053015,0.043205,0.045335,389223.3539560908,0.0
nknusdt,HUOBI,2019-06-28 00:00:00,0.045187,0.065999,0.04201,0.049538,1481943.1818203323,0.0
nknusdt,HUOBI,2019-06-29 00:00:00,0.049539,0.057777,0.048603,0.055,644326.1089492536,0.0
nknusdt,HUOBI,2019-06-30 00:00:00,0.055,0.0788,0.051103,0.075401,1495288.4361320646,0.0
nknusdt,HUOBI,2019-07-01 00:00:00,0.075401,0.08332,0.05828,0.061458,2218075.647181008,0.0
nknusdt,HUOBI,2019-07-02 00:00:00,0.060113,0.069703,0.0543,0.0591,1117267.7950651865,0.0
nknusdt,HUOBI,2019-07-03 00:00:00,0.0591,0.069703,0.057142,0.0634,2886258.341710146,0.0
nknusdt,HUOBI,2019-07-04 00:00:00,0.0634,0.068,0.057,0.057722,1282508.3064984109,0.0
nknusdt,HUOBI,2019-07-05 00:00:00,0.058003,0.063,0.0516,0.053285,885548.6001301066,0.0
nknusdt,HUOBI,2019-07-06 00:00:00,0.053285,0.062155,0.049538,0.0616,797773.2969354248,0.0
nknusdt,HUOBI,2019-07-07 00:00:00,0.0616,0.0616,0.05388,0.058529,576686.99571354,0.0
nknusdt,HUOBI,2019-07-08 00:00:00,0.058279,0.07,0.0545,0.063987,3141415.494340514,0.0
nknusdt,HUOBI,2019-07-09 00:00:00,0.063987,0.118522,0.061234,0.096599,17369364.3877207,0.0
nknusdt,HUOBI,2019-07-10 00:00:00,0.096599,0.1197,0.063999,0.070099,10931017.299175393,0.0
nknusdt,HUOBI,2019-07-11 00:00:00,0.070096,0.082217,0.061665,0.072115,2897440.145840021,0.0
nknusdt,HUOBI,2019-07-12 00:00:00,0.072118,0.074596,0.063141,0.067601,1131833.0474706036,0.0
nknusdt,HUOBI,2019-07-13 00:00:00,0.067984,0.0685,0.062991,0.065292,455784.9523749975,0.0
nknusdt,HUOBI,2019-07-14 00:00:00,0.065293,0.065294,0.0557,0.056175,344786.91996411,0.0
nknusdt,HUOBI,2019-07-15 00:00:00,0.056175,0.0649,0.056,0.064728,896721.3522412071,0.0
nknusdt,HUOBI,2019-07-16 00:00:00,0.064482,0.069,0.05621,0.05796,619939.5606400819,0.0
nknusdt,HUOBI,2019-07-17 00:00:00,0.05803,0.064,0.046972,0.049717,872194.519673403,0.0
nknusdt,HUOBI,2019-07-18 00:00:00,0.050199,0.05283,0.047,0.052107,378307.71783505,0.0
nknusdt,HUOBI,2019-07-19 00:00:00,0.052107,0.05383,0.047,0.049242,256800.63621367,0.0
nknusdt,HUOBI,2019-07-20 00:00:00,0.049242,0.053,0.048007,0.050665,164726.06810784,0.0
nknusdt,HUOBI,2019-07-21 00:00:00,0.050542,0.053,0.049795,0.052514,180067.77837275635,0.0
nknusdt,HUOBI,2019-07-22 00:00:00,0.052515,0.052995,0.04947,0.049947,182037.12219189,0.0
nknusdt,HUOBI,2019-07-23 00:00:00,0.049861,0.05104,0.044252,0.044465,267548.39380052,0.0
nknusdt,HUOBI,2019-07-24 00:00:00,0.04458,0.0448,0.0415,0.0448,204883.96319192,0.0
nknusdt,HUOBI,2019-07-25 00:00:00,0.0448,0.049198,0.042789,0.047795,235737.62413609133,0.0
