symbol,exchange,datetime,open,high,low,close,volume,open_interest
nodeusdt,HUOBI,2019-09-11 00:00:00,0.0022,0.009636,0.0022,0.005902,9630904.186183438,0.0
nodeusdt,HUOBI,2019-09-12 00:00:00,0.005902,0.0084,0.00523,0.007966,32538052.64165531,0.0
nodeusdt,HUOBI,2019-09-13 00:00:00,0.007897,0.00953,0.006866,0.008607,10720908.835612224,0.0
nodeusdt,HUOBI,2019-09-14 00:00:00,0.008607,0.009432,0.008339,0.008899,19887012.00506478,0.0
nodeusdt,HUOBI,2019-09-15 00:00:00,0.008873,0.009167,0.008342,0.008833,25291900.751357116,0.0
nodeusdt,HUOBI,2019-09-16 00:00:00,0.008837,0.008911,0.008557,0.008652,19201859.414090633,0.0
nodeusdt,HUOBI,2019-09-17 00:00:00,0.008631,0.014999,0.008587,0.013791,13981899.092796715,0.0
nodeusdt,HUOBI,2019-09-18 00:00:00,0.01372,0.016855,0.012529,0.015047,68211352.80625689,0.0
nodeusdt,HUOBI,2019-09-19 00:00:00,0.015088,0.0159,0.013,0.014067,12424350.552964823,0.0
nodeusdt,HUOBI,2019-09-20 00:00:00,0.01406,0.01633,0.01302,0.014995,25835132.649922326,0.0
nodeusdt,HUOBI,2019-09-21 00:00:00,0.014998,0.015769,0.0147,0.015301,30658106.80810203,0.0
nodeusdt,HUOBI,2019-09-22 00:00:00,0.015289,0.015359,0.014288,0.014706,13829146.985967126,0.0
nodeusdt,HUOBI,2019-09-23 00:00:00,0.014704,0.01647,0.0135,0.015724,21536472.241738904,0.0
nodeusdt,HUOBI,2019-09-24 00:00:00,0.015687,0.020801,0.0152,0.016424,49748654.383697964,0.0
nodeusdt,HUOBI,2019-09-25 00:00:00,0.016429,0.017353,0.011268,0.016495,21443217.842055105,0.0
nodeusdt,HUOBI,2019-09-26 00:00:00,0.016495,0.02,0.014196,0.015018,24800977.641884208,0.0
nodeusdt,HUOBI,2019-09-27 00:00:00,0.014965,0.01558,0.01345,0.014044,27787747.807839055,0.0
nodeusdt,HUOBI,2019-09-28 00:00:00,0.014079,0.0146,0.011791,0.012355,34042833.48661722,0.0
nodeusdt,HUOBI,2019-09-29 00:00:00,0.0124,0.014,0.009,0.009493,25331324.820190303,0.0
nodeusdt,HUOBI,2019-09-30 00:00:00,0.009494,0.010327,0.007495,0.008453,9119657.989497673,0.0
nodeusdt,HUOBI,2019-10-01 00:00:00,0.00845,0.0094,0.0077,0.008834,7230361.319236523,0.0
nodeusdt,HUOBI,2019-10-02 00:00:00,0.008884,0.010417,0.008633,0.010365,20546743.97764275,0.0
nodeusdt,HUOBI,2019-10-03 00:00:00,0.010365,0.011325,0.0093,0.009827,20480606.420200024,0.0
nodeusdt,HUOBI,2019-10-04 00:00:00,0.009836,0.010239,0.009403,0.009651,10020157.630167512,0.0
nodeusdt,HUOBI,2019-10-05 00:00:00,0.009651,0.009754,0.00874,0.008987,5427037.37236032,0.0
nodeusdt,HUOBI,2019-10-06 00:00:00,0.008987,0.009451,0.008294,0.008551,5712122.311316024,0.0
nodeusdt,HUOBI,2019-10-07 00:00:00,0.008552,0.0092,0.008108,0.009003,2875448.957533448,0.0
nodeusdt,HUOBI,2019-10-08 00:00:00,0.008986,0.009281,0.008649,0.009281,6493944.395445248,0.0
nodeusdt,HUOBI,2019-10-09 00:00:00,0.009281,0.009333,0.008225,0.008332,2115522.6543614,0.0
nodeusdt,HUOBI,2019-10-10 00:00:00,0.008334,0.008334,0.005666,0.006367,1974146.1203103631,0.0
nodeusdt,HUOBI,2019-10-11 00:00:00,0.006351,0.006588,0.004868,0.005113,3659925.9454574715,0.0
nodeusdt,HUOBI,2019-10-12 00:00:00,0.005113,0.006,0.004876,0.005765,927033.0786556453,0.0
nodeusdt,HUOBI,2019-10-13 00:00:00,0.005765,0.005765,0.004777,0.0055,805788.50429674,0.0
nodeusdt,HUOBI,2019-10-14 00:00:00,0.00548,0.006499,0.0052,0.006093,916821.5364990879,0.0
nodeusdt,HUOBI,2019-10-15 00:00:00,0.006093,0.009172,0.005941,0.0085,1997232.2875723923,0.0
nodeusdt,HUOBI,2019-10-16 00:00:00,0.0085,0.0097,0.007282,0.007691,3005959.7524350374,0.0
nodeusdt,HUOBI,2019-10-17 00:00:00,0.007612,0.00851,0.007188,0.008168,3005744.831867283,0.0
nodeusdt,HUOBI,2019-10-18 00:00:00,0.008168,0.01133,0.008151,0.010703,12950570.068751056,0.0
nodeusdt,HUOBI,2019-10-19 00:00:00,0.010711,0.010903,0.009,0.010903,5063452.192834082,0.0
nodeusdt,HUOBI,2019-10-20 00:00:00,0.010851,0.012878,0.01013,0.011469,4783922.326241362,0.0
nodeusdt,HUOBI,2019-10-21 00:00:00,0.01153,0.0123,0.007233,0.008575,4047775.8615855174,0.0
nodeusdt,HUOBI,2019-10-22 00:00:00,0.008558,0.00856,0.006,0.007119,2496818.42843238,0.0
nodeusdt,HUOBI,2019-10-23 00:00:00,0.007113,0.008438,0.006615,0.008322,3924551.6935085594,0.0
nodeusdt,HUOBI,2019-10-24 00:00:00,0.008319,0.008656,0.0077,0.008624,1761365.475581793,0.0
nodeusdt,HUOBI,2019-10-25 00:00:00,0.008603,0.014522,0.00805,0.012497,8396685.33662852,0.0
nodeusdt,HUOBI,2019-10-26 00:00:00,0.0125,0.0145,0.011474,0.012695,6487644.148132144,0.0
nodeusdt,HUOBI,2019-10-27 00:00:00,0.012692,0.014386,0.012,0.013345,17252104.731221408,0.0
nodeusdt,HUOBI,2019-10-28 00:00:00,0.013345,0.013432,0.012048,0.012709,16764370.688909568,0.0
nodeusdt,HUOBI,2019-10-29 00:00:00,0.012688,0.014008,0.012101,0.013245,10344067.270860132,0.0
nodeusdt,HUOBI,2019-10-30 00:00:00,0.013244,0.014025,0.01251,0.013783,13259782.177930543,0.0
nodeusdt,HUOBI,2019-10-31 00:00:00,0.013782,0.01399,0.013,0.013551,13283530.036322538,0.0
nodeusdt,HUOBI,2019-11-01 00:00:00,0.013553,0.013969,0.0134,0.013644,14495841.804084448,0.0
nodeusdt,HUOBI,2019-11-02 00:00:00,0.013634,0.015423,0.013511,0.014255,15554711.890770402,0.0
nodeusdt,HUOBI,2019-11-03 00:00:00,0.014178,0.014358,0.013,0.013588,15022163.4633886,0.0
nodeusdt,HUOBI,2019-11-04 00:00:00,0.013582,0.013959,0.012876,0.013431,13405261.45024429,0.0
nodeusdt,HUOBI,2019-11-05 00:00:00,0.013445,0.013696,0.013111,0.013359,14858074.199278362,0.0
nodeusdt,HUOBI,2019-11-06 00:00:00,0.013361,0.013898,0.013299,0.013581,8483761.77432601,0.0
nodeusdt,HUOBI,2019-11-07 00:00:00,0.01358,0.013992,0.01335,0.013598,278773.94342631137,0.0
nodeusdt,HUOBI,2019-11-08 00:00:00,0.013598,0.014066,0.01335,0.013375,1172398.5606508157,0.0
nodeusdt,HUOBI,2019-11-09 00:00:00,0.013442,0.0139,0.01335,0.013579,1656144.0871863824,0.0
nodeusdt,HUOBI,2019-11-10 00:00:00,0.013577,0.015533,0.013,0.015533,10981533.74718828,0.0
nodeusdt,HUOBI,2019-11-11 00:00:00,0.015494,0.017802,0.01148,0.011868,17451600.906967107,0.0
nodeusdt,HUOBI,2019-11-12 00:00:00,0.011866,0.012537,0.01055,0.011078,8538924.53181808,0.0
nodeusdt,HUOBI,2019-11-13 00:00:00,0.011038,0.01135,0.01001,0.010709,10112574.159835273,0.0
nodeusdt,HUOBI,2019-11-14 00:00:00,0.010711,0.010714,0.009302,0.009881,8748912.872814626,0.0
nodeusdt,HUOBI,2019-11-15 00:00:00,0.009877,0.010461,0.0089,0.009326,10555057.712746635,0.0
nodeusdt,HUOBI,2019-11-16 00:00:00,0.009323,0.009625,0.008614,0.008834,8308477.797763299,0.0
nodeusdt,HUOBI,2019-11-17 00:00:00,0.008831,0.009294,0.0086,0.009294,10599150.039525269,0.0
nodeusdt,HUOBI,2019-11-18 00:00:00,0.009294,0.009327,0.008717,0.008933,2893167.5716680633,0.0
nodeusdt,HUOBI,2019-11-19 00:00:00,0.008947,0.009168,0.007999,0.008152,7979323.443426081,0.0
nodeusdt,HUOBI,2019-11-20 00:00:00,0.008151,0.008151,0.007489,0.007685,5414792.679704171,0.0
nodeusdt,HUOBI,2019-11-21 00:00:00,0.007679,0.00861,0.007666,0.007925,9498373.526895436,0.0
nodeusdt,HUOBI,2019-11-22 00:00:00,0.007919,0.008463,0.0062,0.006833,5777162.205635028,0.0
nodeusdt,HUOBI,2019-11-23 00:00:00,0.006875,0.00715,0.00622,0.007049,1423310.94272825,0.0
nodeusdt,HUOBI,2019-11-24 00:00:00,0.00703,0.007261,0.0058,0.006032,3705793.553063577,0.0
nodeusdt,HUOBI,2019-11-25 00:00:00,0.006122,0.007272,0.005193,0.00664,3207648.409424215,0.0
nodeusdt,HUOBI,2019-11-26 00:00:00,0.006663,0.006955,0.006018,0.006476,4533262.24982139,0.0
nodeusdt,HUOBI,2019-11-27 00:00:00,0.006346,0.006882,0.005752,0.006503,2385228.3080005688,0.0
nodeusdt,HUOBI,2019-11-28 00:00:00,0.006544,0.008045,0.006243,0.00751,6914300.629723751,0.0
nodeusdt,HUOBI,2019-11-29 00:00:00,0.00751,0.008105,0.0066,0.007776,3787158.519402532,0.0
nodeusdt,HUOBI,2019-11-30 00:00:00,0.007778,0.007899,0.007,0.007047,5726111.041911239,0.0
nodeusdt,HUOBI,2019-12-01 00:00:00,0.007045,0.007435,0.006782,0.006838,1194218.75386635,0.0
nodeusdt,HUOBI,2019-12-02 00:00:00,0.006832,0.00688,0.006393,0.006545,748317.1478970553,0.0
nodeusdt,HUOBI,2019-12-03 00:00:00,0.006539,0.006624,0.006,0.006075,783785.14053112,0.0
nodeusdt,HUOBI,2019-12-04 00:00:00,0.006075,0.006583,0.005606,0.006196,1293950.687211782,0.0
nodeusdt,HUOBI,2019-12-05 00:00:00,0.006211,0.006591,0.00586,0.006591,5225025.791114983,0.0
nodeusdt,HUOBI,2019-12-06 00:00:00,0.006593,0.00662,0.006099,0.006418,3455568.0371256457,0.0
nodeusdt,HUOBI,2019-12-07 00:00:00,0.006418,0.00656,0.006301,0.006507,749259.6958049011,0.0
nodeusdt,HUOBI,2019-12-08 00:00:00,0.006506,0.006571,0.006266,0.006393,786835.8655893777,0.0
nodeusdt,HUOBI,2019-12-09 00:00:00,0.006391,0.006479,0.006163,0.006249,840740.7888142,0.0
nodeusdt,HUOBI,2019-12-10 00:00:00,0.00625,0.006392,0.00591,0.006349,719877.01784324,0.0
nodeusdt,HUOBI,2019-12-11 00:00:00,0.00635,0.006529,0.006046,0.006412,959497.11291211,0.0
nodeusdt,HUOBI,2019-12-12 00:00:00,0.006407,0.006416,0.006145,0.006251,1196016.80920388,0.0
nodeusdt,HUOBI,2019-12-13 00:00:00,0.006268,0.006449,0.006177,0.006383,6247210.62832938,0.0
nodeusdt,HUOBI,2019-12-14 00:00:00,0.006384,0.006782,0.006152,0.006595,11003423.53601609,0.0
nodeusdt,HUOBI,2019-12-15 00:00:00,0.006626,0.006759,0.00619,0.006596,10114874.097414328,0.0
nodeusdt,HUOBI,2019-12-16 00:00:00,0.006591,0.006596,0.006266,0.006401,8563722.101814194,0.0
nodeusdt,HUOBI,2019-12-17 00:00:00,0.006409,0.006413,0.005098,0.005166,18163992.748076875,0.0
nodeusdt,HUOBI,2019-12-18 00:00:00,0.005162,0.005226,0.00475,0.005007,12127853.54249737,0.0
nodeusdt,HUOBI,2019-12-19 00:00:00,0.004987,0.005288,0.004908,0.005219,20769299.09464467,0.0
nodeusdt,HUOBI,2019-12-20 00:00:00,0.00522,0.0055,0.005214,0.005403,17645287.737250794,0.0
nodeusdt,HUOBI,2019-12-21 00:00:00,0.005392,0.005963,0.005383,0.005856,20154640.622639813,0.0
nodeusdt,HUOBI,2019-12-22 00:00:00,0.005896,0.006099,0.005608,0.005802,9682285.606082533,0.0
nodeusdt,HUOBI,2019-12-23 00:00:00,0.005813,0.00646,0.005388,0.00646,12401918.820189033,0.0
nodeusdt,HUOBI,2019-12-24 00:00:00,0.006461,0.0073,0.00645,0.006694,18702383.597161934,0.0
nodeusdt,HUOBI,2019-12-25 00:00:00,0.006694,0.0067,0.005555,0.005694,12667446.930075226,0.0
nodeusdt,HUOBI,2019-12-26 00:00:00,0.005688,0.005726,0.005199,0.005337,10715620.111781754,0.0
nodeusdt,HUOBI,2019-12-27 00:00:00,0.005337,0.005657,0.005309,0.005365,10427635.518971516,0.0
nodeusdt,HUOBI,2019-12-28 00:00:00,0.005364,0.005364,0.0051,0.005236,7822752.91702513,0.0
nodeusdt,HUOBI,2019-12-29 00:00:00,0.005233,0.00529,0.005103,0.005194,6727194.80810013,0.0
nodeusdt,HUOBI,2019-12-30 00:00:00,0.005193,0.00529,0.005033,0.005183,8622357.796621803,0.0
nodeusdt,HUOBI,2019-12-31 00:00:00,0.005182,0.005242,0.004899,0.004924,7627467.02064049,0.0
nodeusdt,HUOBI,2020-01-01 00:00:00,0.004914,0.004973,0.00477,0.004831,1894981.39185883,0.0
nodeusdt,HUOBI,2020-01-02 00:00:00,0.004832,0.005199,0.004457,0.004529,8011177.586075455,0.0
nodeusdt,HUOBI,2020-01-03 00:00:00,0.004528,0.004812,0.004528,0.004749,4783718.445969202,0.0
nodeusdt,HUOBI,2020-01-04 00:00:00,0.00475,0.00519,0.00461,0.00518,4223258.189349515,0.0
nodeusdt,HUOBI,2020-01-05 00:00:00,0.005179,0.005509,0.004995,0.005273,1917941.7190173678,0.0
nodeusdt,HUOBI,2020-01-06 00:00:00,0.005278,0.00564,0.005088,0.005386,11730639.2521592,0.0
nodeusdt,HUOBI,2020-01-07 00:00:00,0.005379,0.0056,0.0051,0.005195,835650.0102045,0.0
nodeusdt,HUOBI,2020-01-08 00:00:00,0.00519,0.0055,0.0051,0.005143,1233522.6504978188,0.0
nodeusdt,HUOBI,2020-01-09 00:00:00,0.005135,0.005158,0.00495,0.00509,518266.6552246,0.0
nodeusdt,HUOBI,2020-01-10 00:00:00,0.00509,0.005199,0.004996,0.004999,1074563.55206092,0.0
nodeusdt,HUOBI,2020-01-11 00:00:00,0.004999,0.005059,0.004994,0.005032,611845.0841878,0.0
nodeusdt,HUOBI,2020-01-12 00:00:00,0.005033,0.005085,0.004994,0.00508,523974.76654412,0.0
nodeusdt,HUOBI,2020-01-13 00:00:00,0.005075,0.005199,0.004999,0.005011,673585.63793105,0.0
nodeusdt,HUOBI,2020-01-14 00:00:00,0.005011,0.00519,0.004957,0.00496,1972945.7748426425,0.0
nodeusdt,HUOBI,2020-01-15 00:00:00,0.00496,0.005033,0.0045,0.00497,417559.0994899304,0.0
nodeusdt,HUOBI,2020-01-16 00:00:00,0.004985,0.005,0.0047,0.004792,130203.33152725,0.0
nodeusdt,HUOBI,2020-01-17 00:00:00,0.004805,0.00493,0.004683,0.004735,177476.52051837,0.0
nodeusdt,HUOBI,2020-01-18 00:00:00,0.004739,0.004825,0.004501,0.004611,139021.5052121119,0.0
nodeusdt,HUOBI,2020-01-19 00:00:00,0.004582,0.004819,0.004488,0.004745,178216.56829459037,0.0
nodeusdt,HUOBI,2020-01-20 00:00:00,0.004732,0.004772,0.004551,0.004678,113248.65789276,0.0
nodeusdt,HUOBI,2020-01-21 00:00:00,0.004663,0.0047,0.004581,0.004631,43333.0289425,0.0
nodeusdt,HUOBI,2020-01-22 00:00:00,0.004623,0.004677,0.004568,0.004609,48810.998344838205,0.0
nodeusdt,HUOBI,2020-01-23 00:00:00,0.00461,0.004668,0.004576,0.004646,55862.205414733355,0.0
nodeusdt,HUOBI,2020-01-24 00:00:00,0.004645,0.004655,0.004481,0.004543,57366.01291473,0.0
nodeusdt,HUOBI,2020-01-25 00:00:00,0.004543,0.004591,0.004488,0.004558,46687.20910383,0.0
nodeusdt,HUOBI,2020-01-26 00:00:00,0.004567,0.004567,0.00449,0.004528,30570.64882114,0.0
nodeusdt,HUOBI,2020-01-27 00:00:00,0.004526,0.004546,0.00445,0.004477,53470.84156978,0.0
nodeusdt,HUOBI,2020-01-28 00:00:00,0.004475,0.00454,0.004464,0.004493,69979.50105008644,0.0
nodeusdt,HUOBI,2020-01-29 00:00:00,0.004487,0.0045,0.0044,0.004442,61463.40109049,0.0
nodeusdt,HUOBI,2020-01-30 00:00:00,0.004442,0.004446,0.004309,0.004385,82326.20460545016,0.0
nodeusdt,HUOBI,2020-01-31 00:00:00,0.004383,0.00481,0.004362,0.004623,344409.8390029105,0.0
nodeusdt,HUOBI,2020-02-01 00:00:00,0.004646,0.005345,0.004497,0.004978,802185.5641465494,0.0
nodeusdt,HUOBI,2020-02-02 00:00:00,0.004977,0.005177,0.004722,0.005002,237679.08018051,0.0
nodeusdt,HUOBI,2020-02-03 00:00:00,0.005005,0.0052,0.00486,0.004902,254605.32263831,0.0
nodeusdt,HUOBI,2020-02-04 00:00:00,0.0049,0.004999,0.004661,0.004713,219709.38238233433,0.0
nodeusdt,HUOBI,2020-02-05 00:00:00,0.004732,0.004789,0.004584,0.004678,442544.09972370754,0.0
nodeusdt,HUOBI,2020-02-06 00:00:00,0.00467,0.004678,0.00443,0.004505,741454.3206860684,0.0
nodeusdt,HUOBI,2020-02-07 00:00:00,0.004509,0.004678,0.004369,0.004647,686042.2041203924,0.0
nodeusdt,HUOBI,2020-02-08 00:00:00,0.004658,0.005466,0.00453,0.005184,1866941.5308895065,0.0
nodeusdt,HUOBI,2020-02-09 00:00:00,0.005199,0.00552,0.00453,0.005101,2243177.602883247,0.0
nodeusdt,HUOBI,2020-02-10 00:00:00,0.005184,0.0054,0.00469,0.004981,1255569.372315993,0.0
nodeusdt,HUOBI,2020-02-11 00:00:00,0.00498,0.00528,0.004723,0.005193,908947.6336310765,0.0
nodeusdt,HUOBI,2020-02-12 00:00:00,0.005191,0.005955,0.005007,0.00586,1969613.5236663488,0.0
nodeusdt,HUOBI,2020-02-13 00:00:00,0.00586,0.005875,0.0052,0.005494,1333991.5391790338,0.0
nodeusdt,HUOBI,2020-02-14 00:00:00,0.005483,0.005598,0.0052,0.005499,823372.0195174102,0.0
