symbol,exchange,datetime,open,high,low,close,volume,open_interest
nsureusdt,HUOBI,2020-12-08 00:00:00,0.6134,1.3,0.6134,1.0455,4127588.6500271754,0.0
nsureusdt,HUOBI,2020-12-09 00:00:00,1.0684,1.076,0.789,0.9545,2024424.907107545,0.0
nsureusdt,HUOBI,2020-12-10 00:00:00,0.9543,1.0794,0.8601,0.932,1580522.4408435605,0.0
nsureusdt,HUOBI,2020-12-11 00:00:00,0.9319,0.9798,0.8015,0.851,537435.4353931402,0.0
nsureusdt,HUOBI,2020-12-12 00:00:00,0.8511,0.8648,0.7992,0.8388,323688.26609934,0.0
nsureusdt,HUOBI,2020-12-13 00:00:00,0.839,0.8616,0.8058,0.848,250453.05290663996,0.0
nsureusdt,HUOBI,2020-12-14 00:00:00,0.8487,1.138,0.8105,1.1001,1419145.885777091,0.0
nsureusdt,HUOBI,2020-12-15 00:00:00,1.1132,1.138,0.9523,1.0799,828310.9828018581,0.0
nsureusdt,HUOBI,2020-12-16 00:00:00,1.0799,1.093,0.94,0.957,426972.12877418,0.0
nsureusdt,HUOBI,2020-12-17 00:00:00,0.9658,1.0759,0.8222,0.861,878357.8619326061,0.0
nsureusdt,HUOBI,2020-12-18 00:00:00,0.8592,0.945,0.83,0.9064,463143.14970599883,0.0
nsureusdt,HUOBI,2020-12-19 00:00:00,0.9086,0.9981,0.8642,0.9709,276376.057745269,0.0
nsureusdt,HUOBI,2020-12-20 00:00:00,0.9696,1.0587,0.8301,0.9155,336933.6139705556,0.0
nsureusdt,HUOBI,2020-12-21 00:00:00,0.9152,0.9258,0.8269,0.87,251663.04615660495,0.0
nsureusdt,HUOBI,2020-12-22 00:00:00,0.8735,0.9076,0.72,0.7374,377093.1435916953,0.0
nsureusdt,HUOBI,2020-12-23 00:00:00,0.7383,0.77,0.5657,0.6,476415.1062217496,0.0
nsureusdt,HUOBI,2020-12-24 00:00:00,0.6022,0.6079,0.4801,0.5977,338577.67140292,0.0
nsureusdt,HUOBI,2020-12-25 00:00:00,0.6,0.6378,0.5078,0.5799,365532.43962465,0.0
nsureusdt,HUOBI,2020-12-26 00:00:00,0.5826,0.6602,0.5512,0.5941,258702.65805598,0.0
nsureusdt,HUOBI,2020-12-27 00:00:00,0.594,0.6176,0.5428,0.5677,215105.22971629098,0.0
nsureusdt,HUOBI,2020-12-28 00:00:00,0.5677,0.8649,0.51,0.731,1294854.3320586684,0.0
nsureusdt,HUOBI,2020-12-29 00:00:00,0.7275,0.8059,0.605,0.6066,512636.4173316146,0.0
nsureusdt,HUOBI,2020-12-30 00:00:00,0.6051,0.7231,0.556,0.6216,414359.79450368,0.0
nsureusdt,HUOBI,2020-12-31 00:00:00,0.622,0.6407,0.5608,0.6026,177168.13237728,0.0
nsureusdt,HUOBI,2021-01-01 00:00:00,0.6028,0.606,0.5601,0.5984,207383.1178449217,0.0
nsureusdt,HUOBI,2021-01-02 00:00:00,0.5975,0.6,0.5402,0.5423,181945.24516008,0.0
nsureusdt,HUOBI,2021-01-03 00:00:00,0.5423,0.5825,0.5278,0.5528,231522.77487538,0.0
nsureusdt,HUOBI,2021-01-04 00:00:00,0.5575,0.6426,0.5134,0.5836,467213.56284231116,0.0
nsureusdt,HUOBI,2021-01-05 00:00:00,0.5806,0.6792,0.566,0.6428,325182.60618066107,0.0
nsureusdt,HUOBI,2021-01-06 00:00:00,0.6436,0.7579,0.6392,0.7096,460828.9981033624,0.0
nsureusdt,HUOBI,2021-01-07 00:00:00,0.7092,0.7412,0.64,0.6779,265347.75303584,0.0
nsureusdt,HUOBI,2021-01-08 00:00:00,0.6778,0.6897,0.58,0.612,213145.50734193,0.0
nsureusdt,HUOBI,2021-01-09 00:00:00,0.6126,0.6531,0.5413,0.5895,380173.27718324884,0.0
nsureusdt,HUOBI,2021-01-10 00:00:00,0.5896,0.6877,0.5837,0.6446,608370.71263281,0.0
nsureusdt,HUOBI,2021-01-11 00:00:00,0.6446,0.6678,0.57,0.586,434040.52259387384,0.0
nsureusdt,HUOBI,2021-01-12 00:00:00,0.5875,0.6199,0.5413,0.5738,177872.83804266,0.0
nsureusdt,HUOBI,2021-01-13 00:00:00,0.5743,0.6268,0.5537,0.617,430246.61087223,0.0
nsureusdt,HUOBI,2021-01-14 00:00:00,0.6182,0.6351,0.5763,0.5906,457516.78752550326,0.0
nsureusdt,HUOBI,2021-01-15 00:00:00,0.5912,0.64,0.57,0.6015,393097.40073757,0.0
nsureusdt,HUOBI,2021-01-16 00:00:00,0.6025,0.6958,0.5624,0.6948,485333.34971081314,0.0
nsureusdt,HUOBI,2021-01-17 00:00:00,0.695,0.7542,0.6462,0.6612,322918.26945711754,0.0
nsureusdt,HUOBI,2021-01-18 00:00:00,0.6602,0.8997,0.6513,0.8158,1030818.8595811627,0.0
nsureusdt,HUOBI,2021-01-19 00:00:00,0.8158,0.8686,0.755,0.7817,571777.3716951378,0.0
nsureusdt,HUOBI,2021-01-20 00:00:00,0.7782,0.8498,0.688,0.7147,499613.42319982126,0.0
nsureusdt,HUOBI,2021-01-21 00:00:00,0.7127,0.7993,0.6013,0.6496,327958.3147848781,0.0
nsureusdt,HUOBI,2021-01-22 00:00:00,0.65,0.713,0.5823,0.6653,833517.1927644763,0.0
nsureusdt,HUOBI,2021-01-23 00:00:00,0.6653,0.68,0.5903,0.6475,507147.48499482323,0.0
nsureusdt,HUOBI,2021-01-24 00:00:00,0.6461,0.7521,0.6461,0.6688,476340.78032553743,0.0
nsureusdt,HUOBI,2021-01-25 00:00:00,0.6692,0.7299,0.6602,0.7077,415352.98949884187,0.0
nsureusdt,HUOBI,2021-01-26 00:00:00,0.7078,0.7453,0.6412,0.6516,326290.40808639,0.0
nsureusdt,HUOBI,2021-01-27 00:00:00,0.6483,0.6816,0.5557,0.6006,318075.8672767174,0.0
nsureusdt,HUOBI,2021-01-28 00:00:00,0.5984,0.6483,0.55,0.6351,255829.88820875625,0.0
nsureusdt,HUOBI,2021-01-29 00:00:00,0.6341,0.662,0.5814,0.6009,234062.53301659966,0.0
nsureusdt,HUOBI,2021-01-30 00:00:00,0.6009,0.6289,0.5724,0.6289,189023.8632139478,0.0
nsureusdt,HUOBI,2021-01-31 00:00:00,0.6275,0.6332,0.58,0.6007,345865.53142286796,0.0
nsureusdt,HUOBI,2021-02-01 00:00:00,0.6023,0.6181,0.5281,0.5775,1027817.2384256944,0.0
nsureusdt,HUOBI,2021-02-02 00:00:00,0.5781,0.6515,0.5354,0.599,1391477.029160955,0.0
nsureusdt,HUOBI,2021-02-03 00:00:00,0.599,0.646,0.58,0.6352,768965.7592282072,0.0
nsureusdt,HUOBI,2021-02-04 00:00:00,0.6352,0.8,0.5888,0.6979,1306561.601859007,0.0
nsureusdt,HUOBI,2021-02-05 00:00:00,0.6975,0.8518,0.6699,0.8404,1242735.9526218174,0.0
nsureusdt,HUOBI,2021-02-06 00:00:00,0.8408,0.8948,0.73,0.7724,966378.7113098329,0.0
nsureusdt,HUOBI,2021-02-07 00:00:00,0.7724,0.83,0.7199,0.7296,702450.279729494,0.0
nsureusdt,HUOBI,2021-02-08 00:00:00,0.7309,0.788,0.7,0.7264,445813.2670055,0.0
nsureusdt,HUOBI,2021-02-09 00:00:00,0.7286,0.7979,0.71,0.7648,672499.2281071265,0.0
nsureusdt,HUOBI,2021-02-10 00:00:00,0.7699,0.8199,0.7137,0.7353,912865.679399328,0.0
nsureusdt,HUOBI,2021-02-11 00:00:00,0.7354,0.9899,0.7246,0.9564,915787.8840329004,0.0
nsureusdt,HUOBI,2021-02-12 00:00:00,0.9523,1.1691,0.9158,1.0813,958776.9496017522,0.0
nsureusdt,HUOBI,2021-02-13 00:00:00,1.077,1.6668,1.0756,1.2423,2881964.690326476,0.0
nsureusdt,HUOBI,2021-02-14 00:00:00,1.243,1.35,1.13,1.2139,1166373.2981762749,0.0
nsureusdt,HUOBI,2021-02-15 00:00:00,1.2111,1.3,0.9402,1.2425,1367295.050077395,0.0
nsureusdt,HUOBI,2021-02-16 00:00:00,1.2428,1.2888,1.0519,1.2001,1198679.0700389051,0.0
nsureusdt,HUOBI,2021-02-17 00:00:00,1.1949,2.0799,1.1101,1.7104,5519156.1477714125,0.0
nsureusdt,HUOBI,2021-02-18 00:00:00,1.7104,1.85,1.4561,1.5838,1974283.8246968442,0.0
nsureusdt,HUOBI,2021-02-19 00:00:00,1.5843,2.2,1.501,1.5804,2467909.996142458,0.0
nsureusdt,HUOBI,2021-02-20 00:00:00,1.5805,1.7,1.5,1.5628,876009.8015777939,0.0
nsureusdt,HUOBI,2021-02-21 00:00:00,1.5547,1.5619,1.2888,1.426,949189.9057358609,0.0
nsureusdt,HUOBI,2021-02-22 00:00:00,1.4204,1.9,1.121,1.3191,2633382.7203433677,0.0
nsureusdt,HUOBI,2021-02-23 00:00:00,1.3177,1.4524,0.818,1.1053,1742635.7276882015,0.0
nsureusdt,HUOBI,2021-02-24 00:00:00,1.1353,1.247,1.0004,1.1596,799363.6267645383,0.0
nsureusdt,HUOBI,2021-02-25 00:00:00,1.1604,1.2103,1.0001,1.1993,710084.3123176286,0.0
nsureusdt,HUOBI,2021-02-26 00:00:00,1.1891,1.1891,0.87,1.0048,625008.4217561558,0.0
nsureusdt,HUOBI,2021-02-27 00:00:00,1.003,1.0682,0.91,0.9317,295672.30670109,0.0
nsureusdt,HUOBI,2021-02-28 00:00:00,0.9308,1.006,0.7132,0.7258,600864.9114043647,0.0
nsureusdt,HUOBI,2021-03-01 00:00:00,0.7198,0.9599,0.6821,0.8887,718715.0808744351,0.0
nsureusdt,HUOBI,2021-03-02 00:00:00,0.8821,1.0479,0.8031,0.8986,1072305.3151761482,0.0
nsureusdt,HUOBI,2021-03-03 00:00:00,0.8983,0.9801,0.8302,0.9171,872710.9024247767,0.0
nsureusdt,HUOBI,2021-03-04 00:00:00,0.9171,1.09,0.9002,1.0165,493933.7177604392,0.0
nsureusdt,HUOBI,2021-03-05 00:00:00,1.0108,1.1,0.8401,0.9933,633850.9017708439,0.0
nsureusdt,HUOBI,2021-03-06 00:00:00,0.9916,1.0194,0.865,0.9304,503484.64690334135,0.0
nsureusdt,HUOBI,2021-03-07 00:00:00,0.9293,0.9697,0.91,0.9402,269032.399887764,0.0
nsureusdt,HUOBI,2021-03-08 00:00:00,0.938,1.03,0.9161,0.971,312836.15063058253,0.0
nsureusdt,HUOBI,2021-03-09 00:00:00,0.9701,1.1,0.9427,1.03,605919.1375145455,0.0
nsureusdt,HUOBI,2021-03-10 00:00:00,1.0372,1.1886,0.9591,1.0195,852716.2384945201,0.0
nsureusdt,HUOBI,2021-03-11 00:00:00,1.0217,1.0261,0.9055,0.9621,516410.9608989,0.0
nsureusdt,HUOBI,2021-03-12 00:00:00,0.9621,1.24,0.9433,1.1676,1064980.4971689396,0.0
nsureusdt,HUOBI,2021-03-13 00:00:00,1.167,1.277,1.01,1.2156,1142976.8108731543,0.0
nsureusdt,HUOBI,2021-03-14 00:00:00,1.2155,1.4878,1.1205,1.2916,1408124.4880540771,0.0
nsureusdt,HUOBI,2021-03-15 00:00:00,1.2935,1.67,1.21,1.6301,1719258.187321228,0.0
nsureusdt,HUOBI,2021-03-16 00:00:00,1.6284,1.95,1.4651,1.5484,1913676.6951298886,0.0
nsureusdt,HUOBI,2021-03-17 00:00:00,1.5525,1.6129,1.402,1.4974,767971.4881420573,0.0
nsureusdt,HUOBI,2021-03-18 00:00:00,1.4973,1.6904,1.4,1.4908,953161.9797536455,0.0
nsureusdt,HUOBI,2021-03-19 00:00:00,1.492,1.8,1.361,1.6479,1665646.9729984559,0.0
nsureusdt,HUOBI,2021-03-20 00:00:00,1.6481,1.74,1.6004,1.6567,406778.89468051,0.0
nsureusdt,HUOBI,2021-03-21 00:00:00,1.6567,1.7059,1.496,1.5875,444027.3846253326,0.0
nsureusdt,HUOBI,2021-03-22 00:00:00,1.586,1.6666,1.474,1.5386,644680.765024418,0.0
nsureusdt,HUOBI,2021-03-23 00:00:00,1.5418,1.5442,1.322,1.346,485390.18899289,0.0
nsureusdt,HUOBI,2021-03-24 00:00:00,1.3475,1.4167,1.19,1.3055,637641.3811192805,0.0
nsureusdt,HUOBI,2021-03-25 00:00:00,1.31,1.3609,1.05,1.0991,497839.7217712829,0.0
nsureusdt,HUOBI,2021-03-26 00:00:00,1.1039,1.3083,1.067,1.2213,676201.3017059778,0.0
nsureusdt,HUOBI,2021-03-27 00:00:00,1.2227,1.5263,1.2091,1.4504,898845.2993497344,0.0
nsureusdt,HUOBI,2021-03-28 00:00:00,1.4498,1.68,1.4397,1.4872,565885.8153439268,0.0
