symbol,exchange,datetime,open,high,low,close,volume,open_interest
nulsusdt,HUOBI,2019-04-24 00:00:00,0.8549,1.1396,0.75,0.836,2412521.0922680213,0.0
nulsusdt,HUOBI,2019-04-25 00:00:00,0.836,0.89,0.7589,0.802,1343354.59602089,0.0
nulsusdt,HUOBI,2019-04-26 00:00:00,0.8035,0.82,0.7,0.7324,301131.96433145,0.0
nulsusdt,HUOBI,2019-04-27 00:00:00,0.7301,0.7656,0.7149,0.7388,100287.53705683,0.0
nulsusdt,HUOBI,2019-04-28 00:00:00,0.7373,0.772,0.72,0.7546,163073.25567744722,0.0
nulsusdt,HUOBI,2019-04-29 00:00:00,0.7546,0.7549,0.66,0.6903,195734.46285287404,0.0
nulsusdt,HUOBI,2019-04-30 00:00:00,0.6914,0.7236,0.6813,0.7135,105163.40087206909,0.0
nulsusdt,HUOBI,2019-05-01 00:00:00,0.7145,0.74,0.7,0.7106,93160.65129555689,0.0
nulsusdt,HUOBI,2019-05-02 00:00:00,0.7106,0.7389,0.7,0.7088,31353.274995,0.0
nulsusdt,HUOBI,2019-05-03 00:00:00,0.7082,0.7119,0.6758,0.6965,102443.53025909,0.0
nulsusdt,HUOBI,2019-05-04 00:00:00,0.6972,0.7314,0.6494,0.6558,78514.8830042179,0.0
nulsusdt,HUOBI,2019-05-05 00:00:00,0.6565,0.6973,0.6499,0.6674,67035.37348008523,0.0
nulsusdt,HUOBI,2019-05-06 00:00:00,0.6675,0.73,0.61,0.7043,101875.45375378,0.0
nulsusdt,HUOBI,2019-05-07 00:00:00,0.7054,0.727,0.6625,0.6659,80671.30190441,0.0
nulsusdt,HUOBI,2019-05-08 00:00:00,0.6656,0.69,0.6446,0.6611,48602.520071,0.0
nulsusdt,HUOBI,2019-05-09 00:00:00,0.6611,0.6856,0.6137,0.6164,61413.31431817,0.0
nulsusdt,HUOBI,2019-05-10 00:00:00,0.6147,0.6341,0.5784,0.6224,42713.82518094,0.0
nulsusdt,HUOBI,2019-05-11 00:00:00,0.6214,0.6849,0.6031,0.6601,65245.17955664,0.0
nulsusdt,HUOBI,2019-05-12 00:00:00,0.6593,0.7198,0.6306,0.6316,124211.225471,0.0
nulsusdt,HUOBI,2019-05-13 00:00:00,0.6338,0.686,0.6306,0.6663,19895.561162,0.0
nulsusdt,HUOBI,2019-05-14 00:00:00,0.6666,0.7571,0.631,0.7571,81761.36095911,0.0
nulsusdt,HUOBI,2019-05-15 00:00:00,0.7478,0.8308,0.6696,0.781,261442.1469126,0.0
nulsusdt,HUOBI,2019-05-16 00:00:00,0.7779,0.85,0.7055,0.7577,408531.9684670933,0.0
nulsusdt,HUOBI,2019-05-17 00:00:00,0.7594,0.7671,0.6201,0.6677,693854.6003757063,0.0
nulsusdt,HUOBI,2019-05-18 00:00:00,0.669,0.7268,0.6579,0.6999,720101.92225646,0.0
nulsusdt,HUOBI,2019-05-19 00:00:00,0.6998,0.73,0.68,0.7063,132272.25763051,0.0
nulsusdt,HUOBI,2019-05-20 00:00:00,0.7069,0.735,0.6747,0.6967,708327.43551951,0.0
nulsusdt,HUOBI,2019-05-21 00:00:00,0.6981,0.7542,0.689,0.7279,747457.0528035,0.0
nulsusdt,HUOBI,2019-05-22 00:00:00,0.7277,0.7698,0.7084,0.7405,820250.71326608,0.0
nulsusdt,HUOBI,2019-05-23 00:00:00,0.7407,0.7527,0.689,0.7221,663882.20590603,0.0
nulsusdt,HUOBI,2019-05-24 00:00:00,0.7209,0.8434,0.7209,0.7813,794040.7346632207,0.0
nulsusdt,HUOBI,2019-05-25 00:00:00,0.7809,0.8346,0.7488,0.7744,785429.61105317,0.0
nulsusdt,HUOBI,2019-05-26 00:00:00,0.7744,0.8144,0.736,0.7505,172803.35455259,0.0
nulsusdt,HUOBI,2019-05-27 00:00:00,0.7505,0.794,0.7488,0.7765,776987.28701304,0.0
nulsusdt,HUOBI,2019-05-28 00:00:00,0.7757,0.8236,0.7575,0.7887,813836.63963784,0.0
nulsusdt,HUOBI,2019-05-29 00:00:00,0.7897,0.7971,0.74,0.7886,786086.82814226,0.0
nulsusdt,HUOBI,2019-05-30 00:00:00,0.7886,0.8285,0.7746,0.8067,856175.6112286093,0.0
nulsusdt,HUOBI,2019-05-31 00:00:00,0.805,0.8109,0.7231,0.7614,816516.5984582,0.0
nulsusdt,HUOBI,2019-06-01 00:00:00,0.7616,0.828,0.7573,0.7832,932882.2501560975,0.0
nulsusdt,HUOBI,2019-06-02 00:00:00,0.7818,0.804,0.7691,0.7921,198473.718061,0.0
nulsusdt,HUOBI,2019-06-03 00:00:00,0.7919,0.82,0.7494,0.7735,903933.1687214278,0.0
nulsusdt,HUOBI,2019-06-04 00:00:00,0.7728,0.797,0.7166,0.7563,854187.81056981,0.0
nulsusdt,HUOBI,2019-06-05 00:00:00,0.7573,0.7908,0.7035,0.7727,826229.9737899504,0.0
nulsusdt,HUOBI,2019-06-06 00:00:00,0.7727,0.8,0.74,0.7469,898855.8602985138,0.0
nulsusdt,HUOBI,2019-06-07 00:00:00,0.7497,0.785,0.72,0.7792,830297.1871811374,0.0
nulsusdt,HUOBI,2019-06-08 00:00:00,0.7794,0.8006,0.7727,0.7906,964466.4746711806,0.0
nulsusdt,HUOBI,2019-06-09 00:00:00,0.7907,0.825,0.7775,0.8038,1247969.7095126777,0.0
nulsusdt,HUOBI,2019-06-10 00:00:00,0.8048,1.0078,0.7631,0.9644,4110403.5203085807,0.0
nulsusdt,HUOBI,2019-06-11 00:00:00,0.9624,1.0511,0.882,0.8966,2542922.3070451715,0.0
nulsusdt,HUOBI,2019-06-12 00:00:00,0.8978,0.95,0.8783,0.8871,1385692.63540834,0.0
nulsusdt,HUOBI,2019-06-13 00:00:00,0.8866,0.9184,0.8631,0.8852,1114045.65401778,0.0
nulsusdt,HUOBI,2019-06-14 00:00:00,0.8856,0.9888,0.87,0.8741,1633308.564896228,0.0
nulsusdt,HUOBI,2019-06-15 00:00:00,0.8734,1.122,0.8648,1.0014,2774463.2388687036,0.0
nulsusdt,HUOBI,2019-06-16 00:00:00,1.0014,1.09,0.9472,0.9632,1547029.3869728951,0.0
nulsusdt,HUOBI,2019-06-17 00:00:00,0.9615,1.016,0.9485,0.99,1678345.07615994,0.0
nulsusdt,HUOBI,2019-06-18 00:00:00,0.9901,1.06,0.96,1.0033,1349202.4660098713,0.0
nulsusdt,HUOBI,2019-06-19 00:00:00,1.0044,1.098,0.969,1.0557,1596740.8282235696,0.0
nulsusdt,HUOBI,2019-06-20 00:00:00,1.0557,1.0777,0.9833,1.0015,1460929.007574921,0.0
nulsusdt,HUOBI,2019-06-21 00:00:00,1.0047,1.0472,0.9601,0.9666,1151907.6402645083,0.0
nulsusdt,HUOBI,2019-06-22 00:00:00,0.9643,1.03,0.9,0.9487,1336723.926156855,0.0
nulsusdt,HUOBI,2019-06-23 00:00:00,0.9496,1.0016,0.9395,0.9792,1025132.3846207601,0.0
nulsusdt,HUOBI,2019-06-24 00:00:00,0.9799,0.9843,0.922,0.9416,1191645.770798163,0.0
nulsusdt,HUOBI,2019-06-25 00:00:00,0.9416,0.9833,0.932,0.936,1230230.381359632,0.0
nulsusdt,HUOBI,2019-06-26 00:00:00,0.9424,0.98,0.9156,0.9417,1427530.948571606,0.0
nulsusdt,HUOBI,2019-06-27 00:00:00,0.9425,0.944,0.82,0.8353,1172980.8724551226,0.0
nulsusdt,HUOBI,2019-06-28 00:00:00,0.8432,0.869,0.7819,0.8598,929240.8182112147,0.0
nulsusdt,HUOBI,2019-06-29 00:00:00,0.8641,0.8736,0.831,0.851,939164.7472919775,0.0
nulsusdt,HUOBI,2019-06-30 00:00:00,0.8572,0.8999,0.811,0.8139,1164242.874735538,0.0
nulsusdt,HUOBI,2019-07-01 00:00:00,0.8111,0.9451,0.8,0.8374,1197437.974050385,0.0
nulsusdt,HUOBI,2019-07-02 00:00:00,0.843,0.918,0.8258,0.8407,1030878.0940205029,0.0
nulsusdt,HUOBI,2019-07-03 00:00:00,0.8437,0.9599,0.8348,0.9303,1144229.9841534693,0.0
nulsusdt,HUOBI,2019-07-04 00:00:00,0.9278,0.975,0.9127,0.9242,1067206.553680282,0.0
nulsusdt,HUOBI,2019-07-05 00:00:00,0.9242,0.9413,0.8829,0.92,1023157.8119410216,0.0
nulsusdt,HUOBI,2019-07-06 00:00:00,0.9229,0.9997,0.9166,0.98,1294443.3865849932,0.0
nulsusdt,HUOBI,2019-07-07 00:00:00,0.9799,0.9998,0.948,0.948,1034845.28693684,0.0
