symbol,exchange,datetime,open,high,low,close,volume,open_interest
nuusdt,HUOBI,2021-04-28 00:00:00,0.3886,0.657,0.3885,0.5563,25635747.488385264,0.0
nuusdt,HUOBI,2021-04-29 00:00:00,0.5556,0.59,0.49,0.526,10724531.409928372,0.0
nuusdt,HUOBI,2021-04-30 00:00:00,0.5262,0.5628,0.5018,0.525,6939644.3468388375,0.0
nuusdt,HUOBI,2021-05-01 00:00:00,0.525,0.535,0.509,0.5138,3799820.026498142,0.0
nuusdt,HUOBI,2021-05-02 00:00:00,0.5148,0.523,0.49,0.5083,2423975.9467737665,0.0
nuusdt,HUOBI,2021-05-03 00:00:00,0.5074,0.52,0.4989,0.5104,1645420.9544486022,0.0
nuusdt,HUOBI,2021-05-04 00:00:00,0.5104,0.5271,0.4682,0.4701,2972814.0816237214,0.0
nuusdt,HUOBI,2021-05-05 00:00:00,0.4699,0.5031,0.4558,0.4711,2794663.49047515,0.0
nuusdt,HUOBI,2021-05-06 00:00:00,0.4711,0.4815,0.46,0.4661,2426389.3090575133,0.0
nuusdt,HUOBI,2021-05-07 00:00:00,0.4658,0.4765,0.4473,0.4755,1913876.1855186645,0.0
nuusdt,HUOBI,2021-05-08 00:00:00,0.475,0.4961,0.4558,0.4732,3012393.8463254687,0.0
nuusdt,HUOBI,2021-05-09 00:00:00,0.4735,0.4859,0.4525,0.462,1402483.44352513,0.0
nuusdt,HUOBI,2021-05-10 00:00:00,0.462,0.4931,0.438,0.4493,2853206.7980889115,0.0
nuusdt,HUOBI,2021-05-11 00:00:00,0.4486,0.4595,0.4146,0.4325,2327555.9275169745,0.0
nuusdt,HUOBI,2021-05-12 00:00:00,0.4325,0.477,0.4315,0.4513,2223255.426653016,0.0
nuusdt,HUOBI,2021-05-13 00:00:00,0.4515,0.4516,0.3802,0.4005,3242747.964774721,0.0
nuusdt,HUOBI,2021-05-14 00:00:00,0.4007,0.4347,0.3801,0.4341,2154091.98090241,0.0
nuusdt,HUOBI,2021-05-15 00:00:00,0.4345,0.435,0.3941,0.4026,1658612.9688433888,0.0
nuusdt,HUOBI,2021-05-16 00:00:00,0.4007,0.4339,0.3827,0.4027,2400638.95414372,0.0
nuusdt,HUOBI,2021-05-17 00:00:00,0.4026,0.4082,0.3335,0.3683,3108016.7575717447,0.0
nuusdt,HUOBI,2021-05-18 00:00:00,0.368,0.4699,0.3555,0.4035,8637461.137609582,0.0
nuusdt,HUOBI,2021-05-19 00:00:00,0.4039,0.4119,0.28,0.3378,4283387.89068684,0.0
nuusdt,HUOBI,2021-05-20 00:00:00,0.3377,0.366,0.2797,0.351,2819889.27865276,0.0
nuusdt,HUOBI,2021-05-21 00:00:00,0.3517,0.4265,0.2974,0.3549,7694347.849011715,0.0
nuusdt,HUOBI,2021-05-22 00:00:00,0.3461,0.41,0.2843,0.303,3390847.482424867,0.0
nuusdt,HUOBI,2021-05-23 00:00:00,0.3014,0.3048,0.1997,0.2222,2592510.48062106,0.0
nuusdt,HUOBI,2021-05-24 00:00:00,0.2219,0.2685,0.2048,0.2591,1634184.10693218,0.0
nuusdt,HUOBI,2021-05-25 00:00:00,0.2598,0.2893,0.2432,0.2667,2305276.85437511,0.0
nuusdt,HUOBI,2021-05-26 00:00:00,0.2661,0.3055,0.2619,0.2989,1385420.145813059,0.0
nuusdt,HUOBI,2021-05-27 00:00:00,0.2993,0.3757,0.2947,0.332,2665054.277021178,0.0
nuusdt,HUOBI,2021-05-28 00:00:00,0.3322,0.3676,0.2851,0.3088,2387998.349413015,0.0
nuusdt,HUOBI,2021-05-29 00:00:00,0.3094,0.3117,0.2709,0.2769,1002222.13816002,0.0
nuusdt,HUOBI,2021-05-30 00:00:00,0.2773,0.3029,0.2649,0.2841,1239203.47972513,0.0
nuusdt,HUOBI,2021-05-31 00:00:00,0.2841,0.3115,0.2775,0.3021,1259169.5526957656,0.0
nuusdt,HUOBI,2021-06-01 00:00:00,0.302,0.3165,0.295,0.302,1416641.43905439,0.0
nuusdt,HUOBI,2021-06-02 00:00:00,0.302,0.3244,0.2958,0.3228,936552.40014875,0.0
nuusdt,HUOBI,2021-06-03 00:00:00,0.3224,0.3801,0.3149,0.3539,2934793.154901675,0.0
nuusdt,HUOBI,2021-06-04 00:00:00,0.3537,0.6554,0.3162,0.4738,35221969.04413775,0.0
nuusdt,HUOBI,2021-06-05 00:00:00,0.4738,0.5114,0.3838,0.4038,12842841.682182536,0.0
nuusdt,HUOBI,2021-06-06 00:00:00,0.4033,0.4054,0.3654,0.3719,4748226.542449066,0.0
nuusdt,HUOBI,2021-06-07 00:00:00,0.3725,0.3949,0.3526,0.3567,2495965.2358636633,0.0
nuusdt,HUOBI,2021-06-08 00:00:00,0.3571,0.3576,0.2858,0.2909,3028941.0319693834,0.0
nuusdt,HUOBI,2021-06-09 00:00:00,0.2907,0.375,0.2883,0.3295,7126299.711279544,0.0
nuusdt,HUOBI,2021-06-10 00:00:00,0.3295,0.3563,0.3163,0.3163,1725821.40462624,0.0
nuusdt,HUOBI,2021-06-11 00:00:00,0.3169,0.3203,0.289,0.297,1525535.55903605,0.0
nuusdt,HUOBI,2021-06-12 00:00:00,0.2973,0.3001,0.2556,0.2854,1175189.35790571,0.0
nuusdt,HUOBI,2021-06-13 00:00:00,0.2858,0.3375,0.2818,0.3032,5382402.443767801,0.0
nuusdt,HUOBI,2021-06-14 00:00:00,0.3029,0.3283,0.2976,0.3158,1527180.06626694,0.0
nuusdt,HUOBI,2021-06-15 00:00:00,0.3157,0.3178,0.2956,0.2997,868346.2918385265,0.0
nuusdt,HUOBI,2021-06-16 00:00:00,0.2999,0.3122,0.2805,0.2809,837175.4700526231,0.0
nuusdt,HUOBI,2021-06-17 00:00:00,0.2809,0.2994,0.2763,0.2965,1424016.83580508,0.0
nuusdt,HUOBI,2021-06-18 00:00:00,0.296,0.42,0.2898,0.2917,12513079.108238792,0.0
nuusdt,HUOBI,2021-06-19 00:00:00,0.2913,0.3057,0.285,0.3021,1498872.1789024079,0.0
nuusdt,HUOBI,2021-06-20 00:00:00,0.3019,0.3033,0.262,0.2777,1001187.2608846396,0.0
nuusdt,HUOBI,2021-06-21 00:00:00,0.277,0.2882,0.2548,0.2605,1043839.72789714,0.0
nuusdt,HUOBI,2021-06-22 00:00:00,0.2603,0.2637,0.1992,0.2197,1085551.48099646,0.0
nuusdt,HUOBI,2021-06-23 00:00:00,0.22,0.2429,0.21,0.2315,912359.1665251809,0.0
nuusdt,HUOBI,2021-06-24 00:00:00,0.2314,0.2515,0.2203,0.2325,1025888.70993148,0.0
nuusdt,HUOBI,2021-06-25 00:00:00,0.2321,0.238,0.2131,0.2192,628524.5587278072,0.0
nuusdt,HUOBI,2021-06-26 00:00:00,0.2193,0.2238,0.2025,0.2096,529814.9772379718,0.0
nuusdt,HUOBI,2021-06-27 00:00:00,0.2091,0.278,0.2074,0.2383,5468294.8004832715,0.0
nuusdt,HUOBI,2021-06-28 00:00:00,0.2376,0.2548,0.2236,0.2424,2332878.5789402537,0.0
nuusdt,HUOBI,2021-06-29 00:00:00,0.2418,0.2551,0.2303,0.2446,1119391.41540148,0.0
nuusdt,HUOBI,2021-06-30 00:00:00,0.2441,0.2473,0.2248,0.2261,1006179.75986382,0.0
nuusdt,HUOBI,2021-07-01 00:00:00,0.2261,0.2505,0.225,0.2291,1255848.820816306,0.0
nuusdt,HUOBI,2021-07-02 00:00:00,0.2295,0.2419,0.225,0.2313,1551644.52038765,0.0
nuusdt,HUOBI,2021-07-03 00:00:00,0.2306,0.243,0.2291,0.2392,908390.68966946,0.0
nuusdt,HUOBI,2021-07-04 00:00:00,0.2389,0.2427,0.2295,0.2384,770527.6718753,0.0
nuusdt,HUOBI,2021-07-05 00:00:00,0.2386,0.2579,0.2359,0.2386,1556781.765568571,0.0
nuusdt,HUOBI,2021-07-06 00:00:00,0.2378,0.2489,0.232,0.2419,921198.82863158,0.0
nuusdt,HUOBI,2021-07-07 00:00:00,0.2424,0.2795,0.2389,0.2579,1966631.6453412424,0.0
nuusdt,HUOBI,2021-07-08 00:00:00,0.2579,0.274,0.235,0.2446,953478.6856597513,0.0
nuusdt,HUOBI,2021-07-09 00:00:00,0.2447,0.2476,0.2294,0.2362,1400000.68537798,0.0
nuusdt,HUOBI,2021-07-10 00:00:00,0.2364,0.2453,0.2326,0.2372,285247.43763993,0.0
