symbol,exchange,datetime,open,high,low,close,volume,open_interest
o3usdt,HUOBI,2021-05-13 00:00:00,1.0,20.0,1.0,9.9,147948173.17928484,0.0
o3usdt,HUOBI,2021-05-14 00:00:00,9.9,10.8,5.6065,5.8703,66191528.47230463,0.0
o3usdt,HUOBI,2021-05-15 00:00:00,5.8764,5.889,4.6138,4.7843,26771674.250382956,0.0
o3usdt,HUOBI,2021-05-16 00:00:00,4.7531,6.87,4.04,6.15,41094047.74877093,0.0
o3usdt,HUOBI,2021-05-17 00:00:00,6.1499,6.7892,5.0,5.8813,29952606.678123076,0.0
o3usdt,HUOBI,2021-05-18 00:00:00,5.8819,6.46,5.3552,5.57,13274913.020585816,0.0
o3usdt,HUOBI,2021-05-19 00:00:00,5.5701,5.735,2.5,3.8676,12845857.488519037,0.0
o3usdt,HUOBI,2021-05-20 00:00:00,3.8525,5.2222,3.3113,4.149,17319639.8190828,0.0
o3usdt,HUOBI,2021-05-21 00:00:00,4.1242,4.1375,3.3,3.3629,7139184.71646032,0.0
o3usdt,HUOBI,2021-05-22 00:00:00,3.3657,3.848,2.8303,3.0233,5907094.8800103115,0.0
o3usdt,HUOBI,2021-05-23 00:00:00,3.0233,3.0233,2.1004,2.1654,4337696.042353461,0.0
o3usdt,HUOBI,2021-05-24 00:00:00,2.1828,2.6093,1.81,2.4341,5638789.527162689,0.0
o3usdt,HUOBI,2021-05-25 00:00:00,2.4241,2.8,2.1852,2.5685,5036556.316562959,0.0
o3usdt,HUOBI,2021-05-26 00:00:00,2.5472,3.2,2.5401,2.8575,8679159.223640554,0.0
o3usdt,HUOBI,2021-05-27 00:00:00,2.854,3.3921,2.485,2.9712,5407167.16853969,0.0
o3usdt,HUOBI,2021-05-28 00:00:00,2.9531,3.2494,2.42,2.8149,5088311.378665207,0.0
o3usdt,HUOBI,2021-05-29 00:00:00,2.8197,3.1,2.5692,2.8693,3029618.397969227,0.0
o3usdt,HUOBI,2021-05-30 00:00:00,2.8856,2.9197,2.6501,2.81,1933208.8269991153,0.0
o3usdt,HUOBI,2021-05-31 00:00:00,2.81,2.8143,2.5203,2.7278,2329908.557643377,0.0
o3usdt,HUOBI,2021-06-01 00:00:00,2.7398,2.742,2.45,2.6417,2167645.83490018,0.0
o3usdt,HUOBI,2021-06-02 00:00:00,2.6197,2.621,2.4038,2.5564,2246011.644555869,0.0
o3usdt,HUOBI,2021-06-03 00:00:00,2.568,2.5692,2.3999,2.4766,1838668.7537949,0.0
o3usdt,HUOBI,2021-06-04 00:00:00,2.477,2.6594,2.32,2.4435,2739792.4712166865,0.0
o3usdt,HUOBI,2021-06-05 00:00:00,2.4432,2.5,2.3,2.3617,1418208.5190385517,0.0
o3usdt,HUOBI,2021-06-06 00:00:00,2.3615,2.4888,2.3211,2.4499,1613627.729939145,0.0
o3usdt,HUOBI,2021-06-07 00:00:00,2.444,2.488,2.362,2.407,1189672.31383187,0.0
o3usdt,HUOBI,2021-06-08 00:00:00,2.4004,2.438,1.84,1.9239,2167738.625435862,0.0
o3usdt,HUOBI,2021-06-09 00:00:00,1.929,2.1023,1.82,2.0057,2106739.00578117,0.0
o3usdt,HUOBI,2021-06-10 00:00:00,2.0172,2.026,1.8735,1.8957,951977.26506021,0.0
o3usdt,HUOBI,2021-06-11 00:00:00,1.8945,1.95,1.8,1.8703,1127009.52680206,0.0
o3usdt,HUOBI,2021-06-12 00:00:00,1.8802,1.9034,1.5,1.6516,1658965.13186648,0.0
o3usdt,HUOBI,2021-06-13 00:00:00,1.6455,1.6629,1.51,1.5798,852154.049109029,0.0
o3usdt,HUOBI,2021-06-14 00:00:00,1.573,2.5224,1.5531,2.4282,11999583.666582532,0.0
o3usdt,HUOBI,2021-06-15 00:00:00,2.429,3.28,2.0502,2.7536,17287800.307813603,0.0
o3usdt,HUOBI,2021-06-16 00:00:00,2.7536,4.5,2.6251,3.9437,39604722.15932681,0.0
o3usdt,HUOBI,2021-06-17 00:00:00,3.9437,6.2,3.51,5.5302,50447138.176368654,0.0
o3usdt,HUOBI,2021-06-18 00:00:00,5.549,7.98,5.12,6.8101,77201690.42279488,0.0
o3usdt,HUOBI,2021-06-19 00:00:00,6.8101,11.99,6.7779,11.9494,170958771.0702714,0.0
o3usdt,HUOBI,2021-06-20 00:00:00,11.9438,15.8,6.1389,7.1419,228883612.77806106,0.0
o3usdt,HUOBI,2021-06-21 00:00:00,7.1682,7.7,3.73,4.81,91532777.21551673,0.0
o3usdt,HUOBI,2021-06-22 00:00:00,4.8717,5.5981,3.3688,5.45,74119092.54772355,0.0
o3usdt,HUOBI,2021-06-23 00:00:00,5.3893,5.96,4.2098,5.1971,68414140.79248723,0.0
o3usdt,HUOBI,2021-06-24 00:00:00,5.1972,5.8,4.7424,5.0759,38246556.97703389,0.0
o3usdt,HUOBI,2021-06-25 00:00:00,5.032,5.0547,4.0812,4.1833,22762982.862044096,0.0
o3usdt,HUOBI,2021-06-26 00:00:00,4.1833,4.4999,3.4316,3.7517,14891416.625062825,0.0
o3usdt,HUOBI,2021-06-27 00:00:00,3.7517,3.9999,3.4231,3.6944,15856824.59870452,0.0
