symbol,exchange,datetime,open,high,low,close,volume,open_interest
ognusdt,HUOBI,2020-06-18 00:00:00,0.2179,0.428,0.2179,0.422,22155897.68642558,0.0
ognusdt,HUOBI,2020-06-19 00:00:00,0.4218,0.4958,0.337,0.3559,25560680.600479398,0.0
ognusdt,HUOBI,2020-06-20 00:00:00,0.356,0.3562,0.307,0.312,6271926.230723388,0.0
ognusdt,HUOBI,2020-06-21 00:00:00,0.3136,0.3313,0.2913,0.3095,3166718.1704183277,0.0
ognusdt,HUOBI,2020-06-22 00:00:00,0.3075,0.3195,0.2999,0.3084,1589556.759300644,0.0
ognusdt,HUOBI,2020-06-23 00:00:00,0.3088,0.3577,0.3041,0.3351,3270621.825384757,0.0
ognusdt,HUOBI,2020-06-24 00:00:00,0.335,0.3374,0.295,0.2984,2846165.8826720854,0.0
ognusdt,HUOBI,2020-06-25 00:00:00,0.2981,0.3057,0.2703,0.292,902807.03653963,0.0
ognusdt,HUOBI,2020-06-26 00:00:00,0.2919,0.2919,0.2558,0.2711,806304.6464162152,0.0
ognusdt,HUOBI,2020-06-27 00:00:00,0.2712,0.2756,0.2604,0.2632,405782.34077614924,0.0
ognusdt,HUOBI,2020-06-28 00:00:00,0.2632,0.269,0.2334,0.2669,836792.77355074,0.0
ognusdt,HUOBI,2020-06-29 00:00:00,0.2669,0.295,0.2508,0.2727,957416.9377465164,0.0
ognusdt,HUOBI,2020-06-30 00:00:00,0.2728,0.2977,0.2701,0.282,691140.229565541,0.0
ognusdt,HUOBI,2020-07-01 00:00:00,0.2803,0.2839,0.2622,0.27,303846.4506562162,0.0
ognusdt,HUOBI,2020-07-02 00:00:00,0.27,0.2706,0.2544,0.2544,359439.69547377765,0.0
ognusdt,HUOBI,2020-07-03 00:00:00,0.254,0.2627,0.245,0.2579,238582.8099237462,0.0
ognusdt,HUOBI,2020-07-04 00:00:00,0.2581,0.2836,0.2513,0.2695,655166.9548348326,0.0
ognusdt,HUOBI,2020-07-05 00:00:00,0.2693,0.286,0.26,0.2623,438742.112798877,0.0
ognusdt,HUOBI,2020-07-06 00:00:00,0.2633,0.278,0.26,0.2728,438567.105429032,0.0
ognusdt,HUOBI,2020-07-07 00:00:00,0.2725,0.2859,0.2717,0.2839,633904.5217896086,0.0
ognusdt,HUOBI,2020-07-08 00:00:00,0.2839,0.3095,0.2816,0.2952,1028472.1706266942,0.0
ognusdt,HUOBI,2020-07-09 00:00:00,0.2956,0.3429,0.2873,0.3246,2165994.0397068025,0.0
ognusdt,HUOBI,2020-07-10 00:00:00,0.3242,0.3435,0.3069,0.3126,1289647.7117242434,0.0
ognusdt,HUOBI,2020-07-11 00:00:00,0.3126,0.319,0.3023,0.308,370098.70280768647,0.0
ognusdt,HUOBI,2020-07-12 00:00:00,0.308,0.325,0.305,0.3168,406920.8085431391,0.0
ognusdt,HUOBI,2020-07-13 00:00:00,0.3169,0.3184,0.3005,0.3046,525002.24086264,0.0
ognusdt,HUOBI,2020-07-14 00:00:00,0.3047,0.3099,0.285,0.2885,419001.86565359,0.0
ognusdt,HUOBI,2020-07-15 00:00:00,0.2888,0.311,0.2882,0.2993,399948.0618923775,0.0
ognusdt,HUOBI,2020-07-16 00:00:00,0.2987,0.315,0.2782,0.2872,611806.4817001421,0.0
ognusdt,HUOBI,2020-07-17 00:00:00,0.2882,0.328,0.2865,0.3204,999477.332370548,0.0
ognusdt,HUOBI,2020-07-18 00:00:00,0.3206,0.34,0.3126,0.3276,670618.3000663822,0.0
ognusdt,HUOBI,2020-07-19 00:00:00,0.3276,0.395,0.3198,0.3727,2355260.5841353084,0.0
