symbol,exchange,datetime,open,high,low,close,volume,open_interest
omgusdt,HUOBI,2017-12-05 00:00:00,10.35,10.42,9.8,10.19,4369264.286311767,0.0
omgusdt,HUOBI,2017-12-06 00:00:00,10.15,10.5,8.8,8.98,13981096.240435787,0.0
omgusdt,HUOBI,2017-12-07 00:00:00,8.95,9.88,7.82,7.88,2887813.207745681,0.0
omgusdt,HUOBI,2017-12-08 00:00:00,7.89,8.54,7.4,8.48,3118276.529736793,0.0
omgusdt,HUOBI,2017-12-09 00:00:00,8.48,8.97,8.2,8.68,2407379.797225674,0.0
omgusdt,HUOBI,2017-12-10 00:00:00,8.61,8.68,7.5,7.95,1725706.3110595956,0.0
omgusdt,HUOBI,2017-12-11 00:00:00,7.95,9.28,7.61,8.8,2229219.0649620676,0.0
omgusdt,HUOBI,2017-12-12 00:00:00,8.84,10.36,8.58,9.6,4201891.494283037,0.0
omgusdt,HUOBI,2017-12-13 00:00:00,9.6,11.25,8.6,10.44,5094104.657911546,0.0
omgusdt,HUOBI,2017-12-14 00:00:00,10.45,11.6,10.03,10.73,5437332.39452818,0.0
omgusdt,HUOBI,2017-12-15 00:00:00,10.72,11.54,9.75,10.89,4094859.906110747,0.0
omgusdt,HUOBI,2017-12-16 00:00:00,10.85,15.3,10.6,13.37,17034615.842345703,0.0
omgusdt,HUOBI,2017-12-17 00:00:00,13.36,16.18,13.32,16.17,16469084.609631056,0.0
omgusdt,HUOBI,2017-12-18 00:00:00,16.2,20.2,14.18,17.04,31264535.67247632,0.0
omgusdt,HUOBI,2017-12-19 00:00:00,17.08,21.66,16.35,18.65,21217069.1373422,0.0
omgusdt,HUOBI,2017-12-20 00:00:00,18.65,19.56,15.22,17.34,18744446.648838114,0.0
omgusdt,HUOBI,2017-12-21 00:00:00,17.3,18.99,15.44,15.97,10764640.499347255,0.0
omgusdt,HUOBI,2017-12-22 00:00:00,15.97,17.5,0.01,11.19,20219063.730891764,0.0
omgusdt,HUOBI,2017-12-23 00:00:00,11.13,14.98,10.36,13.92,8948775.67593965,0.0
omgusdt,HUOBI,2017-12-24 00:00:00,14.03,17.0,11.0,12.43,16433051.870812425,0.0
omgusdt,HUOBI,2017-12-25 00:00:00,12.35,15.6,11.95,14.9,12614918.623268658,0.0
omgusdt,HUOBI,2017-12-26 00:00:00,14.91,15.84,14.61,15.0,13429041.02246012,0.0
omgusdt,HUOBI,2017-12-27 00:00:00,15.0,15.59,14.29,14.9,12936249.345237212,0.0
omgusdt,HUOBI,2017-12-28 00:00:00,14.9,15.16,12.61,13.57,11134144.58827587,0.0
omgusdt,HUOBI,2017-12-29 00:00:00,13.53,16.8,13.15,16.2,12164265.261959711,0.0
omgusdt,HUOBI,2017-12-30 00:00:00,16.2,16.83,12.6,13.66,11595331.11873694,0.0
omgusdt,HUOBI,2017-12-31 00:00:00,13.67,22.2,12.71,20.96,26767980.378540225,0.0
omgusdt,HUOBI,2018-01-01 00:00:00,20.99,21.4,17.91,18.79,26879347.121948615,0.0
omgusdt,HUOBI,2018-01-02 00:00:00,18.8,20.49,17.9,19.93,15909979.1383928,0.0
omgusdt,HUOBI,2018-01-03 00:00:00,19.9,22.0,18.3,19.94,12102185.971371463,0.0
omgusdt,HUOBI,2018-01-04 00:00:00,19.93,22.48,19.3,21.43,11911810.458418962,0.0
omgusdt,HUOBI,2018-01-05 00:00:00,21.45,21.47,19.12,19.55,6917662.977438154,0.0
omgusdt,HUOBI,2018-01-06 00:00:00,19.48,19.69,17.8,19.1,8159246.157733533,0.0
omgusdt,HUOBI,2018-01-07 00:00:00,19.07,23.48,18.71,21.99,11966081.818414297,0.0
omgusdt,HUOBI,2018-01-08 00:00:00,21.87,28.5,19.5,22.69,19016060.815575644,0.0
omgusdt,HUOBI,2018-01-09 00:00:00,22.5,25.8,22.24,23.91,12848398.043373933,0.0
omgusdt,HUOBI,2018-01-10 00:00:00,23.91,25.86,21.51,22.82,9062436.908525685,0.0
omgusdt,HUOBI,2018-01-11 00:00:00,22.91,24.0,19.1,22.69,11467257.78185823,0.0
omgusdt,HUOBI,2018-01-12 00:00:00,22.69,23.78,20.2,21.62,9223030.781072417,0.0
omgusdt,HUOBI,2018-01-13 00:00:00,21.63,25.33,21.43,24.46,12158833.85988261,0.0
omgusdt,HUOBI,2018-01-14 00:00:00,24.45,25.89,21.5,21.87,9241112.753746573,0.0
omgusdt,HUOBI,2018-01-15 00:00:00,21.97,24.34,21.71,22.7,7685375.31998784,0.0
omgusdt,HUOBI,2018-01-16 00:00:00,22.7,23.47,16.01,19.02,7460766.194206052,0.0
omgusdt,HUOBI,2018-01-17 00:00:00,19.02,19.09,11.2,12.47,6738942.31953763,0.0
omgusdt,HUOBI,2018-01-18 00:00:00,12.47,19.05,12.4,18.93,7005603.530204023,0.0
omgusdt,HUOBI,2018-01-19 00:00:00,18.91,19.08,16.6,18.46,5702644.964776635,0.0
omgusdt,HUOBI,2018-01-20 00:00:00,18.46,19.68,17.55,19.21,4880748.273192387,0.0
omgusdt,HUOBI,2018-01-21 00:00:00,19.27,20.1,17.13,17.15,5644745.717374148,0.0
omgusdt,HUOBI,2018-01-22 00:00:00,17.16,17.89,14.71,14.8,4648147.8383161975,0.0
omgusdt,HUOBI,2018-01-23 00:00:00,14.86,16.56,14.05,15.83,3257454.700914026,0.0
omgusdt,HUOBI,2018-01-24 00:00:00,15.82,17.72,14.9,17.17,4657509.4848751845,0.0
omgusdt,HUOBI,2018-01-25 00:00:00,17.19,19.16,16.71,16.92,5283139.154794453,0.0
omgusdt,HUOBI,2018-01-26 00:00:00,16.92,18.71,15.1,16.5,5884626.22145081,0.0
omgusdt,HUOBI,2018-01-27 00:00:00,16.5,17.31,15.85,16.57,4200012.534213597,0.0
omgusdt,HUOBI,2018-01-28 00:00:00,16.57,17.29,15.9,16.89,5986379.170763295,0.0
omgusdt,HUOBI,2018-01-29 00:00:00,16.89,17.4,16.07,16.65,3012743.3851294518,0.0
omgusdt,HUOBI,2018-01-30 00:00:00,16.65,17.77,15.6,15.71,4116075.6978776525,0.0
omgusdt,HUOBI,2018-01-31 00:00:00,15.71,16.05,14.08,14.93,2885763.047931374,0.0
omgusdt,HUOBI,2018-02-01 00:00:00,14.94,16.1,13.59,13.68,4229124.549176034,0.0
omgusdt,HUOBI,2018-02-02 00:00:00,13.68,14.4,10.46,13.3,2594915.4506609864,0.0
omgusdt,HUOBI,2018-02-03 00:00:00,13.37,14.24,11.97,13.56,891532.9913803175,0.0
omgusdt,HUOBI,2018-02-04 00:00:00,13.66,14.2,11.84,11.84,638555.4632525387,0.0
omgusdt,HUOBI,2018-02-05 00:00:00,12.05,12.3,7.81,9.88,1461607.279038382,0.0
omgusdt,HUOBI,2018-02-06 00:00:00,9.95,10.21,7.19,10.1,1672654.005500834,0.0
omgusdt,HUOBI,2018-02-07 00:00:00,10.1,12.5,9.35,12.16,2993846.9558341065,0.0
omgusdt,HUOBI,2018-02-08 00:00:00,12.17,12.38,10.71,11.57,1944486.5322329346,0.0
omgusdt,HUOBI,2018-02-09 00:00:00,11.57,12.7,11.35,12.48,883357.6344083009,0.0
omgusdt,HUOBI,2018-02-10 00:00:00,12.49,13.68,11.88,11.9,1785898.3419438354,0.0
omgusdt,HUOBI,2018-02-11 00:00:00,11.97,12.54,10.82,12.54,840080.6946711134,0.0
omgusdt,HUOBI,2018-02-12 00:00:00,12.54,12.98,11.68,12.32,703572.6991720304,0.0
omgusdt,HUOBI,2018-02-13 00:00:00,12.32,12.94,12.17,12.45,793024.76819279,0.0
omgusdt,HUOBI,2018-02-14 00:00:00,12.41,15.31,12.27,15.16,3164387.804002686,0.0
omgusdt,HUOBI,2018-02-15 00:00:00,15.16,15.89,14.7,15.23,1399424.8322781953,0.0
omgusdt,HUOBI,2018-02-16 00:00:00,15.26,17.6,15.17,16.98,2700659.726584711,0.0
omgusdt,HUOBI,2018-02-17 00:00:00,16.96,18.55,16.84,17.82,3729943.613799066,0.0
omgusdt,HUOBI,2018-02-18 00:00:00,17.82,18.39,15.88,16.83,2789919.52900388,0.0
omgusdt,HUOBI,2018-02-19 00:00:00,16.82,18.39,16.07,18.23,2283798.9741935176,0.0
omgusdt,HUOBI,2018-02-20 00:00:00,18.23,19.39,17.25,19.3,2893117.7497540424,0.0
omgusdt,HUOBI,2018-02-21 00:00:00,19.22,19.8,17.11,17.66,5238662.401651069,0.0
omgusdt,HUOBI,2018-02-22 00:00:00,17.66,18.47,15.58,16.33,3171948.392236455,0.0
omgusdt,HUOBI,2018-02-23 00:00:00,16.32,17.85,15.53,17.72,2223961.3899716185,0.0
omgusdt,HUOBI,2018-02-24 00:00:00,17.7,18.29,15.91,16.51,2264476.852070314,0.0
omgusdt,HUOBI,2018-02-25 00:00:00,16.53,17.35,16.02,16.25,1641802.9656217608,0.0
omgusdt,HUOBI,2018-02-26 00:00:00,16.25,17.55,15.98,17.43,1422821.4534793615,0.0
omgusdt,HUOBI,2018-02-27 00:00:00,17.43,19.46,17.13,19.16,5683047.549984216,0.0
omgusdt,HUOBI,2018-02-28 00:00:00,19.2,20.99,19.0,19.72,10727596.263566153,0.0
omgusdt,HUOBI,2018-03-01 00:00:00,19.82,19.88,18.23,19.11,9267838.182820607,0.0
omgusdt,HUOBI,2018-03-02 00:00:00,19.08,20.0,17.69,17.76,9134809.352193179,0.0
omgusdt,HUOBI,2018-03-03 00:00:00,17.76,19.1,17.68,18.0,11219540.869467076,0.0
omgusdt,HUOBI,2018-03-04 00:00:00,18.02,18.04,17.0,17.5,7806157.48394963,0.0
omgusdt,HUOBI,2018-03-05 00:00:00,17.5,18.44,17.41,17.55,8855641.572915405,0.0
omgusdt,HUOBI,2018-03-06 00:00:00,17.55,17.64,15.7,16.07,8314381.528842652,0.0
omgusdt,HUOBI,2018-03-07 00:00:00,16.07,16.42,14.88,15.02,8318910.217498573,0.0
omgusdt,HUOBI,2018-03-08 00:00:00,14.98,15.29,13.55,14.46,9540622.694737267,0.0
omgusdt,HUOBI,2018-03-09 00:00:00,14.44,14.53,11.55,13.13,7723037.090814561,0.0
omgusdt,HUOBI,2018-03-10 00:00:00,13.08,15.3,12.76,14.52,9574355.374769395,0.0
omgusdt,HUOBI,2018-03-11 00:00:00,14.53,14.64,12.65,13.66,6653265.367417356,0.0
omgusdt,HUOBI,2018-03-12 00:00:00,13.66,15.0,13.62,13.7,5349619.453889443,0.0
omgusdt,HUOBI,2018-03-13 00:00:00,13.78,14.17,12.91,13.25,5439803.805642788,0.0
omgusdt,HUOBI,2018-03-14 00:00:00,13.21,13.81,12.43,12.59,4825353.488234203,0.0
omgusdt,HUOBI,2018-03-15 00:00:00,12.59,12.63,10.23,10.95,7666258.464866376,0.0
omgusdt,HUOBI,2018-03-16 00:00:00,10.95,11.98,10.53,11.8,6509189.421126409,0.0
omgusdt,HUOBI,2018-03-17 00:00:00,11.8,11.85,10.26,10.29,7166668.174247042,0.0
omgusdt,HUOBI,2018-03-18 00:00:00,10.3,10.31,8.34,8.54,7888471.966704289,0.0
omgusdt,HUOBI,2018-03-19 00:00:00,8.51,11.22,8.35,11.07,9502698.971322916,0.0
omgusdt,HUOBI,2018-03-20 00:00:00,11.07,11.8,10.51,11.24,10088770.221963502,0.0
omgusdt,HUOBI,2018-03-21 00:00:00,11.28,12.65,11.18,12.2,11535828.824845042,0.0
omgusdt,HUOBI,2018-03-22 00:00:00,12.16,12.48,10.62,10.97,9900175.839751007,0.0
omgusdt,HUOBI,2018-03-23 00:00:00,10.92,11.58,10.46,11.18,8618164.262370676,0.0
omgusdt,HUOBI,2018-03-24 00:00:00,11.15,11.72,10.82,11.48,7139759.50664735,0.0
omgusdt,HUOBI,2018-03-25 00:00:00,11.47,11.88,10.56,10.84,8534325.315356722,0.0
omgusdt,HUOBI,2018-03-26 00:00:00,10.84,11.13,9.73,9.82,7080475.11266194,0.0
omgusdt,HUOBI,2018-03-27 00:00:00,9.82,10.6,9.3,10.03,7471329.347956844,0.0
omgusdt,HUOBI,2018-03-28 00:00:00,10.02,10.22,9.6,9.69,4644125.663970171,0.0
omgusdt,HUOBI,2018-03-29 00:00:00,9.69,9.9,8.65,8.92,6147357.451459923,0.0
omgusdt,HUOBI,2018-03-30 00:00:00,8.92,9.2,7.96,8.26,6096766.770797168,0.0
omgusdt,HUOBI,2018-03-31 00:00:00,8.22,8.74,7.98,8.32,3541266.1730154916,0.0
omgusdt,HUOBI,2018-04-01 00:00:00,8.32,8.44,7.49,7.5,2185043.8324905788,0.0
omgusdt,HUOBI,2018-04-02 00:00:00,7.5,9.48,7.46,8.67,5830559.990729465,0.0
omgusdt,HUOBI,2018-04-03 00:00:00,8.68,9.36,8.35,9.23,4490252.1636041375,0.0
omgusdt,HUOBI,2018-04-04 00:00:00,9.23,9.8,8.23,8.25,4428177.708997316,0.0
omgusdt,HUOBI,2018-04-05 00:00:00,8.24,9.63,8.04,8.63,5981845.5220079925,0.0
omgusdt,HUOBI,2018-04-06 00:00:00,8.66,9.49,8.51,9.37,4948313.398001081,0.0
omgusdt,HUOBI,2018-04-07 00:00:00,9.37,9.59,9.04,9.54,2626003.500134646,0.0
omgusdt,HUOBI,2018-04-08 00:00:00,9.54,9.64,9.13,9.43,1458182.16362668,0.0
omgusdt,HUOBI,2018-04-09 00:00:00,9.42,9.86,9.0,9.08,2492198.608947759,0.0
omgusdt,HUOBI,2018-04-10 00:00:00,9.08,9.28,8.85,9.2051,3032742.378157376,0.0
