symbol,exchange,datetime,open,high,low,close,volume,open_interest
ontusdt,HUOBI,2018-04-09 00:00:00,2.801,3.7844,2.801,3.5244,2840925.5859576403,0.0
ontusdt,HUOBI,2018-04-10 00:00:00,3.5227,4.3799,3.451,4.3601,7819630.373585321,0.0
ontusdt,HUOBI,2018-04-11 00:00:00,4.3668,4.7866,4.235,4.46,11732841.81348684,0.0
ontusdt,HUOBI,2018-04-12 00:00:00,4.4576,4.7686,4.0,4.4985,12155458.09898059,0.0
ontusdt,HUOBI,2018-04-13 00:00:00,4.4985,5.19,4.2805,4.596,13199774.65891437,0.0
ontusdt,HUOBI,2018-04-14 00:00:00,4.5895,4.73,4.066,4.1993,7463926.639312745,0.0
ontusdt,HUOBI,2018-04-15 00:00:00,4.199,4.775,4.1236,4.4857,7700311.509955927,0.0
ontusdt,HUOBI,2018-04-16 00:00:00,4.4856,4.6527,3.9301,4.1621,6667111.829168047,0.0
ontusdt,HUOBI,2018-04-17 00:00:00,4.1635,4.3499,4.011,4.1904,8090039.152034014,0.0
ontusdt,HUOBI,2018-04-18 00:00:00,4.1876,4.2766,4.059,4.1595,4739081.705601632,0.0
ontusdt,HUOBI,2018-04-19 00:00:00,4.1595,4.5,4.1143,4.387,5884470.315082028,0.0
ontusdt,HUOBI,2018-04-20 00:00:00,4.3884,4.6112,4.21,4.2646,7971290.540174861,0.0
ontusdt,HUOBI,2018-04-21 00:00:00,4.2672,4.405,3.88,4.2327,6394416.80676428,0.0
ontusdt,HUOBI,2018-04-22 00:00:00,4.23,4.2891,3.9198,4.1661,6443426.878833691,0.0
ontusdt,HUOBI,2018-04-23 00:00:00,4.1608,4.52,3.9814,4.2142,7247747.407918028,0.0
ontusdt,HUOBI,2018-04-24 00:00:00,4.2134,4.9295,4.153,4.8274,11976339.612643087,0.0
ontusdt,HUOBI,2018-04-25 00:00:00,4.8286,5.3797,4.2501,4.9519,17550554.203236938,0.0
ontusdt,HUOBI,2018-04-26 00:00:00,4.9445,5.7,4.7755,5.3274,10468141.654590353,0.0
