symbol,exchange,datetime,open,high,low,close,volume,open_interest
oxtusdt,HUOBI,2020-12-21 00:00:00,0.2083,0.55,0.2083,0.3004,26397010.34069217,0.0
oxtusdt,HUOBI,2020-12-22 00:00:00,0.2982,0.312,0.24,0.257,6104539.571437493,0.0
oxtusdt,HUOBI,2020-12-23 00:00:00,0.2567,0.275,0.221,0.2346,2045300.80834443,0.0
oxtusdt,HUOBI,2020-12-24 00:00:00,0.2347,0.2498,0.21,0.2432,1606593.84045555,0.0
oxtusdt,HUOBI,2020-12-25 00:00:00,0.243,0.2488,0.2307,0.2386,707147.22671725,0.0
oxtusdt,HUOBI,2020-12-26 00:00:00,0.2385,0.2392,0.227,0.2293,2429789.78918591,0.0
oxtusdt,HUOBI,2020-12-27 00:00:00,0.2297,0.2745,0.2288,0.2458,3267799.3318640715,0.0
oxtusdt,HUOBI,2020-12-28 00:00:00,0.2458,0.2499,0.2371,0.247,2878125.57315507,0.0
oxtusdt,HUOBI,2020-12-29 00:00:00,0.2473,0.248,0.2285,0.2287,313819.44451255,0.0
oxtusdt,HUOBI,2020-12-30 00:00:00,0.2284,0.2372,0.2228,0.2298,216202.99612407622,0.0
oxtusdt,HUOBI,2020-12-31 00:00:00,0.23,0.2432,0.2247,0.2249,294716.70973555,0.0
oxtusdt,HUOBI,2021-01-01 00:00:00,0.2252,0.2395,0.2213,0.2381,287431.5917974723,0.0
oxtusdt,HUOBI,2021-01-02 00:00:00,0.2381,0.2476,0.2269,0.2377,368522.93833055,0.0
oxtusdt,HUOBI,2021-01-03 00:00:00,0.238,0.2388,0.2214,0.225,571356.02068631,0.0
oxtusdt,HUOBI,2021-01-04 00:00:00,0.2253,0.2597,0.2251,0.2344,943120.64175464,0.0
oxtusdt,HUOBI,2021-01-05 00:00:00,0.2345,0.2585,0.2257,0.2535,854556.4111173799,0.0
oxtusdt,HUOBI,2021-01-06 00:00:00,0.2533,0.307,0.2467,0.2811,1869361.0334727368,0.0
oxtusdt,HUOBI,2021-01-07 00:00:00,0.2817,0.3078,0.2692,0.3027,1345220.8368862644,0.0
oxtusdt,HUOBI,2021-01-08 00:00:00,0.305,0.312,0.2569,0.2746,1437600.7256825762,0.0
oxtusdt,HUOBI,2021-01-09 00:00:00,0.2748,0.287,0.2628,0.2778,830182.3427124724,0.0
oxtusdt,HUOBI,2021-01-10 00:00:00,0.2776,0.325,0.2753,0.2981,1956679.006877256,0.0
oxtusdt,HUOBI,2021-01-11 00:00:00,0.2969,0.2974,0.2445,0.2469,804991.9454502476,0.0
oxtusdt,HUOBI,2021-01-12 00:00:00,0.247,0.2689,0.226,0.2512,799672.2196592862,0.0
oxtusdt,HUOBI,2021-01-13 00:00:00,0.2518,0.262,0.2411,0.2591,419006.40567384,0.0
oxtusdt,HUOBI,2021-01-14 00:00:00,0.2594,0.2783,0.2588,0.2731,605764.47385302,0.0
oxtusdt,HUOBI,2021-01-15 00:00:00,0.272,0.275,0.2565,0.2578,515461.31814888347,0.0
oxtusdt,HUOBI,2021-01-16 00:00:00,0.2565,0.298,0.2472,0.2833,960921.6992009946,0.0
oxtusdt,HUOBI,2021-01-17 00:00:00,0.2834,0.3,0.2675,0.2912,1084771.395310582,0.0
oxtusdt,HUOBI,2021-01-18 00:00:00,0.2914,0.3385,0.2889,0.3047,3233144.593150517,0.0
oxtusdt,HUOBI,2021-01-19 00:00:00,0.3049,0.378,0.3,0.3059,3189425.9474746785,0.0
oxtusdt,HUOBI,2021-01-20 00:00:00,0.3059,0.3128,0.28,0.2859,1156740.4899805898,0.0
oxtusdt,HUOBI,2021-01-21 00:00:00,0.2856,0.3095,0.2764,0.2808,817337.2343654456,0.0
oxtusdt,HUOBI,2021-01-22 00:00:00,0.2809,0.2989,0.2531,0.2888,849623.6310107245,0.0
oxtusdt,HUOBI,2021-01-23 00:00:00,0.2888,0.31,0.2837,0.2956,876895.6691287685,0.0
oxtusdt,HUOBI,2021-01-24 00:00:00,0.2966,0.3128,0.2906,0.2996,959930.12254969,0.0
oxtusdt,HUOBI,2021-01-25 00:00:00,0.2996,0.3256,0.2918,0.3142,1974115.2331912231,0.0
oxtusdt,HUOBI,2021-01-26 00:00:00,0.3153,0.3178,0.2821,0.286,928247.37182882,0.0
oxtusdt,HUOBI,2021-01-27 00:00:00,0.2862,0.3003,0.2622,0.2733,703321.26634712,0.0
oxtusdt,HUOBI,2021-01-28 00:00:00,0.2734,0.2883,0.2654,0.2873,864015.8779409392,0.0
oxtusdt,HUOBI,2021-01-29 00:00:00,0.2873,0.2968,0.2763,0.2896,1154662.9295039887,0.0
oxtusdt,HUOBI,2021-01-30 00:00:00,0.2896,0.3009,0.2761,0.2951,969404.5117572864,0.0
oxtusdt,HUOBI,2021-01-31 00:00:00,0.2951,0.325,0.2933,0.2975,2155488.4121647836,0.0
oxtusdt,HUOBI,2021-02-01 00:00:00,0.2979,0.3705,0.2882,0.3464,3208747.843165592,0.0
oxtusdt,HUOBI,2021-02-02 00:00:00,0.3452,0.386,0.331,0.3461,2087855.0164959934,0.0
oxtusdt,HUOBI,2021-02-03 00:00:00,0.3463,0.365,0.337,0.3568,994125.0585383293,0.0
oxtusdt,HUOBI,2021-02-04 00:00:00,0.3568,0.3851,0.345,0.3698,1724655.2255177693,0.0
oxtusdt,HUOBI,2021-02-05 00:00:00,0.3697,0.4894,0.3655,0.4586,3171879.330336303,0.0
oxtusdt,HUOBI,2021-02-06 00:00:00,0.4608,0.4771,0.3841,0.4104,2434005.2279407117,0.0
oxtusdt,HUOBI,2021-02-07 00:00:00,0.4104,0.43,0.388,0.4033,1342618.602790131,0.0
oxtusdt,HUOBI,2021-02-08 00:00:00,0.4016,0.4339,0.39,0.4259,1317445.8303222756,0.0
oxtusdt,HUOBI,2021-02-09 00:00:00,0.4264,0.4693,0.4152,0.4546,1486186.716837278,0.0
oxtusdt,HUOBI,2021-02-10 00:00:00,0.4548,0.4744,0.4131,0.4216,2347939.2888383656,0.0
oxtusdt,HUOBI,2021-02-11 00:00:00,0.4217,0.5192,0.4216,0.5037,1945796.9540999266,0.0
oxtusdt,HUOBI,2021-02-12 00:00:00,0.5037,0.6503,0.4959,0.6152,4492404.319346886,0.0
oxtusdt,HUOBI,2021-02-13 00:00:00,0.6173,0.78,0.5808,0.6653,5306707.705622777,0.0
oxtusdt,HUOBI,2021-02-14 00:00:00,0.6631,0.6859,0.5908,0.6053,1933112.1641213726,0.0
oxtusdt,HUOBI,2021-02-15 00:00:00,0.6056,0.6472,0.5052,0.6232,2128805.429034818,0.0
oxtusdt,HUOBI,2021-02-16 00:00:00,0.6232,0.7176,0.5783,0.6089,2204610.834325882,0.0
oxtusdt,HUOBI,2021-02-17 00:00:00,0.6083,0.6157,0.554,0.6052,1280909.8818365196,0.0
oxtusdt,HUOBI,2021-02-18 00:00:00,0.6058,0.6434,0.5833,0.5954,1104869.0795478036,0.0
oxtusdt,HUOBI,2021-02-19 00:00:00,0.5954,0.6792,0.5763,0.6122,2936127.798325366,0.0
oxtusdt,HUOBI,2021-02-20 00:00:00,0.6127,0.6751,0.5902,0.6111,2410121.999159841,0.0
oxtusdt,HUOBI,2021-02-21 00:00:00,0.6122,0.6487,0.583,0.6268,1809266.813615041,0.0
