symbol,exchange,datetime,open,high,low,close,volume,open_interest
paxusdt,HUOBI,2021-02-09 00:00:00,0.9955,1.16,0.9,1.0016,1015485.5522985313,0.0
paxusdt,HUOBI,2021-02-10 00:00:00,1.0014,1.0019,0.9288,0.9977,307787.20165502,0.0
paxusdt,HUOBI,2021-02-11 00:00:00,0.9981,1.0014,0.99,0.9966,218253.04198796125,0.0
paxusdt,HUOBI,2021-02-12 00:00:00,0.9971,1.0,0.9961,0.9987,230771.5365717657,0.0
paxusdt,HUOBI,2021-02-13 00:00:00,0.9981,1.0003,0.9975,0.9992,233288.32653944,0.0
paxusdt,HUOBI,2021-02-14 00:00:00,0.9992,0.9998,0.9526,0.999,243404.35615355,0.0
paxusdt,HUOBI,2021-02-15 00:00:00,0.999,0.9996,0.9982,0.9993,111670.68439092,0.0
paxusdt,HUOBI,2021-02-16 00:00:00,0.9993,1.001,0.9916,0.9998,93927.86286428,0.0
paxusdt,HUOBI,2021-02-17 00:00:00,0.9995,1.0009,0.9871,1.0005,160084.02547964,0.0
paxusdt,HUOBI,2021-02-18 00:00:00,1.0002,1.0006,0.999,1.0001,246103.01812816,0.0
paxusdt,HUOBI,2021-02-19 00:00:00,1.0001,1.0015,0.9981,1.0015,643168.21646519,0.0
paxusdt,HUOBI,2021-02-20 00:00:00,1.0004,1.0004,0.99,0.9991,585075.18320924,0.0
paxusdt,HUOBI,2021-02-21 00:00:00,0.9994,1.0001,0.999,0.9997,386397.26866491,0.0
paxusdt,HUOBI,2021-02-22 00:00:00,0.9991,1.0052,0.9911,0.9997,334571.92570731125,0.0
paxusdt,HUOBI,2021-02-23 00:00:00,0.9997,1.0094,0.9956,0.9995,625698.193198,0.0
paxusdt,HUOBI,2021-02-24 00:00:00,0.9996,1.0011,0.9957,1.0,302774.78125975,0.0
paxusdt,HUOBI,2021-02-25 00:00:00,0.9994,1.0001,0.9987,0.9995,135668.34910815,0.0
paxusdt,HUOBI,2021-02-26 00:00:00,0.9995,1.0026,0.999,0.9999,82354.77529101,0.0
paxusdt,HUOBI,2021-02-27 00:00:00,0.9995,1.0005,0.9991,0.9994,117770.2390592,0.0
paxusdt,HUOBI,2021-02-28 00:00:00,0.9994,0.9999,0.9984,0.9995,54423.39753135,0.0
paxusdt,HUOBI,2021-03-01 00:00:00,0.9995,0.9996,0.9957,0.9978,138845.41118745,0.0
paxusdt,HUOBI,2021-03-02 00:00:00,0.9977,1.0001,0.9977,0.999,64311.63904625,0.0
paxusdt,HUOBI,2021-03-03 00:00:00,0.999,1.0001,0.9988,0.9991,83387.97169994,0.0
paxusdt,HUOBI,2021-03-04 00:00:00,0.9991,1.0033,0.9985,0.9995,219731.03559761,0.0
paxusdt,HUOBI,2021-03-05 00:00:00,0.9997,1.0006,0.9989,0.9992,105272.77281263,0.0
paxusdt,HUOBI,2021-03-06 00:00:00,0.9998,1.0001,0.9992,0.9995,52677.15117396,0.0
paxusdt,HUOBI,2021-03-07 00:00:00,0.9996,1.0006,0.9992,0.9994,611521.60730774,0.0
paxusdt,HUOBI,2021-03-08 00:00:00,0.9996,1.0001,0.9989,0.9994,268456.69187769,0.0
paxusdt,HUOBI,2021-03-09 00:00:00,0.9998,1.0006,0.9992,0.9996,115579.66249288,0.0
paxusdt,HUOBI,2021-03-10 00:00:00,0.9998,1.0,0.9987,0.9996,61627.78949382,0.0
paxusdt,HUOBI,2021-03-11 00:00:00,0.9992,1.0005,0.999,0.9996,70885.43582593,0.0
paxusdt,HUOBI,2021-03-12 00:00:00,0.9993,1.004,0.996,1.0002,140132.31081431,0.0
paxusdt,HUOBI,2021-03-13 00:00:00,1.0002,1.0015,0.999,1.0005,125299.0947831,0.0
paxusdt,HUOBI,2021-03-14 00:00:00,1.0005,1.001,0.999,0.9999,130443.70750974,0.0
paxusdt,HUOBI,2021-03-15 00:00:00,0.9998,1.0005,0.9993,0.9996,121433.85443747,0.0
paxusdt,HUOBI,2021-03-16 00:00:00,0.9996,1.0008,0.9995,0.9997,359176.26753574854,0.0
paxusdt,HUOBI,2021-03-17 00:00:00,1.0001,1.0005,0.9991,0.9994,72432.44251725,0.0
paxusdt,HUOBI,2021-03-18 00:00:00,0.9995,1.0002,0.999,0.9998,69543.05924506,0.0
paxusdt,HUOBI,2021-03-19 00:00:00,0.9998,1.0005,0.9992,0.9997,98874.87334703,0.0
paxusdt,HUOBI,2021-03-20 00:00:00,1.0,1.0004,0.999,0.9997,133575.79524622,0.0
paxusdt,HUOBI,2021-03-21 00:00:00,0.9997,1.0009,0.9991,0.9995,88948.85763327,0.0
paxusdt,HUOBI,2021-03-22 00:00:00,0.9995,1.0002,0.999,0.9997,108613.67444502,0.0
paxusdt,HUOBI,2021-03-23 00:00:00,0.9999,1.0008,0.9994,0.9999,111829.58522518,0.0
paxusdt,HUOBI,2021-03-24 00:00:00,0.9999,1.0011,0.9996,1.0004,155310.36373646,0.0
paxusdt,HUOBI,2021-03-25 00:00:00,1.0004,1.0018,0.9995,1.0,1693344.5624692373,0.0
paxusdt,HUOBI,2021-03-26 00:00:00,0.9998,1.0006,0.9979,0.9995,326761.82647418,0.0
paxusdt,HUOBI,2021-03-27 00:00:00,0.9988,1.0005,0.9986,0.9997,1076437.5311755,0.0
