symbol,exchange,datetime,open,high,low,close,volume,open_interest
phausdt,HUOBI,2020-09-11 00:00:00,0.01,0.161005,0.01,0.071866,11857442.30764436,0.0
phausdt,HUOBI,2020-09-12 00:00:00,0.071042,0.0845,0.06016,0.06596,6543166.378780941,0.0
phausdt,HUOBI,2020-09-13 00:00:00,0.066082,0.143415,0.06501,0.121016,23451663.74494484,0.0
phausdt,HUOBI,2020-09-14 00:00:00,0.123789,0.21834,0.115386,0.198994,41267607.917315625,0.0
phausdt,HUOBI,2020-09-15 00:00:00,0.197999,0.240995,0.131419,0.159501,24503455.478031352,0.0
phausdt,HUOBI,2020-09-16 00:00:00,0.160251,0.161,0.11,0.127897,11021884.53817943,0.0
phausdt,HUOBI,2020-09-17 00:00:00,0.127879,0.1599,0.116008,0.132848,10447870.57624853,0.0
phausdt,HUOBI,2020-09-18 00:00:00,0.132276,0.132276,0.116,0.117375,3929351.811216899,0.0
phausdt,HUOBI,2020-09-19 00:00:00,0.117315,0.1286,0.101,0.127301,4039035.732363334,0.0
phausdt,HUOBI,2020-09-20 00:00:00,0.128509,0.128695,0.111,0.115796,2130875.096314374,0.0
phausdt,HUOBI,2020-09-21 00:00:00,0.115856,0.121061,0.095,0.09934,2146792.6440080474,0.0
phausdt,HUOBI,2020-09-22 00:00:00,0.0994,0.108,0.093,0.095476,1228725.3779490683,0.0
phausdt,HUOBI,2020-09-23 00:00:00,0.095536,0.1075,0.09001,0.099611,1113627.4317882396,0.0
phausdt,HUOBI,2020-09-24 00:00:00,0.099611,0.107142,0.092123,0.103247,763155.4340129176,0.0
phausdt,HUOBI,2020-09-25 00:00:00,0.10322,0.118092,0.100514,0.118092,912702.5383045789,0.0
phausdt,HUOBI,2020-09-26 00:00:00,0.118118,0.126522,0.1065,0.114123,1265185.3160616425,0.0
phausdt,HUOBI,2020-09-27 00:00:00,0.114143,0.12006,0.106273,0.108926,617188.5670253938,0.0
phausdt,HUOBI,2020-09-28 00:00:00,0.108969,0.114579,0.106,0.111112,1395805.0469601247,0.0
phausdt,HUOBI,2020-09-29 00:00:00,0.111104,0.114407,0.097248,0.101174,1264130.350851949,0.0
phausdt,HUOBI,2020-09-30 00:00:00,0.101295,0.10388,0.097,0.101807,619546.6424244397,0.0
phausdt,HUOBI,2020-10-01 00:00:00,0.101687,0.119999,0.098,0.115545,1773654.395739048,0.0
phausdt,HUOBI,2020-10-02 00:00:00,0.115517,0.115517,0.099853,0.106922,1665135.6810024206,0.0
phausdt,HUOBI,2020-10-03 00:00:00,0.106902,0.10857,0.103,0.104786,470807.2954089718,0.0
phausdt,HUOBI,2020-10-04 00:00:00,0.104753,0.105545,0.1005,0.103115,439920.1507320613,0.0
phausdt,HUOBI,2020-10-05 00:00:00,0.10311,0.10808,0.102,0.105067,626351.3786712548,0.0
phausdt,HUOBI,2020-10-06 00:00:00,0.105127,0.1132,0.103,0.107304,1031097.9645094762,0.0
phausdt,HUOBI,2020-10-07 00:00:00,0.107299,0.107619,0.095,0.097469,994786.9780633727,0.0
phausdt,HUOBI,2020-10-08 00:00:00,0.09744,0.105938,0.095171,0.104925,1658256.8373544358,0.0
phausdt,HUOBI,2020-10-09 00:00:00,0.104923,0.115,0.101243,0.114,1456213.376945629,0.0
phausdt,HUOBI,2020-10-10 00:00:00,0.114028,0.1213,0.108795,0.11757,1855975.2255241706,0.0
phausdt,HUOBI,2020-10-11 00:00:00,0.117639,0.1189,0.111361,0.116077,1200487.701432755,0.0
phausdt,HUOBI,2020-10-12 00:00:00,0.116198,0.1407,0.1133,0.135391,4675237.166504236,0.0
phausdt,HUOBI,2020-10-13 00:00:00,0.13539,0.141,0.12,0.123692,2620763.3860855713,0.0
phausdt,HUOBI,2020-10-14 00:00:00,0.123631,0.13555,0.123631,0.132419,2041691.6562768025,0.0
phausdt,HUOBI,2020-10-15 00:00:00,0.132429,0.1532,0.131,0.14732,4009991.6584535525,0.0
phausdt,HUOBI,2020-10-16 00:00:00,0.14732,0.157999,0.13112,0.143278,3685485.409020313,0.0
phausdt,HUOBI,2020-10-17 00:00:00,0.143282,0.1466,0.13555,0.136959,1392536.526106444,0.0
phausdt,HUOBI,2020-10-18 00:00:00,0.137023,0.1479,0.137023,0.146307,1481766.0568041732,0.0
phausdt,HUOBI,2020-10-19 00:00:00,0.146221,0.178,0.142529,0.173226,4349218.3381281225,0.0
