symbol,exchange,datetime,open,high,low,close,volume,open_interest
polsusdt,HUOBI,2021-01-14 00:00:00,0.8396,1.39,0.8396,1.0191,3640100.201250084,0.0
polsusdt,HUOBI,2021-01-15 00:00:00,1.0107,1.1314,0.9005,0.9696,2966827.1976386094,0.0
polsusdt,HUOBI,2021-01-16 00:00:00,0.9696,1.2281,0.9,1.1718,3031017.5716303615,0.0
polsusdt,HUOBI,2021-01-17 00:00:00,1.1743,1.19,1.0629,1.1767,5171831.017115848,0.0
polsusdt,HUOBI,2021-01-18 00:00:00,1.1768,1.76,1.1728,1.6194,10161106.476656606,0.0
polsusdt,HUOBI,2021-01-19 00:00:00,1.6195,1.775,1.2503,1.4311,21297296.241939247,0.0
polsusdt,HUOBI,2021-01-20 00:00:00,1.4303,1.4827,1.2008,1.2917,15628411.174921809,0.0
polsusdt,HUOBI,2021-01-21 00:00:00,1.2924,1.465,1.2,1.2265,17855981.049708,0.0
polsusdt,HUOBI,2021-01-22 00:00:00,1.2251,1.447,1.0283,1.3142,15740788.574575244,0.0
polsusdt,HUOBI,2021-01-23 00:00:00,1.319,1.34,1.22,1.271,18220390.618432082,0.0
polsusdt,HUOBI,2021-01-24 00:00:00,1.2706,1.343,1.2359,1.279,6846917.591468992,0.0
polsusdt,HUOBI,2021-01-25 00:00:00,1.279,1.35,1.2163,1.2604,7447213.928524149,0.0
polsusdt,HUOBI,2021-01-26 00:00:00,1.2605,1.2607,1.0732,1.1323,7275686.862560011,0.0
polsusdt,HUOBI,2021-01-27 00:00:00,1.1323,1.2,0.9667,1.0744,7143546.633012212,0.0
polsusdt,HUOBI,2021-01-28 00:00:00,1.0723,1.2363,1.0482,1.1728,2865972.5308800135,0.0
polsusdt,HUOBI,2021-01-29 00:00:00,1.1696,1.29,1.0876,1.1283,3351468.1984003945,0.0
polsusdt,HUOBI,2021-01-30 00:00:00,1.1217,1.16,1.0621,1.128,6077888.939781713,0.0
polsusdt,HUOBI,2021-01-31 00:00:00,1.1276,1.3059,1.05,1.185,7741648.46261115,0.0
polsusdt,HUOBI,2021-02-01 00:00:00,1.1889,1.63,1.1858,1.5621,13157066.28221745,0.0
polsusdt,HUOBI,2021-02-02 00:00:00,1.5622,1.63,1.38,1.4255,10132109.596086092,0.0
