symbol,exchange,datetime,open,high,low,close,volume,open_interest
pvtusdt,HUOBI,2019-07-17 00:00:00,0.00072,0.00575,0.00072,0.00346,10419453.53460049,0.0
pvtusdt,HUOBI,2019-07-18 00:00:00,0.00346,0.003651,0.002177,0.002451,5834864.399067121,0.0
pvtusdt,HUOBI,2019-07-19 00:00:00,0.002451,0.002451,0.001902,0.002276,2508111.2317896634,0.0
pvtusdt,HUOBI,2019-07-20 00:00:00,0.002251,0.002678,0.00222,0.002273,1730206.0744320191,0.0
pvtusdt,HUOBI,2019-07-21 00:00:00,0.002278,0.00259,0.001999,0.002455,1006740.7530531412,0.0
pvtusdt,HUOBI,2019-07-22 00:00:00,0.002436,0.00257,0.00219,0.002248,816245.5335678849,0.0
pvtusdt,HUOBI,2019-07-23 00:00:00,0.002249,0.002323,0.002011,0.002022,560745.9474681604,0.0
pvtusdt,HUOBI,2019-07-24 00:00:00,0.002021,0.002109,0.001856,0.001925,583379.9155021784,0.0
pvtusdt,HUOBI,2019-07-25 00:00:00,0.00192,0.00215,0.001776,0.001999,919078.0805508733,0.0
pvtusdt,HUOBI,2019-07-26 00:00:00,0.001999,0.0023,0.001932,0.00205,1340397.7148811799,0.0
pvtusdt,HUOBI,2019-07-27 00:00:00,0.002053,0.002054,0.001872,0.001929,498999.2851563008,0.0
pvtusdt,HUOBI,2019-07-28 00:00:00,0.00193,0.001982,0.001794,0.001908,356733.5305055303,0.0
pvtusdt,HUOBI,2019-07-29 00:00:00,0.001908,0.001985,0.001788,0.001804,464231.61359284,0.0
pvtusdt,HUOBI,2019-07-30 00:00:00,0.001795,0.00192,0.001762,0.001822,536432.6200414299,0.0
pvtusdt,HUOBI,2019-07-31 00:00:00,0.001821,0.001838,0.00166,0.001704,401012.04095656436,0.0
pvtusdt,HUOBI,2019-08-01 00:00:00,0.0017,0.00178,0.001614,0.001663,239663.27084631,0.0
pvtusdt,HUOBI,2019-08-02 00:00:00,0.001664,0.001731,0.00151,0.001571,498041.6256461952,0.0
