symbol,exchange,datetime,open,high,low,close,volume,open_interest
qtumusdt,HUOBI,2017-12-12 00:00:00,11.71,17.0,11.71,13.47,2172776.3755119657,0.0
qtumusdt,HUOBI,2017-12-13 00:00:00,13.48,25.0,13.3,16.57,9492304.76513016,0.0
qtumusdt,HUOBI,2017-12-14 00:00:00,16.55,18.5,15.31,17.52,5700722.11824547,0.0
qtumusdt,HUOBI,2017-12-15 00:00:00,17.55,22.12,16.1,21.13,8387242.618410295,0.0
qtumusdt,HUOBI,2017-12-16 00:00:00,21.14,31.59,21.14,27.89,22998219.752527893,0.0
qtumusdt,HUOBI,2017-12-17 00:00:00,27.72,30.4,27.0,28.44,12063592.007097317,0.0
qtumusdt,HUOBI,2017-12-18 00:00:00,28.44,51.59,25.3,46.3,41313857.60297465,0.0
qtumusdt,HUOBI,2017-12-19 00:00:00,46.3,70.0,43.0,62.77,49201773.339334056,0.0
qtumusdt,HUOBI,2017-12-20 00:00:00,62.73,68.12,48.51,54.99,31399528.48101533,0.0
qtumusdt,HUOBI,2017-12-21 00:00:00,54.9,63.58,48.32,50.09,22958194.794220876,0.0
qtumusdt,HUOBI,2017-12-22 00:00:00,50.09,54.72,30.01,36.66,31745164.684722982,0.0
qtumusdt,HUOBI,2017-12-23 00:00:00,36.5,49.3,33.02,46.27,21648269.17462407,0.0
qtumusdt,HUOBI,2017-12-24 00:00:00,46.27,49.5,36.7,40.84,16122058.614963654,0.0
qtumusdt,HUOBI,2017-12-25 00:00:00,41.41,49.3,39.2,46.38,14611293.386940852,0.0
qtumusdt,HUOBI,2017-12-26 00:00:00,46.31,50.25,45.59,47.99,16952878.16211705,0.0
qtumusdt,HUOBI,2017-12-27 00:00:00,47.99,50.19,46.23,47.82,20129738.22689949,0.0
qtumusdt,HUOBI,2017-12-28 00:00:00,47.78,48.57,40.55,45.54,18517781.035661902,0.0
qtumusdt,HUOBI,2017-12-29 00:00:00,45.59,53.49,43.86,51.14,19928462.87193289,0.0
qtumusdt,HUOBI,2017-12-30 00:00:00,51.14,59.2,43.25,47.21,31764954.814023435,0.0
qtumusdt,HUOBI,2017-12-31 00:00:00,47.22,54.58,43.31,50.75,23034688.23527992,0.0
qtumusdt,HUOBI,2018-01-01 00:00:00,50.75,56.1,48.56,51.3,27436415.10187613,0.0
qtumusdt,HUOBI,2018-01-02 00:00:00,51.28,54.75,50.21,53.08,28904480.622784406,0.0
qtumusdt,HUOBI,2018-01-03 00:00:00,53.07,54.26,49.29,52.37,10812729.54644753,0.0
qtumusdt,HUOBI,2018-01-04 00:00:00,52.33,52.9,47.5,48.82,11781547.970527323,0.0
qtumusdt,HUOBI,2018-01-05 00:00:00,48.82,59.98,45.32,51.8,26585739.851825885,0.0
qtumusdt,HUOBI,2018-01-06 00:00:00,51.81,56.32,45.01,55.7,26842572.59526324,0.0
qtumusdt,HUOBI,2018-01-07 00:00:00,55.7,79.0,51.99,61.95,54021168.00420066,0.0
qtumusdt,HUOBI,2018-01-08 00:00:00,61.95,62.99,45.59,50.98,25660254.211734347,0.0
qtumusdt,HUOBI,2018-01-09 00:00:00,51.08,57.6,50.5,53.81,23243272.122702986,0.0
qtumusdt,HUOBI,2018-01-10 00:00:00,53.74,56.5,48.02,52.04,16459001.352060758,0.0
qtumusdt,HUOBI,2018-01-11 00:00:00,52.2,53.0,42.11,49.24,18300661.08963538,0.0
qtumusdt,HUOBI,2018-01-12 00:00:00,49.23,51.6,43.46,47.58,19025653.30244884,0.0
qtumusdt,HUOBI,2018-01-13 00:00:00,47.6,56.5,47.08,52.92,21063783.137852848,0.0
qtumusdt,HUOBI,2018-01-14 00:00:00,52.92,56.0,46.89,47.77,15104210.212866073,0.0
qtumusdt,HUOBI,2018-01-15 00:00:00,47.77,57.35,47.01,54.15,30520499.243938178,0.0
qtumusdt,HUOBI,2018-01-16 00:00:00,54.15,54.55,35.64,42.29,18745547.660848476,0.0
qtumusdt,HUOBI,2018-01-17 00:00:00,42.21,42.22,24.69,27.28,21487131.476542912,0.0
qtumusdt,HUOBI,2018-01-18 00:00:00,27.32,38.89,27.32,38.42,18614643.83140714,0.0
qtumusdt,HUOBI,2018-01-19 00:00:00,38.44,41.22,35.0,39.0,12427979.079027768,0.0
