symbol,exchange,datetime,open,high,low,close,volume,open_interest
raiusdt,HUOBI,2021-04-07 00:00:00,1.2173,5.5,1.2173,2.3803,122955063.83585048,0.0
raiusdt,HUOBI,2021-04-08 00:00:00,2.3805,2.52,1.8185,2.0,31662718.316777404,0.0
raiusdt,HUOBI,2021-04-09 00:00:00,1.9996,2.169,1.88,2.0394,16599983.843575217,0.0
raiusdt,HUOBI,2021-04-10 00:00:00,2.0394,2.4499,1.9282,2.1124,19069721.662371535,0.0
raiusdt,HUOBI,2021-04-11 00:00:00,2.1122,2.26,2.0,2.0148,8475071.429938104,0.0
raiusdt,HUOBI,2021-04-12 00:00:00,2.0148,2.1091,1.9,1.9251,6735846.6852448555,0.0
raiusdt,HUOBI,2021-04-13 00:00:00,1.917,1.9998,1.82,1.8477,6898955.716184509,0.0
raiusdt,HUOBI,2021-04-14 00:00:00,1.8477,1.898,1.609,1.7698,10195167.630947948,0.0
raiusdt,HUOBI,2021-04-15 00:00:00,1.7552,1.893,1.62,1.8054,6123017.115244389,0.0
raiusdt,HUOBI,2021-04-16 00:00:00,1.803,1.8165,1.63,1.6585,4786527.480545883,0.0
raiusdt,HUOBI,2021-04-17 00:00:00,1.6507,1.7763,1.62,1.693,5377353.475694763,0.0
raiusdt,HUOBI,2021-04-18 00:00:00,1.6928,1.7237,1.5138,1.61,6036002.922561244,0.0
raiusdt,HUOBI,2021-04-19 00:00:00,1.6063,1.7605,1.5304,1.5431,3137277.243310296,0.0
raiusdt,HUOBI,2021-04-20 00:00:00,1.5507,2.149,1.535,2.0119,15200430.655445687,0.0
raiusdt,HUOBI,2021-04-21 00:00:00,2.0119,2.0127,1.6902,1.7974,6846987.288164956,0.0
raiusdt,HUOBI,2021-04-22 00:00:00,1.7938,1.7973,1.6,1.6509,3311995.1258182446,0.0
raiusdt,HUOBI,2021-04-23 00:00:00,1.6454,1.7777,1.4633,1.5241,5685896.943593279,0.0
raiusdt,HUOBI,2021-04-24 00:00:00,1.5222,1.5967,1.4632,1.49,1786039.5390713615,0.0
raiusdt,HUOBI,2021-04-25 00:00:00,1.4979,1.5652,1.4453,1.5416,1084055.94324055,0.0
raiusdt,HUOBI,2021-04-26 00:00:00,1.5416,1.6,1.4451,1.5911,1513189.6546275069,0.0
raiusdt,HUOBI,2021-04-27 00:00:00,1.5912,1.7188,1.5255,1.695,4470491.483594881,0.0
raiusdt,HUOBI,2021-04-28 00:00:00,1.6968,1.7483,1.5512,1.7237,4435366.607380779,0.0
raiusdt,HUOBI,2021-04-29 00:00:00,1.7237,1.82,1.675,1.7237,2138622.8617021306,0.0
