symbol,exchange,datetime,open,high,low,close,volume,open_interest
ringusdt,HUOBI,2020-08-31 00:00:00,0.105,0.2,0.105,0.1886,7767834.387117893,0.0
ringusdt,HUOBI,2020-09-01 00:00:00,0.1885,0.1888,0.1524,0.167,5621402.551539002,0.0
ringusdt,HUOBI,2020-09-02 00:00:00,0.1667,0.1672,0.1151,0.1318,2920488.9784479514,0.0
ringusdt,HUOBI,2020-09-03 00:00:00,0.1321,0.1497,0.1091,0.1214,2107584.9119725022,0.0
ringusdt,HUOBI,2020-09-04 00:00:00,0.1211,0.122,0.09,0.0946,963819.7368336134,0.0
ringusdt,HUOBI,2020-09-05 00:00:00,0.0946,0.1107,0.071,0.0861,633132.7802823143,0.0
ringusdt,HUOBI,2020-09-06 00:00:00,0.0858,0.1173,0.0734,0.0941,2151482.1329558385,0.0
ringusdt,HUOBI,2020-09-07 00:00:00,0.095,0.103,0.0797,0.0878,683125.85078926,0.0
ringusdt,HUOBI,2020-09-08 00:00:00,0.0878,0.0954,0.0761,0.0824,525537.8923797797,0.0
ringusdt,HUOBI,2020-09-09 00:00:00,0.0823,0.089,0.073,0.0868,432784.42189694266,0.0
ringusdt,HUOBI,2020-09-10 00:00:00,0.0868,0.102,0.0826,0.0919,574926.3099454442,0.0
ringusdt,HUOBI,2020-09-11 00:00:00,0.0921,0.0929,0.083,0.0868,243652.89612369,0.0
ringusdt,HUOBI,2020-09-12 00:00:00,0.0867,0.094,0.084,0.0904,292581.36922025366,0.0
ringusdt,HUOBI,2020-09-13 00:00:00,0.0904,0.0987,0.088,0.0937,680893.8181830073,0.0
ringusdt,HUOBI,2020-09-14 00:00:00,0.0938,0.0978,0.0883,0.0921,465091.99162266706,0.0
ringusdt,HUOBI,2020-09-15 00:00:00,0.0922,0.097,0.082,0.083,593260.3499592254,0.0
ringusdt,HUOBI,2020-09-16 00:00:00,0.083,0.086,0.0667,0.0803,411957.525151803,0.0
ringusdt,HUOBI,2020-09-17 00:00:00,0.0803,0.0816,0.068,0.0752,207199.69474034,0.0
ringusdt,HUOBI,2020-09-18 00:00:00,0.0752,0.0773,0.0697,0.072,163207.93169134,0.0
ringusdt,HUOBI,2020-09-19 00:00:00,0.0714,0.0729,0.0605,0.0655,289034.30885433,0.0
ringusdt,HUOBI,2020-09-20 00:00:00,0.0658,0.0731,0.0652,0.0692,280280.0884335955,0.0
ringusdt,HUOBI,2020-09-21 00:00:00,0.069,0.09,0.0611,0.0623,754302.410334235,0.0
ringusdt,HUOBI,2020-09-22 00:00:00,0.0622,0.0688,0.0603,0.0628,136592.91715143167,0.0
ringusdt,HUOBI,2020-09-23 00:00:00,0.0627,0.0627,0.0591,0.0592,82529.265791,0.0
ringusdt,HUOBI,2020-09-24 00:00:00,0.0592,0.0606,0.0531,0.0575,76693.63534986,0.0
ringusdt,HUOBI,2020-09-25 00:00:00,0.0573,0.0616,0.0559,0.0595,128899.1247681,0.0
ringusdt,HUOBI,2020-09-26 00:00:00,0.0594,0.0636,0.0585,0.0635,159849.5471836067,0.0
ringusdt,HUOBI,2020-09-27 00:00:00,0.0635,0.0714,0.062,0.0641,295109.4918440121,0.0
ringusdt,HUOBI,2020-09-28 00:00:00,0.064,0.0684,0.0611,0.0636,206197.22041182645,0.0
ringusdt,HUOBI,2020-09-29 00:00:00,0.0637,0.0652,0.06,0.0605,191395.70319,0.0
ringusdt,HUOBI,2020-09-30 00:00:00,0.0605,0.0606,0.0555,0.0571,185899.867271,0.0
ringusdt,HUOBI,2020-10-01 00:00:00,0.057,0.0592,0.0542,0.058,173524.462192,0.0
ringusdt,HUOBI,2020-10-02 00:00:00,0.0582,0.0582,0.045,0.0491,319031.71653919923,0.0
ringusdt,HUOBI,2020-10-03 00:00:00,0.0489,0.0523,0.0468,0.0478,200582.44134756667,0.0
ringusdt,HUOBI,2020-10-04 00:00:00,0.048,0.0497,0.0434,0.0437,161067.759014,0.0
ringusdt,HUOBI,2020-10-05 00:00:00,0.0438,0.0447,0.0419,0.0429,155790.02157476,0.0
ringusdt,HUOBI,2020-10-06 00:00:00,0.0428,0.043,0.032,0.0352,350583.65016343,0.0
ringusdt,HUOBI,2020-10-07 00:00:00,0.0352,0.0353,0.0282,0.03,228334.76751064,0.0
ringusdt,HUOBI,2020-10-08 00:00:00,0.0299,0.0318,0.0283,0.0313,225948.91849507065,0.0
ringusdt,HUOBI,2020-10-09 00:00:00,0.0313,0.0419,0.0313,0.0373,803226.9261105604,0.0
ringusdt,HUOBI,2020-10-10 00:00:00,0.0372,0.0469,0.0372,0.0456,757319.0949341318,0.0
