symbol,exchange,datetime,open,high,low,close,volume,open_interest
rndrusdt,HUOBI,2021-03-25 00:00:00,0.6927,1.944,0.6927,1.5777,117158168.71605681,0.0
rndrusdt,HUOBI,2021-03-26 00:00:00,1.5708,1.7457,1.1658,1.6591,43451388.02822925,0.0
rndrusdt,HUOBI,2021-03-27 00:00:00,1.6592,2.2688,1.46,2.15,78453788.55230372,0.0
rndrusdt,HUOBI,2021-03-28 00:00:00,2.1593,2.7,1.92,2.0371,79424100.25187579,0.0
rndrusdt,HUOBI,2021-03-29 00:00:00,2.0371,2.32,1.8,2.0184,37734382.234056294,0.0
rndrusdt,HUOBI,2021-03-30 00:00:00,2.0165,2.0183,1.71,1.765,21739601.90625651,0.0
rndrusdt,HUOBI,2021-03-31 00:00:00,1.7639,1.875,1.498,1.763,32249608.739039417,0.0
rndrusdt,HUOBI,2021-04-01 00:00:00,1.763,1.983,1.6225,1.6746,20372830.250732925,0.0
rndrusdt,HUOBI,2021-04-02 00:00:00,1.6746,1.78,1.55,1.6392,13352487.699228037,0.0
rndrusdt,HUOBI,2021-04-03 00:00:00,1.6393,1.7565,1.5899,1.6668,8892475.88943056,0.0
rndrusdt,HUOBI,2021-04-04 00:00:00,1.6669,1.6725,1.54,1.5482,7689177.752733476,0.0
rndrusdt,HUOBI,2021-04-05 00:00:00,1.5482,1.6289,1.2314,1.5008,20589052.886941087,0.0
rndrusdt,HUOBI,2021-04-06 00:00:00,1.5008,1.5087,1.3076,1.3547,11857785.631856276,0.0
rndrusdt,HUOBI,2021-04-07 00:00:00,1.3555,1.5165,1.2555,1.374,17550503.540594265,0.0
rndrusdt,HUOBI,2021-04-08 00:00:00,1.3741,1.49,1.2866,1.488,11114321.97583276,0.0
rndrusdt,HUOBI,2021-04-09 00:00:00,1.488,1.81,1.4241,1.7309,24760449.548288643,0.0
rndrusdt,HUOBI,2021-04-10 00:00:00,1.7309,1.99,1.6522,1.8002,28621074.206599392,0.0
rndrusdt,HUOBI,2021-04-11 00:00:00,1.798,1.9679,1.6831,1.7447,15512869.852470784,0.0
rndrusdt,HUOBI,2021-04-12 00:00:00,1.7468,1.8131,1.6254,1.6538,8029160.378925386,0.0
rndrusdt,HUOBI,2021-04-13 00:00:00,1.6513,1.6945,1.58,1.602,6786428.04142527,0.0
rndrusdt,HUOBI,2021-04-14 00:00:00,1.6001,1.603,1.4735,1.49,8033577.066401287,0.0
rndrusdt,HUOBI,2021-04-15 00:00:00,1.49,1.635,1.4619,1.5749,7776719.176917339,0.0
rndrusdt,HUOBI,2021-04-16 00:00:00,1.5749,1.5749,1.413,1.4191,7070141.675728549,0.0
rndrusdt,HUOBI,2021-04-17 00:00:00,1.4191,1.5,1.39,1.4133,7557298.429767048,0.0
rndrusdt,HUOBI,2021-04-18 00:00:00,1.4161,1.451,1.0114,1.158,10096936.436188664,0.0
rndrusdt,HUOBI,2021-04-19 00:00:00,1.1603,1.395,1.1368,1.2192,11666423.064571954,0.0
rndrusdt,HUOBI,2021-04-20 00:00:00,1.2169,1.293,1.0888,1.2401,9117585.35173253,0.0
rndrusdt,HUOBI,2021-04-21 00:00:00,1.2428,1.2921,1.1435,1.2534,6536185.265047732,0.0
rndrusdt,HUOBI,2021-04-22 00:00:00,1.259,1.34,1.05,1.1348,9554730.645357244,0.0
rndrusdt,HUOBI,2021-04-23 00:00:00,1.1349,1.1349,0.7431,0.8917,9616615.323564287,0.0
rndrusdt,HUOBI,2021-04-24 00:00:00,0.8917,0.9424,0.8108,0.8628,5900653.937195312,0.0
rndrusdt,HUOBI,2021-04-25 00:00:00,0.8627,0.9068,0.8137,0.8996,2752814.5792562426,0.0
rndrusdt,HUOBI,2021-04-26 00:00:00,0.9016,0.9485,0.81,0.9265,4385210.678066016,0.0
rndrusdt,HUOBI,2021-04-27 00:00:00,0.9265,1.0912,0.9088,1.0414,8452394.602142647,0.0
rndrusdt,HUOBI,2021-04-28 00:00:00,1.037,1.0845,0.9505,0.9856,8221282.44161156,0.0
rndrusdt,HUOBI,2021-04-29 00:00:00,0.9889,1.0959,0.9753,1.033,8438065.923509661,0.0
rndrusdt,HUOBI,2021-04-30 00:00:00,1.0331,1.144,1.0246,1.0918,11864796.037775261,0.0
rndrusdt,HUOBI,2021-05-01 00:00:00,1.0918,1.122,1.051,1.104,4867898.676686999,0.0
rndrusdt,HUOBI,2021-05-02 00:00:00,1.104,1.15,1.001,1.0474,5004102.693504498,0.0
rndrusdt,HUOBI,2021-05-03 00:00:00,1.0447,1.0601,1.0016,1.0332,3116605.4409664255,0.0
rndrusdt,HUOBI,2021-05-04 00:00:00,1.0338,1.0357,0.855,0.9107,5881284.839715751,0.0
rndrusdt,HUOBI,2021-05-05 00:00:00,0.9092,0.9579,0.86,0.9242,4668628.011747141,0.0
rndrusdt,HUOBI,2021-05-06 00:00:00,0.9243,1.0,0.882,0.9319,6785840.260914966,0.0
rndrusdt,HUOBI,2021-05-07 00:00:00,0.9314,0.9826,0.8515,0.9625,5318482.9382012915,0.0
rndrusdt,HUOBI,2021-05-08 00:00:00,0.9605,0.982,0.8726,0.8831,4205807.589258815,0.0
rndrusdt,HUOBI,2021-05-09 00:00:00,0.8785,0.8846,0.782,0.8319,5791658.77648184,0.0
rndrusdt,HUOBI,2021-05-10 00:00:00,0.8321,0.8654,0.75,0.774,6156426.565870086,0.0
rndrusdt,HUOBI,2021-05-11 00:00:00,0.774,0.93,0.76,0.8143,10093474.6924974,0.0
rndrusdt,HUOBI,2021-05-12 00:00:00,0.8145,0.8333,0.778,0.8318,4488832.534298157,0.0
