symbol,exchange,datetime,open,high,low,close,volume,open_interest
ruffusdt,HUOBI,2018-02-09 00:00:00,0.0948,0.175,0.0948,0.1265,1829230.2071086394,0.0
ruffusdt,HUOBI,2018-02-10 00:00:00,0.128,0.1719,0.1246,0.1316,6817554.939787172,0.0
ruffusdt,HUOBI,2018-02-11 00:00:00,0.1315,0.144,0.1164,0.1385,3331425.971900993,0.0
ruffusdt,HUOBI,2018-02-12 00:00:00,0.1384,0.14,0.1271,0.1324,2559915.370390201,0.0
ruffusdt,HUOBI,2018-02-13 00:00:00,0.1324,0.1352,0.1212,0.1244,2340220.516694819,0.0
ruffusdt,HUOBI,2018-02-14 00:00:00,0.1243,0.1342,0.1179,0.1291,3548512.9511745907,0.0
ruffusdt,HUOBI,2018-02-15 00:00:00,0.1293,0.1354,0.1251,0.1313,2596072.9168855636,0.0
ruffusdt,HUOBI,2018-02-16 00:00:00,0.1313,0.1427,0.1263,0.1389,2549053.4324643337,0.0
ruffusdt,HUOBI,2018-02-17 00:00:00,0.139,0.1513,0.138,0.1426,3335627.8717847993,0.0
ruffusdt,HUOBI,2018-02-18 00:00:00,0.1427,0.1592,0.1291,0.1396,3951237.985392326,0.0
ruffusdt,HUOBI,2018-02-19 00:00:00,0.1397,0.141,0.13,0.1384,2150499.8115594536,0.0
ruffusdt,HUOBI,2018-02-20 00:00:00,0.1383,0.1389,0.1301,0.1333,2117480.8925709296,0.0
ruffusdt,HUOBI,2018-02-21 00:00:00,0.1332,0.1361,0.1106,0.114,2397069.4767564405,0.0
ruffusdt,HUOBI,2018-02-22 00:00:00,0.1142,0.1269,0.1088,0.1142,2628576.90453883,0.0
ruffusdt,HUOBI,2018-02-23 00:00:00,0.1147,0.12,0.1083,0.1179,1936500.1540148624,0.0
ruffusdt,HUOBI,2018-02-24 00:00:00,0.1179,0.118,0.1074,0.1104,1999448.7389240244,0.0
ruffusdt,HUOBI,2018-02-25 00:00:00,0.1105,0.1121,0.1028,0.1045,1647797.8477433957,0.0
