symbol,exchange,datetime,open,high,low,close,volume,open_interest
shibusdt,HUOBI,2021-05-08 00:00:00,2.06e-06,1.315e-05,2.06e-06,1.2e-05,951728235.8236063,0.0
shibusdt,HUOBI,2021-05-09 00:00:00,1.2e-05,2.427e-05,1.023e-05,1.462e-05,2938435805.5333276,0.0
shibusdt,HUOBI,2021-05-10 00:00:00,1.463e-05,3.475e-05,1.312e-05,2.909e-05,4511028648.227957,0.0
shibusdt,HUOBI,2021-05-11 00:00:00,2.909e-05,3.97e-05,2.365e-05,3.028e-05,3341208719.1900606,0.0
shibusdt,HUOBI,2021-05-12 00:00:00,3.028e-05,3.463e-05,2.5e-05,2.696e-05,1659008127.8195684,0.0
shibusdt,HUOBI,2021-05-13 00:00:00,2.695e-05,2.696e-05,1.511e-05,1.873e-05,2056355842.0488498,0.0
shibusdt,HUOBI,2021-05-14 00:00:00,1.873e-05,2.3e-05,1.764e-05,2.042e-05,942285821.8978927,0.0
shibusdt,HUOBI,2021-05-15 00:00:00,2.043e-05,2.067e-05,1.606e-05,1.647e-05,493123427.90560204,0.0
shibusdt,HUOBI,2021-05-16 00:00:00,1.647e-05,1.752e-05,1.501e-05,1.532e-05,443091826.74052525,0.0
shibusdt,HUOBI,2021-05-17 00:00:00,1.532e-05,1.95e-05,1.238e-05,1.567e-05,959354547.9231875,0.0
shibusdt,HUOBI,2021-05-18 00:00:00,1.566e-05,1.8e-05,1.461e-05,1.587e-05,473334133.64889365,0.0
shibusdt,HUOBI,2021-05-19 00:00:00,1.587e-05,1.65e-05,5.88e-06,1.162e-05,688676792.7498072,0.0
shibusdt,HUOBI,2021-05-20 00:00:00,1.162e-05,1.3e-05,7.97e-06,1.065e-05,654308129.0899413,0.0
shibusdt,HUOBI,2021-05-21 00:00:00,1.066e-05,1.068e-05,7.55e-06,7.68e-06,293679060.16400355,0.0
shibusdt,HUOBI,2021-05-22 00:00:00,7.68e-06,8.6e-06,6.51e-06,7.44e-06,216139419.18630385,0.0
