symbol,exchange,datetime,open,high,low,close,volume,open_interest
sklusdt,HUOBI,2020-12-01 00:00:00,0.03,0.15,0.03,0.079876,7324972.63779194,0.0
sklusdt,HUOBI,2020-12-02 00:00:00,0.079876,0.0848,0.069,0.071588,1506008.4006072567,0.0
sklusdt,HUOBI,2020-12-03 00:00:00,0.071588,0.090253,0.07113,0.0853,2292536.588177783,0.0
sklusdt,HUOBI,2020-12-04 00:00:00,0.085323,0.140074,0.085302,0.138586,7827773.701952389,0.0
sklusdt,HUOBI,2020-12-05 00:00:00,0.139156,0.165,0.12,0.144859,8183888.752396385,0.0
sklusdt,HUOBI,2020-12-06 00:00:00,0.14486,0.148212,0.1195,0.125595,3659871.7434633174,0.0
sklusdt,HUOBI,2020-12-07 00:00:00,0.125244,0.13762,0.108769,0.123,3236966.9768568864,0.0
sklusdt,HUOBI,2020-12-08 00:00:00,0.123198,0.13085,0.107,0.115064,2153032.3746218886,0.0
sklusdt,HUOBI,2020-12-09 00:00:00,0.115225,0.143306,0.110108,0.138586,3402586.755440722,0.0
sklusdt,HUOBI,2020-12-10 00:00:00,0.138587,0.149799,0.124018,0.129059,2011701.8074567604,0.0
sklusdt,HUOBI,2020-12-11 00:00:00,0.129087,0.133837,0.113479,0.124342,2144703.958701451,0.0
sklusdt,HUOBI,2020-12-12 00:00:00,0.124288,0.131,0.115001,0.121344,886664.7877985077,0.0
sklusdt,HUOBI,2020-12-13 00:00:00,0.121862,0.126475,0.1158,0.119257,663445.7854625051,0.0
sklusdt,HUOBI,2020-12-14 00:00:00,0.119347,0.121071,0.110088,0.114915,637401.5984485741,0.0
sklusdt,HUOBI,2020-12-15 00:00:00,0.115023,0.123468,0.113139,0.119758,608212.0325378173,0.0
sklusdt,HUOBI,2020-12-16 00:00:00,0.120068,0.121797,0.10701,0.116977,852312.6214487789,0.0
sklusdt,HUOBI,2020-12-17 00:00:00,0.116937,0.11845,0.107888,0.11149,851020.3695451897,0.0
sklusdt,HUOBI,2020-12-18 00:00:00,0.111597,0.113031,0.092423,0.103984,1161343.857778301,0.0
sklusdt,HUOBI,2020-12-19 00:00:00,0.103865,0.131856,0.102102,0.121851,1673089.519929265,0.0
sklusdt,HUOBI,2020-12-20 00:00:00,0.121872,0.132586,0.113764,0.1251,1766636.2952400516,0.0
sklusdt,HUOBI,2020-12-21 00:00:00,0.125295,0.125849,0.095042,0.101738,1546640.4260115465,0.0
sklusdt,HUOBI,2020-12-22 00:00:00,0.101738,0.103676,0.090023,0.097481,792851.7481679826,0.0
sklusdt,HUOBI,2020-12-23 00:00:00,0.097655,0.099006,0.07603,0.078522,855970.272271624,0.0
sklusdt,HUOBI,2020-12-24 00:00:00,0.078331,0.0847,0.058825,0.077412,1424881.4219030123,0.0
sklusdt,HUOBI,2020-12-25 00:00:00,0.077822,0.083785,0.075258,0.076548,758689.2305290581,0.0
sklusdt,HUOBI,2020-12-26 00:00:00,0.076411,0.09505,0.076368,0.083166,1680750.1637797619,0.0
sklusdt,HUOBI,2020-12-27 00:00:00,0.083383,0.097782,0.082348,0.092394,1352535.1481658719,0.0
sklusdt,HUOBI,2020-12-28 00:00:00,0.092504,0.095641,0.087029,0.091366,547999.7553631058,0.0
sklusdt,HUOBI,2020-12-29 00:00:00,0.091344,0.092575,0.078767,0.079482,643340.186168796,0.0
sklusdt,HUOBI,2020-12-30 00:00:00,0.079853,0.08166,0.074582,0.079229,552268.3529710819,0.0
