symbol,exchange,datetime,open,high,low,close,volume,open_interest
skmusdt,HUOBI,2019-06-27 00:00:00,0.0023,0.009,0.0023,0.005433,6718830.440476007,0.0
skmusdt,HUOBI,2019-06-28 00:00:00,0.005433,0.005822,0.004242,0.005036,2319235.1867251736,0.0
skmusdt,HUOBI,2019-06-29 00:00:00,0.005027,0.005517,0.004287,0.004587,817920.5847286691,0.0
skmusdt,HUOBI,2019-06-30 00:00:00,0.004597,0.004667,0.00428,0.00442,420656.84002476634,0.0
skmusdt,HUOBI,2019-07-01 00:00:00,0.00442,0.006442,0.004311,0.0063,3901588.9345072177,0.0
skmusdt,HUOBI,2019-07-02 00:00:00,0.006309,0.0068,0.00485,0.005283,3019609.6371368356,0.0
skmusdt,HUOBI,2019-07-03 00:00:00,0.005283,0.00565,0.004994,0.005161,1095811.124973295,0.0
skmusdt,HUOBI,2019-07-04 00:00:00,0.005161,0.005166,0.004503,0.00472,735349.5561298551,0.0
skmusdt,HUOBI,2019-07-05 00:00:00,0.00472,0.00522,0.0044,0.00522,553271.9671362011,0.0
skmusdt,HUOBI,2019-07-06 00:00:00,0.005221,0.005288,0.00463,0.004982,863609.7087082815,0.0
skmusdt,HUOBI,2019-07-07 00:00:00,0.00506,0.006475,0.00498,0.005989,3622462.504461,0.0
skmusdt,HUOBI,2019-07-08 00:00:00,0.00599,0.006475,0.005315,0.0054,1914301.3487695295,0.0
skmusdt,HUOBI,2019-07-09 00:00:00,0.0054,0.0151,0.00502,0.01375,27687078.908951,0.0
skmusdt,HUOBI,2019-07-10 00:00:00,0.013806,0.0188,0.007368,0.00907,36176490.00240694,0.0
skmusdt,HUOBI,2019-07-11 00:00:00,0.008999,0.012568,0.008228,0.012566,16666475.635468068,0.0
skmusdt,HUOBI,2019-07-12 00:00:00,0.012566,0.01365,0.00914,0.010855,8943328.786621196,0.0
skmusdt,HUOBI,2019-07-13 00:00:00,0.010854,0.011187,0.009002,0.009407,3215681.808789818,0.0
skmusdt,HUOBI,2019-07-14 00:00:00,0.009541,0.0096,0.006666,0.006752,2851923.4598584985,0.0
skmusdt,HUOBI,2019-07-15 00:00:00,0.006756,0.008049,0.006,0.006615,3404189.992619927,0.0
skmusdt,HUOBI,2019-07-16 00:00:00,0.006679,0.006899,0.005356,0.005953,1970772.2324364663,0.0
skmusdt,HUOBI,2019-07-17 00:00:00,0.005948,0.005953,0.004485,0.004829,1304090.5018981758,0.0
skmusdt,HUOBI,2019-07-18 00:00:00,0.00483,0.0055,0.004512,0.005025,1863939.9159234227,0.0
skmusdt,HUOBI,2019-07-19 00:00:00,0.005036,0.00531,0.004702,0.005149,867236.43005545,0.0
skmusdt,HUOBI,2019-07-20 00:00:00,0.005149,0.0053,0.00482,0.005231,753914.4296375351,0.0
skmusdt,HUOBI,2019-07-21 00:00:00,0.005231,0.005232,0.00486,0.004992,308739.7052026004,0.0
skmusdt,HUOBI,2019-07-22 00:00:00,0.004993,0.005386,0.004799,0.005098,772668.8628667922,0.0
skmusdt,HUOBI,2019-07-23 00:00:00,0.005096,0.00528,0.004771,0.004848,539481.3290240085,0.0
skmusdt,HUOBI,2019-07-24 00:00:00,0.004849,0.004996,0.00455,0.00495,492177.7354105868,0.0
skmusdt,HUOBI,2019-07-25 00:00:00,0.00495,0.005649,0.004705,0.005383,1289370.024369923,0.0
skmusdt,HUOBI,2019-07-26 00:00:00,0.005391,0.0061,0.005211,0.005707,2198112.31945917,0.0
skmusdt,HUOBI,2019-07-27 00:00:00,0.00573,0.005733,0.004988,0.00505,779319.5670141832,0.0
skmusdt,HUOBI,2019-07-28 00:00:00,0.005053,0.005089,0.004772,0.00494,311378.5399502,0.0
skmusdt,HUOBI,2019-07-29 00:00:00,0.00494,0.005165,0.0048,0.004886,688839.55229081,0.0
skmusdt,HUOBI,2019-07-30 00:00:00,0.004886,0.00494,0.004699,0.00483,283707.1499728302,0.0
skmusdt,HUOBI,2019-07-31 00:00:00,0.004828,0.004887,0.004718,0.004765,200870.4135808416,0.0
skmusdt,HUOBI,2019-08-01 00:00:00,0.004768,0.004928,0.004738,0.004822,202570.65554055,0.0
skmusdt,HUOBI,2019-08-02 00:00:00,0.004822,0.004996,0.004736,0.00494,199792.52511360263,0.0
skmusdt,HUOBI,2019-08-03 00:00:00,0.004933,0.005018,0.004688,0.004766,181796.70043744,0.0
skmusdt,HUOBI,2019-08-04 00:00:00,0.004759,0.004832,0.004622,0.004703,152161.44396574,0.0
skmusdt,HUOBI,2019-08-05 00:00:00,0.004703,0.004877,0.00456,0.004606,212968.6358343273,0.0
skmusdt,HUOBI,2019-08-06 00:00:00,0.004606,0.004696,0.004206,0.004434,176646.10281073,0.0
skmusdt,HUOBI,2019-08-07 00:00:00,0.004426,0.004432,0.003974,0.004116,207800.55542923175,0.0
skmusdt,HUOBI,2019-08-08 00:00:00,0.004117,0.004137,0.00334,0.00388,432820.65833298,0.0
skmusdt,HUOBI,2019-08-09 00:00:00,0.00388,0.004081,0.003629,0.003674,1019210.84725284,0.0
skmusdt,HUOBI,2019-08-10 00:00:00,0.003686,0.003872,0.00351,0.003539,1255121.03357051,0.0
skmusdt,HUOBI,2019-08-11 00:00:00,0.003542,0.003785,0.003512,0.003645,690754.39408731,0.0
skmusdt,HUOBI,2019-08-12 00:00:00,0.003642,0.004375,0.003627,0.004132,837467.2932642485,0.0
skmusdt,HUOBI,2019-08-13 00:00:00,0.004135,0.00445,0.003858,0.004052,1346686.9458371259,0.0
skmusdt,HUOBI,2019-08-14 00:00:00,0.004048,0.004147,0.003758,0.003828,396360.7625221094,0.0
