symbol,exchange,datetime,open,high,low,close,volume,open_interest
smtusdt,HUOBI,2018-01-24 00:00:00,0.0871,0.135,0.0871,0.1172,6138952.60893832,0.0
smtusdt,HUOBI,2018-01-25 00:00:00,0.1169,0.15,0.106,0.1207,10848331.65629132,0.0
smtusdt,HUOBI,2018-01-26 00:00:00,0.116,0.135,0.0941,0.1229,7791663.600572777,0.0
smtusdt,HUOBI,2018-01-27 00:00:00,0.1229,0.124,0.108,0.1155,4459308.770267998,0.0
smtusdt,HUOBI,2018-01-28 00:00:00,0.1153,0.1155,0.107,0.1109,4069052.768987449,0.0
smtusdt,HUOBI,2018-01-29 00:00:00,0.1109,0.1205,0.0994,0.1004,4454643.947780436,0.0
smtusdt,HUOBI,2018-01-30 00:00:00,0.1005,0.1035,0.0883,0.0897,2943254.547674903,0.0
smtusdt,HUOBI,2018-01-31 00:00:00,0.0901,0.0944,0.079,0.0864,2966137.6587191755,0.0
smtusdt,HUOBI,2018-02-01 00:00:00,0.0866,0.0947,0.072,0.0747,3383106.934234009,0.0
smtusdt,HUOBI,2018-02-02 00:00:00,0.0748,0.0752,0.0543,0.0715,2235609.06316973,0.0
smtusdt,HUOBI,2018-02-03 00:00:00,0.0714,0.0791,0.0592,0.073,2031252.9829688286,0.0
smtusdt,HUOBI,2018-02-04 00:00:00,0.073,0.0768,0.062,0.0643,2286590.5904621477,0.0
smtusdt,HUOBI,2018-02-05 00:00:00,0.0641,0.0645,0.055,0.0575,1563493.19617881,0.0
smtusdt,HUOBI,2018-02-06 00:00:00,0.0577,0.0591,0.045,0.0561,1579695.6533358132,0.0
smtusdt,HUOBI,2018-02-07 00:00:00,0.0561,0.0678,0.0491,0.0626,1974297.7418976186,0.0
smtusdt,HUOBI,2018-02-08 00:00:00,0.0625,0.0674,0.0586,0.0613,2070168.3796356323,0.0
smtusdt,HUOBI,2018-02-09 00:00:00,0.0613,0.0694,0.0609,0.0675,2125478.8628086215,0.0
smtusdt,HUOBI,2018-02-10 00:00:00,0.0676,0.0725,0.0633,0.0636,1850438.5694698477,0.0
smtusdt,HUOBI,2018-02-11 00:00:00,0.0638,0.0679,0.0575,0.0624,1168288.61896753,0.0
smtusdt,HUOBI,2018-02-12 00:00:00,0.0624,0.07,0.0593,0.0638,1097804.3375717532,0.0
smtusdt,HUOBI,2018-02-13 00:00:00,0.0637,0.0645,0.0589,0.0599,1515235.835694873,0.0
smtusdt,HUOBI,2018-02-14 00:00:00,0.0599,0.0635,0.0555,0.0619,1651238.6099291104,0.0
smtusdt,HUOBI,2018-02-15 00:00:00,0.0619,0.0663,0.0599,0.0634,1796890.9132764803,0.0
smtusdt,HUOBI,2018-02-16 00:00:00,0.0634,0.0651,0.061,0.0641,1274133.6200201432,0.0
smtusdt,HUOBI,2018-02-17 00:00:00,0.0643,0.077,0.0643,0.071,3989076.679492385,0.0
smtusdt,HUOBI,2018-02-18 00:00:00,0.0711,0.0789,0.063,0.0693,3352553.8978020647,0.0
