symbol,exchange,datetime,open,high,low,close,volume,open_interest
sntusdt,HUOBI,2018-01-05 00:00:00,0.42,0.65,0.42,0.54,4529280.0137475245,0.0
sntusdt,HUOBI,2018-01-06 00:00:00,0.54,0.56,0.47,0.53,5780267.4207969215,0.0
sntusdt,HUOBI,2018-01-07 00:00:00,0.53,0.76,0.5,0.59,8843163.184333934,0.0
sntusdt,HUOBI,2018-01-08 00:00:00,0.6,0.63,0.39,0.4516,11310083.9508305,0.0
sntusdt,HUOBI,2018-01-09 00:00:00,0.4518,0.4999,0.4248,0.4596,5114761.749763106,0.0
sntusdt,HUOBI,2018-01-10 00:00:00,0.4596,0.4596,0.3551,0.3947,4250832.813743134,0.0
sntusdt,HUOBI,2018-01-11 00:00:00,0.3947,0.4468,0.295,0.4115,5753638.773667261,0.0
sntusdt,HUOBI,2018-01-12 00:00:00,0.4126,0.4577,0.36,0.42,4291729.415806593,0.0
sntusdt,HUOBI,2018-01-13 00:00:00,0.4186,0.5099,0.415,0.465,6008393.371828201,0.0
sntusdt,HUOBI,2018-01-14 00:00:00,0.4663,0.49,0.3922,0.402,2996991.2876764573,0.0
sntusdt,HUOBI,2018-01-15 00:00:00,0.4021,0.46,0.395,0.4231,5163719.170520345,0.0
sntusdt,HUOBI,2018-01-16 00:00:00,0.4208,0.4269,0.2952,0.3349,7240665.937001048,0.0
sntusdt,HUOBI,2018-01-17 00:00:00,0.3349,0.3349,0.2181,0.2256,4795517.3328632265,0.0
sntusdt,HUOBI,2018-01-18 00:00:00,0.2246,0.343,0.2201,0.343,6108325.162173349,0.0
sntusdt,HUOBI,2018-01-19 00:00:00,0.3422,0.4234,0.2845,0.3343,6773155.807640929,0.0
sntusdt,HUOBI,2018-01-20 00:00:00,0.3326,0.3562,0.3173,0.347,3120447.3047035136,0.0
sntusdt,HUOBI,2018-01-21 00:00:00,0.3461,0.355,0.2931,0.2966,2928356.8373647914,0.0
sntusdt,HUOBI,2018-01-22 00:00:00,0.2978,0.3125,0.25,0.2548,2658286.933238133,0.0
sntusdt,HUOBI,2018-01-23 00:00:00,0.257,0.29,0.251,0.2767,1745456.115450185,0.0
sntusdt,HUOBI,2018-01-24 00:00:00,0.2771,0.3054,0.2608,0.2845,3791820.9879224435,0.0
sntusdt,HUOBI,2018-01-25 00:00:00,0.2844,0.3277,0.281,0.2996,4225737.585625404,0.0
sntusdt,HUOBI,2018-01-26 00:00:00,0.2996,0.3141,0.2616,0.2918,2860069.4033972756,0.0
sntusdt,HUOBI,2018-01-27 00:00:00,0.2909,0.3014,0.272,0.2962,1344249.2501054942,0.0
sntusdt,HUOBI,2018-01-28 00:00:00,0.2946,0.31,0.2821,0.2902,1801007.8921866082,0.0
sntusdt,HUOBI,2018-01-29 00:00:00,0.2903,0.3,0.2769,0.2805,1301892.5757160666,0.0
sntusdt,HUOBI,2018-01-30 00:00:00,0.2801,0.2987,0.2513,0.2522,1074684.949831635,0.0
sntusdt,HUOBI,2018-01-31 00:00:00,0.2522,0.26,0.2,0.2308,3753649.3600159767,0.0
sntusdt,HUOBI,2018-02-01 00:00:00,0.2308,0.2408,0.2,0.2012,4736580.012996247,0.0
sntusdt,HUOBI,2018-02-02 00:00:00,0.2012,0.205,0.1455,0.1899,2018635.306529214,0.0
sntusdt,HUOBI,2018-02-03 00:00:00,0.1876,0.2329,0.1561,0.2102,1856985.566768325,0.0
sntusdt,HUOBI,2018-02-04 00:00:00,0.2105,0.2666,0.2016,0.217,4491558.872621235,0.0
sntusdt,HUOBI,2018-02-05 00:00:00,0.217,0.2314,0.177,0.185,2427736.75007633,0.0
sntusdt,HUOBI,2018-02-06 00:00:00,0.1853,0.2255,0.1554,0.2116,3077834.1828949708,0.0
sntusdt,HUOBI,2018-02-07 00:00:00,0.2113,0.232,0.1917,0.2192,3277404.619723081,0.0
sntusdt,HUOBI,2018-02-08 00:00:00,0.2203,0.2221,0.2022,0.206,1997910.61098568,0.0
sntusdt,HUOBI,2018-02-09 00:00:00,0.2056,0.2198,0.1992,0.2152,1826136.1363352935,0.0
sntusdt,HUOBI,2018-02-10 00:00:00,0.2152,0.255,0.213,0.2183,3317868.5880543464,0.0
sntusdt,HUOBI,2018-02-11 00:00:00,0.2177,0.225,0.1974,0.2165,1390580.4630951427,0.0
sntusdt,HUOBI,2018-02-12 00:00:00,0.2178,0.2178,0.2024,0.2114,1087697.507552734,0.0
sntusdt,HUOBI,2018-02-13 00:00:00,0.2116,0.2169,0.2,0.2026,1118733.8060064511,0.0
sntusdt,HUOBI,2018-02-14 00:00:00,0.2027,0.219,0.201,0.2186,1495020.7821691476,0.0
sntusdt,HUOBI,2018-02-15 00:00:00,0.2186,0.2276,0.21,0.2188,1617613.0714129014,0.0
sntusdt,HUOBI,2018-02-16 00:00:00,0.2188,0.2244,0.21,0.2198,1509575.1459482175,0.0
sntusdt,HUOBI,2018-02-17 00:00:00,0.2198,0.2291,0.2165,0.2275,3171434.027616304,0.0
sntusdt,HUOBI,2018-02-18 00:00:00,0.2274,0.2524,0.2026,0.209,5660181.536824807,0.0
sntusdt,HUOBI,2018-02-19 00:00:00,0.21,0.2237,0.2025,0.2185,2279182.4094466977,0.0
sntusdt,HUOBI,2018-02-20 00:00:00,0.2186,0.2189,0.2008,0.2072,1606921.907943063,0.0
sntusdt,HUOBI,2018-02-21 00:00:00,0.2071,0.2077,0.1806,0.182,1914580.582550242,0.0
