symbol,exchange,datetime,open,high,low,close,volume,open_interest
socusdt,HUOBI,2018-05-11 00:00:00,0.2251,0.2599,0.1701,0.2076,7114291.638266925,0.0
socusdt,HUOBI,2018-05-12 00:00:00,0.2084,0.2398,0.145,0.1849,24637908.132961944,0.0
socusdt,HUOBI,2018-05-13 00:00:00,0.1851,0.207,0.1745,0.1975,13697487.139527382,0.0
socusdt,HUOBI,2018-05-14 00:00:00,0.1975,0.2323,0.1677,0.2285,19791088.08464658,0.0
socusdt,HUOBI,2018-05-15 00:00:00,0.2284,0.2285,0.198,0.2014,13489643.008378724,0.0
socusdt,HUOBI,2018-05-16 00:00:00,0.2014,0.2038,0.179,0.1843,8158486.524565213,0.0
socusdt,HUOBI,2018-05-17 00:00:00,0.1843,0.218,0.175,0.2012,12353014.57379419,0.0
socusdt,HUOBI,2018-05-18 00:00:00,0.2012,0.202,0.1698,0.1809,9527764.516299497,0.0
socusdt,HUOBI,2018-05-19 00:00:00,0.1817,0.1959,0.172,0.1896,9851387.98305704,0.0
socusdt,HUOBI,2018-05-20 00:00:00,0.1885,0.2063,0.1861,0.1959,9869507.703390643,0.0
socusdt,HUOBI,2018-05-21 00:00:00,0.1955,0.2043,0.175,0.1841,8276142.467874538,0.0
socusdt,HUOBI,2018-05-22 00:00:00,0.1841,0.1858,0.166,0.17,5016122.0178869795,0.0
socusdt,HUOBI,2018-05-23 00:00:00,0.1697,0.1737,0.128,0.1294,11575950.836438283,0.0
socusdt,HUOBI,2018-05-24 00:00:00,0.1294,0.138,0.1108,0.1311,15147216.382797254,0.0
socusdt,HUOBI,2018-05-25 00:00:00,0.1311,0.1311,0.1205,0.1259,4987616.888248501,0.0
socusdt,HUOBI,2018-05-26 00:00:00,0.1254,0.1299,0.1219,0.1293,3477035.8085258785,0.0
socusdt,HUOBI,2018-05-27 00:00:00,0.1293,0.1687,0.1283,0.166,14883241.797538077,0.0
socusdt,HUOBI,2018-05-28 00:00:00,0.1657,0.198,0.1517,0.178,32486247.648183532,0.0
socusdt,HUOBI,2018-05-29 00:00:00,0.178,0.1888,0.1489,0.1683,23548732.311396033,0.0
socusdt,HUOBI,2018-05-30 00:00:00,0.168,0.1888,0.1653,0.1789,17645296.82841196,0.0
socusdt,HUOBI,2018-05-31 00:00:00,0.1789,0.1975,0.1735,0.1945,17126200.359036766,0.0
socusdt,HUOBI,2018-06-01 00:00:00,0.1945,0.197,0.1801,0.1877,10192966.593111904,0.0
socusdt,HUOBI,2018-06-02 00:00:00,0.1871,0.1905,0.175,0.18,9742675.179307759,0.0
socusdt,HUOBI,2018-06-03 00:00:00,0.18,0.1883,0.1701,0.1833,11590503.39529597,0.0
socusdt,HUOBI,2018-06-04 00:00:00,0.1833,0.1862,0.1648,0.1679,7893262.916573404,0.0
socusdt,HUOBI,2018-06-05 00:00:00,0.1679,0.1827,0.164,0.1732,8497540.726042736,0.0
socusdt,HUOBI,2018-06-06 00:00:00,0.1733,0.1795,0.17,0.1775,6907128.649193282,0.0
socusdt,HUOBI,2018-06-07 00:00:00,0.1777,0.1798,0.17,0.1714,4520521.419128388,0.0
socusdt,HUOBI,2018-06-08 00:00:00,0.1714,0.1788,0.1584,0.1668,6376213.424202515,0.0
socusdt,HUOBI,2018-06-09 00:00:00,0.1668,0.1687,0.1522,0.1587,3893193.6424926324,0.0
socusdt,HUOBI,2018-06-10 00:00:00,0.1588,0.1597,0.1321,0.136,7055149.252077257,0.0
socusdt,HUOBI,2018-06-11 00:00:00,0.1357,0.136,0.1001,0.1163,10877215.89069754,0.0
socusdt,HUOBI,2018-06-12 00:00:00,0.1163,0.1492,0.1159,0.1371,10377249.437833805,0.0
socusdt,HUOBI,2018-06-13 00:00:00,0.1371,0.138,0.117,0.1212,5728528.836598976,0.0
socusdt,HUOBI,2018-06-14 00:00:00,0.1212,0.1562,0.114,0.1422,26498489.05014612,0.0
socusdt,HUOBI,2018-06-15 00:00:00,0.1427,0.1553,0.1289,0.1375,18251783.510341335,0.0
socusdt,HUOBI,2018-06-16 00:00:00,0.1384,0.1395,0.1152,0.1218,9579757.121270869,0.0
socusdt,HUOBI,2018-06-17 00:00:00,0.122,0.1255,0.1105,0.1147,6437173.956230483,0.0
socusdt,HUOBI,2018-06-18 00:00:00,0.1147,0.1147,0.101,0.1033,5419407.04799529,0.0
socusdt,HUOBI,2018-06-19 00:00:00,0.1032,0.1033,0.0835,0.0935,14845882.59690764,0.0
socusdt,HUOBI,2018-06-20 00:00:00,0.0933,0.098,0.0822,0.0852,8138314.2635146715,0.0
socusdt,HUOBI,2018-06-21 00:00:00,0.0852,0.0852,0.0611,0.0628,11274537.335060755,0.0
socusdt,HUOBI,2018-06-22 00:00:00,0.0623,0.0724,0.0465,0.0536,11272606.131080944,0.0
socusdt,HUOBI,2018-06-23 00:00:00,0.0536,0.0542,0.0398,0.0498,7037495.822853238,0.0
socusdt,HUOBI,2018-06-24 00:00:00,0.0498,0.0646,0.0398,0.0633,17353989.111963812,0.0
socusdt,HUOBI,2018-06-25 00:00:00,0.0634,0.0748,0.0589,0.072,16871781.781430725,0.0
socusdt,HUOBI,2018-06-26 00:00:00,0.072,0.0759,0.0594,0.0618,7509551.24870433,0.0
