symbol,exchange,datetime,open,high,low,close,volume,open_interest
solusdt,HUOBI,2020-12-03 00:00:00,1.6529,2.3456,1.6529,2.108,1878182.6346460886,0.0
solusdt,HUOBI,2020-12-04 00:00:00,2.108,2.14,1.936,1.969,1037251.8844699477,0.0
solusdt,HUOBI,2020-12-05 00:00:00,1.9692,1.9692,1.82,1.937,669097.38424056,0.0
solusdt,HUOBI,2020-12-06 00:00:00,1.9357,1.992,1.8118,1.8478,1437209.6769485315,0.0
solusdt,HUOBI,2020-12-07 00:00:00,1.8445,1.8934,1.8205,1.891,2174061.2363377796,0.0
solusdt,HUOBI,2020-12-08 00:00:00,1.8928,1.8989,1.6501,1.7074,2109322.9823868703,0.0
solusdt,HUOBI,2020-12-09 00:00:00,1.7091,1.7626,1.5001,1.6472,1956765.611189192,0.0
solusdt,HUOBI,2020-12-10 00:00:00,1.6499,1.6756,1.5413,1.5683,2992942.839954497,0.0
solusdt,HUOBI,2020-12-11 00:00:00,1.5652,1.6216,1.4317,1.4908,291975.5961886911,0.0
solusdt,HUOBI,2020-12-12 00:00:00,1.4947,1.54,1.4358,1.473,244657.52439993,0.0
solusdt,HUOBI,2020-12-13 00:00:00,1.475,1.6493,1.4534,1.5856,241526.99096375,0.0
solusdt,HUOBI,2020-12-14 00:00:00,1.5892,1.625,1.5232,1.5669,162692.6398301,0.0
solusdt,HUOBI,2020-12-15 00:00:00,1.5614,1.8028,1.5423,1.7307,573312.43792605,0.0
solusdt,HUOBI,2020-12-16 00:00:00,1.73,1.7665,1.605,1.7329,463736.9011304888,0.0
solusdt,HUOBI,2020-12-17 00:00:00,1.7329,1.8069,1.6725,1.7481,380935.25969058,0.0
solusdt,HUOBI,2020-12-18 00:00:00,1.7479,1.7625,1.6308,1.6436,502464.96506619547,0.0
solusdt,HUOBI,2020-12-19 00:00:00,1.6455,1.7655,1.6373,1.6969,336248.41946525,0.0
solusdt,HUOBI,2020-12-20 00:00:00,1.7023,1.7185,1.61,1.6451,272398.64589169,0.0
solusdt,HUOBI,2020-12-21 00:00:00,1.645,1.6488,1.4858,1.5383,274462.4208713,0.0
