symbol,exchange,datetime,open,high,low,close,volume,open_interest
stakeusdt,HUOBI,2021-04-20 00:00:00,19.5294,29.47,19.5294,25.2708,18512519.690092955,0.0
stakeusdt,HUOBI,2021-04-21 00:00:00,25.3723,25.3723,21.5305,22.5986,4988543.709503078,0.0
stakeusdt,HUOBI,2021-04-22 00:00:00,22.6902,24.5,20.4,22.0922,2892986.17838594,0.0
stakeusdt,HUOBI,2021-04-23 00:00:00,22.0922,23.3333,16.2957,18.034,2324851.767432944,0.0
stakeusdt,HUOBI,2021-04-24 00:00:00,18.0139,19.5,16.8304,17.4957,1160807.575711468,0.0
stakeusdt,HUOBI,2021-04-25 00:00:00,17.4998,19.2492,16.3603,17.6438,1077952.7915620098,0.0
stakeusdt,HUOBI,2021-04-26 00:00:00,17.6268,19.1011,16.0002,18.7204,1339874.7706611287,0.0
stakeusdt,HUOBI,2021-04-27 00:00:00,18.8016,18.9518,17.68,18.3699,1093497.770672318,0.0
stakeusdt,HUOBI,2021-04-28 00:00:00,18.3699,21.58,17.233,20.2095,2401686.6057922626,0.0
stakeusdt,HUOBI,2021-04-29 00:00:00,20.2119,24.0,19.4425,22.3092,2387525.8779411917,0.0
stakeusdt,HUOBI,2021-04-30 00:00:00,22.4121,23.3999,20.5,21.0577,2064631.2374735563,0.0
stakeusdt,HUOBI,2021-05-01 00:00:00,21.0739,21.0965,19.5,20.0698,1231735.5862012263,0.0
stakeusdt,HUOBI,2021-05-02 00:00:00,20.0005,20.2606,18.1284,18.6413,1090881.237357826,0.0
stakeusdt,HUOBI,2021-05-03 00:00:00,18.6783,19.5,17.3759,18.8554,1416179.2277166336,0.0
stakeusdt,HUOBI,2021-05-04 00:00:00,18.8482,20.396,18.3,18.4449,1218879.075193587,0.0
stakeusdt,HUOBI,2021-05-05 00:00:00,18.4455,18.601,17.233,17.962,1057160.3004949344,0.0
stakeusdt,HUOBI,2021-05-06 00:00:00,17.962,18.5069,17.1993,17.4901,810359.8381676557,0.0
stakeusdt,HUOBI,2021-05-07 00:00:00,17.4901,18.1498,16.0,18.0402,940488.2070923565,0.0
stakeusdt,HUOBI,2021-05-08 00:00:00,18.0406,18.4832,17.0,17.3029,652474.5733300025,0.0
stakeusdt,HUOBI,2021-05-09 00:00:00,17.303,18.5822,16.1601,16.5751,870260.3515244707,0.0
stakeusdt,HUOBI,2021-05-10 00:00:00,16.5925,22.8,16.5239,19.3929,4311862.243810038,0.0
stakeusdt,HUOBI,2021-05-11 00:00:00,19.3959,19.3959,16.1598,17.0874,907402.4620625884,0.0
stakeusdt,HUOBI,2021-05-12 00:00:00,17.1686,19.83,15.5,18.882,1116581.4695534417,0.0
stakeusdt,HUOBI,2021-05-13 00:00:00,18.8997,20.0795,15.0,16.5653,1829590.1473035938,0.0
stakeusdt,HUOBI,2021-05-14 00:00:00,16.6062,20.18,15.86,17.4267,1260062.101643866,0.0
stakeusdt,HUOBI,2021-05-15 00:00:00,17.4938,18.8999,15.2,16.1366,631081.4699161724,0.0
stakeusdt,HUOBI,2021-05-16 00:00:00,16.1709,16.7497,15.21,15.39,503873.1392181058,0.0
stakeusdt,HUOBI,2021-05-17 00:00:00,15.3201,15.6542,12.7547,13.634,812889.1443914106,0.0
stakeusdt,HUOBI,2021-05-18 00:00:00,13.6341,14.95,12.94,13.8621,411000.59237769083,0.0
stakeusdt,HUOBI,2021-05-19 00:00:00,13.8622,17.89,8.0,11.1671,1711222.3392197618,0.0
stakeusdt,HUOBI,2021-05-20 00:00:00,11.1677,14.5,8.92,13.0198,620360.6925686704,0.0
stakeusdt,HUOBI,2021-05-21 00:00:00,13.0039,13.6697,10.4745,10.4868,382277.20283605,0.0
stakeusdt,HUOBI,2021-05-22 00:00:00,10.5135,11.7679,9.2848,9.7021,315177.74089907,0.0
stakeusdt,HUOBI,2021-05-23 00:00:00,9.6787,10.0488,6.5,6.5271,355890.05917447,0.0
stakeusdt,HUOBI,2021-05-24 00:00:00,6.601,10.32,5.7523,9.2196,993907.9641530677,0.0
stakeusdt,HUOBI,2021-05-25 00:00:00,9.1868,9.8111,7.9674,8.6105,359907.6571176472,0.0
