symbol,exchange,datetime,open,high,low,close,volume,open_interest
steemusdt,HUOBI,2018-04-28 00:00:00,3.4961,5.244,3.4961,4.2899,7415841.2903019,0.0
steemusdt,HUOBI,2018-04-29 00:00:00,4.265,4.8,3.8002,4.3,7470773.434089655,0.0
steemusdt,HUOBI,2018-04-30 00:00:00,4.2635,4.5795,3.9002,4.0903,3972908.7354488503,0.0
steemusdt,HUOBI,2018-05-01 00:00:00,4.09,4.0901,3.6,3.7131,2110826.052026413,0.0
steemusdt,HUOBI,2018-05-02 00:00:00,3.7142,4.033,3.62,3.9814,1805290.5356048115,0.0
steemusdt,HUOBI,2018-05-03 00:00:00,3.98,4.136,3.8,4.0263,1972964.5730063242,0.0
steemusdt,HUOBI,2018-05-04 00:00:00,4.0291,4.1,3.8,3.81,1868013.59483414,0.0
steemusdt,HUOBI,2018-05-05 00:00:00,3.81,4.0,3.8001,3.8267,1596299.5918837348,0.0
steemusdt,HUOBI,2018-05-06 00:00:00,3.8244,3.9863,3.5458,3.5803,1515365.5216823802,0.0
steemusdt,HUOBI,2018-05-07 00:00:00,3.5964,3.7746,3.3871,3.4838,987757.4948800418,0.0
steemusdt,HUOBI,2018-05-08 00:00:00,3.4837,3.6,3.361,3.4566,1124868.4683173862,0.0
steemusdt,HUOBI,2018-05-09 00:00:00,3.4694,3.77,3.27,3.5025,1383551.4651091772,0.0
steemusdt,HUOBI,2018-05-10 00:00:00,3.5038,3.5411,3.316,3.4,1039680.1262738779,0.0
steemusdt,HUOBI,2018-05-11 00:00:00,3.4094,3.43,2.5,2.8041,1285004.2496496553,0.0
steemusdt,HUOBI,2018-05-12 00:00:00,2.804,2.9383,2.4002,2.6389,824115.0558114898,0.0
steemusdt,HUOBI,2018-05-13 00:00:00,2.6391,3.25,2.6011,3.0716,1631927.5704190156,0.0
steemusdt,HUOBI,2018-05-14 00:00:00,3.0994,3.2395,2.829,3.1996,1311865.4526503098,0.0
steemusdt,HUOBI,2018-05-15 00:00:00,3.1988,3.449,2.9654,3.0105,1065670.4930756055,0.0
steemusdt,HUOBI,2018-05-16 00:00:00,3.0104,3.0724,2.7,2.8004,666296.15707552,0.0
steemusdt,HUOBI,2018-05-17 00:00:00,2.8006,3.0229,2.7233,2.8935,663104.9182839094,0.0
steemusdt,HUOBI,2018-05-18 00:00:00,2.8935,3.2,2.6434,3.0132,1631147.3717047577,0.0
steemusdt,HUOBI,2018-05-19 00:00:00,3.0506,3.24,2.8999,3.099,1642006.1156541663,0.0
steemusdt,HUOBI,2018-05-20 00:00:00,3.0877,3.1488,2.95,3.0295,667831.1821770006,0.0
steemusdt,HUOBI,2018-05-21 00:00:00,3.03,3.2,2.8861,2.9183,721323.61315998,0.0
steemusdt,HUOBI,2018-05-22 00:00:00,2.9151,3.18,2.8932,3.0799,1339463.5752554405,0.0
steemusdt,HUOBI,2018-05-23 00:00:00,3.0799,3.1269,2.8397,2.8741,1119517.02394671,0.0
steemusdt,HUOBI,2018-05-24 00:00:00,2.8677,3.45,2.6666,2.9186,4135167.335328897,0.0
steemusdt,HUOBI,2018-05-25 00:00:00,2.9186,3.109,2.71,2.7729,1810046.7206772508,0.0
steemusdt,HUOBI,2018-05-26 00:00:00,2.78,2.8176,2.6401,2.7166,1225140.090243473,0.0
