symbol,exchange,datetime,open,high,low,close,volume,open_interest
stnusdt,HUOBI,2021-03-31 00:00:00,0.25,20.0,0.25,6.3393,124767117.82019947,0.0
stnusdt,HUOBI,2021-04-01 00:00:00,6.3333,6.71,4.48,4.7577,29049693.606843356,0.0
stnusdt,HUOBI,2021-04-02 00:00:00,4.7577,5.66,4.55,4.9753,17510144.089958046,0.0
stnusdt,HUOBI,2021-04-03 00:00:00,4.9757,5.77,4.66,5.2,9733239.96221057,0.0
stnusdt,HUOBI,2021-04-04 00:00:00,5.2003,5.755,4.6852,4.9303,8388173.036684185,0.0
stnusdt,HUOBI,2021-04-05 00:00:00,4.9497,5.44,4.6,5.0999,7292940.589504453,0.0
stnusdt,HUOBI,2021-04-06 00:00:00,5.0999,5.2,4.61,4.7,5304496.519975914,0.0
stnusdt,HUOBI,2021-04-07 00:00:00,4.7,4.7652,3.5908,3.8172,7902578.108616557,0.0
stnusdt,HUOBI,2021-04-08 00:00:00,3.8167,4.16,3.6661,3.8202,4232605.478233979,0.0
stnusdt,HUOBI,2021-04-09 00:00:00,3.8499,4.4001,3.7235,3.95,5681430.403157043,0.0
stnusdt,HUOBI,2021-04-10 00:00:00,3.9579,4.2,3.9001,4.1399,3751267.326383876,0.0
stnusdt,HUOBI,2021-04-11 00:00:00,4.1218,4.1398,3.858,3.8901,2477105.818899277,0.0
stnusdt,HUOBI,2021-04-12 00:00:00,3.9068,3.936,3.7,3.7202,1940832.6554284012,0.0
stnusdt,HUOBI,2021-04-13 00:00:00,3.7202,3.9416,3.7,3.7869,2308015.5588371377,0.0
stnusdt,HUOBI,2021-04-14 00:00:00,3.81,3.8219,3.3,3.4651,4305722.455828382,0.0
stnusdt,HUOBI,2021-04-15 00:00:00,3.4652,3.6599,3.4,3.5731,2060620.537482936,0.0
stnusdt,HUOBI,2021-04-16 00:00:00,3.5804,3.5804,3.2,3.215,2506314.4513046728,0.0
stnusdt,HUOBI,2021-04-17 00:00:00,3.2022,3.9128,3.102,3.778,4565440.192705748,0.0
stnusdt,HUOBI,2021-04-18 00:00:00,3.778,4.2388,2.8385,3.1724,4715599.587002263,0.0
stnusdt,HUOBI,2021-04-19 00:00:00,3.1721,3.3899,2.8588,2.9423,1827835.5012879863,0.0
stnusdt,HUOBI,2021-04-20 00:00:00,2.9253,3.2024,2.8,3.179,1815921.0873316934,0.0
stnusdt,HUOBI,2021-04-21 00:00:00,3.179,3.83,2.9831,3.35,4622436.009905643,0.0
stnusdt,HUOBI,2021-04-22 00:00:00,3.3614,3.3653,2.95,3.1501,1334326.6205636153,0.0
stnusdt,HUOBI,2021-04-23 00:00:00,3.1501,3.1501,2.2006,2.36,1874502.2866480255,0.0
stnusdt,HUOBI,2021-04-24 00:00:00,2.3908,3.2163,2.2,2.4592,2482294.1459726035,0.0
stnusdt,HUOBI,2021-04-25 00:00:00,2.459,2.5201,2.22,2.5072,703897.5751106909,0.0
stnusdt,HUOBI,2021-04-26 00:00:00,2.5199,2.6633,2.26,2.6291,1076038.1406995624,0.0
stnusdt,HUOBI,2021-04-27 00:00:00,2.613,3.0816,2.5219,2.7125,2421513.7623238224,0.0
stnusdt,HUOBI,2021-04-28 00:00:00,2.7098,2.83,2.4161,2.5888,1257697.4737645395,0.0
stnusdt,HUOBI,2021-04-29 00:00:00,2.5754,2.6786,2.4321,2.6158,972350.9184787438,0.0
stnusdt,HUOBI,2021-04-30 00:00:00,2.6159,2.8787,2.6,2.7958,2060247.3090490308,0.0
stnusdt,HUOBI,2021-05-01 00:00:00,2.7949,2.8308,2.63,2.6817,949054.9862887785,0.0
stnusdt,HUOBI,2021-05-02 00:00:00,2.6802,3.729,2.68,3.635,11744759.951991394,0.0
stnusdt,HUOBI,2021-05-03 00:00:00,3.5948,3.78,3.1,3.484,7317455.141902674,0.0
stnusdt,HUOBI,2021-05-04 00:00:00,3.4848,3.5354,2.9444,3.023,4446650.184252203,0.0
stnusdt,HUOBI,2021-05-05 00:00:00,3.0051,3.0051,2.6898,2.945,3052032.8981216005,0.0
stnusdt,HUOBI,2021-05-06 00:00:00,2.9388,2.9388,2.6534,2.7163,1872011.990014473,0.0
stnusdt,HUOBI,2021-05-07 00:00:00,2.7034,2.7034,2.4111,2.6074,1717734.9689268935,0.0
stnusdt,HUOBI,2021-05-08 00:00:00,2.6072,2.8108,2.6002,2.7078,1735450.6341609564,0.0
stnusdt,HUOBI,2021-05-09 00:00:00,2.7042,3.4056,2.2,2.5087,8881316.892416142,0.0
stnusdt,HUOBI,2021-05-10 00:00:00,2.5087,2.5276,2.2224,2.3663,1852241.1949925632,0.0
stnusdt,HUOBI,2021-05-11 00:00:00,2.3519,2.3851,1.9,2.1049,2211993.7286657444,0.0
stnusdt,HUOBI,2021-05-12 00:00:00,2.1049,2.2158,1.95,2.1391,1191340.565466321,0.0
stnusdt,HUOBI,2021-05-13 00:00:00,2.1307,2.1343,1.68,1.8787,1098332.623572095,0.0
stnusdt,HUOBI,2021-05-14 00:00:00,1.8779,2.2225,1.7423,1.9103,910776.4735804364,0.0
stnusdt,HUOBI,2021-05-15 00:00:00,1.9075,2.1888,1.75,1.839,1387252.250850306,0.0
