symbol,exchange,datetime,open,high,low,close,volume,open_interest
sushiusdt,HUOBI,2020-09-01 00:00:00,5.7156,13.4,5.7156,10.2301,27066748.21875325,0.0
sushiusdt,HUOBI,2020-09-02 00:00:00,10.2301,11.4,5.9845,6.1922,62507085.109764345,0.0
sushiusdt,HUOBI,2020-09-03 00:00:00,6.192,8.87,5.1111,5.8114,97236105.64611492,0.0
sushiusdt,HUOBI,2020-09-04 00:00:00,5.811,6.4812,4.2571,4.6335,47549799.04980271,0.0
sushiusdt,HUOBI,2020-09-05 00:00:00,4.6321,5.0595,1.912,2.2456,72521179.20165631,0.0
sushiusdt,HUOBI,2020-09-06 00:00:00,2.2501,3.4,1.13,2.6201,144018088.1647322,0.0
sushiusdt,HUOBI,2020-09-07 00:00:00,2.6235,3.5,2.177,2.9099,104071455.31268509,0.0
sushiusdt,HUOBI,2020-09-08 00:00:00,2.9073,3.0424,2.505,2.6405,56158465.35149517,0.0
sushiusdt,HUOBI,2020-09-09 00:00:00,2.6404,3.18,2.17,3.0476,60768359.25226385,0.0
sushiusdt,HUOBI,2020-09-10 00:00:00,3.05,3.1448,2.4,2.45,60273240.676108114,0.0
sushiusdt,HUOBI,2020-09-11 00:00:00,2.4523,2.695,2.0,2.601,49131238.57740658,0.0
sushiusdt,HUOBI,2020-09-12 00:00:00,2.6035,2.95,2.32,2.4222,64484789.20584731,0.0
sushiusdt,HUOBI,2020-09-13 00:00:00,2.4251,2.6876,2.2053,2.2287,48517202.43276133,0.0
sushiusdt,HUOBI,2020-09-14 00:00:00,2.227,2.6617,2.153,2.5097,61861039.79113523,0.0
sushiusdt,HUOBI,2020-09-15 00:00:00,2.5097,2.6421,1.76,1.9009,92503522.64307313,0.0
sushiusdt,HUOBI,2020-09-16 00:00:00,1.9009,1.9796,1.581,1.615,42783520.18193381,0.0
sushiusdt,HUOBI,2020-09-17 00:00:00,1.6145,1.6665,1.3209,1.4288,39761018.49943155,0.0
sushiusdt,HUOBI,2020-09-18 00:00:00,1.4282,1.8679,1.3599,1.702,42397756.81293936,0.0
sushiusdt,HUOBI,2020-09-19 00:00:00,1.702,1.8686,1.5543,1.8417,21429751.22665372,0.0
sushiusdt,HUOBI,2020-09-20 00:00:00,1.8413,1.9458,1.6327,1.6481,27450945.10198598,0.0
sushiusdt,HUOBI,2020-09-21 00:00:00,1.6443,1.7371,1.35,1.4157,19403785.607941646,0.0
sushiusdt,HUOBI,2020-09-22 00:00:00,1.4145,1.4791,1.3211,1.3999,10682149.170449376,0.0
sushiusdt,HUOBI,2020-09-23 00:00:00,1.3988,1.4516,1.23,1.3509,14813689.464591619,0.0
sushiusdt,HUOBI,2020-09-24 00:00:00,1.35,1.4317,1.2166,1.41,17027002.05734081,0.0
sushiusdt,HUOBI,2020-09-25 00:00:00,1.4063,1.4767,1.3344,1.4087,10820113.362965984,0.0
sushiusdt,HUOBI,2020-09-26 00:00:00,1.4095,1.4411,1.3527,1.4015,6107208.672376936,0.0
sushiusdt,HUOBI,2020-09-27 00:00:00,1.4015,1.45,1.332,1.3783,7325173.55578694,0.0
sushiusdt,HUOBI,2020-09-28 00:00:00,1.3786,1.3942,1.3322,1.361,4471042.220108581,0.0
sushiusdt,HUOBI,2020-09-29 00:00:00,1.3611,1.3653,1.241,1.2597,6433666.215070119,0.0
sushiusdt,HUOBI,2020-09-30 00:00:00,1.2603,1.3265,1.1967,1.282,8475422.64754897,0.0
sushiusdt,HUOBI,2020-10-01 00:00:00,1.2826,1.35,1.2654,1.2674,5569358.652813519,0.0
